1654913821,,,,,2483927,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Аккумуляторы для ноутбуков >> Аккумуляторы для ноутбуков PowerPlant",powerplant,"Акумулятор для ноутбука PowerPlant DELL Inspiron 15-5558 (GXVJ3, DL3451L7) 14.8V 2600mAh (NB440078)",,1399,1,https://comfy.ua/akkumuljator-dlja-noutbuka-powerplant-dell-inspiron-15-5558-gxvj3-dl3451l7-14-8v-2600mah-nb440078.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1654913858,,,,,2485257,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Аккумуляторы для ноутбуков >> Аккумуляторы для ноутбуков PowerPlant",powerplant,Акумулятор для ноутбука PowerPlant DELL Latitude 12 Series (NGGX5) 11.4V 3000mAh (NB441235),,1799,1,https://comfy.ua/akkumuljator-dlja-noutbuka-powerplant-dell-latitude-12-series-nggx5-11-4v-3000mah-nb441235.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
1654913889,,,,,2574169,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Gardena,gardena,Набір садових інструментів Gardena Classic Ergo (08966-30.000.00),,1689,1,https://comfy.ua/nabor-sadovyh-instrumentov-gardena-classic-ergo-08966-30-000-00.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1654916341,6986066,BOSCH,housegoods BOSCH Шліфмашина ексцентрикова акумуляторна GEX 185-LI 18В без АКБ та ЗП,4896,2796675,Инструменты и автотовары >> Электроинструменты >> Шлифовальные машины >> Шлифовальные машины Bosch,bosch,Ексцентрикова шліфовальна машина Bosch GEX 185-LI без АКБ та ЗП (0.601.3A5.020),,4895,1,https://comfy.ua/jekscentrikovaja-shlifoval-naja-mashina-bosch-gex-185-li-bez-akb-i-zu-0-601-3a5-020.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1654916342,,,,,.2823114,Инструменты и автотовары >> Электроинструменты,ryobi,Пряма шліфувальна машина Ryobi RRT4-120GA15,,2999,1,https://comfy.ua/prjamaja-shlifoval-naja-mashina-ryobi-rrt4-120ga1.html,3349,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1654916904,,,,,2540457,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Акумулятор для ноутбука PowerPlant DELL Inspiron 15 7547 (D2VF9) 11.1V 3840mAh (NB441112),,1699,1,https://comfy.ua/akkumuljator-dlja-noutbuka-powerplant-dell-inspiron-15-7547-d2vf9-11-1v-3840mah-nb441112.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1654916908,,,,,2485263,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Акумулятор для ноутбука PowerPlant DELL Inspiron 15 5547 (TRHFF) 11.1V 3800mAh (NB441419),,1399,1,https://comfy.ua/akkumuljator-dlja-noutbuka-powerplant-dell-inspiron-15-5547-trhff-11-1v-3800mah-nb441419.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1654916913,,,,,2540455,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Акумулятор для ноутбука PowerPlant DELL Inspiron 14-5439 (VH748) 11.4V 51.2Wh (NB441099),,1999,1,https://comfy.ua/akkumuljator-dlja-noutbuka-powerplant-dell-inspiron-14-5439-vh748-11-4v-51-2wh-nb441099.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1654917551,6977263,KITCHENAID,"Кухонная машина KITCHENAID Artisan 4,8 л Dry Rose (5KSM175PSEDR)",43599,2845644,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM175PSEDR),,43599,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm175psedr.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1654917552,6977265,KITCHENAID,"Кухонная машина KITCHENAID Artisan 4,8 л Ice Blue (5KSM175PSEIC)",43599,2845642,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM175PSEIC),,43599,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm175pseic.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1654917553,6977264,KITCHENAID,"Кухонная машина KITCHENAID Artisan 4,8 л Fresh Linen (5KSM175PSEFL)",43599,2845643,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM175PSEFL),,43599,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm175psefl.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1654917554,6977266,KITCHENAID,"Кухонная машина KITCHENAID Artisan 4,8 л Matcha (5KSM175PSEMA)",37889,2845645,Техника для кухни >> Мелкая техника,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM175PSEMA),,37059,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm175psema.html,43599,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1654917558,6977261,KITCHENAID,"Кухонная машина KITCHENAID Artisan 4,8 л Lavender Cream (5KSM125ELR)",41199,2845649,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM125ELR),,35019,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm125elr.html,41199,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1654917559,6977270,KITCHENAID,"Кухонная машина KITCHENAID Artisan 4,8 л Peach Bellini (5KSM185PSEPH)",49999,2845638,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM185PSEPH),,49999,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm185pseph.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1654917560,6977269,KITCHENAID,"Кухонная машина KITCHENAID Artisan 4,8 л Grey (5KSM185PSEGR)",49999,2845640,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонна машина KitchenAid Artisan (5KSM185PSEGR),,44999,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm185psegr.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
