1665371892,column,column,column,column,2894722,comfy_kids_______metal_time,metaltime,__metal_time_t44_mt072,column,599,1,httpscomfyuametallicheskijkonstruktormetaltimet44mt072html,column,05112025_2308,column,__42,Фастів,0
1665371905,6977890,METAL TIME,Конструктор METAL TIME Leopard 2 Tank (MT079),506,2894736,Детские товары >> Игрушки,metal-time,Металевий конструктор Metal Time Leopard 2 Tank (MT079),,599,1,https://comfy.ua/metallicheskij-konstruktor-metal-time-leopard-2-tank-mt079.html,,05.11.2025 22:31,,"вул. Соборна, 42",Фастів,0
1665371907,6977892,METAL TIME,Конструктор METAL TIME Spruce Goose Airplane (MT081),506,2894738,Детские товары >> Игрушки,metal-time,Металевий конструктор Metal Time Spruce Goose Airplane (MT081),,599,1,https://comfy.ua/metallicheskij-konstruktor-metal-time-spruce-goose-airplane-mt081.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
1665371908,6977893,METAL TIME,Конструктор METAL TIME Polar Steel SE Magic Express Train (MT082),399,2894739,Comfy KIDS >> Игрушки >> Конструкторы >> Конструкторы Metal Time,metal-time,Металевий конструктор Metal Time Polar Steel SE Magic Express Train (MT082),,599,1,https://comfy.ua/metallicheskij-konstruktor-metal-time-polar-steel-se-magic-express-train-mt082.html,,05.11.2025 22:19,,"вул. Соборна, 42",Фастів,0
1665371909,6977894,METAL TIME,Конструктор METAL TIME Night Rider 3000 Apocalyptic Train (MT083),499,2894740,Comfy KIDS >> Игрушки >> Конструкторы >> Конструкторы Metal Time,metal-time,Металевий конструктор Metal Time Night Rider 3000 Apocalyptic Train (MT083),,599,1,https://comfy.ua/metallicheskij-konstruktor-metal-time-night-rider-3000-apocalyptic-train-mt083.html,,05.11.2025 22:43,,"вул. Соборна, 42",Фастів,0
1665371913,6786118,METAL TIME,Конструктор METAL TIME Lifting Spirit MT027,1899,2902734,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Metal Time,metal-time,Металевий конструктор Metal Time Lifting Spirit (MT027),,1779,1,https://comfy.ua/metallicheskij-konstruktor-metal-time-lifting-spirit-mt027.html,,05.11.2025 23:05,,"вул. Соборна, 42",Фастів,0
1665371914,6786114,METAL TIME,Конструктор METAL TIME Cafe Pronto( MT013),499,2902735,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Metal Time,metal-time,Металевий конструктор Metal Time Caf? Pronto (MT013),,499,1,https://comfy.ua/metallicheskij-konstruktor-metal-time-cafe-pronto-mt013.html,,05.11.2025 23:05,,"вул. Соборна, 42",Фастів,0
1665371915,6786115,METAL TIME,Конструктор METAL TIME Elusive Nautilus (MT045),2997,2902737,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Metal Time,metal-time,Металевий конструктор Metal Time Elusive Nautilus (MT045),,2199,1,https://comfy.ua/metallicheskij-konstruktor-metal-time-elusive-nautilus-mt045.html,,05.11.2025 23:05,,"вул. Соборна, 42",Фастів,0
1665371916,6786119,METAL TIME,Конструктор METAL TIME Lost at Sea MT044,3999,2902738,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Metal Time,metal-time,Металевий конструктор Metal Time Lost at Sea (MT044),,4799,1,https://comfy.ua/metallicheskij-konstruktor-metal-time-lost-at-sea-mt044.html,,05.11.2025 22:18,,"вул. Соборна, 42",Фастів,0
1665372894,6917135,ASUS,Ноутбук ASUS Vivobook 15 M1502YA-BQ161 Cool Silver (90NB0X22-M00AH0),24999,2848523,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",asus,Ноутбук Asus Vivobook 15 M1502YA-BQ161 Cool Silver,,23999,1,https://comfy.ua/noutbuk-asus-vivobook-15-m1502ya-bq161-cool-silver.html,35999,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1665373119,,,,,2920328,Comfy KIDS >> Подгузники и пеленание >> Подгузники >> Подгузники Goo.N,goon,Одноразові підгузки Goo.N Premium Soft 5-9 кг 3(M) 64 шт. (F1010101-154),,699,1,https://comfy.ua/odnorazovye-podguzniki-goo-n-premium-soft-5-9-kg-3-m-64-sht-f1010101-154.html,799,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1665373120,,,,,2920327,Comfy KIDS >> Подгузники и пеленание >> Подгузники >> Подгузники Goo.N,goon,Одноразові підгузки Goo.N Premium Soft 3-6 кг 2(S) 70 шт. (F1010101-153),,699,1,https://comfy.ua/odnorazovye-podguzniki-goo-n-premium-soft-3-6-kg-2-s-70-sht-f1010101-153.html,799,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1665373121,,,,,2920330,Comfy KIDS >> Подгузники и пеленание >> Подгузники >> Подгузники Goo.N,goon,Одноразові підгузки-трусики Goo.N Premium Soft 9-14 кг 4(L) 44 шт. (F1010101-157),,749,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-goo-n-premium-soft-9-14-kg-4-l-44-sht-f1010101-157.html,849,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1665373122,,,,,2920329,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Goo.N,goon,Одноразові підгузки-трусики Goo.N Premium Soft 7-12 кг 3(M) 50 шт. (F1010101-156),,749,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-goo-n-premium-soft-7-12-kg-3-m-50-sht-f1010101-156.html,849,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1665373123,,,,,2920332,Comfy KIDS >> Подгузники и пеленание >> Подгузники >> Подгузники Goo.N,goon,Одноразові підгузки-трусики Goo.N Premium Soft 15-25 кг 6(2XL) 30 шт. (F1010101-159),,749,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-goo-n-premium-soft-15-25-kg-6-2xl-30-sht-f1010101-159.html,849,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1665373124,,,,,2920331,Comfy KIDS >> Подгузники и пеленание >> Подгузники >> Подгузники Goo.N,goon,Одноразові підгузки-трусики Goo.N Premium Soft 12-17 кг 5(XL) 36 шт. (F1010101-158),,749,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-goo-n-premium-soft-12-17-kg-5-xl-36-sht-f1010101-158.html,849,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1665373125,,,,,2920333,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Goo.N,goon,Одноразові підгузки-трусики Goo.N Premium Soft 18-30 кг 7(3XL) 22 шт. (F1010101-160),,849,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-goo-n-premium-soft-18-30-kg-7-3xl-22-sht-f1010101-160.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1665373914,6983394,ARTLINE,Моноблок ARTLINE Home GL41 (GL41v06),33515,2922927,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Home GL41 (GL41v06),,33515,1,https://comfy.ua/komp-juter-monoblok-artline-home-gl41-gl41v06.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1665374511,,,,,2874661,Детские товары >> Детская комната и безопасность,lionelo,Відеоняня Lionelo BabyLine 3.2 White,,4799,1,https://comfy.ua/videonjanja-lionelo-babyline-3-2-white.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1665374525,6509666,EINHELL,Набор к краскопульту EINHELL бак 800 мл+голова+3 форсунки (4260003),498,1591542,Инструменты и автотовары >> Электроинструменты >> Распылители краски >> Распылители краски Einhell,einhell,Ємнiсть для фарби Einhell набор: 800 мл + голова +3 форсунки (4260003),,499,1,https://comfy.ua/emkost-dlja-kraski-einhell-nabor-800-ml-golova-3-forsunki-4260003.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1665374750,,,,,2887113,Бытовая химия >> Средства для чистки техники,galax,Засіб для видалення жиру GALAX PowerClean індукційні плити та склокерамічні поверх. 500 г,,70,1,https://comfy.ua/sredstvo-dlja-udalenija-zhira-galax-powerclean-indukcionnye-plity-i-steklokeramicheskij-jetazh-500-g.html,104,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1665374768,6972459,PRO WASH,"""Гель для стирки PRO WASH Color"""" 4000г (4262396144690)""",190,2887107,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки ProWash,prowash,Гель для прання ProWash Color 4 л,,125,1,https://comfy.ua/gel-dlja-stirki-prowash-color-4-l.html,202,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1665375403,,,,,2874651,Детские товары >> Детская комната и безопасность >> Безопасность малыша >> Безопасность малыша Lionelo,lionelo,Загородження універсальне Lionelo Truus Slim Black Carbon Natural,,2799,1,https://comfy.ua/zagrazhdenie-universal-noe-lionelo-truus-slim-black-carbon-natural.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1665375404,,,,,2874653,Детские товары >> Детская комната и безопасность >> Безопасность малыша >> Безопасность малыша Lionelo,lionelo,Загородження універсальне Lionelo Truus Slim White Natural,,2799,1,https://comfy.ua/zagrazhdenie-universal-noe-lionelo-truus-slim-white-natural.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1665375480,,,,,2797483,Красота и здоровье >> Уход за полостью рта,fairywill,Іригатор Fairywill 5020E White,,1599,1,https://comfy.ua/irrigator-fairywill-5020e-white.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1665375482,,,,,2797481,Красота и здоровье >> Уход за полостью рта,fairywill,Іригатор Fairywill F30 White,,1649,1,https://comfy.ua/irrigator-fairywill-f30-white.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1665375653,6952710,HEINNER,Швабра HEINNER 600 мл Red (VN-GRH-LV-212R),529,2894296,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Vanora,vanora,Швабра Vanora VN-GRH-LV-212R,,529,1,https://comfy.ua/shvabra-vanora-vn-grh-lv-212r.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1665375788,6949309,NEO TOOLS,"""Набор инструментов Neo Tools 1/2"""", 1/4"""", 3/8"""", CrV 219 шт (10-076)""",7499,2779824,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Neo Tools,neo-tools,"""Набір торцевих голівок Neo Tools 1/2"""", 1/4"""", 3/8"""" 219 шт. (10-076)""",,10689,1,https://comfy.ua/nabor-torcevyh-golovok-neo-tools-1-2-1-4-3-8-219-sht-10-076.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1665375854,,,,,.2918959,Бытовая химия >> Средства для чистки техники,maxxter,Засіб для чищення універсальний Maxxter 250 мл (CS-PL250-01),,89,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-maxxter-250-ml-cs-pl250-01.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1665376236,,,,,.2911919,Техника для кухни >> Мелкая техника,eta,Хлібопічка ETA Delicca II 7149 90030,,5699,1,https://comfy.ua/hlebopech-eta-delicca-ii-7149-90030.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1665376287,,,,,2908784,Красота и здоровье >> Уход за полостью рта,oral-b,Насадка для зубної щітки Oral-B Braun Людина Павук EB10S 2 шт,,369,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oral-b-braun-chelovek-pauk-eb10s-2-sht.html,449,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1665376288,,,,,2908782,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oral-B,oral-b,Насадка для зубної щітки Oral-B Braun Sensitive Clean EB60X 2 шт,,739,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oral-b-braun-sensitive-clean-eb60x-2-sht.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1665376289,6974068,ORAL-B,Насадки ORAL-B Cross Action 2 шт белые (8006540847725),608,2908773,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oral-B,oral-b,Насадка для зубної щітки Oral-B Braun Cross Action EB50RX 2 шт,,469,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oral-b-braun-cross-action-eb50rx-2-sht.html,599,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1665376290,,,,,2908785,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oral-B,oral-b,Насадка для зубної щітки Oral-B Braun Cross Action EB50BRX 2 шт,,469,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oral-b-braun-cross-action-eb50brx-2-sht.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1665376291,6974067,ORAL-B,Сменные насадки ORAL-B Pro Precision Clean 4 шт (8006540847299),723,2908772,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oral-B,oral-b,Насадка для зубної щітки Oral-B Braun Precision Clean EB20RX 4 шт,,879,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oral-b-braun-precision-clean-eb20rx-4-sht.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1665376292,6974065,ORAL-B,Сменные насадки ORAL-B Pro Cross Action 4 шт (8006540847770),1014,2908780,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oral-B,oral-b,Насадка для зубної щітки Oral-B Braun Cross Action EB50RX 4 шт,,839,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oral-b-braun-cross-action-eb50rx-4-sht.html,999,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1665376293,6974064,ORAL-B,Сменные насадки ORAL-B Pro Sensitive Clean 4 шт (8006540847961),1014,2908771,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oral-B,oral-b,Насадка для зубної щітки Oral-B Braun Sensitive Clean EB60X 4 шт,,839,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oral-b-braun-sensitive-clean-eb60x-4-sht.html,999,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1665376294,6974062,ORAL-B,Сменные насадки ORAL-B Oral-B Pro Cross Action 4 шт Black (8006540847671),1014,2908769,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oral-B,oral-b,Насадка для зубної щітки Oral-B Braun Cross Action EB50BRX 4 шт,,839,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oral-b-braun-cross-action-eb50brx-4-sht.html,999,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1665376491,,,,,2908777,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oral-B,oral-b,Насадка для зубної щітки Oral-B Braun Precision Clean EB20RX 6 шт,,1599,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oral-b-braun-precision-clean-eb20rx-6-sht.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1665376492,6974069,ORAL-B,Насадки ORAL-B EB10S Человек-паук 4шт (8006540805237),1014,2908774,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oral-B,oral-b,Насадка для зубної щітки Oral-B Braun Людина Павук EB10S 4шт,,849,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oral-b-braun-chelovek-pauk-eb10s-4sht.html,999,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1665376493,6974074,ORAL-B,Насадки ORAL-B EB20RX Pro Precision Clean 8 шт (8006540847459),1229,2908778,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oral-B,oral-b,Насадка для зубної щітки Oral-B Braun Precision Clean EB20RX 8 шт,,1999,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oral-b-braun-precision-clean-eb20rx-8-sht.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1665376494,,,,,2908781,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oral-B,oral-b,Насадка для зубної щітки Oral-B Braun Cross Action EB50RX 6 шт,,1599,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oral-b-braun-cross-action-eb50rx-6-sht.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1665376495,6974077,ORAL-B,Насадки ORAL-B EB50RX Cross Action 8 шт (8006540847855),1723,2908779,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oral-B,oral-b,Насадка для зубної щітки Oral-B Braun Cross Action EB50RX 8 шт,,1999,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oral-b-braun-cross-action-eb50rx-8-sht.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1665377181,6976884,MOULINEX,Тостер MOULINEX Morning LT2M0810,1299,2913218,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Moulinex,moulinex,Тостер Moulinex LT2M0810,,1299,1,https://comfy.ua/toster-moulinex-lt2m0810.html,1699,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,2
