1668988782,column,column,column,column,2882477,________krosno,krosno,__krosno_balance_250__6__788975,column,467,1,httpscomfyuanaborbokalovkrosnobalance250ml6sht788975html,column,05112025_1945,column,__42,Фастів,0
1668988713,,,,,2884055,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno PURE 530 мл 6 шт. (832036),,719,1,https://comfy.ua/nabor-bokalov-krosno-pure-530-ml-6-sht-832036.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1668988732,,,,,2882457,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Чарка для горілки Krosno SHOT 35 мл 6 шт. (790053),,796,1,https://comfy.ua/rjumka-dlja-vodki-krosno-shot-25-ml-6-sht-790053.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1668988765,,,,,2882474,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Келих Krosno BALANCE 180 мл 6 шт. (789095),,457,1,https://comfy.ua/bokal-krosno-balance-180-ml-6-sht-789095.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1668988778,,,,,2882485,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno CHILL-1 500 мл 6 шт. (788722),,845,1,https://comfy.ua/nabor-bokalov-krosno-chill-1-500-ml-6-sht-788722.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1668988782,,,,,2882477,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno BALANCE 250 мл 6 шт. (788975),,467,1,https://comfy.ua/nabor-bokalov-krosno-balance-250-ml-6-sht-788975.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1668988784,,,,,2882484,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Krosno,krosno,Набір келихів Krosno CHILL-2 500 мл 6 шт. (788944),,862,1,https://comfy.ua/nabor-bokalov-krosno-chill-2-500-ml-6-sht-788944.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1668988808,,,,,2882459,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Чарка для горілки Krosno KRISTA 50 мл 6 шт. (789132),,890,1,https://comfy.ua/rjumka-dlja-vodki-krosno-krista-50-ml-6-sht-789132.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1668988816,,,,,2882473,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Келих Krosno PURE 170 мл 6 шт (788968),,910,1,https://comfy.ua/bokal-krosno-pure-170-ml-6-sht-788968.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1668988828,,,,,2882482,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno SPLENDOUR 400 мл 6 шт. (788616),,929,1,https://comfy.ua/nabor-bokalov-krosno-splendour-400-ml-6-sht-788616.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1668988837,,,,,2882489,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno PURE 250 мл 6 шт. (789347),,520,1,https://comfy.ua/nabor-bokalov-krosno-pure-250-ml-6-sht-789347.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1668988849,,,,,2884034,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno PURE 350 мл 6 шт. (788104),,996,1,https://comfy.ua/nabor-bokalov-krosno-pure-350-ml-6-sht-788104.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1668988857,,,,,2884075,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno AVANT-GARDE 420 мл 4 шт. (909714),,1031,1,https://comfy.ua/nabor-bokalov-krosno-avant-garde-420-ml-4-sht-909714.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1668988869,,,,,2882481,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno SPLENDOUR 500 мл 6 шт. (788609),,1035,1,https://comfy.ua/nabor-bokalov-krosno-splendour-500-ml-6-sht-788609.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1668988878,,,,,2884033,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno VENEZIA 200 мл 6 шт. (788098),,633,1,https://comfy.ua/nabor-bokalov-krosno-venezia-200-ml-6-sht-788098.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1669009140,,,,,2886399,"Детские товары >> Уход, купание и гигиена",babyono,Ваги для дітей BabyOno до 30 кг Сірий (1079),,1285,1,https://comfy.ua/vesy-dlja-detej-babyono-do-30-kg-seryj-1079.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1669009143,,,,,2886396,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша BabyOno",babyono,Аспіратор назальний дитячий BabyOno з LCD екраном та мелодіями (1470),,1355,1,https://comfy.ua/aspirator-nazal-nyj-detskij-babyono-s-lcd-jekranom-i-melodijami-1470.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1669020021,,,,,2884076,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno AVANT-GARDE 180 мл 4 шт. (909721),,1107,1,https://comfy.ua/nabor-bokalov-krosno-avant-garde-180-ml-4-sht-909721.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1669020022,,,,,2884043,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno KRISTA 155 мл 6 шт. (788296),,613,1,https://comfy.ua/nabor-bokalov-krosno-krista-155-ml-6-sht-788296.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1669020023,,,,,2882487,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno BALANCE 480 мл 6 шт. (788630),,615,1,https://comfy.ua/nabor-bokalov-krosno-balance-480-ml-6-sht-788630.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1669020024,,,,,2884027,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno KRISTA 150 мл 6 шт. (788029),,617,1,https://comfy.ua/nabor-bokalov-krosno-krista-150-ml-6-sht-788029.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
