1124082757,column,column,column,column,1949681,Посуда >> Для напитков,vincent,_vincent_living_coral_035__vc1527lc,column,259,1,httpscomfyuatermokruzhkavincentlivingcoral035lvc1527lchtml,column,05112025_1904,column,__42,Фастів,0
1136043044,,,,,1962920,Детские товары >> Детская комната и безопасность,tega-baby,Ящик для іграшок Tega Baby Темно-жовтий (PW-001-124),,718,1,https://comfy.ua/catalog/product/view/id/3651293,837,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1136048550,,,,,1962919,Детские товары >> Детская комната и безопасность,tega-baby,Ящик для іграшок Tega Baby Темно-рожевий (PW-001-123),,718,1,https://comfy.ua/catalog/product/view/id/3651243,837,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1136062262,,,,,1962680,Детские товары >> Игрушки,orange,М'яка іграшка Orange Lucky Mimi: Любов та фламінго (LD5/049),,1119,1,https://comfy.ua/catalog/product/view/id/3651273,,06.11.2025 0:49,,"вул. Соборна, 42",Фастів,0
1136222237,,,,,1962923,Детские товары >> Детская комната и безопасность,tega-baby,Ящик для іграшок Tega Baby Сірий (PW-001-106),,718,1,https://comfy.ua/catalog/product/view/id/3651413,837,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1136347605,,,,,.1872619,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Тримач для мобільного пристрою PowerPlant HB390021,,1499,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-powerplant-hb390021.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1136347613,,,,,.1872620,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Тримач для мобільного пристрою PowerPlant HB390038,,1199,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-powerplant-hb390038.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1136659827,,,,,1962930,"Дом, отдых и зоотовары >> Текстиль",tigres,Подушка декоративна дитяча Tigres Панда Be mine (ПД-0351),,275,1,https://comfy.ua/catalog/product/view/id/3651903,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1136775417,,,,,1962926,"Дом, отдых и зоотовары >> Текстиль",tigres,Подушка декоративна дитяча Tigres Панда Today is your day (ПД-0301),,295,1,https://comfy.ua/catalog/product/view/id/3651823,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1137219801,,,,,1962674,Детские товары >> Игрушки,orange,М'яка іграшка Orange Lucky Mimi: Полуничне морозиво (LD4/084),,1199,1,https://comfy.ua/catalog/product/view/id/3652443,,06.11.2025 0:35,,"вул. Соборна, 42",Фастів,0
1137416446,,,,,1962676,Детские товары >> Игрушки,orange,М'яка іграшка Orange Lucky Yoyo: Елегантність (LD2/040),,1149,1,https://comfy.ua/catalog/product/view/id/3652113,,06.11.2025 0:18,,"вул. Соборна, 42",Фастів,0
1138223315,,,,,1962931,"Дом, отдых и зоотовары >> Текстиль",tigres,Подушка декоративна дитяча Tigres Зайчик You are beautiful (ПД-0302 ),,295,1,https://comfy.ua/catalog/product/view/id/3652843,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1139088709,,,,,1840776,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",hp,Сумка для ноутбуку HP Prelude 17.3'' Grey (34Y64AA),,1199,1,https://comfy.ua/sumka-dlja-noutbuka-hp-prelude-17-3-grey-34y64aa.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1139740140,,,,,.1681761,Телевизоры и мультимедиа >> Аксессуары для ТВ,sonorous,Тумба для телевізора Sonorous STA 161I-WHT-WHT-BS,,42549,1,https://comfy.ua/kreplenie-dlja-televizora-sonorous-sta-161i-wht-wht-bs.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1139771649,,,,,.1958436,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,"Картридж для лазерних принтерів/БФП Canon LBP325x, MF542x/543x Cartridge 056H Black (21K) (3008C002AA)",,13419,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-canon-lbp325x-mf542x-543x-cartridge-056h-black-21k-3008c002aa.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1139783502,7092458,RUIJIE,Wi-Fi роутер RUIJIE RG-EW1200G PRO,2649,1951195,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Ruijie",ruijie,Маршрутизатор інтернет WiFi5 Ruijie Reyee RG-EW1200G PRO,,2399,1,https://comfy.ua/marshrutizator-internet-wifi5-ruijie-reyee-rg-ew1200g-pro.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1145838423,6785424,DRAZICE,Бойлер DRAZICE OKC 125,26149,1901881,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Drazice,drazice,Водонагрівач Drazice OKC 125,,26149,1,https://comfy.ua/vodonagrevatel-drazice-okc-125.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1145844864,,,,,1962680,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Orange,orange,М'яка іграшка Orange Lucky Mimi: Любов та фламінго (LD5/049),,1119,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-orange-lucky-mimi-ljubov-i-flamingo-ld5-049.html,,06.11.2025 0:49,,"вул. Соборна, 42",Фастів,0
1145845362,,,,,1873477,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Duality (укр) (30958),,55,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-5-7-let-strateg-duality-ukr-30958.html,,06.11.2025 0:58,,"вул. Соборна, 42",Фастів,0
1145876271,6785444,DRAZICE,Бойлер DRAZICE OKC 80,25719,1901879,Техника для дома >> Крупная техника,drazice,Водонагрівач Drazice OKC 80,,25719,1,https://comfy.ua/vodonagrevatel-drazice-okc-80.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1145895554,,,,,1962931,Дом и отдых >> Текстиль >> Подушки >> Подушки Tigres,tigres,Подушка декоративна дитяча Tigres Зайчик You are beautiful (ПД-0302 ),,295,1,https://comfy.ua/podushka-dekorativnaja-detskaja-tigres-zajchik-you-are-beautiful-pd-0302.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1145906843,,,,,1962923,Детские товары >> Детская комната и безопасность,tega-baby,Ящик для іграшок Tega Baby Сірий (PW-001-106),,718,1,https://comfy.ua/jaschik-dlja-igrushek-tega-baby-seryj-pw-001-106.html,837,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1145907370,,,,,.1962928,"Дом, отдых и зоотовары >> Текстиль",tigres,Подушка декоративна дитяча Tigres Валентинка Wings (ПД-0393),,265,1,https://comfy.ua/podushka-dekorativnaja-detskaja-tigres-valentinka-wings-pd-0393.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1145910028,,,,,1962670,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Orange,orange,М'яка іграшка Orange Lucky Yoyo: Чорничне морозиво (LD2/080),,1199,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-orange-lucky-yoyo-chernichnoe-morozhenoe-ld2-080.html,,06.11.2025 0:44,,"вул. Соборна, 42",Фастів,0
1145917819,,,,,1962922,Детские товары >> Детская комната и безопасность,tega-baby,Ящик для іграшок Tega Baby Синій (PW-001-165),,718,1,https://comfy.ua/jaschik-dlja-igrushek-tega-baby-sinij-pw-001-165.html,837,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1145918582,,,,,1962930,Дом и отдых >> Текстиль >> Подушки >> Подушки Tigres,tigres,Подушка декоративна дитяча Tigres Панда Be mine (ПД-0351),,275,1,https://comfy.ua/podushka-dekorativnaja-detskaja-tigres-panda-be-mine-pd-0351.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1145933035,,,,,1962921,Детские товары >> Детская комната и безопасность,tega-baby,Ящик для іграшок Tega Baby Темно-синій (PW-001-164),,718,1,https://comfy.ua/jaschik-dlja-igrushek-tega-baby-temno-sinij-pw-001-164.html,837,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1145933707,,,,,1962926,Дом и отдых >> Текстиль >> Подушки >> Подушки Tigres,tigres,Подушка декоративна дитяча Tigres Панда Today is your day (ПД-0301),,295,1,https://comfy.ua/podushka-dekorativnaja-detskaja-tigres-panda-today-is-your-day-pd-0301.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1145995154,,,,,1962920,Детские товары >> Детская комната и безопасность,tega-baby,Ящик для іграшок Tega Baby Темно-жовтий (PW-001-124),,718,1,https://comfy.ua/jaschik-dlja-igrushek-tega-baby-temno-zheltyj-pw-001-124.html,837,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
