1258001323,,,,,1973929,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все HP >> Серия HP Pavilion",hp,Ноутбук ігровий HP Pavilion Gaming 15-ec2023ua (562C0EA) Shadow Black,,38873,1,https://comfy.ua/noutbuk-igrovoj-hp-pavilion-gaming-15-ec2023ua-562c0ea-shadow-black.html,43999,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1258001328,7128359,FREESTYLE,Наушники FREESTYLE FH1016 BLACK (FH1016B),125,1974515,"Аудио, фото и видео >> Наушники >> Наушники FREESTYLE",freestyle,Навушники вкладиші дротові FREESTYLE IN-EAR HeadPhones Black (FH1016B),,125,1,https://comfy.ua/naushniki-vkladyshi-provodnye-freestyle-in-ear-headphones-black-fh1016b.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1258001344,6785325,JANTAR,Духовой шкаф JANTAR GSK 6015 BL,8799,1978058,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Jantar,jantar,Духова шафа електрична JANTAR GSK 6015 BL,,8799,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-eleyus-jantar-gsk-6015-bl.html,11519,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1258011778,,,,,.1971708,Инструменты и автотовары >> Электроинструменты,king-tony,Гайковерт пневматичний KING TONY 1'' (33841-180),,45395,1,https://comfy.ua/gajkovert-pnevmaticheskij-king-tony-1-33841-180.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
1258013416,6740803,TRAMONTINA,Нож для овощей TRAMONTINA Polywood 7.6 см (21118/173),135,1944398,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для овочів Tramontina Polywood 76 мм (21118/173),,148,1,https://comfy.ua/nozh-dlja-ovoschej-tramontina-polywood-76-mm-21118-173.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1258015545,6799124,COOPER&HUNTER,Кондиционер COOPER&HUNTER CH-S18FTXLA2-NG,43299,1974369,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Cooper&Hunter,cooperhunter,Кондиціонер спліт Cooper&Hunter CH-S18FTXLA2-NG,,43299,1,https://comfy.ua/kondicioner-split-cooper-hunter-ch-s18ftxla2-ng.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1258015913,6796809,TEFAL,Набор сковородок TEFAL Unlimited Ingenio 24+28 см(L7638942),3499,1961317,Посуда >> Для приготовления >> Посуда со съемной ручкой Ingenio >> Посуда со съемной ручкой Ingenio Tefal,tefal,Набір сковорід зі знімною ручкою Tefal L7638942 Ingenio Unlimited 3 пр,,3499,1,https://comfy.ua/nabor-skovorod-so-s-emnoj-ruchkoj-tefal-l7639142-ingenio-unlimited-3-pr.html,4999,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1258016331,6799125,COOPER&HUNTER,Кондиционер COOPER&HUNTER CH-S24FTXLA2-NG,55899,1974370,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Cooper&Hunter,cooperhunter,Кондиціонер спліт Cooper&Hunter CH-S24FTXLA2-NG,,55899,1,https://comfy.ua/kondicioner-split-cooper-hunter-ch-s24ftxla2-ng.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1258018105,6740824,TRAMONTINA,Нож для мяса TRAMONTINA Churrasco Black 25.3 см (22841/110),1765,1944402,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для м'яса Tramontina Churrasco Black 253 мм (22841/110),,1099,1,https://comfy.ua/nozh-dlja-mjasa-tramontina-churrasco-black-253-mm-22841-110.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1258018106,6740823,TRAMONTINA,Нож для мяса TRAMONTINA Churrasco Black 25.3 см (22844/110),1785,1944401,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для м'яса Tramontina Churrasco Black 253 мм (22844/110),,1099,1,https://comfy.ua/nozh-dlja-mjasa-tramontina-churrasco-black-253-mm-22844-110.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1258018173,,,,,1977918,Детские товары >> Игрушки,tobot,Машинка-трансформер TOBOT Детективи Галактики Сторм Джо (301107),,2450,1,https://comfy.ua/catalog/product/view/id/3751863,3906,06.11.2025 0:50,,"вул. Соборна, 42",Фастів,0
1258018582,6824683,VENTOLUX,Вытяжка VENTOLUX MODENA 60 BK (700) PB,3699,1806435,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Ventolux,ventolux,Витяжка декоративна Ventolux MODENA 60 BK (700) PB,,3699,1,https://comfy.ua/vytjazhka-dekorativnaja-ventolux-modena-60-bk-700-pb.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1258019128,6740825,TRAMONTINA,Нож для нарезки TRAMONTINA Churrasco Black 30.5 см (22842/112),1174,1944403,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж кухонний Tramontina Churrasco Black 305 мм (22842/112),,1169,1,https://comfy.ua/nozh-kuhonnyj-tramontina-churrasco-black-305-mm-22842-112.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1258020620,,,,,1973651,Техника для кухни >> Мелкая техника,prime-technics,Блендер стаціонарний Prime Technics PTB 715 GW,,1849,1,https://comfy.ua/catalog/product/view/id/3752493,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1258031159,7088156,DE BUYER,Форма DE BUYER 24 см (4844.24),1059,1073419,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко de Buyer,de-buyer,Форма для приготування de Buyer 4844.24,,1059,1,https://comfy.ua/forma-dlja-prigotovlenija-de-buyer-4844-24.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1258037665,,,,,1971702,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты KING TONY,king-tony,Гайковерт пневматичний KING TONY 1/2'' (33411-040),,9965,1,https://comfy.ua/gajkovert-pnevmaticheskij-king-tony-1-2-33411-040.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1258039358,6714270,TRAMONTINA,Кастрюля TRAMONTINA Trento 4 л Black (20805/024),5689,1945953,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Tramontina,tramontina,Каструля Tramontina Trento 4 л (20805/024),,5689,1,https://comfy.ua/kastrjulja-tramontina-trento-4-l-20805-024.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1258039372,6747186,TRAMONTINA,Кастрюля TRAMONTINA Trento 4.1 л Black (20804/028),5989,1945957,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Tramontina,tramontina,Каструля Tramontina Trento 4.1 л (20804/028),,5989,1,https://comfy.ua/kastrjulja-tramontina-trento-4-1-l-20804-028.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1258039373,6747187,TRAMONTINA,Кастрюля TRAMONTINA Trento 6 л Black (20805/028),6699,1945958,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Tramontina,tramontina,Каструля Tramontina Trento 6 л (20805/028),,6699,1,https://comfy.ua/kastrjulja-tramontina-trento-6-l-20805-028.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1258054481,6740828,TRAMONTINA,Нож поварской TRAMONTINA Plenus 15.2 см Light Grey (23426/136),177,1944406,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж кухонний Tramontina Plenus Light Grey Chef 152 мм (23426/136),,177,1,https://comfy.ua/nozh-kuhonnyj-tramontina-plenus-light-grey-chef-152-mm-23426-136.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1258069460,6740805,TRAMONTINA,Нож для стейков TRAMONTINA Polywood 12.7 см (21122/175),192,1944400,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для м'яса Tramontina Polywood 127 мм (21122/175),,192,1,https://comfy.ua/nozh-dlja-mjasa-tramontina-polywood-127-mm-21122-175.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1258071079,6747184,TRAMONTINA,Сковорода TRAMONTINA Trento 26 см Black (20836/026),2822,1945956,Посуда >> Для приготовления >> Сковороды >> Сковороды Tramontina,tramontina,Сковорода універсальна Tramontina Trento 26 см (20836/026),,2822,1,https://comfy.ua/skovoroda-universal-naja-tramontina-trento-26-sm-20836-026.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1258071533,,,,,1970756,Техника для дома >> Мелкая техника,miele,Система для прасування Miele B 4312 Fashion Master,,88799,1,https://comfy.ua/catalog/product/view/id/3753533,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1258082612,6799122,COOPER&HUNTER,Кондиционер COOPER&HUNTER CH-S09FTXLA2-NG,28599,1974371,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Cooper&Hunter,cooperhunter,Кондиціонер спліт Cooper&Hunter CH-S09FTXLA2-NG,,28599,1,https://comfy.ua/kondicioner-split-cooper-hunter-ch-s09ftxla2-ng.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1258082612,7135901,COOPER&HUNTER,Кондиционер COOPER&HUNTER CH-S09FTXLA2-NG WiFi,28599,1974371,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Cooper&Hunter,cooperhunter,Кондиціонер спліт Cooper&Hunter CH-S09FTXLA2-NG,,28599,1,https://comfy.ua/kondicioner-split-cooper-hunter-ch-s09ftxla2-ng.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1258082613,6876629,COOPER&HUNTER,Кондиционер COOPER&HUNTER CH-S12FTXE2-NG (WI-FI),25756,1974368,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Cooper&Hunter,cooperhunter,Кондиціонер спліт Cooper&Hunter CH-S12FTXLA2-NG,,31099,1,https://comfy.ua/kondicioner-split-cooper-hunter-ch-s12ftxla2-ng.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
