1262177997,column,column,column,column,1984494,_____lego__lego_lego,lego,_lego_duplo_town___10967,column,316,1,httpscomfyuakonstruktorlegoduplotownpolicejskijmotocikl10967html,459,05112025_2026,column,__42,Фастів,0
1268432587,6804320,DARIO,Блендер DARIO DB0532 Вlack (РН017227),1118,1897884,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Dario,dario,Блендер заглибний Dario DB0532_Black,,1119,1,https://comfy.ua/blender-pogruzhnoj-dario-db0532-black.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1268486272,,,,,2000823,Детские товары >> Прогулки и поездки,peg-perego,Адаптер для автокрісла Peg-Perego IKCS0020,,1999,1,https://comfy.ua/catalog/product/view/id/3872873,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1268682995,7083004,HAUCK,Дополнительное зеркало HAUCK Watch Me 2 (61838-7),360,1997698,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок HAUCK,hauck,Дзеркало для контролю за дитиною HAUCK Watch Me 2,,360,1,https://comfy.ua/zerkalo-dlja-kontrolja-za-rebenkom-hauck-watch-me-2.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1268683006,,,,,.2000210,Детские товары >> Прогулки и поездки,lionelo,Автокрісло Lionelo Aart Beige Latte,,6699,1,https://comfy.ua/avtokreslo-lionelo-aart-beige-latte.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
1268683010,,,,,1997696,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок HAUCK,hauck,Шторка сонцезахисна для автокрісла HAUCK Cloud Me 2,,300,1,https://comfy.ua/shtorka-solncezaschitnaja-dlja-avtokresla-hauck-cloud-me-2.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1268683014,,,,,1997695,Детские товары >> Прогулки и поездки,hauck,Шторка сонцезахисна для автокрісла HAUCK Shade Me 2,,840,1,https://comfy.ua/shtorka-solncezaschitnaja-dlja-avtokresla-hauck-shade-me-2.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1268683016,,,,,2000823,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Peg-Perego,peg-perego,Адаптер для автокрісла Peg-Perego IKCS0020,,1999,1,https://comfy.ua/adapter-dlja-avtokresla-peg-perego-ikcs0020.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1268683017,,,,,2000459,Comfy KIDS >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие IHeartArt,iheartart,Набір для творчості мікс IHeartArt Гліттер-колаж (8003),,599,1,https://comfy.ua/nabor-dlja-tvorchestva-miks-iheartart-glitter-kollazh-8003.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1281120141,6663620,ARDESTO,Сковорода ARDESTO Gemini Gourmet 24 см (AR1924GB),419,1735805,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto AR1924GB Gemini Gourmet 24 см,,639,1,https://comfy.ua/skovoroda-universal-naja-ardesto-ar1924gb-gemini-gourmet-24-sm.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1307321563,6810717,GOPRO,Чехол GOPRO Sleeve&Lanyard Blue для HERO9 Black (ADSST-003),899,1998524,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для экшн-камер >> Аксессуары для экшн-камер GoPro,gopro,Чохол для екшн-камери GoPro Sleeve&Lanyard Blue for HERO9 Black (ADSST-003),,899,1,https://comfy.ua/chehol-dlja-jekshn-kamery-gopro-sleeve-lanyard-blue-for-hero9-black-adsst-003.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1307321564,6810722,GOPRO,Ручка-поплавок GOPRO The Handler Floating Hand Grip (AFHGM-003),1699,1832217,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для экшн-камер >> Аксессуары для экшн-камер GoPro,gopro,Поплавок для екшн-камери GoPro The Handler Floating Hand Grip (AFHGM-003),,1699,1,https://comfy.ua/poplavok-dlja-jekshn-kamery-gopro-the-handler-floating-hand-grip-afhgm-003.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1307321891,,,,,2007214,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Підсилювач бездротового сигнала TP-Link RE305,,1499,1,https://comfy.ua/usilitel-besprovodnogo-signala-tp-link-re305.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1307321892,,,,,2007215,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Підсилювач бездротового сигнала TP-Link TL-WA860RE,,899,1,https://comfy.ua/usilitel-besprovodnogo-signala-tp-link-tl-wa860re.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1309034788,,,,,2000838,"Аудио, фото и видео >> Наушники",hoco,Навушники вкладиші дротові HOCO M1 Pro White,,169,1,https://comfy.ua/naushniki-vkladyshi-provodnye-hoco-m1-pro-white.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1309034789,6803820,BAMIX,Блендер BAMIX Superbox М200 Cream (1050.022),23495,2000846,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix Superbox М200 (1050.022),,23495,1,https://comfy.ua/blender-pogruzhnoj-bamix-superbox-m200-1050-022.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1309737002,6794401,PROMATE,Наушники PROMATE SIMBA ONYX (simba.onyx),899,2000000,"Аудио, фото и видео >> Наушники >> Наушники Promate",promate,Навушники накладні дротові Promate Simba Onyx,,899,1,https://comfy.ua/naushniki-nakladnye-provodnye-promate-simba-onyx.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1309737008,6794400,PROMATE,Наушники PROMATE SIMBA EMERALD (simba.emerald),899,1999999,"Аудио, фото и видео >> Наушники >> Наушники Promate",promate,Навушники накладні дротові Promate Simba Emerald,,799,1,https://comfy.ua/naushniki-nakladnye-provodnye-promate-simba-emerald.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1309849576,,,,,1998093,Красота и здоровье >> Уход за полостью рта,braun,Насадка для зубної щітки Braun Oral-B Ніжний Догляд iO RB 4шт,,1299,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-braun-oral-b-nizhnij-dogljad-io-rb-4sht.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1309880737,6910660,EDLER,Миксер EDLER EDHM-3040,479,1867386,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Edler,edler,Міксер Edler EDHM-3040,,479,1,https://comfy.ua/mikser-edler-edhm-3040.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1309978953,6924158,HANSA,Посудомоечная машина HANSA ZWM556WH,10999,1867479,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Hansa,hansa,Посудомийна машина Hansa ZWM556WH,,10999,1,https://comfy.ua/posudomoechnaja-mashina-nastol-naja-hansa-zwm556wh.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1309978954,6924156,HANSA,Посудомоечная машина HANSA ZWM556BH,10999,1867483,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Hansa,hansa,Посудомийна машина Hansa ZWM556BH,,10999,1,https://comfy.ua/posudomoechnaja-mashina-nastol-naja-hansa-zwm556bh.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1309978955,6971489,HANSA,Посудомоечная машина HANSA ZWM556SH,10999,1867482,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Hansa,hansa,Посудомийна машина Hansa ZWM556SH,,10999,1,https://comfy.ua/posudomoechnaja-mashina-nastol-naja-hansa-zwm556sh.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1310466847,,,,,1978056,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Berghoff,berghoff,Форма для приготування Berghoff 3990005 GEM 6.5х6.5х2.5 см,,749,1,https://comfy.ua/forma-dlja-prigotovlenija-berghoff-3990005-gem-6-5h6-5h2-5-sm.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1310466853,7088160,DE BUYER,Форма DE BUYER 28 см (4844.28),1069,1978545,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко de Buyer,de-buyer,Форма для випічки de Buyer 28 см 4844.28,,1335,1,https://comfy.ua/forma-dlja-vypechki-de-buyer-28-sm-4844-28.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1310784789,,,,,2010523,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы BenQ",benq,Монітор BenQ PD3420Q Dark Grey,,31379,1,https://comfy.ua/monitor-benq-pd3420q-dark-grey.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1312248699,6907181,FIRST,Электротурка FIRST FA-5450-4,888,2009644,"Посуда >> Для напитков >> Кофеварки гейзерные, турки >> Кофеварки гейзерные, турки First",first,Кавоварка гейзерна First FA-5450-4,,909,1,https://comfy.ua/kofevarka-gejzernaja-first-fa-5450-4.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1313852136,6775620,GRUNHELM,Электрочайник GRUNHELM EKS-1864SW,469,1909612,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Grunhelm,grunhelm,Електричний чайник Grunhelm EKS-1864SW,,469,1,https://comfy.ua/jelektricheskij-chajnik-grunhelm-eks-1864sw.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1313852138,6542775,FIRST,Блендер FIRST FA-5241-3,1829,1514090,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры First,first,Блендер стаціонарний First FA-5241-3,,1829,1,https://comfy.ua/blender-stacionarnyj-first-fa-5241-3.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1313929693,,,,,.2000122,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",redragon,Рюкзак для ноутбуку Redragon Skywalker GB-93 (70470),,1305,1,https://comfy.ua/rjukzak-dlja-noutbuka-redragon-skywalker-gb-93-70470.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
1313929768,,,,,1998547,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,"Кабель HDMI UGREEN HDMI M - M, 2.0 м, V2.0 Cafule 4K, HD104 Black (10107)",,299,1,https://comfy.ua/kabel-hdmi-ugreen-hdmi-m-m-2-0-m-v2-0-cafule-4k-hd104-black-10107.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1313929772,,,,,1998548,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,"Кабель HDMI UGREEN HDMI M - M, 3.0 м, V2.0 Cafule 4K, HD104 Black (10108)",,349,1,https://comfy.ua/kabel-hdmi-ugreen-hdmi-m-m-3-0-m-v2-0-cafule-4k-hd104-black-10108.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1313929773,,,,,1998552,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",ugreen,Хаб USB UGREEN CR106 4-port 1м USB 2.0 Black (20277),,399,1,https://comfy.ua/hab-usb-ugreen-cr106-4-port-1m-usb-2-0-black-20277.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1313929774,,,,,1998551,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,"Кабель HDMI UGREEN HDMI M - M, 3.0 м, V2.0 Cafule 4K HD119 (40102)",,449,1,https://comfy.ua/kabel-hdmi-ugreen-hdmi-m-m-3-0-m-v2-0-cafule-4k-hd119-40102.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1313929775,,,,,1998549,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,"Кабель HDMI UGREEN HDMI M - M, 5.0 м, V2.0 Cafule 4K, HD104 Black (10109)",,499,1,https://comfy.ua/kabel-hdmi-ugreen-hdmi-m-m-5-0-m-v2-0-cafule-4k-hd104-black-10109.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1314072715,,,,,2012548,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",hp,Ноутбук HP Pavilion 14-dv0002ua (34Q59EA) White,,31634,1,https://comfy.ua/noutbuk-hp-pavilion-14-dv0002ua-34q59ea-white.html,36999,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1314482708,6907254,FIRST,Фен FIRST FA-5653-5,795,2010518,Красота и здоровье >> Уход за волосами >> Фены >> Фены First,first,Фен First FA-5653-5,,795,1,https://comfy.ua/fen-first-fa-5653-5.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1314483896,,,,,2000837,Посуда >> Нарезка и измельчение,berghoff,Ножиці кухонні Berghoff Redwood 25 см (1307161),,949,1,https://comfy.ua/nozhnicy-kuhonnye-berghoff-redwood-25-sm-1307161.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1314483897,6987472,WUESTHOF,Ножницы кухонные WUESTHOF 20 см (1059594901),4439,1978071,Посуда >> Нарезка и измельчение >> Ножницы кухонные >> Ножницы кухонные Wuesthof,wuesthof,Ножиці кухонні Wuesthof 21 см (1059594901),,4439,1,https://comfy.ua/nozhnicy-kuhonnye-wuesthof-21-sm-1059594901.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1314496126,,,,,2002026,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Перехідник HDMI UGREEN HDMI 2.0 4K@60Hz F/F Black (20107),,149,1,https://comfy.ua/perehodnik-hdmi-ugreen-hdmi-2-0-4kat60hz-f-f-black-20107.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
