1327718913,column,column,column,column,1999951,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,__cablexpert_ftp_cat6_3__gray_ppb63m,column,199,1,httpscomfyuakabelpatchkordcablexpertftpcat63mgrayppb63mhtml,column,05112025_1845,column,__42,Фастів,0
1331940495,6852227,GRANADO,Вытяжка GRANADO Palamos 3603-700 Inox,4343,2031332,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Palamos 3603-700 Inox,,4590,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-palamos-3603-700-inox.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1331940496,6852225,GRANADO,Вытяжка GRANADO Palamos 3603-700 Black,4589,2031333,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Palamos 3603-700 Black,,4589,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-palamos-3603-700-black.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1331940506,6852220,GRANADO,Вытяжка GRANADO Telde 602-700 White (GCH226255),2990,2031318,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 602-700 White,,2990,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-602-700-white.html,3990,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1331940509,6852221,GRANADO,Вытяжка GRANADO Telde 602-700 Inox (GCH236277),2990,2031319,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 602-700 Inox,,2990,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-602-700-inox.html,3990,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1331941821,6852213,GRANADO,Вытяжка GRANADO Telde 603-700 Black (GCH246311),3989,2031320,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 603-700 Black,,3989,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-603-700-black.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1331941823,6852214,GRANADO,Вытяжка GRANADO Telde 603-700 White (GCH256355),3989,2031321,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 603-700 White,,3989,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-603-700-white.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1331941829,6852215,GRANADO,Вытяжка GRANADO Telde 603-700 Inox (GCH266377),3989,2031322,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 603-700 Inox,,3989,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-603-700-inox.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1331941895,6852217,GRANADO,Вытяжка GRANADO Telde 603-700 White Glass (GCH126355),4990,2031315,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 603-700 White Glass,,4990,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-603-700-white-glass.html,5590,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
1331941896,6852216,GRANADO,Вытяжка GRANADO Telde 603-700 Black Glass (GCH116311),4990,2031314,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 603-700 Black Glass,,4990,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-603-700-black-glass.html,5590,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1331941901,6852218,GRANADO,Вытяжка GRANADO Telde 603-700 Inox Black Glass (GCH136371),4990,2031316,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 603-700 Inox Black Glass,,4990,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-603-700-inox-black-glass.html,5590,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1331941911,6852235,GRANADO,Вытяжка GRANADO Vivares 603-750 Black Glass (GCH326311),4990,2031324,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка декоративна GRANADO Vivares 603-750 Black Glass,,4990,1,https://comfy.ua/vytjazhka-dekorativnaja-granado-vivares-603-750-black-glass.html,5990,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1331943890,6852243,GRANADO,Варочная поверхность GRANADO GGH 61-114 Inox (GGH1611147),9589,2031336,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели GRANADO,granado,Варильна поверхня газова GRANADO GGH 61-114 Inox,,9589,1,https://comfy.ua/varochnaja-panel-gazovaja-granado-ggh-61-114-inox.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1331943896,6852236,GRANADO,Вытяжка GRANADO Vivares 613-1100 Black Glass,5990,2031323,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка декоративна GRANADO Vivares 613-1100 Black Glass,,5990,1,https://comfy.ua/vytjazhka-dekorativnaja-granado-vivares-613-1100-black-glass.html,8590,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1332190544,6806817,INDESIT,Стиральная машина INDESIT OMTWSA 61052 W UA,11499,1613430,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Indesit,indesit,Пральна машина Indesit OMTWSA 61052 W UA,,11499,1,https://comfy.ua/stiral-naja-mashina-indesit-omtwsa-61052-w-ua.html,12399,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1332302359,6805969,ELECTROLUX,Пылесос ELECTROLUX ECC21-2IW,3333,1887796,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Electrolux,electrolux,Пилосос для сухого прибирання без мішка Electrolux ECC21-2IW,,3335,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-electrolux-ecc21-2iw.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1332365839,6852248,GRANADO,Духовой шкаф GRANADO GEO 62-1310 Black (GEO162131011),12590,2031335,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы GRANADO,granado,Духова шафа електрична GRANADO GEO 62-1310 Black,,12590,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-granado-geo-62-1310-black.html,14590,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1332525752,6803361,COOPER&HUNTER,Кондиционер COOPER&HUNTER CH-S24FTXQ2-NG,54199,1997040,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Cooper&Hunter,cooperhunter,Кондиціонер спліт Cooper&Hunter CH-S24FTXQ2-NG,,54199,1,https://comfy.ua/kondicioner-split-cooper-hunter-ch-s24ftxq2-ng.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1332525753,6803360,COOPER&HUNTER,Кондиционер COOPER&HUNTER Veritas CH-S07FTXQ2-NG,22899,1997039,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Cooper&Hunter,cooperhunter,Кондиціонер спліт Cooper&Hunter CH-S07FTXQ2-NG,,22899,1,https://comfy.ua/kondicioner-split-cooper-hunter-ch-s07ftxq2-ng.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1332527218,,,,,2043135,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Lionelo,lionelo,Біговел Lionelo Bart Air Pink Violet,,4499,1,https://comfy.ua/begovel-lionelo-bart-air-pink-violet.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
