810962007,column,column,column,column,1777562,Инструменты и автотовары >> Ручные инструменты,stal,___18___23101,column,22,1,httpscomfyuanozhstroitelnyjstal18mm23101html,column,05112025_2149,column,__42,Фастів,0
810966133,,,,,.1777122,Инструменты и автотовары >> Ручные инструменты,stal,Киянка Сталь 680 г (44011),,219,1,https://comfy.ua/kijanka-stal-680-g-44011.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
810966134,,,,,.1777112,Инструменты и автотовары >> Ручные инструменты,stal,Молоток Сталь 500 г (44001),,249,1,https://comfy.ua/molotok-stal-500-g-44001.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
810966135,,,,,.1777117,Инструменты и автотовары >> Ручные инструменты,stal,Молоток Сталь 500 г (44005),,285,1,https://comfy.ua/molotok-stal-500-g-44005.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
810966136,,,,,.1777245,Инструменты и автотовары >> Ручные инструменты,stal,Молоток Сталь 600 г (44027),,205,1,https://comfy.ua/molotok-stal-600-g-44027.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
810966137,,,,,.1777274,Инструменты и автотовары >> Ручные инструменты,svitjaz,Молоток Свiтязь 800 г (44067),,295,1,https://comfy.ua/molotok-svitjaz-800-g-44067.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
810966138,,,,,.1777119,Инструменты и автотовары >> Ручные инструменты,stal,Цвяхосмик Сталь 340 г (44007),,255,1,https://comfy.ua/gvozdoder-stal-340-g-44007.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
810966140,,,,,.1777246,Инструменты и автотовары >> Ручные инструменты,stal,Цвяхосмик Сталь 450 г (44032),,219,1,https://comfy.ua/gvozdoder-stal-450-g-44032.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
810966141,6559329,СТАЛЬ,Отвертка СТАЛЬ SL5x150 (49020),61,1777114,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Сталь",stal,Молоток Сталь 800 г (44002),,379,1,https://comfy.ua/molotok-stal-800-g-44002.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
810966142,,,,,.1777087,Инструменты и автотовары >> Ручные инструменты,stal,Киянка Сталь 1200 г (44076),,365,1,https://comfy.ua/kijanka-stal-1200-g-44076.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
810966184,6559330,СТАЛЬ,Отвертка СТАЛЬ SL6x100 (49021),63,1777115,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Сталь",stal,Молоток Сталь 1000 г (44003),,455,1,https://comfy.ua/molotok-stal-1000-g-44003.html,,05.11.2025 23:07,,"вул. Соборна, 42",Фастів,0
810966185,6660820,СВІТЯЗЬ,Топор СВІТЯЗЬ 44071,359,1777399,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Світязь",svitjaz,Сокира Свiтязь 0.8 кг (44071),,359,1,https://comfy.ua/topor-svitjaz-0-8-kg-44071.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
810966186,,,,,.1777118,Инструменты и автотовары >> Ручные инструменты,stal,Молоток Сталь 800 г (44006),,435,1,https://comfy.ua/molotok-stal-800-g-44006.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
810966187,,,,,.1777247,Инструменты и автотовары >> Ручные инструменты,stal,Молоток Сталь 500 г (44041),,419,1,https://comfy.ua/molotok-stal-500-g-44041.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
810966188,,,,,.1777123,Инструменты и автотовары >> Ручные инструменты,stal,Молоток Сталь 1000 г (44016),,335,1,https://comfy.ua/molotok-stal-1000-g-44016.html,,05.11.2025 23:07,,"вул. Соборна, 42",Фастів,0
810966189,,,,,1777675,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Сталь",stal,Кувалда Сталь 1.5 кг (44008),,499,1,https://comfy.ua/kuvalda-stal-1-5-kg-44008.html,,05.11.2025 23:02,,"вул. Соборна, 42",Фастів,0
810966190,6660821,СТАЛЬ,Топор СТАЛЬ 44055,346,1777400,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Сталь",stal,Сокира Сталь 1 кг (44055),,465,1,https://comfy.ua/topor-stal-1-kg-44055.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
810966191,,,,,1777688,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Сталь",stal,Кувалда Сталь 2 кг (44017),,579,1,https://comfy.ua/kuvalda-stal-2-kg-44017.html,,05.11.2025 22:22,,"вул. Соборна, 42",Фастів,0
810966258,6482246,STANLEY,"""Молоток STANLEY """"LATHAMMER FIBERGLAS"""" (STHT0-51311)""",1169,1753986,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Stanley",stanley,Молоток Stanley STHT0-51311,,1585,1,https://comfy.ua/molotok-stanley-stht0-51311.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
810967638,6209871,СТАЛЬ,Ножовка по металлу СТАЛЬ 40200 (40445),113,1777307,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Сталь",stal,Ножівка Сталь по металу 250-300 мм (40200),,155,1,https://comfy.ua/nozhovka-stal-po-metalu-250-300-mm-40200.html,,05.11.2025 23:05,,"вул. Соборна, 42",Фастів,0
810967639,,,,,1777310,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Сталь",stal,Ножівка Сталь по гипсокартону 150 мм (40701),,195,1,https://comfy.ua/nozhovka-stal-po-gipsokartonu-150-mm-40701.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
810967640,,,,,1777311,Инструменты и автотовары >> Ручные инструменты,stal,Ножівка Сталь по дереву 400 мм (40105),,139,1,https://comfy.ua/nozhovka-stal-po-derevu-400-mm-40105.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
