1425353918,column,column,column,column,2197648,_______________make,make,___make_crystal_magnet_apple_iphone_14_pro_max_mccmai14pm,column,509,1,httpscomfyuacheholdljasmartfonamakecrystalmagnetappleiphone14promaxmccmai14pmhtml,column,05112025_1833,column,__42,Фастів,0
1427643820,,,,,.2187329,Телевизоры и мультимедиа >> Мультимедиа и звук,audioengine,Сабвуфер Audioengine S8-Black,,21089,1,https://comfy.ua/sabvufer-audioengine-s8-black.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1427644027,,,,,.2204231,Техника для дома >> Мелкая техника,artel,Пилосос для сухого прибирання з мішком ARTEL VCU 0120 Grey,,4899,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-artel-vcu-0120-grey.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1427644029,,,,,2204232,Техника для дома >> Мелкая техника,artel,Пилосос для сухого прибирання з мішком ARTEL VCU 0120 Red,,5099,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-artel-vcu-0120-red.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1427732823,6855570,NEO TOOLS,Набор инструментов NEO TOOLS 216 предметов (10-216),9599,2148832,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Neo Tools,neo-tools,Набір інструментів Neo Tools 10-216 216 шт.,,9599,1,https://comfy.ua/nabor-instrumentov-neo-tools-10-216-216-sht.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1427764902,6832370,ARDESTO,Кухонная машина ARDESTO KMCH-K1500SS Silver/Grey,9599,2199493,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Ardesto,ardesto,Кухонна машина Ardesto KMCH-K1500SS,,9599,1,https://comfy.ua/kuhonnaja-mashina-ardesto-kmch-k1500ss.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1427765191,6856872,KITCHENAID,"Кухонная машина KITCHENAID Artisan 4,8 л Caramel Apple (5KSM185PSECA)",49999,2185533,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM185PSECA),,49999,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm185pseca.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1427776451,6824483,ROWENTA,Робот-пылесос ROWENTA X-Plorer Serie 75 S RR8577WH,6999,2181582,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы Rowenta,rowenta,Робот-пилосос миючий Rowenta RR8577WH,,6999,1,https://comfy.ua/robot-pylesos-mojuschij-rowenta-rr8577wh.html,24999,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1428870238,,,,,2200467,Детские товары >> Игрушки,barbie,Лялька Barbie Екстра білявка з пучком на розпущеному волоссі (HHN08),,1619,1,https://comfy.ua/kukla-barbie-jekstra-blondinka-s-puchkom-na-raspuschennyh-volosah-hhn08.html,,05.11.2025 23:31,,"вул. Соборна, 42",Фастів,0
1428916815,,,,,2190256,Бытовая химия >> Средства для стирки,friendly,"Гель для прання Friendly д/кольорових та білих речей 5000г, 160 циклів",,179,1,https://comfy.ua/gel-dlja-stirki-friendly-d-cvetnyh-i-belyh-veschej-5000g-160-ciklov.html,299,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,66
1428922995,6823491,LOGITECH,Мышь LOGITECH G502 X LIGHTSPEED Black (910-006180),5199,2202315,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова ігрова Logitech G502 X Lightspeed Wireless Black (910-006180),,5199,1,https://comfy.ua/mysh-besprovodnaja-igrovaja-logitech-g502-x-lightspeed-wireless-black-910-006180.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1429002784,,,,,1881265,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Ventolux,ventolux,Витяжка декоративна Ventolux TIVOLI 60 BK (950) PB,,4699,1,https://comfy.ua/vytjazhka-dekorativnaja-ventolux-tivoli-60-bk-950-pb.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1429003483,6794209,VENTOLUX,Вытяжка VENTOLUX PUNTO 52 BG (950) PB,6219,1900699,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Ventolux,ventolux,Витяжка вбудована Ventolux PUNTO 52 BG (950) PB,,6219,1,https://comfy.ua/vytjazhka-vstraivaemaja-ventolux-punto-52-bg-950-pb.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1429018519,6793941,SIMFER,Плита комбинированная SIMFER F65MW43016,10199,2177425,Техника для кухни >> Крупная техника >> Плиты >> Плиты Simfer,simfer,Плита газова Simfer F65MW43016,,10199,1,https://comfy.ua/plita-gazovaja-simfer-f65mw43016.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1429053860,,,,,2205404,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки Esperanza",esperanza,Підставка під ноутбук охолоджуюча Esperanza EGC110 Xalok Notebook Cooling Pad,,985,1,https://comfy.ua/podstavka-pod-noutbuk-esperanza-egc110-xalok-notebook-cooling-pad.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1429053861,,,,,2205401,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки Esperanza",esperanza,Підставка під ноутбук охолоджуюча Esperanza EGC107 Breva Notebook Cooling Pad,,1199,1,https://comfy.ua/podstavka-pod-noutbuk-esperanza-egc107-breva-notebook-cooling-pad.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1429053862,,,,,2205402,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",esperanza,Підставка під ноутбук охолоджуюча Esperanza EGC108 Boreas Notebook Cooling Pad,,1399,1,https://comfy.ua/podstavka-pod-noutbuk-esperanza-egc108-boreas-notebook-cooling-pad.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1429053864,,,,,2205400,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",esperanza,Підставка під ноутбук охолоджуюча Esperanza EGC101 Alize Notebook Cooling Pad,,1399,1,https://comfy.ua/podstavka-pod-noutbuk-esperanza-egc101-alize-notebook-cooling-pad.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1429053865,,,,,2205403,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки Esperanza",esperanza,Підставка під ноутбук охолоджуюча Esperanza EGC109 Galerne Notebook Cooling Pad,,1699,1,https://comfy.ua/podstavka-pod-noutbuk-esperanza-egc109-galerne-notebook-cooling-pad.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1429077828,,,,,.1035635,Посуда >> Нарезка и измельчение,tramontina,Ніж для м'яса Tramontina PROFISSIONAL MASTER для м'яса152 мм (24608/086),,599,1,https://comfy.ua/nozh-dlja-mjasa-tramontina-profissional-master-152-mm-24608-086.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1429098015,6900610,2E,Колонки 2E PCS234 RGB Black (2E-PCS234BK),599,2207321,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика 2E",2e,Комп'ютерна акустика компактна 2.0 2E PCS234 USB Black (2E-PCS234BK),,599,1,https://comfy.ua/komp-juternaja-akustika-kompaktnaja-2-0-2e-pcs234-usb-black-2e-pcs234bk.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1429098164,6900605,2E,Саундбар 2E PCS101 Black (2E-PCS101BK),749,2207323,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика 2E",2e,Комп'ютерна акустика компактна 2.0 2E PCS101 USB Black,,749,1,https://comfy.ua/komp-juternaja-akustika-kompaktnaja-2-0-2e-pcs101-usb-black-2e-pcs101bk.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1429105416,6926163,EISEN,Пылесос EISEN EVC-290 ECO,2099,2203468,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы EISEN,eisen,Пилосос для сухого прибирання без мішка EISEN EVC-290 ECO Cyclone,,2099,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-eisen-evc-290-eco-cyclone.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1429115199,6806401,PHILIPS,Электрочайник PHILIPS Eco Conscious Edition HD9365/10,2899,2208648,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Philips,philips,Електричний чайник Philips HD9365/10,,2899,1,https://comfy.ua/jelektricheskij-chajnik-philips-hd9365-10.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1429230025,,,,,2207314,Посуда >> Для приготовления,maxmark,Набір посуду Maxmark MK-8106 6 пр,,3399,1,https://comfy.ua/nabor-posudy-maxmark-mk-8106-6-pr.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1429230081,7101996,MAXMARK,Набор посуды MAXMARK 8 пр. (MK-8108),4599,2207315,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Maxmark,maxmark,Набір посуду Maxmark MK-8108 8 пр,,4277,1,https://comfy.ua/nabor-posudy-maxmark-mk-8108-8-pr.html,9999,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
