1669027288,column,column,column,column,2887050,______________york,york,_york_salsa__pepita_81302,column,529,1,httpscomfyuashvabrayorksalsamorpepita81302html,column,05112025_1919,column,__42,Фастів,0
1669027420,,,,,2884629,Бытовая химия >> Все для уборки,helper,Засіб для чищення універсальний Helper 1л (4823019009873),,149,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-helper-1l-4823019009873.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1669027431,,,,,2912660,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Kinderkraft,kinderkraft,Коляска прогулянкова Kinderkraft Apino Dove Grey (KSAPIN00GRY0000),,7020,1,https://comfy.ua/koljaska-progulochnaja-kinderkraft-apino-dove-grey-ksapin00gry0000.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1669027432,,,,,2912661,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Kinderkraft,kinderkraft,Коляска прогулянкова Kinderkraft Apino Dune Beige (KSAPIN00BEG0000),,7080,1,https://comfy.ua/koljaska-progulochnaja-kinderkraft-apino-dune-beige-ksapin00beg0000.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1669027500,6517033,POWERPLANT,Аккумулятор POWERPLANT для BOSCH GD-BOS-10.8(B) 12V 2Ah Li-Ion (DV00PT0002),789,2347034,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства PowerPlant,powerplant,Акумулятор для електроінструментів PowerPlant Bosch GD-BOS-10.8(B) 12V 2Ah Li-Ion (DV00PT0002),,999,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-powerplant-bosch-gd-bos-10-8-b-12v-2ah-li-ion-dv00pt0002-9321923.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1669027501,6517046,POWERPLANT,Аккумулятор PowerPlant для DeWalt GD-DE-12 12 В Ni-Cd 1.3 Aч (DV00PT0033),1204,2347042,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства PowerPlant,powerplant,Акумулятор для електроінструментів PowerPlant DeWALT GD-DE-12 12V 1.3Ah NICD(DE9074) (DV00PT0033),,1299,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-powerplant-dewalt-gd-de-12-12v-1-3ah-nicd-de9074-dv00pt0033-9321943.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
1669027505,,,,,2778616,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства CAT,cat,Акумулятор для електроінструментів CAT GXB5 (18V 5.0Ah),,6699,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-cat-gxb5-18v-5-0ah.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1669027508,,,,,2884630,Бытовая химия >> Все для уборки,helper,Засіб для чищення універсальний Helper 1л (4823019009644),,50,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-helper-1l-4823019009644.html,59,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1669027883,,,,,.1997708,Инструменты и автотовары >> Расходные материалы,v-coil,Свердло V-COIL 3-10 мм (67101_vl),,2725,1,https://comfy.ua/sverlo-v-coil-3-10-mm-67101-vl.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1669027884,6940595,CAT,Набор сверел и бит CAT 201 шт (DA01903),2999,2778614,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры CAT,cat,Набір свердел CAT DA01903 + біти 201 шт.,,2999,1,https://comfy.ua/nabor-sverl-cat-da01903-bity-201-sht.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1669028045,6909778,ENERGENIE,ИБП ENERGENIE 12/15В EG-UPS-DC18,1599,2839793,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания EnerGenie",energenie,Джерело безперебійного живлення EnerGenie EG-UPS-DC18,,899,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-energenie-eg-ups-dc18.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1669028046,,,,,.2910055,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",marsriva,Джерело безперебійного живлення Marsriva KP1Plus_MARSRIVA,,1299,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-marsriva-kp1plus-marsriva.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1669033293,,,,,.2852554,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Джерело безперебійного живлення Powercom CUB-1000N Schuko,,3845,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-powercom-cub-1000n-schuko.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1669033294,,,,,.1007945,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Джерело безперебійного живлення Powercom SPD-650U,,4409,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-powercom-spd-650u.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1669033296,7004581,GEMIX,ИБП GEMIX PSN-500U,6090,2857989,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Gemix",gemix,Джерело безперебійного живлення Gemix PSN-500U Schuko,,5279,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-gemix-psn-500u-schuko.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1669033297,,,,,.2852562,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Джерело безперебійного живлення Powercom SPD-550U Schuko,,4409,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-powercom-spd-550u-schuko.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1669033311,,,,,.1007944,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Джерело безперебійного живлення Powercom SPD-1000U,,5735,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-powercom-spd-1000u.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1669033312,7080423,GEMIX,ИБП GEMIX PSN-1000U LCD 1000VA/600W (PSN-1000U),7013,2857991,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Gemix",gemix,Джерело безперебійного живлення Gemix PSN-1000U Schuko,,6555,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-gemix-psn-1000u-schuko.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1669033337,,,,,.2858002,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Джерело безперебійного живлення Powercom SPT-700-II LED,,8079,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-powercom-spt-700-ii-led-9266923.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1669033338,7080424,GEMIX,ИБП GEMIX PSN-1200U 1200VA/800W (PSN-1200U),8735,2857992,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Gemix",gemix,Джерело безперебійного живлення Gemix PSN-1200U Schuko,,8189,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-gemix-psn-1200u-schuko.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1669033340,6839547,ENERGENIE,ИБП ENERGENIE 2000VA EG-UPSRACK-12,14999,2839792,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания EnerGenie",energenie,Джерело безперебійного живлення EnerGenie EG-UPSRACK-12,,14999,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-energenie-eg-upsrack-12.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1669033347,,,,,.2852539,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Джерело безперебійного живлення Powercom MAC-3000 IEC,,31769,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-powercom-mac-3000-iec.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1669033349,,,,,.2852535,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Джерело безперебійного живлення Powercom MRT-3000L IEC,,36895,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-powercom-mrt-3000l-iec.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1669033350,,,,,.2852533,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Джерело безперебійного живлення Powercom SRT-3000A IEC,,37675,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-powercom-srt-3000a-iec.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1669033352,,,,,.2852563,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Джерело безперебійного живлення Powercom SNT-2000 IEC,,40889,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-powercom-snt-2000-iec.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
