1094506353,column,column,column,column,1907892,Посуда >> Для напитков,noveen,_noveen_tb811_white_400_,column,499,1,httpscomfyuatermobutylkanoveentb811white400mlhtml,column,05112025_1920,column,__42,Фастів,0
1094609653,,,,,1892122,Дом и отдых >> Декор для дома >> Свечи и подсвечники >> Свечи и подсвечники Bolsius,bolsius,"Свічка декоративна Bolsius Біла плаваюча, 20шт (253702)",,295,1,https://comfy.ua/svecha-dekorativnaja-bolsius-belaja-plavajuschaja-20sht.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1094609738,,,,,1892168,"Дом, отдых и зоотовары >> Декор для дома >> Свечи и подсвечники >> Свечи и подсвечники Bolsius",bolsius,Свічка декоративна Bolsiusребриста 120/58 аромат Ваніль (266775),,119,1,https://comfy.ua/svecha-dekorativnaja-bolsius-rebrista-120-58-aromat-vanil.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1094609740,,,,,1892169,"Дом, отдых и зоотовары >> Декор для дома >> Свечи и подсвечники >> Свечи и подсвечники Bolsius",bolsius,Свічка чайна Bolsiusароматична 6шт Агарове дерево (941570),,73,1,https://comfy.ua/svecha-chajnaja-bolsius-aromaticheskaja-6sht-agarovoe-derevo.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1094609742,,,,,1892154,"Дом, отдых и зоотовары >> Декор для дома >> Свечи и подсвечники >> Свечи и подсвечники Bolsius",bolsius,Свічка чайна Bolsiusароматична 6шт Ваніль (941575),,74,1,https://comfy.ua/svecha-chajnaja-bolsius-aromaticheskaja-6sht-vanil.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1094609747,,,,,1892166,"Дом, отдых и зоотовары >> Декор для дома >> Свечи и подсвечники >> Свечи и подсвечники Bolsius",bolsius,Свічка чайна Bolsiusароматична 6шт Гранат (941515),,73,1,https://comfy.ua/svecha-chajnaja-bolsius-aromaticheskaja-6sht-granat.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1094609833,,,,,1892156,"Дом, отдых и зоотовары >> Декор для дома >> Свечи и подсвечники >> Свечи и подсвечники Bolsius",bolsius,Свічка чайна Bolsiusароматична 6шт Французька лаванда (941577),,73,1,https://comfy.ua/svecha-chajnaja-bolsius-aromaticheskaja-6sht-francuzskaja-lavanda.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1094623821,,,,,1876495,"Дом, отдых и зоотовары >> New Year >> Новогодний декор >> Новогодний декор Novogod'ko",novogodko,"Декор New Year Гном Novogod'ko «Гном Дівчинка», червона паєтка, 29 см, LED (973921)",,535,1,https://comfy.ua/dekor-new-year-gnom-novogod-ko-gnom-devochka-krasnaja-pajetka-29-sm-led-973921.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1094624367,,,,,1876503,"Дом, отдых и зоотовары >> New Year >> Новогодний декор >> Новогодний декор Novogod'ko",novogodko,"Декор New Year Гном Novogod'ko «Гном з серцем», 51 см (973728)",,1079,1,https://comfy.ua/dekor-new-year-gnom-novogod-ko-gnom-s-serdcem-51-sm-973728.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1094624666,7038839,SAMSUNG,Смартфон SAMSUNG Galaxy S24 FE 8/256Gb Dual Sim Graphite (SM-S721BZKGEUC),23489,2113762,Смартфоны и телефоны >> Смартфоны >> Смартфоны Samsung,samsung,Смартфон Samsung Galaxy S21FE 8/256Gb Gray (SM-G990BZAWSEK),,19999,1,https://comfy.ua/smartfon/brand__samsung__seriya_smartphone__samsung-galaxy-s21fe/,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1094625087,,,,,1904758,"Дом, отдых и зоотовары >> New Year >> Новогодний декор >> Новогодний декор Novogod'ko",novogodko,Декор New Year Гном Novogod'ko «Гном НО-НО» 130 см LED (973723),,3279,1,https://comfy.ua/dekor-new-year-gnom-novogod-ko-gnom-no-no-130-sm-led-973723.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
