1334518174,column,column,column,column,2047416,"Дом, отдых и зоотовары >> Декор для дома",ideyka,___ideyka_______40x50__kho2857,column,295,1,httpscomfyuakartinaponomeramidejkazvjozdnajanochcvinsentvangog40x50smkho2857html,column,05112025_2011,column,__42,Фастів,0
1334935977,,,,,2048221,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры UZspace,uzspace,Пляшка для води UZspace 3026 Frosted 500 мл красная,,629,1,https://comfy.ua/butylka-dlja-vody-uzspace-3026-frosted-500-ml-krasnaja.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1334935978,,,,,.2048220,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 3026 Frosted 500 мл помаранчева,,579,1,https://comfy.ua/butylka-dlja-vody-uzspace-3026-frosted-500-ml-oranzhevaja.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1334935979,,,,,2048222,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 3026 Frosted 500 мл тіффані,,629,1,https://comfy.ua/butylka-dlja-vody-uzspace-3026-frosted-500-ml-tiffani.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1334935980,,,,,.2048219,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 3026 Frosted 500 мл рожева,,629,1,https://comfy.ua/butylka-dlja-vody-uzspace-3026-frosted-500-ml-rozovaja.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1334935981,,,,,2048226,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры UZspace,uzspace,Пляшка для води UZspace 3053 800 мл червона,,699,1,https://comfy.ua/butylka-dlja-vody-uzspace-3053-800-ml-krasnaja.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1334935982,,,,,.2048225,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 3053 800 мл зелена,,569,1,https://comfy.ua/butylka-dlja-vody-uzspace-3053-800-ml-zelenaja.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1334935983,,,,,2048223,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры UZspace,uzspace,Пляшка для води UZspace 3038 Frosted 1000 мл синяя,,799,1,https://comfy.ua/butylka-dlja-vody-uzspace-3038-frosted-1000-ml-sinjaja.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1334937280,,,,,2042353,Техника для кухни >> Крупная техника,vestfrost,Холодильник Vestfrost R375LX,,23599,1,https://comfy.ua/holodil-nik-vestfrost-r375lx.html,26399,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1334937285,,,,,2049551,Техника для кухни >> Крупная техника,vestfrost,Холодильник Vestfrost R375W,,22499,1,https://comfy.ua/holodil-nik-vestfrost-r375w.html,24999,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1334946437,6809179,AENO,Зубная щетка AENO DB4 (ADB0004),1799,2050191,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки AENO,aeno,Зубна щітка електрична AENO DB4 Black (ADB0004),,1799,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-aeno-db4-black-adb0004.html,2499,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1334946438,6809178,AENO,Зубная щетка AENO DB3 (ADB0003),1699,2050190,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки AENO,aeno,Зубна щітка електрична AENO DB3 White (ADB0003),,1699,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-aeno-db3-white-adb0003.html,2499,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1334948721,6809183,AENO,Набор насадок AENO DB4/DB6 (ADBTH4-6),259,2050195,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки AENO,aeno,Насадка для зубної щітки AENO DB4/DB6 Black (ADBTH4-6),,259,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-aeno-db4-db6-black-adbth4-6.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1334948723,6809165,AENO,Электрочайник AENO EK4,1099,2050189,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические AENO,aeno,Електричний чайник AENO EK4 (AEK0004),,1099,1,https://comfy.ua/jelektricheskij-chajnik-aeno-ek4-aek0004.html,1619,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1334948724,6809181,AENO,Зубная щетка AENO DB6 (ADB0006),1699,2050193,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки AENO,aeno,Зубна щітка електрична AENO DB6 Black (ADB0006),,1699,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-aeno-db6-black-adb0006.html,2119,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1334948730,6809180,AENO,Зубная щетка AENO DB5 (ADB0005),1599,2050192,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки AENO,aeno,Зубна щітка електрична AENO DB5 White (ADB0005),,1599,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-aeno-db5-white-adb0005.html,2119,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1334959465,6638047,OSCAR,Сковорода OSCAR Chef 28 см Black (OSR-1101-28),616,2042404,Посуда >> Для приготовления >> Сковороды >> Сковороды OSCAR,oscar,Сковорода універсальна OSCAR Chef 28 см (OSR-1101-28),,815,1,https://comfy.ua/skovoroda-universal-naja-oscar-chef-28-sm-osr-1101-28.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1334960982,6864033,PRIME3,Электросамокат Prime3 EES71 Black,16999,2049566,Смарт-часы и гаджеты >> Электротранспорт >> Электросамокаты >> Электросамокаты PRIME3,prime3,Електросамокат PRIME3 EES71,,20999,1,https://comfy.ua/jelektrosamokat-prime3-ees71.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1335059915,,,,,1999530,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,"Кабель HDMI PowerPlant HDMI (M) - HDMI (M), 2.1V, Ultra HD 8K 5 m (CA913220)",,1299,1,https://comfy.ua/kabel-hdmi-powerplant-hdmi-m-hdmi-m-2-1v-ultra-hd-8k-5-m-ca913220.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1335059916,,,,,1999527,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Перехідник аудіо PowerPlant 6.35 мм (M)-3.5 мм (F) (CA913114),,99,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-powerplant-6-35-mm-m-3-5-mm-f-ca913114.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1335059931,,,,,1999525,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Кабель 3.5 мм -3.5 мм PowerPlant 3.5 мм 4 pin mini jack AUX 1.2 m (CA913053),,79,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-powerplant-3-5-mm-4-pin-mini-jack-aux-1-2-m-ca913053.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1335059932,,,,,1999526,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Кабель 3.5 мм -3.5 мм PowerPlant 4pin 3.5 мм F-2 x 3pin 3.5 мм M 0.22 m (CA913084),,139,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-powerplant-4pin-3-5-mm-f-2-x-3pin-3-5-mm-m-0-22-m-ca913084.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
1335112393,,,,,.2034316,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Корпус QUBE Black (BOREY_F5NU3),,2199,1,https://comfy.ua/korpus-qube-black-borey-f5nu3.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1335157668,6687781,OSCAR,Терка OSCAR Chef 6-сторонняя 23 см (OSR-5005-23/6),189,2043935,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки OSCAR",oscar,Терка OSCAR Chef 23 см (OSR-5005-23/6),,189,1,https://comfy.ua/terka-oscar-chef-23-sm-osr-5005-23-6.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1335307205,6553752,TRYBIKE,Беговел TRYBIKE Steel Рубиновый (TBS-2-RED-VIN),2799,2050090,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Trybike,trybike,Біговел Trybike TBS-2-RED-VIN (6166),,2999,1,https://comfy.ua/begovel-trybike-tbs-2-red-vin-6166.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1335307210,6553751,TRYBIKE,Беговел TRYBIKE Steel Оливковый (TBS-2-GRN-VIN),2799,2050089,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Trybike,trybike,Біговел Trybike TBS-2-GRN-VIN (6167),,2999,1,https://comfy.ua/begovel-trybike-tbs-2-grn-vin-6167.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1335309205,,,,,2045984,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Водяна система охолодження QUBE QB-OLWC240ARGB,,3575,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-qube-qb-olwc240argb.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1335312871,,,,,.2033599,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Корпус QUBE Neptune mini (QB08N_FCNU3),,2999,1,https://comfy.ua/korpus-qube-neptune-mini-qb08n-fcnu3.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1335315509,6814333,ELECTROLUX,Блендер ELECTROLUX Create 5 E5HB2-8SS (910003672),2596,2049455,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Electrolux,electrolux,Блендер заглибний Electrolux E5HB2-8SS,,2799,1,https://comfy.ua/blender-pogruzhnoj-electrolux-e5hb2-8ss.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1335317658,,,,,2049473,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",xoko,Хаб USB XOKO AC-550 8 в 1 (XK-AC550-SL),,999,1,https://comfy.ua/hab-usb-xoko-ac-550-8-v-1-xk-ac550-sl.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
