755881772,6578306,FIFINE,Микрофон FIFINE K669B USB Microphone Black,1899,1717740,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны Fifine",fifine,Мікрофон до комп'ютера Fifine K669B,,1899,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-fifine-k669b.html,2199,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
755881852,,,,,1715565,Красота и здоровье >> Уход за волосами,remington,Вирівнювач волосся Remington S9001 Hydraluxe Pro,,4199,1,https://comfy.ua/catalog/product/view/id/1763793/s/vyprjamitel-volos-remington-s9001-hydraluxe-pro,4899,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
755881870,,,,,1716950,Красота и здоровье >> Уход за лицом,ecg,Тример для вусів і бороди ECG ZS 1420,,725,1,https://comfy.ua/catalog/product/view/id/1763243/s/trimmer-dlja-usov-i-borody-ecg-zs-1420,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
755890901,6630979,ECG,Электрочайник ECG RK 1785 Colore,1675,1716925,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические ECG,ecg,Електричний чайник ECG RK 1785 Colore,,1675,1,https://comfy.ua/jelektricheskij-chajnik-ecg-rk-1785-colore.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
755890923,,,,,1715697,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Janod,janod,Настільна гра (5-7 років) Janod Битва піратів (J02835),,745,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-5-7-let-janod-bitva-piratov-j02835.html,,06.11.2025 0:57,,"вул. Соборна, 42",Фастів,0
755890953,6651587,SENCOR,Рисоварка SENCOR SRM1550SS,1164,1719353,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Sencor,sencor,Мультиварка Sencor SRM1550SS,,1165,1,https://comfy.ua/mul-tivarka-sencor-srm1550ss.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
755890971,6651541,RUSSELL HOBBS,Блендер RUSSELL HOBBS Matte Black (24722-56),3599,1715685,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Russell Hobbs,russell-hobbs,Блендер стаціонарний Russell Hobbs 24722-56 Matte Black,,3599,1,https://comfy.ua/blender-stacionarnyj-russell-hobbs-24722-56-matte-black.html,4349,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
755890988,,,,,1700811,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Macik,macik,Книжка-іграшка Macik прорізувач (МС 070601-01),,115,1,https://comfy.ua/knizhka-igrushka-macik-prorezyvatel-ms-070601-01.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
755893806,6616575,IPEGA,Геймпад IPEGA PG-9157,899,1718618,"Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам >> Геймпады, джойстики, рули >> Геймпады, джойстики, рули iPega",ipega,Геймпад iPega PG-9157,,899,1,https://comfy.ua/gejmpad-ipega-pg-9157.html,1199,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
755893809,6616574,IPEGA,Геймпад IPEGA PG-9156,1199,1718619,"Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам >> Геймпады, джойстики, рули >> Геймпады, джойстики, рули iPega",ipega,Геймпад iPega PG-9156,,1199,1,https://comfy.ua/gejmpad-ipega-pg-9156.html,1399,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
755928638,,,,,1716919,Техника для кухни >> Мелкая техника,ecg,Хлібопічка ECG PCB 82120,,5279,1,https://comfy.ua/catalog/product/view/id/1767443,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
755928643,,,,,1713574,Техника для кухни >> Крупная техника,gorenje,Варильна поверхня газова Gorenje GT642AXW,,13399,1,https://comfy.ua/catalog/product/view/id/1766823,13999,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
755943278,,,,,1716643,Игровые консоли и гейминг >> Комплектующие для игровых ПК,frime,Корпусний вентилятор Frime Iris LED Fan 15LED Green (FLF-HB120G15),,149,1,https://comfy.ua/korpusnyj-ventiljator-frime-iris-led-fan-15led-green-flf-hb120g15.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
755951744,6656551,PATRIOT,SSD накопитель PATRIOT M.2 NVMe PCIe 3.0 x4 128GB 2280 P300 (P300P128GM28),939,1715979,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Patriot",patriot,SSD-накопичувач внутрішній Patriot P300 128GB M.2 2280 PCIe NVMe 3.0 x4 TLC (P300P128GM28),,809,1,https://comfy.ua/ssd-nakopitel-vnutrennij-patriot-p300-128gb-m-2-2280-pcie-nvme-3-0-x4-tlc-p300p128gm28.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
755986034,,,,,1700634,Детские товары >> Игрушки,funrise,Наземна будівельна техніка Funrise Бульдозер зі світлом і звуком (82287),,1149,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-bul-dozer-so-svetom-i-zvukom-82287.html,,06.11.2025 0:38,,"вул. Соборна, 42",Фастів,0
