1660133635,column,column,column,column,2715548,Техника для кухни >> Крупная техника,faber,__faber_inka_plus_hcs_x_a522,column,7959,1,httpscomfyuavytjazhkavstraivaemajafaberinkaplushcsxa52html,column,05112025_2018,column,__42,Фастів,0
1660969579,,,,,.2892869,Техника для дома >> Мелкая техника,eta,Пилосос ручний для дому ETA Moneto II Aqua Plus 6453 90000,,5649,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-eta-moneto-ii-aqua-plus-6453-90000.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1660969581,,,,,.2892868,Техника для дома >> Мелкая техника,eta,Пилосос ручний для дому ETA Fenix 1233 90000,,5599,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-eta-fenix-1233-90000.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1660970588,,,,,.2892867,Техника для дома >> Мелкая техника,eta,Пилосос ручний для дому ETA Fenix 2233 90000,,6499,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-eta-fenix-2233-90000.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1661124280,,,,,2839717,"Аудио, фото и видео >> Наушники",bloody,Гарнітура дротова ігрова Bloody G260p Black,,949,1,https://comfy.ua/garnitura-provodnaja-igrovaja-bloody-g260p-black.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1661124281,,,,,.2839718,"Аудио, фото и видео >> Наушники",bloody,Гарнітура дротова ігрова Bloody G260p White,,949,1,https://comfy.ua/garnitura-provodnaja-igrovaja-bloody-g260p-white.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1661124282,,,,,2839716,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Гарнитуры >> Гарнитуры Bloody",bloody,Гарнітура дротова ігрова Bloody G260 Black,,999,1,https://comfy.ua/garnitura-provodnaja-igrovaja-bloody-g260-black.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1661124874,,,,,2878615,Посуда >> Для приготовления,wmf,Набір посуду зі знімною ручкою WMF 795076820 Click&Serve 7 пр.,,15999,1,https://comfy.ua/nabor-posudy-so-s-emnoj-ruchkoj-wmf-795076820-click-serve-7-pr.html,23999,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1661128399,,,,,2894311,Техника для кухни >> Крупная техника,gallet,Мікрохвильова піч (НВЧ) Gallet FMOM 205W,,2959,1,https://comfy.ua/mikrovolnovaja-pech-svch-gallet-fmom-205w.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1661128777,6912344,TEFAL,Набор сковородок TEFAL  Unlimited ON 20 + 26 см (G2599002),2999,2057226,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Набір сковорідок Tefal G2599002 Unlimited ON 20 см/ 26 см,,2999,1,https://comfy.ua/nabor-skovorod-tefal-g2599002-unlimited-on-20-sm-26-sm.html,4199,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1661129746,,,,,2892848,Красота и здоровье >> Уход за волосами,eta,Машинка для стрижки волосся ETA James 6341 90000,,729,1,https://comfy.ua/mashinka-dlja-strizhki-volos-eta-james-6341-90000.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1661409024,,,,,.2682525,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi 13 Lite 5G (ARM66579),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-13-lite-5g-arm66579.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1661414269,6980791,KARCHER,Минимойка KARCHER K 4 CLASSIC CAR (1.679-422.0),8476,2895536,Техника для дома >> Мелкая техника >> Минимойки >> Минимойки Karcher,karcher,Мінімийка Karcher K4 Classic Car Kit (1.679-422.0),,8999,1,https://comfy.ua/minimojka-karcher-k4-classic-car-kit-1-679-422-0.html,9999,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
