707661521,column,column,column,column,1657029,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",njoy,___njoy_keen_2000,column,6369,1,httpscomfyuaistochnikbesperebojnogopitanijanjoykeen2000html,column,05112025_1745,column,__42,Фастів,0
706572999,6523035,DELONGHI,Тостер DELONGHI Icona Elements CTOC 2103.W,3699,1651637,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Delonghi,delonghi,Тостер Delonghi CTOC2103W,,3699,1,https://comfy.ua/toster-delonghi-ctoc2103w.html,4199,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
706911676,6607162,SAMSUNG,Пылесос SAMSUNG VC07M25E0WR/UK,3599,1651041,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Samsung,samsung,Пилосос для сухого прибирання з мішком Samsung VC07M25E0WR/UK,,3599,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-samsung-vc07m25e0wr-uk.html,4399,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
706943954,,,,,1651041,Техника для дома >> Мелкая техника,samsung,Пилосос для сухого прибирання з мішком Samsung VC07M25E0WR/UK,,3599,1,https://comfy.ua/catalog/product/view/id/1207773/s/pylesos-dlja-suhoj-uborki-s-meshkom-samsung-vc07m25e0wr-uk,4399,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
707212292,,,,,1656631,Техника для кухни >> Крупная техника,whirlpool,Варильна поверхня електрична Whirlpool WB B8360 NE,,15999,1,https://comfy.ua/catalog/product/view/id/1221043,17899,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,1
707282739,6700882,KELA,Весы кухонные KELA Pinta Black (15741),879,1648166,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Kela,kela,Ваги кухонні Kela Pinta Black (15741),,879,1,https://comfy.ua/vesy-kuhonnye-kela-pinta-black-15741.html,1459,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
707282818,6570081,ARIETE,Соковыжималка ARIETE 413 Green,2399,1625687,Техника для кухни >> Мелкая техника >> Соковыжималки >> Соковыжималки Ariete,ariete,Цитрус-прес Ariete 413 Green,,2999,1,https://comfy.ua/citrus-press-ariete-413-green.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
707282819,,,,,1625686,Техника для кухни >> Мелкая техника,ariete,Цитрус-прес Ariete 413 Beige,,2999,1,https://comfy.ua/citrus-press-ariete-413-beige.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
707304099,,,,,1655077,Бытовая химия >> Средства для посудомоечных машин >> Таблетки для мытья посуды >> Таблетки для мытья посуды Start,start,Таблетка для посудомийної машини Start CLASSIC 100 шт,,424,1,https://comfy.ua/tabletka-dlja-posudomoechnoj-mashiny-start-classic-100-sht.html,530,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
707304101,,,,,1655081,Бытовая химия >> Средства для посудомоечных машин >> Таблетки для мытья посуды >> Таблетки для мытья посуды Start,start,Таблетка для посудомийної машини Start MAXIMUM 55 шт,,321,1,https://comfy.ua/tabletka-dlja-posudomoechnoj-mashiny-start-maximum-55-sht.html,459,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
707304103,,,,,1655083,Бытовая химия >> Средства для посудомоечных машин,start,Таблетка для посудомийної машини Start NATURE 30 шт,,268,1,https://comfy.ua/tabletka-dlja-posudomoechnoj-mashiny-start-nature-30-sht.html,357,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
707348261,6610026,BEKO,Варочная поверхность BEKO HII 64400 MT,9777,1657354,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Beko,beko,Варильна поверхня електрична Beko HII64400MT,,9777,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-beko-hii64400mt.html,10999,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
707379116,,,,,1648164,Техника для кухни >> Мелкая техника,kela,Ваги кухонні Kela Pinta White (15740),,1167,1,https://comfy.ua/catalog/product/view/id/1216873,1459,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
707380141,,,,,1648166,Техника для кухни >> Мелкая техника,kela,Ваги кухонні Kela Pinta Black (15741),,879,1,https://comfy.ua/catalog/product/view/id/1216893/s/vesy-kuhonnye-kela-pinta-black-15741,1459,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
707519655,6856909,KELA,Раклетница-гриль KELA Splugen (66493),1579,1650195,Техника для кухни >> Мелкая техника,kela,Гриль-барбекю електричний Kela Spl?gen (66493),,1579,1,https://comfy.ua/catalog/product/view/id/1216933,2429,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
707541687,,,,,1657023,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",njoy,Джерело безперебійного живлення Njoy Keen 600 USB,,2439,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-njoy-keen-600-usb.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
707557437,6670418,KELA,Гриль KELA Livigno (66661),2329,1650171,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Kela,kela,Гриль-барбекю електричний Kela Livigno (66661),,2329,1,https://comfy.ua/gril-barbekju-jelektricheskij-kela-livigno-66661.html,3579,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
707568016,6600532,WETAIR,Инфракрасный обогреватель WETAIR WCFH-4020,1999,1647394,Техника для дома >> Климатическая техника,wetair,Обігрівач інфрачервоний WetAir WCFH-4020,,1699,1,https://comfy.ua/obogrevatel-infrakrasnyj-wetair-wcfh-4020.html,1999,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
707657340,,,,,.1657031,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",njoy,Джерело безперебійного живлення Njoy Horus Plus 600 USB,,2729,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-njoy-horus-plus-600-usb.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
707661521,,,,,1657029,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",njoy,Джерело безперебійного живлення Njoy Keen 2000,,6369,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-njoy-keen-2000.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
707662353,6987274,BRABANTIA,Весы напольные Brabantia ReNew-Weighing белые (483127),1809,1073448,Красота и здоровье >> Уход за телом,brabantia,Ваги Brabantia 483127,,1374,1,https://comfy.ua/catalog/product/view/id/1206453,2349,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
707708989,,,,,1633639,Техника для кухни >> Крупная техника,beko,Холодильник Beko RDSA240K20XB,,11999,1,https://comfy.ua/catalog/product/view/id/1226743,12399,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
707709065,6575426,BLACK&DECKER,Пылесос BLACK&DECKER POWERSERIES EXTREME BHFEV362DP,11279,1645487,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Black&Decker,blackdecker,Пилосос ручний для дому Black&Decker BHFEV362DP,,11279,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-black-decker-bhfev362dp.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
707709131,6567610,BLACK&DECKER,Пылесос BLACK&DECKER NVC115WA,1859,1637227,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Black&Decker,blackdecker,Пилосос ручний для дому Black&Decker NVC115WA,,1729,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-black-decker-nvc115wa.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
707709131,6573717,BLACK&DECKER,Пылесос BLACK+DECKER NVC115WA,1729,1637227,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Black&Decker,blackdecker,Пилосос ручний для дому Black&Decker NVC115WA,,1729,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-black-decker-nvc115wa.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
707911015,,,,,1633639,Техника для кухни >> Крупная техника,beko,Холодильник Beko RDSA240K20XB,,11999,1,https://comfy.ua/catalog/product/view/id/1226743/s/holodil-nik-beko-rdsa240k20xb,12399,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
707923932,6615725,ELEYUS,Варочная поверхность ELEYUS ORIS 30 BL CF,4499,1658276,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели ELEYUS,eleyus,Варильна поверхня Domino ELEYUS ORIS 30 BL CF,,4499,1,https://comfy.ua/varochnaja-panel-domino-eleyus-oris-30-bl-cf.html,5259,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
707923948,6605516,BEKO,Холодильник BEKO RDSA240K20XB,11999,1633639,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Beko,beko,Холодильник Beko RDSA240K20XB,,11999,1,https://comfy.ua/holodil-nik-beko-rdsa240k20xb.html,12399,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
707967405,6987274,BRABANTIA,Весы напольные Brabantia ReNew-Weighing белые (483127),1809,1073448,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Brabantia,brabantia,Ваги Brabantia 483127,,1374,1,https://comfy.ua/vesy-napol-nye-brabantia-483127.html,2349,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
708724185,6607161,SAMSUNG,Vac/cl SAMSUNG VC07M25H0WB/UK,3799,1651042,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Samsung,samsung,Пилосос для сухого прибирання з мішком Samsung VC07M25H0WB/UK,,3799,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-samsung-vc07m25h0wb-uk.html,4799,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
708759382,,,,,1659618,Техника для дома >> Крупная техника,tesy,Водонагрівач Tesy Anticalc REV 80,,9589,1,https://comfy.ua/catalog/product/view/id/1231713,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
708770364,,,,,1654429,Посуда >> Для приготовления >> Сковороды >> Сковороды BerlingerHaus,berlingerhaus,Сковорода універсальна BerlingerHaus 24 см (BH 1887),,838,1,https://comfy.ua/skovoroda-universal-naja-berlingerhaus-24-sm-bh-1887.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
708770371,6577697,BERLINGER HAUS,Сковорода BERLINGER HAUS I-Rose Edition 28 см Metallic Pink (BH-6025),1039,1654495,Посуда >> Для приготовления >> Сковороды >> Сковороды BerlingerHaus,berlingerhaus,Сковорода універсальна BerlingerHaus 28 см (BH 6025),,1039,1,https://comfy.ua/skovoroda-universal-naja-berlingerhaus-28-sm-bh-6025.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
708775697,6670579,KELA,Сковорода KELA Stella Nova 20 см Black (12215),2099,1650045,Посуда >> Для приготовления >> Сковороды >> Сковороды Kela,kela,Сковорода універсальна Kela Stella Nova 20 см (12215),,2099,1,https://comfy.ua/skovoroda-universal-naja-kela-stella-nova-20-sm-12215.html,2999,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
708775699,6517288,KELA,Сковорода KELA Stoneline 20 см Black (15474),1949,1650051,Посуда >> Для приготовления >> Сковороды >> Сковороды Kela,kela,Сковорода універсальна Kela Stoneline 20 см (15474),,1949,1,https://comfy.ua/skovoroda-universal-naja-kela-stoneline-20-sm-15474.html,2999,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
708775702,,,,,.1655620,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Pro for Samsung Galaxy A21s SM-A217 Black 0.33mm (ARM56252-GPR-BK),,149,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-pro-for-samsung-galaxy-a21s-sm-a217-black-0-33mm-arm56252-gpr-bk.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
708775758,,,,,1654489,Посуда >> Для приготовления,berlingerhaus,Сковорода гриль BerlingerHaus 28 см (BH 6005),,2193,1,https://comfy.ua/skovoroda-gril-berlingerhaus-28-sm-bh-6005.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
708775813,6609948,TEFAL,Сковорода TEFAL Simply&Clean 24 см Black (B5670453),599,1655535,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal B5670453 Simply Clean 24 см,,599,1,https://comfy.ua/skovoroda-universal-naja-tefal-b5670453-simply-clean-24-sm.html,839,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,3
708775830,,,,,1653431,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover Xiaomi Redmi Note 9S / Note 9 Pro / Note 9 Pro Max Black (704835),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-xiaomi-redmi-note-9s-note-9-pro-note-9-pro-max-black-704835.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
708775831,6609953,TEFAL,Сковорода TEFAL Simply&Clean 28 см Black (B5670653),769,1655537,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal B5670653 Simply Clean 28 см,,769,1,https://comfy.ua/skovoroda-universal-naja-tefal-b5670653-simply-clean-28-sm.html,1039,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,4
708777775,,,,,1654468,Телевизоры и мультимедиа >> Аксессуары для ТВ,vogels,Кріплення для акустики Vogels SOUND 3550,,3499,1,https://comfy.ua/saundbar-vogels-sound-3550.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
708785289,,,,,.1589406,"Аудио, фото и видео >> Акустика",defender,Комп'ютерна акустика звичайна 2.0 Defender SPK 240 Black,,339,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-defender-spk-240-black.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
708786767,6577421,BERLINGER HAUS,Ковш BERLINGER HAUS 1.2 л (BH 6032),800,1654497,Посуда >> Для приготовления,berlingerhaus,Ківш BerlingerHaus 1.2 л 16 см (BH 6032),,799,1,https://comfy.ua/kovsh-berlingerhaus-1-2-l-16-sm-bh-6032.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
708786773,6633698,ARDESTO,Ковш ARDESTO Gemini Bari 1.6 л (AR1916SS),539,1657187,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Ardesto,ardesto,Ківш Ardesto AR1916SS Gemini Bari 1.6 л,,485,1,https://comfy.ua/kovsh-ardesto-gemini-1-6-l-ar1916ss.html,719,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
708786787,6517150,KELA,Ковш KELA Cailin 1.5 л (10964),1839,1648385,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Kela,kela,Ківш Kela Cailin 16 см 1.5 л (10964),,1839,1,https://comfy.ua/kovsh-kela-cailin-16-sm-1-5-l-10964.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
708786888,6670540,KELA,Набор для фондю KELA Lancy 10 пр (16564),5249,1650170,Посуда >> Для приготовления >> Специальная посуда >> Специальная посуда Kela,kela,Набір для фондю Kela Lancy 10 пр. (16564),,5249,1,https://comfy.ua/nabor-dlja-fondju-kela-lancy-10-pr-16564.html,6999,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
708787055,,,,,1654433,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды BerlingerHaus,berlingerhaus,Кришка для посуду BerlingerHaus BH 1 925 20 см,,335,1,https://comfy.ua/kryshka-dlja-posudy-berlingerhaus-bh-1925-20-sm.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
708787070,,,,,1654434,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды BerlingerHaus,berlingerhaus,Кришка для посуду BerlingerHaus BH 1926 24 см,,384,1,https://comfy.ua/kryshka-dlja-posudy-berlingerhaus-bh-1926-24-sm.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
708787189,6517237,KELA,Крышка KELA Callisto 20 см (10871),529,1648390,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды Kela,kela,Кришка для посуду Kela Callisto 20 см (10871),,529,1,https://comfy.ua/kryshka-dlja-posudy-kela-callisto-20-sm-10871.html,659,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
708787221,6517242,KELA,Крышка KELA Concetta 16-20 см (11440),839,1648395,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды Kela,kela,Кришка для посуду Kela Concetta 16-20 см (11440),,839,1,https://comfy.ua/kryshka-dlja-posudy-kela-concetta-16-20-sm-11440.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
708787231,6517244,KELA,Крышка KELA Concetta 28-32 см (11442),1439,1648397,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды Kela,kela,Кришка для посуду Kela Concetta 28-32 см (11442),,1439,1,https://comfy.ua/kryshka-dlja-posudy-kela-concetta-28-32-sm-11442.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
708787232,6630887,ARDESTO,Кастрюля ARDESTO Gemini 2.2 л нержавеющая сталь (AR1922AS),649,1657188,Посуда >> Для приготовления,ardesto,Каструля Ardesto AR1922AS Gemini Vittoria 2.2 л,,599,1,https://comfy.ua/kastrjulja-ardesto-gemini-2-2-l-ar1922as.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
708787239,6633695,ARDESTO,Кастрюля ARDESTO Gemini Bari 2.3 л (AR1923SS),509,1657189,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Ardesto,ardesto,"Каструля Ardesto AR1923SS Gemini Bari 2,3 л",,539,1,https://comfy.ua/kastrjulja-ardesto-gemini-3-l-ar1923ss.html,809,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
708787247,6633696,ARDESTO,Кастрюля ARDESTO Gemini Bari 3.2 л (AR1932SS),729,1657191,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Ardesto,ardesto,Каструля Ardesto AR1932SS Gemini Bari 3.2 л,,729,1,https://comfy.ua/kastrjulja-ardesto-gemini-3-2-l-ar1932ss.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
708787276,6577422,BERLINGER HAUS,Кастрюля BERLINGER HAUS I-Rose Edition 2.2 л Metallic Pink (BH-6034),1509,1654499,Посуда >> Для приготовления >> Кастрюли >> Кастрюли BerlingerHaus,berlingerhaus,Каструля BerlingerHaus 2.2 л (BH 6034),,1419,1,https://comfy.ua/kastrjulja-berlingerhaus-2-2-l-bh-6034.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
708787323,6577397,BERLINGER HAUS,Кастрюля BERLINGER HAUS Metallic Line 4.1 л Rose Gold (BH-1515N),1611,1654388,Посуда >> Для приготовления >> Кастрюли >> Кастрюли BerlingerHaus,berlingerhaus,Каструля BerlingerHaus з кришкою 4.1 л (BH 1515N),,1391,1,https://comfy.ua/kastrjulja-berlingerhaus-s-kryshkoj-4-1-l-bh-1515n.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
708787331,6577418,BERLINGER HAUS,"Кастрюля BERLINGER HAUS Moonlight Collection 4,1 л Grey (BH-6012)",1719,1654492,Посуда >> Для приготовления >> Кастрюли >> Кастрюли BerlingerHaus,berlingerhaus,Каструля BerlingerHaus 4.1 л 24 см (BH 6012),,1599,1,https://comfy.ua/kastrjulja-berlingerhaus-4-1-l-24-sm-bh-6012.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
708787332,6577423,BERLINGER HAUS,Кастрюля BERLINGER HAUS I-Rose Edition 4.1 л Metallic Pink (BH-6035),1729,1654500,Посуда >> Для приготовления >> Кастрюли >> Кастрюли BerlingerHaus,berlingerhaus,Каструля BerlingerHaus 4.1 л (BH 6035),,1729,1,https://comfy.ua/kastrjulja-berlingerhaus-4-1-l-bh-6035.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
708787333,6577426,BERLINGER HAUS,Кастрюля BERLINGER HAUS Emerald Collection 4.1 л Green (BH-6058),2193,1654994,Посуда >> Для приготовления >> Кастрюли >> Кастрюли BerlingerHaus,berlingerhaus,Каструля BerlingerHaus 4.1 л (BH 6058),,2193,1,https://comfy.ua/kastrjulja-berlingerhaus-4-1-l-bh-6058.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
708787350,,,,,1654381,Посуда >> Для приготовления >> Кастрюли >> Кастрюли BerlingerHaus,berlingerhaus,Каструля BerlingerHaus з кришкою 6.1 л (BH 1236N),,1801,1,https://comfy.ua/kastrjulja-berlingerhaus-s-kryshkoj-6-1-l-bh-1236n.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
708787351,6577398,BERLINGER HAUS,Кастрюля BERLINGER HAUS Metallic Line 6.1 л Rose Gold (BH-1516N),1944,1654389,Посуда >> Для приготовления >> Кастрюли >> Кастрюли BerlingerHaus,berlingerhaus,Каструля BerlingerHaus з кришкою 6.1 л (BH 1516N),,1944,1,https://comfy.ua/kastrjulja-berlingerhaus-s-kryshkoj-6-1-l-bh-1516n.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
708787359,,,,,.1627051,Посуда >> Для приготовления,ballarini,"Каструля Ballarini 0,6 л (1000167)",,1660,1,https://comfy.ua/kastrjulja-ballarini-0-6-l-1000167.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
708787424,,,,,1648373,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Kela,kela,Каструля Kela Niklas 20 см 2.4 л (12201),,1664,1,https://comfy.ua/kastrjulja-kela-niklas-20-sm-2-4-l-12201.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
708787441,6517142,KELA,Кастрюля KELA Stella Nova 2.2 л Black (12218),3679,1648377,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Kela,kela,Каструля Kela Stella Nova 20 см 2.2 л (12218),,3679,1,https://comfy.ua/kastrjulja-kela-stella-nova-20-sm-2-2-l-12218.html,4599,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
708787458,6517132,KELA,Кастрюля KELA Cailin 6 л (10960),3396,1648298,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Kela,kela,Каструля Kela Cailin 24 см 6.0 л (10960),,3396,1,https://comfy.ua/kastrjulja-kela-cailin-24-sm-6-0-l-10960.html,4529,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
708787465,6670213,KELA,Кастрюля KELA Cailin 5.8 л (10991),6199,1648288,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Kela,kela,Каструля Kela Cailin 24 см 5.8 л для пасти (10991),,6199,1,https://comfy.ua/kastrjulja-kela-cailin-24-sm-5-8-l-dlja-pasty-10991.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
708787466,6670215,KELA,Кастрюля KELA Cailin 13.5 л (10962),6469,1648300,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Kela,kela,Каструля Kela Cailin 28 см 13.5 л (10962),,6469,1,https://comfy.ua/kastrjulja-kela-cailin-28-sm-13-5-l-10962.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
708787471,,,,,1070545,Посуда >> Для приготовления >> Кастрюли >> Кастрюли de Buyer,de-buyer,"Каструля de Buyer 3,3 л 6242.20",,31469,1,https://comfy.ua/kastrjulja-de-buyer-3-3-l-6242-20.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
