1034571157,column,column,column,column,1866974,Детские товары >> Игрушки для малышей,toystate,___toy_state___90013,column,669,1,httpscomfyuainteraktivnajaigrushkaplastikovajatoystatelesnyedruzja90013html,column,05112025_2006,column,__42,Фастів,0
1036602540,,,,,1866925,"Детские товары >> Уход, купание и гигиена",tega-baby,Дитяча ванночка Tega Baby Зайчики зі зливом 86 см Рожева (KR-004-104),,464,1,https://comfy.ua/detskaja-vannochka-tega-baby-zajchiki-so-slivom-86-sm-rozovaja-kr-004-104.html,549,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1036604702,,,,,1867842,Детские товары >> Прогулки и поездки,britax-romer,"Адаптер для коляски Britax-Romer Click&Go Silvercross Wayfarer, Pioneer (2000029299)",,900,1,https://comfy.ua/catalog/product/view/id/3070283,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1036605914,,,,,1867844,Детские товары >> Прогулки и поездки,britax-romer,Адаптер для коляски Britax-Romer Click&Go BABYZEN YOYO+ (2000026980),,900,1,https://comfy.ua/catalog/product/view/id/3070213,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1036606146,,,,,1866914,"Детские товары >> Уход, купание и гигиена",tega-baby,Дитяча ванночка Tega Baby Зайчики зі зливом 86 см М'ятна (KR-004-105),,464,1,https://comfy.ua/detskaja-vannochka-tega-baby-zajchiki-so-slivom-86-sm-mjatnaja-kr-004-105.html,535,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1036611192,6789430,ARDESTO,Френч-пресс ARDESTO Gemini Fasano 600 мл (AR1906FFP),355,1865986,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Ardesto,ardesto,Френч-прес Ardesto Fasano 600 мл (AR1906FFP),,355,1,https://comfy.ua/french-press-ardesto-fasano-600-ml-ar1906ffp.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1036611193,6789426,ARDESTO,Френч-пресс ARDESTO Gemini Asti 600 мл (AR1906AFP),319,1865984,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Ardesto,ardesto,Френч-прес Ardesto Gemini Asti 600 мл (AR1906AFP),,319,1,https://comfy.ua/french-press-ardesto-gemini-asti-600-ml-ar1906afp.html,429,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1036611194,6789432,ARDESTO,Френч-пресс ARDESTO Gemini 600 мл (AR1906BG),315,1865985,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Ardesto,ardesto,Френч-прес Ardesto Gemini 600 мл (AR1906BG),,315,1,https://comfy.ua/french-press-ardesto-gemini-600-ml-ar1906bg.html,439,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1036611196,6789423,ARDESTO,Френч-пресс ARDESTO Fresh 800 мл (AR1108BFM),447,1865982,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Ardesto,ardesto,Френч-прес Ardesto Fresh 800 мл Blue Tiffany (AR1108BFM),,519,1,https://comfy.ua/french-press-ardesto-fresh-800-ml-blue-tiffany-ar1108bfm.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1036611197,,,,,1865990,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Ardesto,ardesto,Френч-прес Ardesto Gemini Fasano 1000 мл (AR1910FFP),,415,1,https://comfy.ua/french-press-ardesto-gemini-fasano-1000-ml-ar1910ffp.html,549,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1036611198,6789433,ARDESTO,Френч-пресс ARDESTO Gemini 800 мл (AR1908WG),439,1865989,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Ardesto,ardesto,Френч-прес Ardesto Gemini 800 мл (AR1908WG),,439,1,https://comfy.ua/french-press-ardesto-gemini-800-ml-ar1908wg.html,549,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1036613913,,,,,1866928,"Детские товары >> Уход, купание и гигиена",tega-baby,Дитяча ванночка Tega Baby Зайчики зі зливом 92 см Світло-зелена (KR-011-105),,482,1,https://comfy.ua/detskaja-vannochka-tega-baby-zajchiki-so-slivom-92-sm-svetlo-zelenaja-kr-011-105.html,550,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1036615210,7086317,TEGA BABY,Ванночка Tega Baby Кролики Powder Pink (KR-011-104),429,1866918,"Детские товары >> Уход, купание и гигиена >> Ванночки и подставки для купания >> Ванночки и подставки для купания Tega Baby",tega-baby,Дитяча ванночка Tega Baby Зайчики зі зливом 92 см Світло-рожева (KR-011-104),,464,1,https://comfy.ua/detskaja-vannochka-tega-baby-zajchiki-so-slivom-92-sm-svetlo-rozovaja-kr-011-104.html,559,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1036615828,,,,,1866923,"Детские товары >> Уход, купание и гигиена",tega-baby,Дитяча ванночка Tega Baby LUX Сова 102 см Сіра (SO-005-106),,541,1,https://comfy.ua/detskaja-vannochka-tega-baby-lux-sova-102-sm-seraja-so-005-106.html,619,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1036618445,,,,,1858902,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",zyxel,Точка доступу Zyxel NWA50AX (NWA50AX-EU0102F),,3899,1,https://comfy.ua/catalog/product/view/id/2983523,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1036619886,6745796,ELEYUS,Вытяжка ELEYUS Breeze 700 60 BL,3799,1867549,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка вбудована ELEYUS Breeze 700 60 BL,,3799,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-breeze-700-60-bl.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1036619887,6745802,ELEYUS,Вытяжка ELEYUS Breeze 700 60 WH,3799,1867550,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка вбудована ELEYUS Breeze 700 60 WH,,3799,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-breeze-700-60-wh.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1036620463,,,,,1866909,"Детские товары >> Уход, купание и гигиена >> Ванночки и подставки для купания >> Ванночки и подставки для купания Tega Baby",tega-baby,Дитяча ванночка Tega Baby LUX Зайчики зі зливом 102 см Світло-рожева (KR-005-104),,593,1,https://comfy.ua/detskaja-vannochka-tega-baby-lux-zajchiki-so-slivom-102-sm-svetlo-rozovaja-kr-005-104.html,679,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1036629798,,,,,1867580,Детские товары >> Прогулки и поездки,britax-romer,Автокрісло Britax-Romer TRIFIX2 i-SIZE Cosmos Black,,14025,1,https://comfy.ua/catalog/product/view/id/3070343,16500,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1036631376,,,,,.1845644,Посуда >> Для запекания и выпечки,vittora,"Форма для приготування Vittora 2,1л 23x20x10 см (109806)",,298,1,https://comfy.ua/forma-dlja-prigotovlenija-vittora-2-1l-23x20x10-sm-109806.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1036637175,,,,,1866093,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,arkade,Геймпад Arkade з футляром Black (850002584080),,199,1,https://comfy.ua/gejmpad-arkade-s-futljarom-black-850002584080.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1036637176,,,,,1866092,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,arkade,Геймпад Arkade з футляром Black (850002584073),,114,1,https://comfy.ua/gejmpad-arkade-s-futljarom-black-850002584073.html,159,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1036637178,,,,,1866091,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,arkade,Геймпад Arkade Battle Clips Black (850002584066),,249,1,https://comfy.ua/gejmpad-arkade-battle-clips-black-850002584066.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1036637180,,,,,.1866090,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,arkade,Геймпад Arkade Battle Pack з футляром Black (850002584059),,299,1,https://comfy.ua/gejmpad-arkade-battle-pack-s-futljarom-black-850002584059.html,419,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1036642952,6723578,TRAMONTINA,Терка TRAMONTINA Utilita Red (25106/470),216,1861037,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Tramontina",tramontina,Терка Tramontina Utilita Red (25106/470),,257,1,https://comfy.ua/terka-tramontina-utilita-red-25106-470.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1036642953,6723577,TRAMONTINA,Терка TRAMONTINA Utilita Black (25106/400),216,1861036,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Tramontina",tramontina,Терка Tramontina Utilita Black (25106/400),,305,1,https://comfy.ua/terka-tramontina-utilita-black-25106-400.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1036642954,6723580,TRAMONTINA,Терка TRAMONTINA Utilita Black (25695/100),298,1861038,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Tramontina",tramontina,Терка Tramontina Utilita Black (25695/100),,332,1,https://comfy.ua/terka-tramontina-utilita-black-25695-100.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1036647509,6789429,ARDESTO,Френч-пресс ARDESTO Gemini Fasano 350 мл (AR1935FFP),245,1865992,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Ardesto,ardesto,Френч-прес Ardesto Gemini Fasano 350 мл (AR1935FFP),,245,1,https://comfy.ua/french-press-ardesto-gemini-fasano-350-ml-ar1935ffp.html,325,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1036647510,6789425,ARDESTO,Френч-пресс ARDESTO Gemini Asti 350 мл (AR1935AFP),245,1865991,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Ardesto,ardesto,Френч-прес Ardesto Gemini Asti 350 мл (AR1935AFP),,245,1,https://comfy.ua/french-press-ardesto-gemini-asti-350-ml-ar1935afp.html,325,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
