790640671,column,column,column,column,1720885,Инструменты и автотовары >> Ручные инструменты,haisser,i_haisser_14_90_profi,column,435,1,httpscomfyuakljuchtreschetkahaisser1490profihtml,column,05112025_2155,column,__42,Фастів,0
790962529,6661384,DEFENDER,Гарнитура DEFENDER Twins 636 TWS Pro Bluetooth White (63636),1009,1751637,"Аудио, фото и видео >> Наушники >> Наушники Defender",defender,Навушники вкладиші бездротові TWS Defender Twins 636 Pro TWS Bluetooth White (63636),,1009,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-defender-twins-636-pro-tws-bluetooth-white-63636.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
790962532,,,,,1748216,Техника для кухни >> Крупная техника,vestfrost,Варильна поверхня газова Vestfrost GWHV38C,,6599,1,https://comfy.ua/varochnaja-panel-gazovaja-vestfrost-gwhv38c.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
790962539,,,,,1263130,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Bburago,bburago,Колекційний легковий транспорт Bburago Автомоделі міні асорті 1:64 (18-59000),,139,1,https://comfy.ua/kollekcionnyj-legkovoj-transport-bburago-avtomodeli-mini-assorti-1-64-18-59000.html,,06.11.2025 0:49,,"вул. Соборна, 42",Фастів,0
790962547,,,,,.1719202,Техника для кухни >> Мелкая техника,tescoma,Блендер заглибний tescoma President (909020),,4299,1,https://comfy.ua/blender-pogruzhnoj-tescoma-president-909020.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
790962552,6662401,TEFAL,Утюг TEFAL FV6840E0,2999,1748392,Техника для дома >> Мелкая техника >> Утюги >> Утюги Tefal,tefal,Праска Tefal Ultragliss Plus FV6840E0,,2999,1,https://comfy.ua/utjug-tefal-ultragliss-plus-fv6840e0.html,3599,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
791108298,,,,,1753934,Детские товары >> Подгузники и пеленание,smile,Вологі серветки для немовлят Smile Baby з клапаном 72 шт. (4823071617870),,106,1,https://comfy.ua/catalog/product/view/id/1982963,132,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
791132728,,,,,1751527,Техника для дома >> Мелкая техника,electrolux,Пилосос для сухого прибирання без мішка Electrolux PC91-ALRG,,11999,1,https://comfy.ua/catalog/product/view/id/1983113,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
791145389,,,,,1752970,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Acer 65W 19V 3,42A, 4.0x1.35 (08706 / LAC65/12-4.0x1.35)",,379,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-acer-65w-19v-3-42a-4-0x1-35-08706-lac65-12-4-0x1-35.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
791152437,,,,,.1752737,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",maxxter,Хаб USB Maxxter HU2A-4P-01,,199,1,https://comfy.ua/hab-usb-maxxter-hu2a-4p-01.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
791152439,,,,,.1752742,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",maxxter,Хаб USB Maxxter HU3A-4P-02,,429,1,https://comfy.ua/hab-usb-maxxter-hu3a-4p-02.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
791152440,,,,,.1752741,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",maxxter,Хаб USB Maxxter HU3C-4P-02,,449,1,https://comfy.ua/hab-usb-maxxter-hu3c-4p-02.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
791152441,,,,,1752738,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",maxxter,Хаб USB Maxxter HU3A-4P-01,,599,1,https://comfy.ua/hab-usb-maxxter-hu3a-4p-01.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
791162692,,,,,.1752932,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для планшета BeCover Smart for Samsung Galaxy Tab S6 Lite SM-P610/SM-P615 Spring (705201),,399,1,https://comfy.ua/chehol-dlja-plansheta-becover-smart-for-samsung-galaxy-tab-s6-lite-sm-p610-sm-p615-spring-705201.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
791168287,,,,,1751380,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 629426 Delicia SiliconPRIME,,1208,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-629426-delicia-siliconprime.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
791168490,,,,,1751372,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 623145 Delicia Diamond 24 см,,2599,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-623145-delicia-diamond-24-sm.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
791168491,,,,,1751379,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 623146 Delicia Rosette 24 см,,2599,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-623146-delicia-rosette-24-sm.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
791175904,,,,,.1751426,Посуда >> Для приготовления,tescoma,Каструля tescoma 780424 Bordeaux 24 см 4.7 л,,4399,1,https://comfy.ua/kastrjulja-tescoma-780424-bordeaux-24-sm-4-7-l.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
791179712,,,,,1752954,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Asus",asus,Килимок для миші ігровий Asus ROG Sheath Box Black (90MP00K1-B0UC00),,1499,1,https://comfy.ua/kovrik-dlja-myshi-asus-rog-sheath-box-black-90mp00k1-b0uc00.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
791181156,,,,,1751420,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для авокадо tescoma 643660 Handy,,329,1,https://comfy.ua/nozh-dlja-avokado-tescoma-643660-handy.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
791181456,6874069,DUCK,Средство для чистки унитаза DUCK 5в1 Морской 900 мл (4823002005301),170,1740683,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза SC Johnson,sc-johnson,Засіб для чищення унітазу SC Johnson Утенок 5в1 Морськой 900 мл (4823002005301),,143,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-sc-johnson-utenok-5v1-mors-koj-900-ml-4823002005301.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
791181586,6681399,PRONTO,Средство для мытья пола PRONTO с миндальным маслом 750мл (4823002005295),232,1740682,Бытовая химия >> Все для уборки >> Средства для мытья пола >> Средства для мытья пола SC Johnson,sc-johnson,Засіб для чищення універсальний SC Johnson Pronto для підлоги 750 мл з мигдальною олією (4823002005295),,195,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-sc-johnson-pronto-dlja-pola-750-ml-s-mindal-nym-maslom-4823002005295.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
791210096,,,,,1751383,Посуда >> Кухонные аксессуары,tescoma,Млинок для спецій tescoma 642800 Vitamino для перцю 15 см,,1199,1,https://comfy.ua/mel-nica-dlja-specij-tescoma-642800-vitamino-dlja-perca-15-sm.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
791210327,,,,,1751384,Посуда >> Кухонные аксессуары,tescoma,Млинок для спецій tescoma 642801 Vitamino для перцю 18 см,,1299,1,https://comfy.ua/mel-nica-dlja-specij-tescoma-642801-vitamino-dlja-perca-18-sm.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
791210330,7088136,PEUGEOT,Мельница для соли PEUGEOT (24208),1611,1752687,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot для солі 10 см 24208,,1950,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-dlja-soli-10-sm-24208.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
791239798,6653227,EUROGRAPHICS,Пазл EUROGRAPHICS Кристал-Милл Колорадо 1000 элементов (6000-5473),875,1754081,Детские товары >> Игрушки >> Пазлы >> Пазлы EuroGraphics,eurographics,"Пазли (8 +) EuroGraphics Кристал-Милл, Колорадо, 1000 элементов (6000-5473)",,875,1,https://comfy.ua/pazly-kartonnye-8-eurographics-kristal-mill-kolorado-1000-jelementov-6000-5473.html,,06.11.2025 1:32,,"вул. Соборна, 42",Фастів,0
791239830,6672266,ELECTROLUX,Пылесос ELECTROLUX PC91-ALRG,11999,1751527,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Electrolux,electrolux,Пилосос для сухого прибирання без мішка Electrolux PC91-ALRG,,11999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-electrolux-pc91-alrg.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
791239834,,,,,1753934,Детские товары >> Подгузники и пеленание >> Влажные и сухие детские салфетки >> Влажные и сухие детские салфетки Smile,smile,Вологі серветки для немовлят Smile Baby з клапаном 72 шт. (4823071617870),,106,1,https://comfy.ua/vlazhnye-salfetki-dlja-grudnichkov-smile-baby-s-klapanom-72-sht-4823071617870.html,132,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
791239841,,,,,1752270,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Candy,candy,Пральна машина Candy CSO4 1175TBE/1-S,,12999,1,https://comfy.ua/stiral-naja-mashina-candy-cso4-1175tbe-1-s.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
