754483378,,,,,1705856,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Fisher-Price,fisher-price,Сортер Fisher-Price Метелик (CDC22),,349,1,https://comfy.ua/sorter-fisher-price-babochka-cdc22.html,449,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
754483380,6375636,ORIBEL,Настенная игрушка ORIBEL OR807-90001,180,1716128,Детские товары >> Игрушки для малышей,oribel,Інтерактивна тварина Oribel Veritiplay Молоточок Жабка (OR807-90001),,209,1,https://comfy.ua/razvivajuschij-kovrik-oribel-veritiplay-molotochek-zhabka-or807-90001.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
754483383,6375950,ORIBEL,Игрушка на стену ORIBEL OR805-90001,833,1716127,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Oribel,oribel,Бізіборд-дошка Oribel Veritiplay Лось Гуфі (OR805-90001),,999,1,https://comfy.ua/razvivajuschij-kovrik-oribel-veritiplay-los-gufi-or805-90001.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
754483396,6375635,ORIBEL,Настенная игрушка ORIBEL OR803-90001,180,1716126,Детские товары >> Игрушки для малышей >> Развивающие коврики >> Развивающие коврики Oribel,oribel,Розвиваючий килимок Oribel Veritiplay Молоточок Їжачок (OR803-90001),,209,1,https://comfy.ua/razvivajuschij-kovrik-oribel-veritiplay-molotochek-ezhik-or803-90001.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
754483403,,,,,1705890,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Mega Bloks,mega-bloks,Пластиковий конструктор для малюків Mega Bloks розовый в мешке (80 дет.) (DCH62),,1199,1,https://comfy.ua/plastikovyj-konstruktor-dlja-malyshej-mega-bloks-rozovyj-v-meshke-80-det-dch62.html,,05.11.2025 23:49,,"вул. Соборна, 42",Фастів,0
754483426,6375900,ORIBEL,Игрушка на стену ORIBEL OR801-90001,666,1716123,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Oribel,oribel,Бізіборд-дошка Oribel Veritiplay Будинок містера Білки на дереві (OR801-90001),,799,1,https://comfy.ua/razvivajuschij-kovrik-oribel-veritiplay-dom-mistera-belki-na-dereve-or801-90001.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
754483434,6439775,ORIBEL,Игрушка на стену ORIBEL Веселый кролик и его друзья (OR800-90001),400,1716121,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Oribel,oribel,Бізіборд-дошка Oribel Veritiplay Веселий кролик і його друзі (OR800-90001),,479,1,https://comfy.ua/razvivajuschij-kovrik-oribel-veritiplay-veselij-krolik-i-ego-druz-ja-or800-90001.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
754483450,,,,,1705815,Детские товары >> Игрушки >> Книги >> Интерактивные книги >> Интерактивные книги Fisher-Price,fisher-price,Інтерактивна книга Fisher-Price Музична книжечка зі віршиками (укр.) (DKK16),,1399,1,https://comfy.ua/interaktivnaja-kniga-fisher-price-muzykal-naja-knizhechka-so-stishkami-ukr-dkk16.html,,05.11.2025 23:48,,"вул. Соборна, 42",Фастів,0
754483465,,,,,1705824,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Fisher-Price,fisher-price,Інтерактивний гаджет Fisher-Price Розумний планшет із технологією Smart Stages (укр.) (FBR86),,1599,1,https://comfy.ua/interaktivnyj-gadzhet-fisher-price-umnyj-planshet-s-tehnologiej-smart-stages-ukr-fbr86.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
754483468,,,,,1702637,Детские товары >> Творчество и развитие >> Лепка >> Лепка Hasbro,hasbro,Матеріали Hasbro Play-Doh 8 кольорів Неон (E5044_E5063),,475,1,https://comfy.ua/rashodniki-hasbro-play-doh-8-cvetov-neon-e5044-e5063.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
754483514,,,,,1705823,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Fisher-Price,fisher-price,Інтерактивний гаджет Fisher-Price Веселий телефон (FGW66),,749,1,https://comfy.ua/interaktivnyj-gadzhet-fisher-price-vesjolyj-telefon-fgw66.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
754483522,,,,,1702626,Детские товары >> Творчество и развитие >> Лепка >> Лепка Hasbro,hasbro,Матеріали Hasbro Play-Doh пластилін в баночці 112 м жовтий (B6756_B7412),,65,1,https://comfy.ua/rashodniki-hasbro-play-doh-plastilin-v-banochke-112-g-zheltyj-b6756-b7412.html,89,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
754483530,,,,,1713751,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Hot Wheels,hot-wheels,Набір базових машинок Hot Wheels 20 шт. (В ас.) (H7045),,2199,1,https://comfy.ua/nabor-bazovyh-mashinok-hot-wheels-20-sht-v-as-h7045.html,,05.11.2025 23:40,,"вул. Соборна, 42",Фастів,0
754484020,6651074,MIELE,Кофемашина MIELE CM 5510 Silence Gold,54689,1714068,Техника для кухни >> Мир кофе,miele,Кавомашина Miele CM 5510 рожеве золото,,54689,1,https://comfy.ua/kofemashina-miele-cm-5510-rozheve-zoloto.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
754484028,,,,,1453157,OUTLET,tefal,Уцінка - Тостер Tefal TT420D30 #,,1799,1,https://comfy.ua/toster-tefal-tt420d30-ucenka-1-1.html,1889,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
754723111,6613688,JANOD,Набор музыкальных инструментов Janod серия Конфетти (J07600),1226,1715711,Детские товары >> Игрушки для малышей,janod,Ксилофон Janod Серія Конфетті (J07600),,1279,1,https://comfy.ua/catalog/product/view/id/1754593,1599,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
754723127,,,,,1705711,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол Barbie",barbie,Транспорт для ляльки Barbie Джип (GMT46),,1699,1,https://comfy.ua/transport-dlja-kukly-barbie-dzhip-gmt46.html,,06.11.2025 0:43,,"вул. Соборна, 42",Фастів,0
