1322729627,column,column,column,column,1760856,Техника для дома >> Крупная техника,leov,_leov_lv_slim_50_l,column,5399,1,httpscomfyuacatalogproductviewid3995393,column,05112025_1819,column,__42,Фастів,0
1324270285,,,,,1987954,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши A4tech",a4tech,Килимок для миші A4tech FP75 Black,,359,1,https://comfy.ua/kovrik-dlja-myshi-a4tech-fp75-black.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
1324343222,,,,,.1942776,Посуда >> Кухонные аксессуары,gusto,"Млинок для спецій Gusto 12,5 см (GT-6712)",,309,1,https://comfy.ua/mel-nica-dlja-specij-gusto-12-5-sm-gt-6712.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1324343236,,,,,1942777,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Gusto,gusto,Млинок для спецій Gusto 20 см (GT-6720),,379,1,https://comfy.ua/mel-nica-dlja-specij-gusto-20-sm-gt-6720.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1324644638,,,,,2027814,Смартфоны и телефоны >> Аксессуары для смартфонов,makefuture,Автомобільний зарядний пристрій MakeFuture 18W PD + QC3.0 Black (MCC-33PBK),,349,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-makefuture-18w-pd-qc3-0-black-mcc-33pbk.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1324832980,,,,,2000882,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",orico,Хаб USB Orico USB 2.0 4 порта (FL01-BK-BP),,319,1,https://comfy.ua/hab-usb-orico-usb-2-0-4-porta-fl01-bk-bp.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
1324905888,6860611,KARCHER,"Фильтр KARCHER к WD 2, WD 3 та WD 3 Battery (2.863-303.0)",622,1969481,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Karcher,karcher,"Фільтр для пилососу Karcher для WD 2, WD 3 та WD 3 Battery (2.863-303.0)",,659,1,https://comfy.ua/fil-tr-dlja-pylesosa-karcher-dlja-wd-2-wd-3-i-wd-3-battery-2-863-303-0.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1325831131,,,,,1987946,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши A4tech",a4tech,Килимок для миші A4tech FP20 Black,,169,1,https://comfy.ua/kovrik-dlja-myshi-a4tech-fp20-black.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1326116240,,,,,1999714,Смартфоны и телефоны >> Аксессуары для смартфонов,gembird,Автомобільний зарядний пристрій Gembird TA-U2C48A-CAR-01,,149,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-gembird-ta-u2c48a-car-01.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1326116243,,,,,1999715,Смартфоны и телефоны >> Аксессуары для смартфонов,gembird,Автомобільний зарядний пристрій Gembird TA-U2QC3-CAR-01,,189,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-gembird-ta-u2qc3-car-01.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1326339775,,,,,2003117,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,"Картридж для лазерних принтерів/БФП PowerPlant Samsung SL-M2625, 2626 (MLT-D116L) (PP-MLT-D116L)",,599,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-powerplant-samsung-sl-m2625-2626-mlt-d116l-pp-mlt-d116l.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1326339780,,,,,.1575981,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для лазерних принтерів/БФП PowerPlant JY-2000/20 (PPRA08M200S4) 4 розетки 20m Black,,699,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-powerplant-hp-lj-p2014-canon-lbp3310-q7553x-uvelichennoj-emkosti-s-chipom.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1326339781,,,,,1999542,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для лазерних принтерів/БФП PowerPlant Canon i-SENSYS LBP223dw (PP-CRG-057H),,899,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-powerplant-canon-i-sensys-lbp223dw-pp-crg-057h.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1326339782,,,,,2001894,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для лазерних принтерів/БФП PowerPlant HP Color LaserJet CP2020 CY (CC531A/CE41A),,599,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-powerplant-hp-color-laserjet-cp2020-cy-cc531a-ce41a.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1326339783,,,,,2001895,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для лазерних принтерів/БФП PowerPlant HP Color LaserJet CP2020 YL (CC532A/CE412A),,399,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-powerplant-hp-color-laserjet-cp2020-yl-cc532a-ce412a.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1326339784,,,,,2001893,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для лазерних принтерів/БФП PowerPlant HP Color LaserJet CP2020 (CC530A/CE410X),,799,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-powerplant-hp-color-laserjet-cp2020-cc530a-ce410x.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1326339785,,,,,2003118,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для лазерних принтерів/БФП PowerPlant Lexmark MS510/610 50F5U0E (PP-MS510),,999,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-powerplant-lexmark-ms510-610-50f5u0e-pp-ms510.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1327594354,6897497,RESTO,"Ковш RESTO Capella 1,4 л Black (93500)",899,2000006,Посуда >> Для приготовления,resto,Ківш RESTO 16 см (93500),,999,1,https://comfy.ua/sotejnik-resto-16-sm-93500.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1327594355,7045881,RESTO,Сотейник с крышкой RESTO Capella 28 см Black (93506),1999,2000005,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники RESTO,resto,Сотейник RESTO 28 см (93506),,1999,1,https://comfy.ua/sotejnik-resto-28-sm-93506.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1327594745,,,,,1999948,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель патч-корд Cablexpert FTP Cat6 15 м Gray (PPB6-15M),,459,1,https://comfy.ua/kabel-patch-kord-cablexpert-ftp-cat6-2-m-gray-ppb6-15m.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1327594747,,,,,2028424,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Перехідник USB-C - Ethernet Cablexpert USB 3.1 Type-C to LAN 0.15 m Black (A-CM-LAN-01),,499,1,https://comfy.ua/perehodnik-usb-type-c-rj-45-cablexpert-usb-3-1-type-c-to-lan-0-15-m-black-a-cm-lan-01.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1327594749,,,,,1999945,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель Cablexpert USB-C на HDMI 1.8 м (CC-USB3C-HDMI-01-6),,495,1,https://comfy.ua/kabel-cablexpert-usb-c-na-hdmi-1-8-m-cc-usb3c-hdmi-01-6.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
1327594750,,,,,1999944,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Cablexpert",cablexpert,Перехідник Cablexpert USB-A на HDMI/VGA (A-USB3-HDMIVGA-01),,899,1,https://comfy.ua/perehodnik-cablexpert-usb-a-na-hdmi-vga-a-usb3-hdmivga-01.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1327660030,6808468,INTENSO,Powerbank INTENSO PD20000 20000mAh (PB930227),1999,2030022,Смартфоны и телефоны >> Аксессуары для смартфонов >> Мобильные батареи >> Мобильные батареи Intenso,intenso,Батарея мобільна Intenso PD20000 Quick Charge black 20000mAh,,1399,1,https://comfy.ua/batareja-mobil-naja-intenso-pd20000-quick-charge-black-20000mah.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1327661408,,,,,2001896,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для лазерних принтерів/БФП PowerPlant HP Color LaserJet CP2020 MG (CC533A/CE413A),,499,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-powerplant-hp-color-laserjet-cp2020-mg-cc533a-ce413a.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1327679234,,,,,1780971,Смартфоны и телефоны >> Аксессуары для смартфонов,intaleo,Мережевий зарядний пристрій Intaleo TCGQPD120L (1USBx3A) White + кабель Lightning (1283126510007),,649,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-intaleo-tcgqpd120l-1usbx3a-white-kabel-lightning-1283126510007-servicy.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1327679284,,,,,1780973,Смартфоны и телефоны >> Аксессуары для смартфонов,intaleo,Мережевий зарядний пристрій Intaleo TCGQPD220 (2USBx3A) Black (1283126509995),,499,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-intaleo-tcgqpd220-2usbx3a-black-kabel-usb-type-s-1283126509995-servicy.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1327679696,,,,,1704036,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Piko",piko,Перехідник 220В Piko TA-001 White,,69,1,https://comfy.ua/ru/perehodnik-evro-220v-piko-ta-001-white.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1327697775,,,,,2000134,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков RivaCase",rivacase,Сумка для ноутбуку RIVACASE 8027 Black,,629,1,https://comfy.ua/sumka-dlja-noutbuka-rivacase-8027-black.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1327697776,,,,,2000135,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков RivaCase",rivacase,Сумка для ноутбуку RIVACASE 7522 Dark Grey,,849,1,https://comfy.ua/sumka-dlja-noutbuka-rivacase-7522-dark-grey.html,,05.11.2025 22:08,,"вул. Соборна, 42",Фастів,0
1327718576,,,,,2028418,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура бездротова A4tech FBK11 White,,749,1,https://comfy.ua/klaviatura-besprovodnaja-a4tech-fbk11-white.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1327718577,,,,,2028417,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура бездротова A4tech FBK11 Grey,,749,1,https://comfy.ua/klaviatura-besprovodnaja-a4tech-fbk11-grey.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1327718578,,,,,2028419,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура бездротова A4tech FBK25 Black,,849,1,https://comfy.ua/klaviatura-besprovodnaja-a4tech-fbk25-black.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1327718579,,,,,2028420,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура бездротова A4tech FBK25 White,,859,1,https://comfy.ua/klaviatura-besprovodnaja-a4tech-fbk25-white.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1327718589,,,,,1999954,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,"Кабель USB type A - USB type B Cablexpert USB2.0 феррит A-папа/B-папа, 1.5 м (CCFB-USB2-AMBM-1.5M)",,159,1,https://comfy.ua/kabel-usb-type-a-usb-type-b-cablexpert-usb2-0-ferrit-a-papa-b-papa-1-5-m-ccfb-usb2-ambm-1-5m.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1327718687,,,,,1999953,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель USB type A - USB type B Cablexpert USB2.0 ферит A-папа/B-папа 3 м (CCFB-USB2-AMBM-3M),,169,1,https://comfy.ua/kabel-usb-type-a-usb-type-b-cablexpert-usb2-0-ferrit-a-papa-b-papa-3-m-ccfb-usb2-ambm-3m.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1327718870,,,,,1999950,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель патч-корд Cablexpert FTP Cat6 2 м Gray (PPB6-2M),,159,1,https://comfy.ua/kabel-patch-kord-cablexpert-ftp-cat6-2-m-gray-ppb6-2m.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,1
