743690201,,,,,1678924,Посуда >> Нарезка и измельчение,tescoma,Підставка для ножів tescoma 869512 Noblesse 6 пр.,,2299,1,https://comfy.ua/podstavka-dlja-nozhej-tescoma-869512-noblesse-6-pr.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
743690489,,,,,1678931,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Набір ножів tescoma 884640 GrandChef 5 пр.,,6599,1,https://comfy.ua/podstavka-dlja-nozhej-tescoma-884640-grandchef-5-pr.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
743690490,,,,,1678926,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Набір ножів tescoma 884596 Azza 6 пр.,,9999,1,https://comfy.ua/podstavka-dlja-nozhej-tescoma-884596-azza-6-pr.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
743697193,,,,,1665260,Техника для кухни >> Крупная техника,perfelli,Витяжка декоративна Perfelli K 6202 WH 700 LED,,3399,1,https://comfy.ua/catalog/product/view/id/1305223,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
743708532,6625938,BABYLISS,Фен BABYLISS 6704E,2099,1675270,Красота и здоровье >> Уход за волосами >> Фены >> Фены Babyliss,babyliss,Фен Babyliss 6704E,,2099,1,https://comfy.ua/fen-babyliss-6704e.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,2
743723469,,,,,.1679316,Посуда >> Для напитков,tescoma,Глечик tescoma 646616 Teo 1.0 л,,1199,1,https://comfy.ua/kuvshin-tescoma-646616-teo-1-0-l.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
743723471,6609302,FLORINA,Гейзерная кофеварка Florina Alum Macchiato 250 мл (1K2659),499,1682818,"Посуда >> Для напитков >> Кофеварки гейзерные, турки >> Кофеварки гейзерные, турки FLORINA",florina,Кавоварка гейзерна FLORINA Macchiato (1K2659),,499,1,https://comfy.ua/kofevarka-gejzernaja-florina-macchiato-250-ml-1k2659.html,579,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
743723478,6609306,FLORINA,Гейзерная кофеварка Florina Lungo 300 мл (5K7138),749,1682824,"Посуда >> Для напитков >> Кофеварки гейзерные, турки >> Кофеварки гейзерные, турки FLORINA",florina,Кавоварка гейзерна FLORINA Lungo 270 мл (5K7138),,849,1,https://comfy.ua/kofevarka-gejzernaja-florina-lungo-300-ml-5k7138.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
743723690,,,,,.1679319,Посуда >> Для напитков,tescoma,Глечик tescoma 646628.17 Teo 2.5 л Orange,,2099,1,https://comfy.ua/kuvshin-tescoma-646628-17-teo-2-5-l-orange.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
743724909,,,,,.1680384,Посуда >> Для запекания и выпечки,tescoma,Набір форм для печива tescoma 630950 Delicia Kids,,199,1,https://comfy.ua/nabor-form-dlja-pechen-ja-tescoma-630950-delicia-kids.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
743724914,,,,,1679333,Посуда >> Для запекания и выпечки,tescoma,Набір форм для печива tescoma 630864 Зірки Delicia,,259,1,https://comfy.ua/nabor-form-dlja-pechen-ja-tescoma-630864-zvezdy-delicia.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
743724915,,,,,1680385,Посуда >> Для запекания и выпечки,tescoma,Набір форм для печива tescoma 631380 Delicia 6 шт,,249,1,https://comfy.ua/nabor-form-dlja-pechen-ja-tescoma-631380-delicia-6-sht.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
743724919,,,,,.1661416,Посуда >> Для сервировки,tescoma,Салатник tescoma 389216 Giro 16 см,,319,1,https://comfy.ua/salatnik-tescoma-389216-giro-16-sm.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
743724924,,,,,.1661417,Посуда >> Для сервировки,tescoma,Салатник tescoma 389220 Giro 20 см,,499,1,https://comfy.ua/salatnik-tescoma-389220-giro-20-sm.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
