1348973163,column,column,column,column,2059739,_________________ecosoft,ecosoft,___ecosoft_,column,195,1,httpscomfyuakartridzhdljafiltrakuvshinaecosoftuniversalnyjhtml,229,05112025_1723,column,__42,Фастів,2
1348993403,6824074,MINOLA,Вытяжка MINOLA HBI 5327 IV 800 LED (РН018123),3099,1991678,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 5327 IV 800 LED,,3099,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-5327-iv-800-led.html,3999,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1348993404,6893140,MINOLA,Вытяжка MINOLA HBI 5323 I 800 LED,2999,1991697,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 5323 I 800 LED,,2999,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-5323-i-800-led.html,3899,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1348993424,6825566,MINOLA,Вытяжка MINOLA HBI 5327 I 800 LED,2799,1991681,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 5327 I 800 LED,,2799,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-5327-i-800-led.html,4099,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1348993738,,,,,1879673,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Versailles,versailles,Набір келихів Versailles MISKET 6*645 мл (VS-1655),,728,1,https://comfy.ua/nabor-bokalov-versailles-misket-6-645-ml-vs-1655.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1348993739,6796627,MASTERPRO,Набор бокалов MASTERPRO 2 х 230 мл (BGMP-20202),609,2000879,Посуда >> Для сервировки >> Бокалы >> Бокалы Masterpro,masterpro,Набір келихів Masterpro 230 мл 2 шт. (BGMP-20202),,609,1,https://comfy.ua/nabor-bokalov-masterpro-230-ml-2-sht-bgmp-20202.html,1109,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
1348993754,6796626,MASTERPRO,Набор рюмок MASTERPRO 4 х 50 мл (BGMP-20201),1159,2000880,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Masterpro,masterpro,Чарка з подвійними стінками Masterpro 50 мл 4шт. набір (BGMP-20201),,1159,1,https://comfy.ua/rjumka-s-dvojnymi-stenkami-masterpro-50-ml-4-sht-nabor-bgmp-20201.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1348994031,6824081,MINOLA,Вытяжка MINOLA HBI 5627 IV 1000 LED,3579,1991684,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 5627 IV 1000 LED,,3579,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-5627-iv-1000-led.html,4699,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1348994033,6824079,MINOLA,Вытяжка MINOLA HBI 5627 GR 1000 LED (РН018127),3579,1991688,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 5627 GR 1000 LED,,3579,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-5627-gr-1000-led.html,4699,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1348994041,6824080,MINOLA,Вытяжка MINOLA HBI 5627 I 1000 LED (РН018128),3579,1991685,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 5627 I 1000 LED,,3579,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-5627-i-1000-led.html,4799,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1348994721,6660817,СТАЛЬ,Длинногубцы СТАЛЬ 180 мм (41055),180,2001875,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Сталь",stal,Плоскогубці Сталь 180 мм (67921),,229,1,https://comfy.ua/ploskogubcy-stal-180-mm-67921.html,,05.11.2025 22:39,,"вул. Соборна, 42",Фастів,0
1348994889,,,,,1977601,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Кабель HDMI PowerPlant USB-C - HDMI 1.8m (CA913350),,899,1,https://comfy.ua/kabel-hdmi-powerplant-usb-c-hdmi-1-8m-ca913350.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1349015888,6909657,SATURN,Весы кухонные SATURN ST-KS7835,359,2052718,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Saturn,saturn,Ваги кухонні Saturn ST-KS7835,,359,1,https://comfy.ua/vesy-kuhonnye-saturn-st-ks7835.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1349015889,6662843,SATURN,Весы кухонные SATURN ST-KS7822,309,2052714,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Saturn,saturn,Ваги кухонні Saturn ST-KS7822,,309,1,https://comfy.ua/vesy-kuhonnye-saturn-st-ks7822.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1349015890,7123017,SATURN,Весы кухонные SATURN ST-KS7832,219,2052717,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Saturn,saturn,Ваги кухонні Saturn ST-KS7832,,219,1,https://comfy.ua/vesy-kuhonnye-saturn-st-ks7832.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1349015892,6909654,SATURN,Весы кухонные SATURN ST-KS7831,234,2052716,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Saturn,saturn,Ваги кухонні Saturn ST-KS7831,,229,1,https://comfy.ua/vesy-kuhonnye-saturn-st-ks7831.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1349019685,7046566,GRUNTEK,Секатор GRUNTEK Kondor 200мм 2 в 1 (295200200),605,2044180,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Gruntek,gruntek,Ножиці садові Gruntek Kondor 200х20 мм (295200200),,560,1,https://comfy.ua/nozhnicy-sadovye-gruntek-kondor-200h20-mm-295200200.html,644,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1349019687,7046589,GRUNTEK,Секатор GRUNTEK Z-25 215мм (295215025),707,2044178,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Gruntek,gruntek,Ножиці садові Gruntek Z-25 215 мм (295215025),,755,1,https://comfy.ua/nozhnicy-sadovye-gruntek-z-25-215-mm-295215025.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1349019689,7046560,GRUNTEK,Ножницы садовые GRUNTEK Panthera 640мм / 230мм (295304530),864,2044181,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Gruntek,gruntek,Ножиці садові Gruntek Panthera 640х230 мм (295304530),,915,1,https://comfy.ua/nozhnicy-sadovye-gruntek-panthera-640h230-mm-295304530.html,995,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1349019690,7046561,GRUNTEK,Ножницы садовые GRUNTEK Marabu 660мм / 320мм (295303660),965,2044182,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Gruntek,gruntek,Ножиці садові Gruntek Marabu 650 мм (295303660),,1025,1,https://comfy.ua/nozhnicy-sadovye-gruntek-marabu-650-mm-295303660.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1349019979,6809168,AENO,Гриль AENO EG2,1999,2050188,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю AENO,aeno,Гриль-барбекю електричний AENO EG2 (AEG0002),,1999,1,https://comfy.ua/gril-barbekju-jelektricheskij-aeno-eg2-aeg0002.html,3999,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1349020047,,,,,1976623,Инструменты и автотовары >> Ручные инструменты,stal,Ножівка Сталь 300 мм (40114),,105,1,https://comfy.ua/nozhovka-stal-300-mm-40114.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1349020210,6809167,AENO,Гриль AENO EG1 (AEG0001),5399,2050187,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю AENO,aeno,Гриль-барбекю електричний AENO EG1 (AEG0001),,5399,1,https://comfy.ua/gril-barbekju-jelektricheskij-aeno-eg1-aeg0001.html,7999,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1349020462,,,,,.2056027,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Motorola Moto G9 Play Black (1283126509032),,149,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-motorola-moto-g9-play-black-1283126509032.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1349020546,6795894,АКВАФОР,Фильтр-кувшин АКВАФОР Компакт 2.5 л Green,439,2053218,Техника для кухни >> Системы и фильтры для воды >> Фильтры-кувшины >> Фильтры-кувшины Аквафор,akvafor,Фільтр-глечик Аквафор Компакт з модулем В25 (салатовий),,439,1,https://comfy.ua/fil-tr-kuvshin-akvafor-kompakt-s-modulem-v25-salatovyj.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1349020550,6818983,BWT,Фильтр-кувшин BWT Vida Electronic 2.6 л Blue (9022001903495),685,2050016,Техника для кухни >> Системы и фильтры для воды,bwt,"Фільтр-глечик BWT Vida electronic petrol 2,6л",,685,1,https://comfy.ua/fil-tr-kuvshin-bwt-vida-electronic-petrol-2-6l.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
