1687744664,,,,,.2693131,Инструменты и автотовары >> Ручные инструменты,milwaukee,Плоскогубці Milwaukee Heavy Duty 250 мм (48226100),,1495,1,https://comfy.ua/ploskogubcy-milwaukee-heavy-duty-250-mm-48226100.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
1687744665,,,,,.2696380,Инструменты и автотовары >> Ручные инструменты,milwaukee,Кліщі Milwaukee 180 мм (4932492458),,1699,1,https://comfy.ua/kleschi-milwaukee-180-mm-4932492458.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1687771555,6926730,TOP TOOLS,Ножовка TOP TOOLS по металлу 300 мм (10A230),135,2093366,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Top Tools",top-tools,Ножівка Top Tools 10A230,,135,1,https://comfy.ua/nozhovka-top-tools-10a230.html,,05.11.2025 22:37,,"вул. Соборна, 42",Фастів,0
1687771557,6926731,TOPEX,Ножовка TOPEX по металлу 150 мм (10A150),152,2095829,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна TOPEX",topex,Ножівка TOPEX 150 мм (10A150),,169,1,https://comfy.ua/nozhovka-topex-150-mm-10a150.html,,05.11.2025 22:37,,"вул. Соборна, 42",Фастів,0
1687771656,6926722,TOPEX,"Ножовка TOPEX для пеноблоков 600 мм, 17 зубьев (10A760)",1169,2839436,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна TOPEX",topex,Ножівка TOPEX 10A760,,1169,1,https://comfy.ua/nozhovka-topex-10a760.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1687782600,6984000,MPM,Кухонная машина MPM MRK-20,7899,2909118,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны MPM,mpm,Кухонна машина MPM MRK-20,,7899,1,https://comfy.ua/kuhonnaja-mashina-mpm-mrk-20.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1687782626,6982713,SENCOR,Кухонная машина SENCOR Paul 2 STM7740,12634,2953913,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Sencor,sencor,Кухонна машина Sencor STM7740,,12635,1,https://comfy.ua/kuhonnaja-mashina-sencor-stm7740.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1687790717,7025103,TEFAL,Термобутылка TEFAL Bludrop 700 мл (N3111110),999,2932159,Посуда >> Для напитков >> Термопосуда >> Термопосуда Tefal,tefal,Термопляшка Tefal N3111110 BLUDROP soft touch 700 мл чорний,,999,1,https://comfy.ua/termobutylka-tefal-n3111110-bludrop-soft-touch-700-ml-chernyj.html,1759,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1687797445,,,,,.2876016,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",gemix,Акумулятор для ДБЖ Gemix GB12045,,543,1,https://comfy.ua/akkumuljator-dlja-ibp-gemix-gb12045.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1687797467,,,,,.2866908,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Акумулятор для ДБЖ Powercom 12v 5Ah (PM-12-5.0),,795,1,https://comfy.ua/akkumuljator-dlja-ibp-powercom-12v-5ah-pm-12-5-0.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1687797469,,,,,.2866909,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Акумулятор для ДБЖ Powercom PM-12-7.0,,985,1,https://comfy.ua/akkumuljator-dlja-ibp-powercom-pm-12-7-0.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1687797475,,,,,.2866910,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Акумулятор для ДБЖ Powercom PM-12-12.0,,1749,1,https://comfy.ua/akkumuljator-dlja-ibp-powercom-pm-12-12-0.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1687798772,6970302,EINHELL,Гравер EINHELL TE-MT 18/34 Li - Solo (4419360),3455,2857974,Инструменты и автотовары >> Электроинструменты >> Многофункциональные инструменты >> Многофункциональные инструменты Einhell,einhell,Багатофоункціональний інструмент Einhell TE-MT 18/34LI-Solo (4419360),,3455,1,https://comfy.ua/mnogofunkcional-nyj-instrument-einhell-te-mt-18-34li-solo-4419360.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1687800452,,,,,2898428,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов Armorstandart,armorstandart,Ремінець для фітнес-браслету ArmorStandart for Xiaomi Smart Band 9/8 Orange (ARM74018),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-smart-band-8-orange-arm74018.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1687800458,,,,,2898420,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов Armorstandart,armorstandart,Ремінець для фітнес-браслету ArmorStandart for Xiaomi Smart Band 9/8 Blue / Green (ARM74010),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-smart-band-8-blue-green-arm74010.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1687800459,,,,,2898423,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов Armorstandart,armorstandart,Ремінець для фітнес-браслету ArmorStandart for Xiaomi Smart Band 9/8 Pink (ARM74013),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-smart-band-8-pink-arm74013.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1687800460,,,,,2898419,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов Armorstandart,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Smart Band 8/9 Black (ARM74009),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-smart-band-8-black-arm74009.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,2
1687800814,,,,,2876877,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов Armorstandart,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Mi Band 7/6/5 New Style Ukraine (ARM75053),,249,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-mi-band-7-6-5-new-style-ukraine-arm75053.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1687800815,,,,,2876881,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов Armorstandart,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Mi Band 7/6/5 New Style Utility (ARM75069),,249,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-mi-band-7-6-5-new-style-utility-arm75069.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1687800816,,,,,2876882,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов Armorstandart,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Mi Band 7/6/5 New Style Ditsy (ARM75070),,249,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-mi-band-7-6-5-new-style-ditsy-arm75070.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1687800818,,,,,2899440,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов Armorstandart,armorstandart,Ремінець для фітнес-браслету ArmorStandart for Xiaomi Mi Band 9/8 Spring (ARM75720),,299,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-xiaomi-mi-band-8-spring-kopmlekt-arm75720.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1687800820,,,,,2899439,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов Armorstandart,armorstandart,Ремінець для фітнес-браслету ArmorStandart for Xiaomi Mi Band 9/8 Basic (ARM75072),,299,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-xiaomi-mi-band-8-basic-komplekt-arm75072.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
