753799563,column,column,column,column,1704362,Детские товары >> Творчество и развитие,sequinart,___sequin_art_60___sa1336,column,159,1,httpscomfyuaalmaznajazhivopissequinart60skazochnyeprincessysa1336html,column,05112025_2039,column,__42,Фастів,0
754002003,,,,,1698241,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Ses Creative,ses-creative,"""Фарби Ses Creative Пальчикові серії """"My first"""" - Юний Художник (4 кольори, в пластикових баночках) (14413S)""",,545,1,https://comfy.ua/kraski-ses-creative-pal-chikovye-serii-my-first-junyj-hudozhnik-4-cveta-v-plastikovyh-banochkah-14413s.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
754002013,,,,,1702501,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,"Наземна спецтехніка BRUDER Пожежний джип Wrangler Unlimited Rubiconс фігуркою пожежного, М1: 16 (02528)",,2205,1,https://comfy.ua/nazemnaja-spectehnika-bruder-pozharnyj-dzhip-wrangler-unlimited-rubicons-figurkoj-pozharnogo-m1-16-02528.html,,06.11.2025 0:31,,"вул. Соборна, 42",Фастів,0
754002014,7119388,SCENTOS,Набор ароматических маркеров SCENTOS Плавная линия 8шт. (40605),139,1263165,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Scentos,scentos,"Набір маркерів Scentos Набір ароматних маркерів для малювання, 8 кольорів (40605)",,99,1,https://comfy.ua/nabor-markerov-scentos-nabor-aromatnyh-markerov-dlja-risovanija-8-cvetov-40605.html,139,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
754002016,,,,,1702499,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,Наземна будівельна техніка BRUDER Трактор John Deere 9620RX на гусеницях 1:16 (04055),,4275,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-bruder-traktor-john-deere-9620rx-na-gusenicah-1-16-04055.html,,06.11.2025 0:04,,"вул. Соборна, 42",Фастів,0
754002018,,,,,1702497,Детские товары >> Игрушки,bruder,"Наземна будівельна техніка BRUDER Трактор Steyr 6300 Terrus з навантажувачем червоно-білий, М1: 16",,2419,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-bruder-traktor-steyr-6300-terrus-s-pogruzchikom-krasno-belyj-m1-16.html,,06.11.2025 1:31,,"вул. Соборна, 42",Фастів,0
754002019,,,,,1709482,Детские товары >> Игрушки,technok,Наземна спецтехніка Technok Швидка допомога (4579),,399,1,https://comfy.ua/nazemnaja-spectehnika-technok-skoraja-pomosch-4579.html,,06.11.2025 1:31,,"вул. Соборна, 42",Фастів,0
754002021,7071068,BRUDER,Грузовик BRUDER МАN 1:16 (2769),2049,1702495,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,"Наземна будівельна техніка BRUDER Вантажівка MAN, перевізник колод із краном-навантажувачем, М1: 16 (02769)",,2319,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-bruder-gruzovik-man-perevozchik-brjoven-s-kranom-pogruzchikom-m1-16-02769.html,,06.11.2025 0:11,,"вул. Соборна, 42",Фастів,0
754002023,,,,,1702498,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,Наземна будівельна техніка BRUDER Трактор Fendt 1050 Vario 1:16 (04040),,2729,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-bruder-traktor-fendt-1050-vario-1-16-04040.html,,06.11.2025 0:31,,"вул. Соборна, 42",Фастів,0
754002026,,,,,1702496,Детские товары >> Игрушки,bruder,Наземна будівельна техніка BRUDER Трактор Deutz AgroTron X720 с погрузчиком М1:16 (03081),,2699,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-bruder-traktor-deutz-agrotron-x720-s-pogruzchikom-m1-16-03081.html,,06.11.2025 1:08,,"вул. Соборна, 42",Фастів,0
754002078,,,,,1698231,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Screechers Wild!,screechers-wild,Машинка-трансформер Screechers Wild! S2 L3 - Діміо (EU684502),,899,1,https://comfy.ua/mashinka-transformer-screechers-wild-s2-l3-dimio-eu684502.html,1297,05.11.2025 23:41,,"вул. Соборна, 42",Фастів,0
754002080,,,,,1397277,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Screechers Wild!,screechers-wild,Машинка-трансформер Screechers Wild! L 1 -Найтбайт (EU683115),,645,1,https://comfy.ua/mashinka-transformer-screechers-wild-l-1-najtbajt-eu683115.html,,06.11.2025 0:21,,"вул. Соборна, 42",Фастів,0
754002083,,,,,1702627,Детские товары >> Творчество и развитие >> Лепка >> Лепка Hasbro,hasbro,Матеріали Hasbro Play-Doh пластилін в баночці 112 м помаранчевий (B6756_B7413),,89,1,https://comfy.ua/rashodniki-hasbro-play-doh-plastilin-v-banochke-112-g-oranzhevyj-b6756-b7413.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
754002086,,,,,1397274,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Screechers Wild!,screechers-wild,Машинка-трансформер Screechers Wild! L 1 - Стінгшіфт (EU683113),,449,1,https://comfy.ua/mashinka-transformer-screechers-wild-l-1-stingshift-eu683113.html,647,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
754002088,,,,,1702623,Детские товары >> Творчество и развитие >> Лепка >> Лепка Hasbro,hasbro,Матеріали Hasbro Play-Doh 4 баночки Dinosaurs (B5517_B6508),,219,1,https://comfy.ua/nabory-dlja-lepki-hasbro-play-doh-4-banochki-dinosaurs-b5517-b6508.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
754002090,,,,,1397273,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Screechers Wild!,screechers-wild,Машинка-трансформер Screechers Wild! L 1 - Ревадактіль (EU683112),,645,1,https://comfy.ua/mashinka-transformer-screechers-wild-l-1-revadaktil-eu683112.html,,06.11.2025 0:50,,"вул. Соборна, 42",Фастів,0
754026008,,,,,1697490,Детские товары >> Игрушки для малышей,battat,"Інтерактивний ключ Battat Супер-Ключики (світло, звук, томатний) (BX1227Z)",,894,1,https://comfy.ua/catalog/product/view/id/1738013,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
754026234,,,,,1714085,"Аудио, фото и видео >> Акустика",fd,Акустична система стаціонарна F&D T-35X,,8445,1,https://comfy.ua/akusticheskaja-sistema-stacionarnaja-f-d-t-35x.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
754030020,,,,,.1695981,"Дом, отдых и зоотовары >> Мебель",gt-racer,Крісло для геймерів GT Racer X-8005 Dark Blue/Black,,13999,1,https://comfy.ua/kreslo-dlja-gejmerov-gt-racer-x-8005-dark-blue-black.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
754036382,,,,,1698181,Детские товары >> Творчество и развитие,quercetti,Мозаїка для малюків Quercetti 46 мм 30 ел. + Дошка-кейс (4401-Q),,1145,1,https://comfy.ua/catalog/product/view/id/1739753,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
754036391,,,,,1697581,Детские товары >> Игрушки для малышей,battat,Інтерактивний музичний інструмент Battat Пес-гітарист (BX1206Z),,2895,1,https://comfy.ua/catalog/product/view/id/1739633,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
754036399,,,,,1698171,Детские товары >> Творчество и развитие,quercetti,Пластикова мозаїка Quercetti 10х15х20 мм 300 эл. + доска 28х20 cм (0900-Q),,499,1,https://comfy.ua/catalog/product/view/id/1739543,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
754038032,,,,,1698184,Детские товары >> Творчество и развитие,quercetti,Мозаїка для малюків Quercetti 46 мм 24 ел. + Дошка (4400-Q),,895,1,https://comfy.ua/catalog/product/view/id/1740243,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
754038036,,,,,1698183,Детские товары >> Творчество и развитие,quercetti,Мозаїка для малюків Quercetti 48 ел. в кейсі + дошка 27х21 см (4190-Q),,1195,1,https://comfy.ua/catalog/product/view/id/1740113,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
754038037,,,,,1697499,Детские товары >> Творчество и развитие,battat,"Доска Battat для малювання магнітна Рафаель (4 штампа, томатна) (BX1294Z)",,1695,1,https://comfy.ua/catalog/product/view/id/1740103,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
754050868,,,,,.1714086,"Аудио, фото и видео >> Акустика",fd,Акустична система стаціонарна F&D R40BT,,5169,1,https://comfy.ua/akusticheskaja-sistema-stacionarnaja-f-d-r40bt.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
754084424,,,,,1698201,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Screechers Wild!,screechers-wild,Машинка-трансформер Screechers Wild! S2 L1 - Шедоу Вінд (EU684101),,485,1,https://comfy.ua/mashinka-transformer-screechers-wild-s2-l1-shedou-vind-eu684101.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
754084515,,,,,1698184,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Quercetti,quercetti,Мозаїка для малюків Quercetti 46 мм 24 ел. + Дошка (4400-Q),,895,1,https://comfy.ua/mozaika-dlja-malyshej-quercetti-46-mm-24-jel-doska-4400-q.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
754084519,,,,,1698183,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Quercetti,quercetti,Мозаїка для малюків Quercetti 48 ел. в кейсі + дошка 27х21 см (4190-Q),,1195,1,https://comfy.ua/mozaika-dlja-malyshej-quercetti-48-jel-v-kejse-doska-27h21-sm-4190-q.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
754084534,,,,,1707293,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Baby Team,baby-team,Набір ігрових фігурок Baby Team Океан 5 шт (8833),,465,1,https://comfy.ua/nabor-igrovyh-figurok-baby-team-okean-5-sht-8833.html,,06.11.2025 1:01,,"вул. Соборна, 42",Фастів,0
754084543,,,,,1698180,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Quercetti,quercetti,Мозаїка для малюків Quercetti 48 ел. + Дошка 27х21 cм (4195-Q),,895,1,https://comfy.ua/mozaika-dlja-malyshej-quercetti-48-jel-doska-27h21-cm-4195-q.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
754084547,,,,,1697583,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Battat,battat,Інтерактивний музичний інструмент Battat Кваквафон S2 зі світлом (BX1953Z),,2895,1,https://comfy.ua/interaktivnyj-muzykal-nyj-instrument-battat-kvakvafon-s2-so-svetom-bx1953z.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
754084555,,,,,1707266,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Baby Team,baby-team,Набір ігрових фігурок Baby Team Сафарі 6 шт (8830),,465,1,https://comfy.ua/nabor-igrovyh-figurok-baby-team-safari-6-sht-8830.html,,06.11.2025 1:19,,"вул. Соборна, 42",Фастів,0
754084570,,,,,1698298,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"""Радіокерована машинка",,,,,,,,,,
754084586,,,,,1697578,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Battat,battat,Пластиковий конструктор для малюків Battat Мегаполіс 68 ел. в банку (BX1175Z),,1893,1,https://comfy.ua/plastikovyj-konstruktor-dlja-malyshej-battat-megapolis-68-jel-v-banke-bx1175z.html,,06.11.2025 0:40,,"вул. Соборна, 42",Фастів,0
"Sulong Toys Off-Road Crawler – Where The Trail Ends (матов.черн., аккум.7.2V, мет.корпус) (SL-121RHMBl)""",,3457,1,https://comfy.ua/radioupravljaemaja-mashinka-1-14-sulong-toys-off-road-crawler-where-the-trail-ends-matov-chern-akkum-7-2v-met-korpus-sl-121rhmbl.html,,05.11.2025 23:47,,"вул. Соборна, 42",Фастів,0,,,,,,,,
