819710328,column,column,column,column,1690117,Посуда >> Кухонные аксессуары,tescoma,____tescoma_899410_flexispace_370x222_,column,1099,1,httpscomfyuaorganajzerdljastolovyhpriborovtescoma899410flexispace370x222mmhtml,column,05112025_1936,column,__42,Фастів,0
819710635,,,,,1690110,Посуда >> Для сервировки,tescoma,Підставка для яєць tescoma 386220 Gustito 12x10 см,,299,1,https://comfy.ua/podstavka-dlja-jaic-tescoma-386220-gustito-12x10-sm.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
819710636,,,,,1751898,Посуда >> Для сервировки,tescoma,Набір підставок для яєць tescoma 387570 All Fit One 2 шт.,,399,1,https://comfy.ua/nabor-podstavok-dlja-jaic-tescoma-387570-all-fit-one-2-sht.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
819710905,,,,,1689783,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Tescoma,tescoma,Ємність для сипучих tescoma 896954 4Food 2.0 л,,559,1,https://comfy.ua/emkost-dlja-sypuchih-tescoma-896954-4food-2-0-l.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
819710906,,,,,1694602,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Berghoff,berghoff,Ємність для сипучих Berghoff 3950120,,459,1,https://comfy.ua/emkost-dlja-sypuchih-berghoff-3950120.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
819710946,,,,,1682604,Посуда >> Нарезка и измельчение,wmf,Сокира кухонна WMF 1895506032 SPITZENKLASSE PLUS 18 см,,4999,1,https://comfy.ua/topor-kuhonnyj-wmf-1895506032-spitzenklasse-plus-18-sm.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
819710953,,,,,1766756,Красота и здоровье >> Спорт >> Спорт Xiaomi,xiaomi,Бігова доріжка Xiaomi KingSmith К12,,18999,1,https://comfy.ua/begovaja-dorozhka-xiaomi-kingsmith-k12.html,22999,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
819710955,,,,,1685844,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Tescoma,tescoma,Ємність для сипучих tescoma 891620 Airstor 0.5 л,,699,1,https://comfy.ua/emkost-dlja-sypuchih-tescoma-891620-airstor-0-5-l.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
819710961,,,,,1685845,Посуда >> Для хранения,tescoma,Ємність для сипучих tescoma Вісімсот дев'яносто один тисяча шістсот двадцять два Airstor 1.0 л,,799,1,https://comfy.ua/emkost-dlja-sypuchih-tescoma-891622-airstor-1-0-l.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
819710969,,,,,1689010,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Tescoma,tescoma,Ємність для сипучих tescoma 894622 Fiesta 0.8 л,,1149,1,https://comfy.ua/emkost-dlja-sypuchih-tescoma-894622-fiesta-0-8-l.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
819710972,,,,,1689011,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Tescoma,tescoma,Ємність для сипучих tescoma 894624 Fiesta 1.4 л,,1199,1,https://comfy.ua/emkost-dlja-sypuchih-tescoma-894624-fiesta-1-4-l.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
819710978,,,,,1769997,Бытовая химия >> Средства для посудомоечных машин,dr-beckmann,Засіб для чищення посудомийних машин Dr.BECKMANN Гигиенический очиститель 75 г,,253,1,https://comfy.ua/chistjaschee-sredstvo-dlja-posudomoechnyh-mashin-dr-beckmann-gigienicheskij-ochistitel-75-g.html,317,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
819710985,,,,,1677837,Посуда >> Для сервировки,tescoma,Молочник tescoma 386466 Gustito,,399,1,https://comfy.ua/molochnik-tescoma-386466-gustito.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
819710989,,,,,1768115,Посуда >> Для сервировки,berghoff,Підставка для серветок Berghoff 1108421A,,696,1,https://comfy.ua/podstavka-dlja-salfetok-berghoff-1108421a.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
819711002,,,,,1717914,Посуда >> Для сервировки >> Прочие предметы сервировки >> Прочие предметы сервировки Delonghi,delonghi,Молочник Delonghi DLSC060,,899,1,https://comfy.ua/molochnik-delonghi-dlsc060.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
819711008,,,,,1661292,Посуда >> Для сервировки,tescoma,Набір форм для сервірування страв tescoma 428724 GrandChef 4 шт.,,699,1,https://comfy.ua/nabor-form-dlja-servirovki-bljud-tescoma-428724-grandchef-4-sht.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
819711012,,,,,1695713,Посуда >> Для сервировки,berghoff,Менажниця Berghoff 3950059 LEO 24.50х11.50 см,,869,1,https://comfy.ua/menazhnica-plastikovaja-berghoff-3950059-leo-24-50h11-50-sm.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
819711013,,,,,1687641,Посуда >> Для сервировки,wmf,Набір шампурів для фруктів WMF 618086040 BASIC 2 пр.,,499,1,https://comfy.ua/nabor-shampurov-dlja-fruktov-wmf-618086040-basic-2-pr.html,599,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
819711014,,,,,1751501,Посуда >> Для сервировки,tescoma,Маслянка tescoma 428630 GrandCHEF,,859,1,https://comfy.ua/maslenka-tescoma-428630-grandchef.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
819711021,,,,,1685245,Бытовая химия >> Для кухни и мытья посуды,tescoma,Губка для миття посуду поролонова tescoma 900649 Clean Kit 5 шт. суперкрепкая,,109,1,https://comfy.ua/gubka-dlja-myt-ja-posudy-porolonovaja-tescoma-900649-clean-kit-5-sht-superkrepkie.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
819711023,,,,,1685243,Бытовая химия >> Для кухни и мытья посуды,tescoma,Губка для миття посуду поролонова tescoma 900652 Clean Kit 3 шт. для делікатних поверхонь,,199,1,https://comfy.ua/gubka-dlja-myt-ja-posudy-porolonovaja-tescoma-900652-clean-kit-3-sht-dlja-delikatnyh-poverhnostej.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
819711025,,,,,1692726,Бытовая химия >> Для кухни и мытья посуды,tescoma,Сушка для посуду tescoma 639790 Presto Tone,,399,1,https://comfy.ua/sushka-dlja-posudy-tescoma-639790-presto-tone.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
819711026,,,,,1695528,Бытовая химия >> Для кухни и мытья посуды,tescoma,Килимок для сушки посуду tescoma 639791 Presto XXL 60x45 см,,549,1,https://comfy.ua/kovrik-dlja-sushki-posudy-tescoma-639791-presto-xxl-60x45-sm.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
819711028,,,,,.1700347,Бытовая химия >> Для кухни и мытья посуды,tescoma,Сушка для посуду tescoma 668280 Bambini,,899,1,https://comfy.ua/sushka-dlja-posudy-tescoma-668280-bambini.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
