780953793,6663645,SYNOLOGY,NAS-сервер SYNOLOGY RS1221+,64049,1734909,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",synology,Мережеве сховище без HDD Synology RS1221+,,64049,1,https://comfy.ua/catalog/product/view/id/1875673,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
780953813,7048396,TOLSEN,Ножовка по металлу TOLSEN 300 мм (30054),348,1734661,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Tolsen",tolsen,Ножівка Tolsen 300 мм Ерго (30054),,389,1,https://comfy.ua/nozhovka-tolsen-300-mm-ergo-30054.html,,05.11.2025 22:30,,"вул. Соборна, 42",Фастів,0
780954070,,,,,.1731265,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",csb,"Акумулятор для ДБЖ CSB 12V 7,5AH (UPS12360/01617 ) AGM",,1140,1,https://comfy.ua/akkumuljator-dlja-ibp-csb-12v-7-5ah-ups12360-01617-agm.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
780954071,,,,,.1731302,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,"Акумулятор для ДБЖ Powercom 12V, 9.0 A (PM-12-9.0)",,1285,1,https://comfy.ua/akkumuljator-dlja-ibp-powercom-12v-9-0-a-pm-12-9-0.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
780954073,,,,,.1731267,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",csb,Акумулятор для ДБЖ CSB 12V 5AH (HR1221WF2/04409) AGM,,1346,1,https://comfy.ua/akkumuljator-dlja-ibp-csb-12v-5ah-hr1221wf2-04409-agm.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
780954075,,,,,.1731269,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",csb,Акумулятор для ДБЖ CSB 12V 6.5AH (HR1224WF2/06588) AGM,,1200,1,https://comfy.ua/akkumuljator-dlja-ibp-csb-12v-6-5ah-hr1224wf2-06588-agm.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
780954459,,,,,.1731084,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",merlion,Акумулятор для ДБЖ Merlion 12V 250Ah (GP122500M8),,22820,1,https://comfy.ua/akkumuljator-dlja-ibp-merlion-12v-250ah-gp122500m8.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
780954672,6652457,SENCOR,Хлебопечка SENCOR SBR 2000SS,4999,1735387,Техника для кухни >> Мелкая техника >> Хлебопечи >> Хлебопечи Sencor,sencor,Хлібопічка Sencor SBR 2000SS,,4999,1,https://comfy.ua/hlebopech-sencor-sbr-2000ss.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
780954987,,,,,.1733951,Бытовая химия >> Средства для стирки,lion,Відбілювач для білизни Lion Beat O2 500 мл,,329,1,https://comfy.ua/otbelivatel-dlja-bel-ja-lion-beat-o2-500-ml.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
780954995,,,,,1733950,Бытовая химия >> Средства для стирки,lion,Відбілювач для білизни Lion Beat O2 Clean Plus 1.4 кг,,429,1,https://comfy.ua/otbelivatel-dlja-bel-ja-lion-beat-o2-clean-plus-1-4-kg.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
