1658747350,6133763,werk,__werk_xkj1104_sa5_33743,5133,2542067,_________werk,werk,"""Насосна станція",column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19
1658935394,6926569,ARISTON,Котел газовый ARISTON HS PREMIUM 24 EU 2 (3301325),38532,2627756,Техника для дома >> Климатическая техника >> Газовые котлы >> Газовые котлы Ariston,ariston,Газовий котел Ariston HS Premium 24 EU2 (3301325),,38220,1,https://comfy.ua/gazovyj-kotel-ariston-hs-premium-24-eu2-3301325.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1658939530,6966642,MOTOROLA,Смартфон MOTOROLA G24 4/128GB Dual Sim Matte Charcoal,3799,2860367,Смартфоны и телефоны >> Смартфоны >> Смартфоны Motorola >> Серия Motorola G24,motorola,Смартфон Motorola G24 4/128Gb Matte Charcoal,,5499,1,https://comfy.ua/smartfon-motorola-g24-4-128gb-matte-charcoal.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1658954643,,,,,.1989015,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Slatestone Black 29.5х14.5 см (WL-661109 / A),,427,1,https://comfy.ua/tarelka-obedennaja-wilmax-slatestone-black-29-5h14-5-sm-wl-661109-a.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1658978005,,,,,.2834346,"Аудио, фото и видео >> Фотокамеры",panasonic,Фотокамера бездзеркальна Panasonic DC-G9M2 Kit 12-60 mm f3.5-5.6 (DC-G9M2MEE),,74729,1,https://comfy.ua/fotokamera-bezzerkal-naja-panasonic-dc-g9m2-kit-12-60-mm-f3-5-5-6-dc-g9m2mee.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1658979737,,,,,2860887,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover for Samsung Galaxy S22 Ultra SM-S908 Black (708255),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-for-samsung-galaxy-s22-ultra-sm-s908-black-708255.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1658979770,,,,,.2860882,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,"""Чохол для смартфону",,,,,,,,,,
"BeCover for Samsung Galaxy A24 4G SM-A245 Black (709302)""",,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-for-samsung-galaxy-a24-4g-sm-a245-black-709302.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1658982186,7060129,EMILE HENRY,Противень для пиццы EMILE HENRY 37 см Red (347514),2730,2269122,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Emile Henry,emile-henry,Форма для приготування Emile Henry 37 см 347514 для піци,,3900,1,https://comfy.ua/forma-dlja-prigotovlenija-emile-henry-37-sm-347514-dlja-piccy.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1658982187,7060141,EMILE HENRY,Противень EMILE HENRY для пиццы 37 см (797514),2730,2269119,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Emile Henry,emile-henry,Форма для приготування Emile Henry 37 см 797514 для піци,,3900,1,https://comfy.ua/forma-dlja-prigotovlenija-emile-henry-37-sm-797514-dlja-piccy.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1658986005,7060322,EMILE HENRY,Противень для пиццы EMILE HENRY 40 см (347614),3676,2269118,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Emile Henry,emile-henry,Форма для приготування Emile Henry 40 см 347614 для піци,,4450,1,https://comfy.ua/forma-dlja-prigotovlenija-emile-henry-40-sm-347614-dlja-piccy.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1659192714,6966965,KARCHER,Насос KARCHER SP 9.000 Flat (1.645-810.0),3599,2817395,Инструменты и автотовары >> Полив >> Насосы >> Насосы Karcher,karcher,Занурювальний насос Karcher SP 9.000 Flat (1.645-810.0),,3599,1,https://comfy.ua/poverhnostnyj-nasos-karcher-sp-9-000-flat-1-645-810-0.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1659192918,6966938,KARCHER,Насос KARCHER BP 4.500 Garden (1.645-700.0),4999,2542043,Инструменты и автотовары >> Полив >> Насосы >> Насосы Karcher,karcher,Поверхневий насос Karcher BP 4.500 Garden (1.645-700.0),,4999,1,https://comfy.ua/poverhnostnyj-nasos-karcher-bp-4-500-garden-1-645-700-0.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1659193807,6967216,NOYAFA,Дальномер лазерный NOYAFA NF-2240 40 м (NF-2240),1699,2836154,Инструменты и автотовары >> Ручные инструменты >> Рулетки >> Рулетки Noyafa,noyafa,Рулетка Noyafa лазерна NF-2240,,1699,1,https://comfy.ua/ruletka-noyafa-lazernaja-nf-2240.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1659193813,6967217,NOYAFA,Дальномер лазерный NOYAFA NF-2260L 60 м (NF-2260L),1899,2836155,Инструменты и автотовары >> Ручные инструменты >> Рулетки >> Рулетки Noyafa,noyafa,Рулетка Noyafa лазерна NF-2260L,,1899,1,https://comfy.ua/ruletka-noyafa-lazernaja-nf-2260l.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1659193817,6967218,NOYAFA,Дальномер лазерный NOYAFA NF-271 50 м (NF-271-50),1249,2836156,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Noyafa,noyafa,Вимірювач відстані лазерний Noyafa NF-271-50,,1199,1,https://comfy.ua/dal-nomer-lazernyj-noyafa-nf-271-50.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1659193821,6967219,NOYAFA,Дальномер лазерный NOYAFA NF-271 70 м (NF-271-70),1499,2836158,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Noyafa,noyafa,Вимірювач відстані лазерний Noyafa NF-271-70,,675,1,https://comfy.ua/dal-nomer-lazernyj-noyafa-nf-271-70.html,1499,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1659193894,6967220,NOYAFA,Дальномер лазерный NOYAFA NF-274L 80 м (NF-274L-80),3999,2836159,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Noyafa,noyafa,Вимірювач відстані лазерний Noyafa NF-274L-80,,3999,1,https://comfy.ua/dal-nomer-lazernyj-noyafa-nf-274l-80.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1659193896,6967221,NOYAFA,Дальномер лазерный NOYAFA NF-275L 100 м (NF-275L-100),3199,2836160,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Noyafa,noyafa,Вимірювач відстані лазерний Noyafa NF-275L-100,,2999,1,https://comfy.ua/dal-nomer-lazernyj-noyafa-nf-275l-100.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1659193909,6967222,NOYAFA,Дальномер лазерный NOYAFA NF-275L 60 м (NF-275L-60),2999,2836161,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Noyafa,noyafa,Вимірювач відстані лазерний Noyafa NF-275L-60,,1260,1,https://comfy.ua/dal-nomer-lazernyj-noyafa-nf-275l-60.html,2799,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
1659194142,6967228,SNDWAY,Дальномер лазерный SNDWAY SW-TM40,2099,2836174,Инструменты и автотовары >> Ручные инструменты,sndway,Рулетка Sndway лазерна SW-TM40,,2099,1,https://comfy.ua/ruletka-sndway-lazernaja-sw-tm40.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
1659194149,6967229,SNDWAY,Дальномер лазерный SNDWAY SW-TM60A,2499,2836175,Инструменты и автотовары >> Ручные инструменты,sndway,Рулетка Sndway лазерна SW-TM60A,,2499,1,https://comfy.ua/ruletka-sndway-lazernaja-sw-tm60a.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1659194152,6967211,SNDWAY,Дальномер лазерный SNDWAY H-D510A,2099,2836176,Инструменты и автотовары >> Электроинструменты,sndway,Вимірювач відстані лазерний Sndway H-D510A,,2099,1,https://comfy.ua/dal-nomer-lazernyj-sndway-h-d510a.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1659194154,6967212,SNDWAY,Дальномер лазерный SNDWAY H-D710A,2199,2836177,Инструменты и автотовары >> Электроинструменты,sndway,Вимірювач відстані лазерний Sndway H-D710A,,2199,1,https://comfy.ua/dal-nomer-lazernyj-sndway-h-d710a.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1659194158,6967232,SNDWAY,Дальномер лазерный SNDWAY SW-100G,4599,2836162,Инструменты и автотовары >> Электроинструменты,sndway,Вимірювач відстані лазерний Sndway SW-100G,,4599,1,https://comfy.ua/dal-nomer-lazernyj-sndway-sw-100g.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1659194171,6967233,SNDWAY,Дальномер лазерный SNDWAY SW-1500A,9999,2836163,Инструменты и автотовары >> Электроинструменты,sndway,Вимірювач відстані лазерний Sndway SW-1500A,,9999,1,https://comfy.ua/dal-nomer-lazernyj-sndway-sw-1500a.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1659194176,6967238,SNDWAY,Дальномер лазерный SNDWAY SW-50G,3499,2836168,Инструменты и автотовары >> Электроинструменты,sndway,Вимірювач відстані лазерний Sndway SW-50G,,3199,1,https://comfy.ua/dal-nomer-lazernyj-sndway-sw-50g.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1659194182,6967226,SNDWAY,Дальномер лазерный SNDWAY SW-MT4,1199,2836170,Инструменты и автотовары >> Электроинструменты,sndway,Вимірювач відстані лазерний Sndway SW-MT4,,1199,1,https://comfy.ua/dal-nomer-lazernyj-sndway-sw-mt4.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
