794548874,column,column,column,column,1746507,Детские товары >> Подгузники и пеленание,huggies,__huggies_classic_4_718__50__5029053543147,column,419,1,httpscomfyuacatalogproductviewid1999893,530,05112025_2029,column,__42,Фастів,0
797288734,,,,,.1754584,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Epson L-3100/3110/3150/3151 70мл Black EW310Bk (CW-EW310BK01),,105,1,https://comfy.ua/chernila-colorway-epson-l-3100-3110-3150-3151-70ml-black-ew310bk-cw-ew310bk01.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,1
797288735,,,,,1754585,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway HP Ink Tank 115/315/415 Pigm. 100мл black HP51BK (CW-HP51BK01),,169,1,https://comfy.ua/chernila-colorway-hp-ink-tank-115-315-415-pigm-100ml-black-hp51bk-cw-hp51bk01.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
797288776,,,,,1754581,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Epson L-3100/3110/3150/3151 (4х70мл) BK/С/M/Y (CW-EW310SET01),,369,1,https://comfy.ua/chernila-colorway-epson-l-3100-3110-3150-3151-4h70ml-bk-s-m-y-cw-ew310set01.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,1
797288777,,,,,.1754582,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway HP Ink Tank 115/315/415 (4х100мл) BK/С/M/Y (CW-HP51/HW52SET01),,399,1,https://comfy.ua/chernila-colorway-hp-ink-tank-115-315-415-4h100ml-bk-s-m-y-cw-hp51-hw52set01.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
797373842,6545893,MAGIO,Выпрямитель MAGIO MG-600,619,1725918,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Magio,magio,Вирівнювач волосся Magio MG-600,,685,1,https://comfy.ua/vyprjamitel-volos-magio-mg-600.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
797384618,,,,,.1756982,Техника для дома >> Аксессуары к мелкой технике,karcher,Комплект для мінімийки Karcher К2-K7 (2.642-953.0),,2999,1,https://comfy.ua/komplekt-dlja-minimojki-karcher-k2-k7-2-642-953-0.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
797390440,,,,,1756293,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",transcend,Кардрідер Transcend TS-RDF9K2 UHS-II USB 3.1/3.0,,849,1,https://comfy.ua/kardrider-transcend-ts-rdf9k2-uhs-ii-usb-3-1-3-0.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
797410942,6659097,BOSCH,Встраиваемая посудомоечная машина BOSCH SMV8ZCX07E,59999,1756040,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Bosch,bosch,Посудомийна машина вбудована Bosch SMV8ZCX07E,,59999,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-bosch-smv8zcx07e.html,64999,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
797414508,,,,,.1756978,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель HDMI Digitus HDMI F to 2xHDMI M (AK-330400-002-S),,349,1,https://comfy.ua/kabel-hdmi-digitus-hdmi-f-to-2xhdmi-m-ak-330400-002-s.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
797429242,6583595,KARCHER,Средство для очистки салона автомобиля KARCHER RM651 500 мл (6.296-106.0),299,1757568,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки Karcher,karcher,Засіб для чищення універсальний Karcher RM 651 0.5 л (6.296-106.0),,299,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-karcher-rm-651-0-5-l-6-296-106-0.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
797456897,6462266,TRANSCEND,SSD накопитель TRANSCEND MTE110S 1TB PCIe 3.0 x4 M.2 3D TLC (TS1TMTE110S),4499,1757764,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",transcend,SSD-накопичувач внутрішній Transcend MTE110S 1TB PCIe 3.0 x4 M.2 3D TLC (TS1TMTE110S),,3509,1,https://comfy.ua/catalog/product/view/id/2005953,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
797456901,,,,,1757765,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",transcend,SSD-накопичувач внутрішній Transcend SSD230S 1TB SATAIII 3D TLC (TS1TSSD230S),,3769,1,https://comfy.ua/catalog/product/view/id/2005963,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
797579262,6516027,AIRON,Крепление AIRON AC160 (69477915500016),799,1754101,Смарт-часы и гаджеты >> Аксессуары,airon,Кріплення для екшн-камери AIRON AC160 (69477915500016),,799,1,https://comfy.ua/catalog/product/view/id/2000493,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
797579265,6562976,AIRON,Водонепроницаемый бокс AIRON ProCam 7/8 (69477915500024),1199,1754650,Смарт-часы и гаджеты >> Аксессуары,airon,Захисний бокс для екшн-камери AIRON ProCam 7/8 (69477915500024),,1199,1,https://comfy.ua/catalog/product/view/id/2000503,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
797579266,,,,,1754583,Смарт-часы и гаджеты >> Аксессуары,airon,Акумулятор для екшн-камери AIRON ProCam 7/8 (69477915500032),,449,1,https://comfy.ua/catalog/product/view/id/2000593,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
797648117,6868385,MIELE,Встраиваемая посудомоечная машина MIELE G 5050 SCVi,64469,1664697,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Miele,miele,Посудомийна машина вбудована Miele G 5050 SCVi,,67709,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-miele-g-5050-scvi.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
797649414,,,,,1731033,"Аудио, фото и видео >> Наушники >> Наушники Celebrat",celebrat,Навушники вкладиші дротові Celebrat G7 Yellow,,99,1,https://comfy.ua/naushniki-vkladyshi-provodnye-celebrat-g7-yellow.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
797659115,6671611,SENCOR,Электрочайник SENCOR SWK 2193OR,1465,1758907,Техника для кухни >> Мелкая техника,sencor,Електричний чайник Sencor SWK2193OR,,1465,1,https://comfy.ua/catalog/product/view/id/2012343,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
797713507,6671612,SENCOR,Электрочайник SENCOR SWK 2194RD,1499,1758908,Техника для кухни >> Мелкая техника,sencor,Електричний чайник Sencor SWK2194RD,,1499,1,https://comfy.ua/catalog/product/view/id/2013093,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
797859126,6671610,SENCOR,Электрочайник SENCOR SWK 2192BL,1469,1758906,Техника для кухни >> Мелкая техника,sencor,Електричний чайник Sencor SWK2192BL,,1469,1,https://comfy.ua/catalog/product/view/id/2014763,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
797859127,6671616,SENCOR,Электрочайник SENCOR SWK2198RS,1499,1758912,Техника для кухни >> Мелкая техника,sencor,Електричний чайник Sencor SWK2198RS,,1279,1,https://comfy.ua/catalog/product/view/id/2014643,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
797859129,6671615,SENCOR,Электрочайник SENCOR SWK2197GG,1265,1758911,Техника для кухни >> Мелкая техника,sencor,Електричний чайник Sencor SWK2197GG,,1265,1,https://comfy.ua/catalog/product/view/id/2014513,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
798089291,,,,,1731033,"Аудио, фото и видео >> Наушники",celebrat,Навушники вкладиші дротові Celebrat G7 Yellow,,99,1,https://comfy.ua/catalog/product/view/id/2005633,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
798127090,,,,,1757765,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Transcend",transcend,SSD-накопичувач внутрішній Transcend SSD230S 1TB SATAIII 3D TLC (TS1TSSD230S),,3769,1,https://comfy.ua/ssd-nakopitel-vnutrennij-transcend-ssd230s-1tb-sataiii-3d-tlc-ts1tssd230s.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
798204978,,,,,1757378,Посуда >> Для сервировки,vittora,Тарілка десертна Vittora VT-1180AB Beige Aura 180 мм,,84,1,https://comfy.ua/catalog/product/view/id/2000813,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
