808386746,column,column,column,column,1739356,comfy_kids___________canpol_babies,canpolbabies,___canpol_babies__51003,column,185,1,httpscomfyuaprorezyvatelsohlazhdeniemcanpolbabiessova51003html,column,05112025_2144,column,__42,Фастів,0
808386779,6457377,SEQUIN ART,Картина по номерам SEQUIN ART JUNIOR Horse and Foal SA0030,147,1773937,"Дом, отдых и зоотовары >> Декор для дома >> Картины по номерам >> Картины по номерам Sequin Art",sequin-art,Картина за номерами Sequin Кінь і лоша (SA0030),,199,1,https://comfy.ua/kartina-po-nomeram-i-konturam-sequin-art-loshad-i-zherebenok-sa0030.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
808386782,,,,,1774107,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,Наземна спецтехніка BRUDER Джип Wrangler Unlimited Rubicon Police + фігурка (02526),,2549,1,https://comfy.ua/nazemnaja-spectehnika-bruder-dzhip-wrangler-unlimited-rubicon-police-figurka-02526.html,,05.11.2025 23:58,,"вул. Соборна, 42",Фастів,0
808386786,6611350,JANOD,Телефон со звуком JANOD (J05334),560,1771037,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Janod,janod,Інтерактивний гаджет Janod Телефон зі звуком (J05334),,559,1,https://comfy.ua/interaktivnyj-gadzhet-janod-telefon-so-zvukom-j05334.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
808386797,,,,,1773865,Comfy KIDS >> Игрушки для малышей >> Игровые центры >> Игровые центры Janod,janod,Ігровий центр для малюка Janod Тварини (J08018),,3999,1,https://comfy.ua/igrovoj-centr-dlja-malysha-janod-zhivotnye-j08018.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
808386799,6457396,SEQUIN ART,Картина по номерам SEQUIN ART SENIOR Overnight Sleeper (SA0428),214,1773834,"Дом, отдых и зоотовары >> Декор для дома >> Картины по номерам >> Картины по номерам Sequin Art",sequin-art,Картина за номерами Sequin Senior Нічний сон (SA0428),,259,1,https://comfy.ua/kartina-po-nomeram-i-konturam-sequin-art-senior-nochnoj-son-sa0428.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
808386801,6457390,SEQUIN ART,Картина по номерам SEQUIN ART SENIOR Huskies SA1036,214,1773833,"Дом, отдых и зоотовары >> Декор для дома >> Картины по номерам >> Картины по номерам Sequin Art",sequin-art,Картина за номерами Sequin Senior Ескімоси (SA1036),,259,1,https://comfy.ua/kartina-po-nomeram-i-konturam-sequin-art-senior-jeskimosy-sa1036.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
808386802,6611391,JANOD,Музыкальный инструмент JANOD Гитара J07598,1379,1773868,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Janod,janod,Гітара Janod J07598,,1439,1,https://comfy.ua/gitara-janod-j07598.html,1799,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
808386803,6457406,SEQUIN ART,Картина по номерам SEQUIN ART SENIOR Wild Horses SA1040,214,1773832,"Дом, отдых и зоотовары >> Декор для дома >> Картины по номерам >> Картины по номерам Sequin Art",sequin-art,Картина за номерами Sequin Senior Дикі коні (SA1040),,259,1,https://comfy.ua/kartina-po-nomeram-i-konturam-sequin-art-senior-dikie-koni-sa1040.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
808386805,6457386,SEQUIN ART,Картина по номерам SEQUIN ART SENIOR Evening Pasture SA0429,214,1773831,"Дом, отдых и зоотовары >> Декор для дома >> Картины по номерам >> Картины по номерам Sequin Art",sequin-art,Картина за номерами Sequin Senior Вечірні пасовища (SA0429),,259,1,https://comfy.ua/kartina-po-nomeram-i-konturam-sequin-art-senior-vechernie-pastbischa-sa0429.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
808386817,6457372,SEQUIN ART,Набор для творчества SEQUIN ART JUNIOR Big Ben SA1331,147,1773827,"Дом, отдых и зоотовары >> Декор для дома >> Картины по номерам >> Картины по номерам Sequin Art",sequin-art,Картина за номерами Sequin Junior Біг Бен (SA1331),,179,1,https://comfy.ua/kartina-po-nomeram-i-konturam-sequin-art-junior-big-ben-sa1331.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
808386836,,,,,1766170,Comfy KIDS >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку BabyOno,babyono,"""Брязкальце BabyOno з пищалки """"Щеня Льюїс"""", 25,5см (1354)""",,295,1,https://comfy.ua/pogremushka-babyono-s-pischalkoj-schenok-l-juis-25-5sm-1354.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
808388550,6543418,TRANSCEND,SSD накопитель TRANSCEND MTS820S 960GB M.2 2280 SATAIII TLC (TS960GMTS820S),4515,1757915,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Transcend",transcend,SSD-накопичувач внутрішній Transcend 2280 960GB (TS960GMTS820S),,3209,1,https://comfy.ua/ssd-nakopitel-vnutrennij-transcend-2280-960gb-ts960gmts820s.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
808395251,6389977,FORTE,Стабилизатор напряжения FORTE HDR-5000,4660,1773375,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения",,Стабілізатор напруги Forte HDR-5000,,7431,1,https://comfy.ua/stabilizator-naprjazhenija-forte-hdr-5000.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
808402594,,,,,.959490,Телевизоры и мультимедиа >> Аксессуары для ТВ,itech,Кріплення для телевізора iTECH LCD-33B,,459,1,https://comfy.ua/kreplenie-dlja-televizora-itech-lcd-33b.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
808403261,6659830,BORGIO,Вытяжка BORGIO RNT-SU 60 Ivory,5049,1773272,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Borgio,borgio,Витяжка декоративна Borgio RNT-SU 60 Ivory,,4729,1,https://comfy.ua/vytjazhka-dekorativnaja-borgio-rnt-su-60-ivory.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
808413374,6926789,SIGIKID,Рюкзак SIGIKID Kily Keeper (23769SK),1247,1774515,Детские товары >> Прогулки и поездки,sigikid,Рюкзак дитячий Sigikid Kily Keeper (23769SK),,1249,1,https://comfy.ua/catalog/product/view/id/2115683,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
808413376,6375969,SIGIKID,Рюкзак SIGIKID 23145SK,839,1774514,Детские товары >> Прогулки и поездки,sigikid,Рюкзак дитячий Sigikid Sammy Samoa (23145SK),,1199,1,https://comfy.ua/catalog/product/view/id/2115643,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
808413378,6375977,SIGIKID,Рюкзак SIGIKID Sammy Samoa (24004SK),885,1774516,Детские товары >> Прогулки и поездки,sigikid,Рюкзак дитячий Sigikid Sammy Samoa (24004SK),,1265,1,https://comfy.ua/catalog/product/view/id/2115593,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
808413382,6926790,SIGIKID,Рюкзак SIGIKID Sammy Samoa (24936SK),1053,1774362,Детские товары >> Прогулки и поездки,sigikid,Рюкзак дитячий Sigikid Sammy Samoa (24936SK),,1055,1,https://comfy.ua/catalog/product/view/id/2115343,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
808445015,6376005,SIGIKID,Рюкзак SIGIKID Arrows (24640SK),1055,1774523,Детские товары >> Прогулки и поездки,sigikid,Рюкзак дитячий Sigikid Arrows (24640SK),,1509,1,https://comfy.ua/catalog/product/view/id/2115823,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
808445017,6375978,SIGIKID,Рюкзак SIGIKID Forest (24835SK),1039,1774525,Детские товары >> Прогулки и поездки,sigikid,Рюкзак дитячий Sigikid Forest (24835SK),,1265,1,https://comfy.ua/catalog/product/view/id/2115793,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
808448929,7112078,MENALUX,Фильтр для кофеварки MENALUX FP01 нейлон (900084625),339,1771083,Бытовая химия >> Средства для чистки техники >> Средства для чистки кофемашин >> Средства для чистки кофемашин Menalux,menalux,Фільтр для кавоварки Menalux FP 01,,339,1,https://comfy.ua/fil-tr-dlja-kofevarki-menalux-fp-01.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
808448930,7112079,MENALUX,Фильтр для кофеварки MENALUX FP02 нержавеющая сталь (900084626),369,1771084,Бытовая химия >> Средства для чистки техники >> Средства для чистки кофемашин >> Средства для чистки кофемашин Menalux,menalux,Фільтр для кавоварки Menalux FP 02,,369,1,https://comfy.ua/fil-tr-dlja-kofevarki-menalux-fp-02.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
808454394,,,,,1774226,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",asus,Монітор Asus ProArt PA148CTV,,19999,1,https://comfy.ua/catalog/product/view/id/2116223,21499,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
808459529,6688546,BEURER,Выпрямитель BEURER HS 20,3062,1773777,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Beurer,beurer,Вирівнювач волосся Beurer HS 20,,3579,1,https://comfy.ua/vyprjamitel-volos-beurer-hs-20.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
808460347,7057915,VLADI TOYS,Мозаика VLADI TOYS Зоопарк (ZB2002-02),659,1765112,Детские товары >> Творчество и развитие,vladi-toys,Дерев'яна мозаїка Vladi Toys Зоопарк (ZB2002-02),,628,1,https://comfy.ua/catalog/product/view/id/2116953,795,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
808460352,,,,,1774148,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",asus,Монітор Asus VA27AQSB,,10599,1,https://comfy.ua/catalog/product/view/id/2115383,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
808468416,6677048,WHIRLPOOL,Встраиваемая посудомоечная машина WHIRLPOOL WIO3C33E6.5,16999,1773641,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Whirlpool,whirlpool,Посудомийна машина вбудована Whirlpool WIO3C33E6.5,,16999,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-whirlpool-wio3c33e6-5.html,18299,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
808469135,6625823,GRUNHELM,Мясорубка GRUNHELM AMG180SJ,2919,1774117,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Grunhelm,grunhelm,М'ясорубка Grunhelm AMG180SJ,,2899,1,https://comfy.ua/mjasorubka-grunhelm-amg180sj.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
808483985,,,,,.1771062,Телевизоры и мультимедиа >> Аксессуары для ТВ,gembird,Засіб для чищення комп'ютерної техніки Gembird Сжатый воздух 750 мл (1604998),,209,1,https://comfy.ua/chistjaschee-sredstvo-dlja-komp-juternoj-tehniki-gembird-szhatyj-vozduh-750-ml-1604998.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
808485368,,,,,1771061,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",gembird,Хаб USB Gembird UHB-U2P4-04,,169,1,https://comfy.ua/hab-usb-gembird-uhb-u2p4-04.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,1
808575487,6676756,WHIRLPOOL,Духовой шкаф WHIRLPOOL WTA C 8411 SC AN,19299,1773645,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Whirlpool,whirlpool,Духова шафа електрична Whirlpool WTAC8411SCAN,,19299,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-whirlpool-wtac8411scan.html,23199,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
808603562,6676974,SEGWAY,Электросамокат Segway Ninebot E45E Black (AA.00.0002.22),20999,1758987,Смарт-часы и гаджеты >> Электротранспорт,segway,Електросамокат Segway Ninebot by E45E,,20999,1,https://comfy.ua/jelektrosamokat-segway-ninebot-by-e45e.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
808603878,6686956,NEO TOOLS,Плоскогубцы удлиненные NEO TOOLS 160 мм (01-252),319,1770673,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Neo Tools",neo-tools,Плоскогубці Neo Tools 160 мм (01-252),,319,1,https://comfy.ua/ploskogubcy-neo-tools-160-mm-01-252.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
808603879,6686960,NEO TOOLS,Бокорезы NEO TOOLS 160 мм (01-256),329,1770610,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Neo Tools",neo-tools,Кусачки Neo Tools 160 мм (01-256),,329,1,https://comfy.ua/kusachki-neo-tools-160-mm-01-256.html,,05.11.2025 22:26,,"вул. Соборна, 42",Фастів,0
808603880,6686958,NEO TOOLS,Плоскогубцы NEO TOOLS 160 мм (01-254),359,1770671,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Neo Tools",neo-tools,Плоскогубці Neo Tools 160 мм (01-254),,359,1,https://comfy.ua/ploskogubcy-neo-tools-160-mm-01-254.html,,05.11.2025 22:26,,"вул. Соборна, 42",Фастів,0
808603881,6686961,NEO TOOLS,Кусачки Neo Tools боковые 180 мм (01-257),380,1771141,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Neo Tools",neo-tools,Кусачки Neo Tools 01-257 180 мм,,425,1,https://comfy.ua/kusachki-neo-tools-01-257-180-mm.html,,05.11.2025 23:09,,"вул. Соборна, 42",Фастів,0
808603886,6686952,NEO TOOLS,Плоскогубцы удлиненные NEO TOOLS 200 мм 1000 В (01-225),537,1770676,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Neo Tools",neo-tools,Плоскогубці Neo Tools 200 мм (01-225),,645,1,https://comfy.ua/ploskogubcy-neo-tools-200-mm-01-225.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
808604164,6686971,NEO TOOLS,Труборез Neo Tools для медных и алюминиевых труб 28 мм (02-054),479,1771176,Инструменты и автотовары >> Ручные инструменты >> Ножницы по металлу >> Ножницы по металлу Neo Tools,neo-tools,Труборiз Neo Tools 02-054 NEO 28 мм,,479,1,https://comfy.ua/truborez-neo-tools-02-054-neo-28-mm.html,,05.11.2025 22:26,,"вул. Соборна, 42",Фастів,0
808604166,6686973,NEO TOOLS,Труборез Neo Tools для пластикових труб 0 - 42 мм (02-073),789,1771177,Инструменты и автотовары >> Ручные инструменты >> Ножницы по металлу >> Ножницы по металлу Neo Tools,neo-tools,Труборiз Neo Tools 02-073 NEO 0-42 мм,,789,1,https://comfy.ua/truborez-neo-tools-02-073-neo-0-42-mm.html,,05.11.2025 23:09,,"вул. Соборна, 42",Фастів,0
808604167,6686974,NEO TOOLS,Труборез NEO TOOLS 0-50мм (02-074),969,1772606,Инструменты и автотовары >> Ручные инструменты >> Ножницы по металлу >> Ножницы по металлу Neo Tools,neo-tools,Труборiз Neo Tools 0-50 мм (02-074),,969,1,https://comfy.ua/truborez-neo-tools-0-50-mm-02-074.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
808604194,6729609,TOPEX,Молоток TOPEX 200 г (02A832),260,1771185,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки TOPEX",topex,Молоток TOPEX 02A832,,289,1,https://comfy.ua/molotok-topex-02a832.html,,05.11.2025 23:09,,"вул. Соборна, 42",Фастів,0
808604195,6729610,TOPEX,Молоток TOPEX 300 г (02A833),265,1771186,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки TOPEX",topex,Молоток TOPEX 02A833,,295,1,https://comfy.ua/molotok-topex-02a833.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
808604196,6687067,NEO TOOLS,Киянка NEO TOOLS 25-063,259,1771168,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Neo Tools",neo-tools,Киянка Neo Tools 25-063 680 г,,259,1,https://comfy.ua/kijanka-neo-tools-25-063-680-g.html,,05.11.2025 23:09,,"вул. Соборна, 42",Фастів,0
808604197,6687068,NEO TOOLS,Киянка NEO TOOLS 900 г (25-064),279,1772596,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Neo Tools",neo-tools,"Киянка Neo Tools 72 мм, 900 г (25-064)",,279,1,https://comfy.ua/kijanka-neo-tools-72-mm-900-g-25-064.html,,05.11.2025 23:08,,"вул. Соборна, 42",Фастів,0
