1644721002,column,column,column,column,2780171,__________smeg,smeg,_smeg_bcc11whmeu,column,28799,1,httpscomfyuakofemashinasmegbcc11whmeuhtml,column,05112025_1736,column,__42,Фастів,0
1644725041,,,,,.2571512,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Redmi 10 (2022) (DV-XM-R10),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-redmi-10-2022-dv-xm-r10.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1644725045,,,,,.2566647,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Xiaomi Poco X5 5G матова (DV-XM-PCX5GM),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-xiaomi-poco-x5-5g-matova-dv-xm-pcx5gm.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1644725060,,,,,.2597577,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA Moto G71 5G матова (DV-MT-G715GU),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-moto-g71-5g-matovaja-dv-mt-g715gu.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1644725061,,,,,.2600518,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Huawei Nova 10 SE (DV-HU-NO10SE),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-huawei-nova-10-se-dv-hu-no10se.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1644726637,,,,,.2679491,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,Захисне скло для смартфону Gelius Full Cover Ultra-Thin 0.25mm for Xiaomi Redmi 12 Black (00000093785),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-gelius-full-cover-ultra-thin-0-25mm-for-xiaomi-redmi-12-black-00000093785.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1644728289,,,,,2741419,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для фітнес-браслету BeCover for Xiaomi Mi Smart Band 8 Beige (709377),,179,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-becover-for-xiaomi-mi-smart-band-8-beige-709377.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1644728381,,,,,.2723651,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Xiaomi 13T 5G (ARM69536),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-xiaomi-13t-5g-arm69536.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1644728409,,,,,.2723652,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Xiaomi 13T Pro 5G (ARM69537),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-xiaomi-13t-pro-5g-arm69537.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1644728410,,,,,.2723657,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Oppo A18 4G / A38 4G (ARM71044),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-oppo-a18-4g-a38-4g-arm71044.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1644728411,,,,,.2723656,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Oppo A18 4G / A38 4G (ARM71043),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-oppo-a18-4g-a38-4g-arm71043.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1644728412,,,,,.2737950,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Oscal S80 (ARM71967),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-oscal-s80-arm71967.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1644728566,,,,,.2763697,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for ZTE Blade V50 Vita (ARM70660),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-zte-blade-v50-vita-arm70660.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1644728569,,,,,.2741718,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Motorola G54 (ARM71080),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-motorola-g54-arm71080.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1644728571,,,,,.2759015,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,Захисне скло для смартфону Gelius Full Cover Ultra-Thin 0.25mm for Realme C33 Black (92747),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-gelius-full-cover-ultra-thin-0-25mm-for-realme-c33-black-92747.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1644728573,,,,,.2729220,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Samsung A05 (A055)/A05s (A057) (ARM71807),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-samsung-a05-a055-a05s-a057-arm71807.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1644728574,,,,,.2729221,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Samsung A05 (A055)/A05s (A057) (ARM71808),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-samsung-a05-a055-a05s-a057-arm71808.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1644728599,,,,,2763939,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,Захисне скло для смартфону Gelius Full Cover Ultra-Thin 0.25mm for Samsung G990 (S21 FE) Black (94538),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-gelius-full-cover-ultra-thin-0-25mm-for-samsung-g990-s21-fe-black-94538.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1644728602,,,,,.2763940,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,Захисне скло для смартфону Gelius Full Cover Ultra-Thin 0.25mm for Samsung G991 (S21) Black (94574),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-gelius-full-cover-ultra-thin-0-25mm-for-samsung-g991-s21-black-94574.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1644728604,,,,,.2765436,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,Захисне скло для смартфону Gelius Full Cover Ultra-Thin 0.25mm for iPhone 15 Black (94664),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-gelius-full-cover-ultra-thin-0-25mm-for-iphone-15-black-94664.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1644728724,,,,,.2585723,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Tecno Camon 20 4G (ARM69133),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-tecno-camon-20-4g-arm69133.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1644728733,,,,,.2588524,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Redmi Note 10 Lite (ARM61872),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-redmi-note-10-lite-arm61872.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1644728741,,,,,.2741751,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для фітнес-браслету BeCover Vents Style for Huawei Band 7/Honor Band 7 Black-White (709439),,199,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-becover-vents-style-for-huawei-band-7-honor-band-7-black-white-709439.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1644728772,,,,,.2572906,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфона Armorstandart Matte for OnePlus Nord N100 (ARM60172),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-oneplus-nord-n100-arm60172.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1644728920,,,,,.2585874,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Xiaomi Redmi Note 11T Pro (ARM61884),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-xiaomi-redmi-note-11t-pro-arm61884.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
