819712513,column,column,column,column,1711331,"Дом, отдых и зоотовары >> Сантехника",elleci,__elleci_blade_fango_43,column,6799,1,httpscomfyuasmesitelkuhonnyjellecibladefango43html,22549,05112025_2010,column,__42,Фастів,0
819712802,6869787,ELLECI,Мойка ELLECI Q 100 on top nero 40 (8032557045571),8399,1711466,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 100 On Top Nero 40,,8199,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-100-on-top-nero-40.html,9299,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
819712804,6403039,ELLECI,Мойка ELLECI Q 100 under top titano 68,8899,1711375,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 100 Under Top Titano 68,,8699,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-100-under-top-titano-68.html,9999,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
819712807,7052022,GROHE,Мойка GROHE K400 780x500x205мм Черный Гранит (31639AP0),16779,1789576,"Дом, отдых и зоотовары >> Сантехника",grohe,Мийка кухонна Grohe K400 50-C 78/50 Чорний Граніт (31639AP0),,16779,1,https://comfy.ua/catalog/product/view/id/2272123,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
819712808,6980718,GROHE,Мойка GROHE K400 с крылом (31639AT0),15648,1789577,"Дом, отдых и зоотовары >> Сантехника",grohe,Мийка кухонна Grohe K400 50-C 78/50 Сірий Граніт (31639AT0),,15649,1,https://comfy.ua/catalog/product/view/id/2272133,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
819712820,6869800,ELLECI,Мойка ELLECI Q 102 on top titano 68 (8031873065218),8699,1711944,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 102 On Top Titano 68,,9299,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-102-on-top-titano-68.html,10499,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
819712821,,,,,1739897,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 102 Under Top Avena 51,,9399,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-102-under-top-avena-51.html,10499,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
819712822,,,,,1739896,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 102 Under Top Titano 68,,9399,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-102-under-top-titano-68.html,10499,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
819712828,6869834,ELLECI,Мойка ELLECI Zen 102 White 96 (8031873027810),10199,1711460,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Zen 102 White 96,,10299,1,https://comfy.ua/mojka-kuhonnaja-elleci-zen-102-white-96.html,11499,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
819712829,,,,,1711385,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 105 Under Top Titano 68,,10499,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-105-under-top-titano-68.html,11499,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
819712830,,,,,1725411,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 105 Under Top Nero 40,,10499,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-105-under-top-nero-40.html,11499,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
