951431817,column,column,column,column,1831204,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,___ugreen_cd213_36w_2xusb_qc_30_3a_car_charger_dark_blue_10144,column,429,1,httpscomfyuacatalogproductviewid2699183,column,05112025_1754,column,__42,Фастів,0
951677525,7041128,TOLSEN,Бур TOLSEN SDS-Plus 6х110 мм (75302),41,1836758,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Tolsen,tolsen,Бур Tolsen SDS-Plus 6х110 мм (75302),,49,1,https://comfy.ua/bur-tolsen-sds-plus-6h110-mm-75302.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
951687948,6725785,HAISSER,Сверло алмазное HAISSER CERAMICS HEX 6 мм (2713406),266,1837273,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Haisser,haisser,Свердло Haisser Ceramic Pro Hex 6 мм (2713406),,365,1,https://comfy.ua/sverlo-haisser-ceramic-pro-hex-6-mm-2713406.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
951687952,,,,,.1837275,Инструменты и автотовары >> Расходные материалы,haisser,Свердло Haisser Ceramic Pro Hex 8 мм (2713408),,379,1,https://comfy.ua/sverlo-haisser-ceramic-pro-hex-8-mm-2713408.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
951687963,,,,,.1837270,Инструменты и автотовары >> Расходные материалы,haisser,Свердло Haisser Ceramic Pro Hex 12 мм (2713412),,389,1,https://comfy.ua/sverlo-haisser-ceramic-pro-hex-12-mm-2713412.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
951687969,,,,,.1837280,Инструменты и автотовары >> Расходные материалы,haisser,Свердло Haisser Ceramic Pro М14 6 мм (2713506),,429,1,https://comfy.ua/sverlo-haisser-ceramic-pro-m14-6-mm-2713506.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
951687974,,,,,.1837282,Инструменты и автотовары >> Расходные материалы,haisser,Свердло Haisser Ceramic Pro М14 8 мм (2713508),,445,1,https://comfy.ua/sverlo-haisser-ceramic-pro-m14-8-mm-2713508.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
951709659,,,,,.1837276,Инструменты и автотовары >> Расходные материалы,haisser,Свердло Haisser Ceramic Pro М14 10 мм (2713510),,455,1,https://comfy.ua/sverlo-haisser-ceramic-pro-m14-10-mm-2713510.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
951709668,,,,,.1837277,Инструменты и автотовары >> Расходные материалы,haisser,Свердло Haisser Ceramic Pro М14 12 мм (2713512),,465,1,https://comfy.ua/sverlo-haisser-ceramic-pro-m14-12-mm-2713512.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
951709690,,,,,1837271,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Haisser,haisser,Свердло Haisser Ceramic Pro Hex 35 мм (2713435),,779,1,https://comfy.ua/sverlo-haisser-ceramic-pro-hex-35-mm-2713435.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
951709697,,,,,.1837272,Инструменты и автотовары >> Расходные материалы,haisser,Свердло Haisser Ceramic Pro Hex 40 мм (2713440),,859,1,https://comfy.ua/sverlo-haisser-ceramic-pro-hex-40-mm-2713440.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
951709704,,,,,.1837278,Инструменты и автотовары >> Расходные материалы,haisser,Свердло Haisser Ceramic Pro М14 35 мм (2713535),,895,1,https://comfy.ua/sverlo-haisser-ceramic-pro-m14-35-mm-2713535.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
951709709,,,,,.1837279,Инструменты и автотовары >> Расходные материалы,haisser,Свердло Haisser Ceramic Pro М14 40 мм (2713540),,975,1,https://comfy.ua/sverlo-haisser-ceramic-pro-m14-40-mm-2713540.html,,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
951709725,,,,,.1837274,Инструменты и автотовары >> Расходные материалы,haisser,Свердло Haisser Ceramic Pro Hex 68 мм (2713468),,1439,1,https://comfy.ua/sverlo-haisser-ceramic-pro-hex-68-mm-2713468.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
951709731,,,,,.1837281,Инструменты и автотовары >> Расходные материалы,haisser,Свердло Haisser Ceramic Pro М14 68 мм (2713568),,1639,1,https://comfy.ua/sverlo-haisser-ceramic-pro-m14-68-mm-2713568.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
951721006,6297996,STANLEY,Бур SDS-Plus STANLEY 12 х 150 х 210 мм (STA54067),104,1834930,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Stanley,stanley,Бур Stanley SDS-Plus 12х150х210 мм (STA54067),,125,1,https://comfy.ua/bur-stanley-sds-plus-12h150h210-mm-sta54067.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
951721011,6297995,STANLEY,Бур SDS-Plus STANLEY 10 х 200 х 260 мм (STA54207),110,1834931,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Stanley,stanley,Бур Stanley SDS-Plus 10х200х260 мм (STA54207),,135,1,https://comfy.ua/bur-stanley-sds-plus-10h200h260-mm-sta54207.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
