789548121,column,column,column,column,1720877,__________haisser,haisser,__haisser_12_1577__73884,column,109,1,httpscomfyuatorcevajagolovkahaisser1215h77mm73884html,column,05112025_2215,column,__42,Фастів,0
789556980,,,,,.1745459,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover Apple iPhone XR Black (702621),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-apple-iphone-xr-black-702621.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
789557807,,,,,1743246,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant Sony NP-BJ1 700mAh (CB970445),,259,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-sony-np-bj1-700mah-cb970445.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
789557879,6703486,POWERPLANT,rechar POWERPLANT Fuji NP-T125 1300mAh (CB970391),1249,1743251,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant Fujifilm NP-T125 1300mAh (CB970391),,1039,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-fujifilm-np-t125-1300mah-cb970391.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
789557880,,,,,1743248,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant Canon BP-A30 3350mAh (CB970407),,3999,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-canon-bp-a30-3350mah-cb970407.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
789558448,,,,,.1747286,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600X RTX 3060 12GB 161 (Ryzen55600XRTX306012GB161),,35370,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600x-rtx-3060-12gb-161-ryzen55600xrtx306012gb161.html,40655,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
789558452,,,,,.1747290,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600X RTX 3060 12GB 164 (Ryzen55600XRTX306012GB164),,34239,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600x-rtx-3060-12gb-164-ryzen55600xrtx306012gb164.html,39355,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
789558456,,,,,.1747288,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600X RTX 3060 12GB 1621 (Ryzen55600XRTX306012GB1621),,36539,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600x-rtx-3060-12gb-1621-ryzen55600xrtx306012gb1621.html,41999,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
789558458,,,,,.1747289,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600X RTX 3060 12GB 1622 (Ryzen55600XRTX306012GB1622),,36762,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600x-rtx-3060-12gb-1622-ryzen55600xrtx306012gb1622.html,42255,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
789558459,,,,,.1747291,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600X RTX 3060 12GB 1641 (Ryzen55600XRTX306012GB1641),,37235,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600x-rtx-3060-12gb-1641-ryzen55600xrtx306012gb1641.html,42799,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
789558462,,,,,.1747292,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600X RTX 3060 12GB 1642 (Ryzen55600XRTX306012GB1642),,37453,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600x-rtx-3060-12gb-1642-ryzen55600xrtx306012gb1642.html,43049,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
789558463,,,,,.1747287,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600X RTX 3060 12GB 1610 (Ryzen55600XRTX306012GB1610),,35370,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600x-rtx-3060-12gb-1610-ryzen55600xrtx306012gb1610.html,40655,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
