787295682,column,column,column,column,1742465,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_icon_for_samsung_galaxy_a72_sma725_black_033mm_arm58088,column,149,1,httpscomfyuazaschitnoesteklodljasmartfonaarmorstandarticonforsamsunggalaxya72sma725black033mmarm58088html,column,05112025_1806,column,__42,Фастів,0
787802315,7057064,STRATEG,Настольная игра STRATEG Домино Морской мир (30767),99,1741153,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (3-4 роки) Strateg доміно """"Морський світ"""" (30767)""",,159,1,https://comfy.ua/nastol-naja-igra-klassicheskaja-3-4-goda-strateg-domino-morskoj-mir-30767.html,,06.11.2025 1:30,,"вул. Соборна, 42",Фастів,0
787802317,7057065,STRATEG,Настольная игра STRATEG Лото Фрукты и овощи (30366),135,1741154,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (3-4 роки) Strateg лото """"Фрукти і овочі"""" (30366)""",,155,1,https://comfy.ua/nastol-naja-igra-klassicheskaja-3-4-goda-strateg-loto-frukty-i-ovoschi-30366.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
787802348,,,,,1741142,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"Настільна гра (8+) Strateg Менеджер, укр (30453)",,92,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-8-strateg-menedzher-ukr-30453.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
787802350,,,,,1741141,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"Настільна гра (8+) Strateg Монополіст, укр (508)",,119,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-8-strateg-monopolist-ukr-508.html,,06.11.2025 0:44,,"вул. Соборна, 42",Фастів,0
787802357,,,,,1741304,Детские товары >> Игрушки >> Активные игры >> Активные игры >> Активные игры Strateg,strateg,Твістер Strateg рус поле 150-110 см (11256),,135,1,https://comfy.ua/tvister-strateg-rus-pole-150-110-sm-11256.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
787802366,,,,,.1741232,Детские товары >> Игрушки,strateg,Настільна гра (до 2 років) Strateg Весела математика укр (532),,279,1,https://comfy.ua/pazly-kartonnye-3-4-goda-strateg-vesela-matematika-ukr-532.html,,06.11.2025 1:15,,"вул. Соборна, 42",Фастів,0
787802384,,,,,1741267,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (5-7 років) Strateg бродилка """"Солодкі пригоди"""", укр (30504)""",,105,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-5-7-let-strateg-brodilka-sladkie-prikljuchenija-rus-30504.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
787802391,7057018,STRATEG,Настольная игра STRATEG The time of legends (30267),495,1741167,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (12+) Strateg The time of legends/Час легенд erh (30267),,795,1,https://comfy.ua/nastol-naja-igra-obschenie-12-strateg-the-time-of-legends-vremja-legend-erh-30267.html,,06.11.2025 1:30,,"вул. Соборна, 42",Фастів,0
787802394,,,,,1741200,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (12+) Strateg Be Ukrainian укр (30815),,179,1,https://comfy.ua/nastol-naja-igra-obschenie-12-strateg-be-ukrainian-ukr-30815.html,,06.11.2025 0:53,,"вул. Соборна, 42",Фастів,0
787802397,7045318,STRATEG,Настольная игра STRATEG ТУБА (30264),495,1741199,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (12+) Strateg Туба англ. (30264),,689,1,https://comfy.ua/nastol-naja-igra-obschenie-12-strateg-tuba-angl-30264.html,,06.11.2025 1:15,,"вул. Соборна, 42",Фастів,0
