1649590391,7058870,KARCHER,Робот-пылесос KARCHER RCF 3 EU (1.269-660.0),19980,2817393,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы Karcher,karcher,Робот-пилосос миючий Karcher RCF 3 (1.269-660.0),,19999,1,https://comfy.ua/robot-pylesos-mojuschij-karcher-rcf-3-1-269-660-0.html,36999,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1649591043,6950091,MASTERPRO,Форма MASTERPRO Foodies collection 24 см (BGMP-7343),439,2799491,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Masterpro,masterpro,Форма для приготування Masterpro Foodies collection 24 см (BGMP-7343),,439,1,https://comfy.ua/forma-dlja-prigotovlenija-masterpro-foodies-collection-24-sm-bgmp-7343.html,879,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1649591044,6949914,BERGNER,Форма BERGNER Orion 28 см (BG-37046-GY),779,2799361,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Bergner,bergner,Форма для приготування Bergner Orion 28 см (BG-37046-GY),,779,1,https://comfy.ua/forma-dlja-prigotovlenija-bergner-orion-28-sm-bg-37046-gy.html,969,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1649591791,6875917,EINHELL,Пылесос для золы Einhell X-Change TE-AV 1815 Li C - Solo (2351700),2992,2822058,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Einhell,einhell,Пилосос для сухого прибирання без мішка Einhell TE-AV 18/15 Li C - Solo (2351700),,2959,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-einhell-te-av-18-15-li-c-solo-2351700.html,2995,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1649593250,,,,,2811676,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",skydolphin,Перехідник аудіо SkyDolphin AU01 Lightning - 2хLightning (M/F) Black (ADPT-00026),,229,1,https://comfy.ua/perehodnik-audio-skydolphin-au01-lightning-2hlightning-m-f-black-adpt-00026.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1649607582,,,,,.2821756,Игровые консоли и гейминг >> Комплектующие для игровых ПК,silver-stone,Корпус Silver Stone Fara (SST-FAV1MB-PRO),,3649,1,https://comfy.ua/korpus-silver-stone-fara-sst-fav1mb-pro.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1649607583,,,,,.2821089,Игровые консоли и гейминг >> Комплектующие для игровых ПК,silver-stone,Корпус Silver Stone Fara (SST-FAH1MW-PRO),,3589,1,https://comfy.ua/korpus-silver-stone-fara-sst-fah1mw-pro.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1649608117,,,,,.2821755,Игровые консоли и гейминг >> Комплектующие для игровых ПК,silver-stone,Корпус Silver Stone Fara (SST-FAR1W-PRO-V2),,4479,1,https://comfy.ua/korpus-silver-stone-fara-sst-far1w-pro-v2.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1649611441,7023607,NAIPO,Массажер для ног NAIPO MGF-F15,7499,1890590,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Naipo,naipo,Массажер для ніг Naipo MGF-F15,,5999,1,https://comfy.ua/massazher-dlja-nog-naipo-mgf-f15.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1649611855,7023611,NAIPO,Массажер NAIPO MGF-3600 Gray,7999,1881041,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Naipo,naipo,Массажер для ніг Naipo MGF-3600 з підігрівом та вібрацією,,7999,1,https://comfy.ua/massazher-dlja-nog-naipo-mgf-3600-s-podogrevom-i-vibraciej.html,10999,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1649612119,7120353,NAIPO,Массажная накидка NAIPO Cuzen Shiatsu Back&Neck Massager OCUZEN-S1,5499,2547733,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Naipo,naipo,Масажер для тіла Naipo накидка Ocuzen-S1 для спини та шиї New Generation,,5499,1,https://comfy.ua/massazher-dlja-tela-naipo-nakidka-ocuzen-s1-dlja-spiny-i-shei-new-generation.html,6499,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1649612183,7023619,NAIPO,Массажер для тела NAIPO MGPC-002,2499,2547734,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Naipo,naipo,Масажер для тіла Naipo MGPC-002,,2499,1,https://comfy.ua/massazher-dlja-tela-naipo-mgpc-002.html,3699,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1649612231,7023614,NAIPO,Массажер NAIPO NP-MG01,2799,2547732,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Naipo,naipo,Масажер для тіла Naipo NP-MG01,,2799,1,https://comfy.ua/massazher-dlja-tela-naipo-np-mg01.html,3499,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
