1643466035,column,column,column,column,2767847,Красота и здоровье >> Уход за волосами,xiaomi,_xiaomi_showsee_hair_dryer_1800w_white_shwsa4weu,column,989,1,httpscomfyuafenxiaomishowseehairdryer1800wwhiteshwsa4weuhtml,column,05112025_1840,column,__42,Фастів,0
1643493736,,,,,2696367,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Milwaukee,milwaukee,Диск шлифовальный по дереву Milwaukee 2x190x30x24 (4932471300),,2859,1,https://comfy.ua/disk-shlifoval-nyj-po-derevu-milwaukee-2x190x30x24-4932471300.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
1643501293,,,,,2784720,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для планшету Armorstandart Smart Case Xiaomi Redmi Pad SE 11 Black (ARM70039),,649,1,https://comfy.ua/chehol-dlja-plansheta-armorstandart-smart-case-xiaomi-redmi-pad-se-black-arm70039.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,1
1643508969,6725991,EINHELL,Фонарь EINHELL TC-CL 18/1800 Li - Solo (4514115),1664,2723701,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники Einhell",einhell,Світлодіодний прожектор Einhell TC-CL 18/1800 Li - Solo без АКБ і ЗП (4514115),,2238,1,https://comfy.ua/svetodiodnyj-prozhektor-einhell-tc-cl-18-1800-li-solo-bez-akb-i-zu-4514115.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1643511970,6934689,FABER,Вытяжка FABER Eclipse Ev8 Led X A37 (335.0538.983),17053,2735075,Техника для кухни >> Крупная техника,faber,Витяжка декоративна Faber Eclipse Ev8 Led X A37,,16955,1,https://comfy.ua/vytjazhka-dekorativnaja-faber-eclipse-ev8-led-x-a37.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1643524814,,,,,2760114,"Аудио, фото и видео >> Наушники >> Наушники Gelius",gelius,Навушники вкладиші бездротові TWS Gelius Incredible GP-TWS033 Dark Night,,1128,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-gelius-incredible-gp-tws033-dark-night.html,1399,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1643557987,6924870,TRANSCEND,SSD накопитель TRANSCEND MTE245S 1TB NVMe M.2 2280 PCIe 4.0 x4 3D NAND TLC (TS1TMTE245S),4199,2724034,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Transcend",transcend,SSD-накопичувач внутрішній Transcend MTE245S 1TB M.2 2280 Gen4x4 TLC (TS1TMTE245S),,3579,1,https://comfy.ua/ssd-nakopitel-vnutrennij-transcend-mte245s-1tb-m-2-2280-gen4x4-tlc-ts1tmte245s.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1643579163,6905091,KINGSTON,"""SSD накопитель KINGSTON 2.5"""" 7.68TB SATA DC600M (SEDC600M/7680G)""",62319,2476656,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Kingston",kingston,"""SSD-накопичувач внутрішній Kingston Enterprise SSD DC600M 7680GB 2.5"""" SATAIII 3D TLC (SEDC600M/7680G)""",,49649,1,https://comfy.ua/ssd-nakopitel-vnutrennij-kingston-enterprise-ssd-dc600m-7680gb-2-5-sataiii-3d-tlc-sedc600m-7680g.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1643580753,6933687,BOSCH,Дрель-шуруповерт BOSCH GSB 18 V-50 Professional (0.601.9H5.106),6156,2721853,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Bosch,bosch,Дриль-шуруповерт Bosch GSB 18 V-50 без АКБ та ЗП (0.601.9H5.106),,6155,1,https://comfy.ua/drel-shurupovert-bosch-gsb-18-v-50-bez-akb-ta-zu-0-601-9h5-106.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
1643613629,,,,,2527297,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Адаптер мережі Bluetooth USB UGREEN CM390 Gray (80890),,399,1,https://comfy.ua/adapter-seti-bluetooth-usb-ugreen-cm390-gray-80890.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1643644056,6970736,MPM,Холодильник MPM MPM-125-CZ-11/Е,8999,2784956,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники MPM,mpm,Холодильник MPM MPM-125-CZ-11/Е,,8999,1,https://comfy.ua/holodil-nik-mpm-mpm-125-cz-11-e.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1643656030,6939230,MEDIA-TECH,Микрофон MEDIA-TECH XLR USB Silver (MT397S),1299,2771061,"Аудио, фото и видео >> Акустика",media-tech,Мікрофон до комп'ютера Media-Tech XLR USB Silver (MT397S),,1299,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-media-tech-xlr-usb-silver-mt397s.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1643658352,,,,,2784311,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Точка доступу TP-Link EAP650-Outdoor,,6999,1,https://comfy.ua/tochka-dostupa-tp-link-eap650-outdoor.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1643883044,6930340,ARDESTO,"Кастрюля ARDESTO Gemini Anzio 6,4 л Black (AR2426GE)",1049,2691310,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Ardesto,ardesto,"Каструля Ardesto Gemini Anzio 6,4 л (AR2426GE)",,1049,1,https://comfy.ua/kastrjulja-ardesto-gemini-anzio-6-4-l-ar2426ge.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1643920293,6985574,FISKARS,Кастрюля FISKARS All Steel 3 л (1064751),4106,2744883,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Fiskars,fiskars,Каструля Fiskars All Steel 3 л (1064751),,5475,1,https://comfy.ua/kastrjulja-fiskars-all-steel-3-l-1064751.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1643950541,7066823,LENOVO,Мышь LENOVO 530 Wireless Graphite (GY50Z49089),729,2772943,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Lenovo",lenovo,Миша бездротова Lenovo 530 Wireless Mouse (GY50Z49089) Graphite,,729,1,https://comfy.ua/mysh-besprovodnaja-lenovo-530-wireless-mouse-gy50z49089-graphite.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1643952519,,,,,2457176,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Адаптер мережі Bluetooth USB UGREEN CM390 5.0 USB  RTL8761BUV (80889),,399,1,https://comfy.ua/adapter-seti-bluetooth-usb-ugreen-cm390-5-0-usb-rtl8761buv-80889.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1643954819,,,,,2744996,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Dream Machines",dream-machines,Миша дротова ігрова Dream Machines DM5 Blink S USB Black,,989,1,https://comfy.ua/mysh-provodnaja-igrovaja-dream-machines-dm5-blink-s-usb-black.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1643958512,6941980,ZELMER,Миксер ZELMER ZHM 2459 B,2299,2784086,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Zelmer,zelmer,Міксер з чашею Zelmer ZHM 2459 B,,2299,1,https://comfy.ua/mikser-s-chashej-zelmer-zhm-2459-b.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1643973364,,,,,2786162,Техника для кухни >> Крупная техника,electrolux,Духова шафа електрична Electrolux EOB8S39H,,40199,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-electrolux-eob8s39h.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1643976890,,,,,2720174,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель USB - miniUSB Digitus USB 2.0 AM/miniB 5pin 1.8m Black (AK-300108-018-S),,76,1,https://comfy.ua/kabel-usb-miniusb-digitus-usb-2-0-am-minib-5pin-1-8m-black-ak-300108-018-s.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1643985058,7024562,HOLMER,Пылесос HOLMER HVCC-91В Cyclone (6955898402143),2259,2770816,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Holmer,holmer,Пилосос для сухого прибирання без мішка Holmer HVCC-91В,,2259,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-holmer-hvcc-91v.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1643985725,6984225,GRUNHELM,Пылесос GRUNHELM GVC-100BR,3999,2780177,Техника для дома >> Мелкая техника,grunhelm,Пилосос для сухого прибирання з мішком Grunhelm GVC-100BR,,2498,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-grunhelm-gvc-100br.html,4269,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1643985826,6984222,GRUNHELM,Пылесос GRUNHELM GVC-720RS,2599,2780176,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Grunhelm,grunhelm,Пилосос для сухого прибирання без мішка Grunhelm GVC-720RS,,2599,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-grunhelm-gvc-720rs.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1643986396,6986943,FLORINA,Сковорода FLORINA Savoy 28 см Grey (1P0370),925,2717432,Посуда >> Для приготовления >> Сковороды >> Сковороды FLORINA,florina,Сковорода універсальна FLORINA Savoy 28 см (1P0370),,925,1,https://comfy.ua/skovoroda-universal-naja-florina-savoy-28-sm-1p0370.html,1099,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1643988522,6985572,FISKARS,Сковорода Вок FISKARS All Steel 28 см Silver (1064747),4927,2744880,Посуда >> Для приготовления >> Сковороды >> Сковороды Fiskars,fiskars,Сковорода ВОК Fiskars Wok All Steel 28 см (1064747),,6569,1,https://comfy.ua/skovoroda-vok-fiskars-wok-all-steel-28-sm-1064747.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
1643988526,,,,,.2744887,Посуда >> Для приготовления,fiskars,Сковорода ВОК Fiskars Norden 28 см (1067636),,8925,1,https://comfy.ua/skovoroda-vok-fiskars-norden-28-sm-1067636.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1643996987,,,,,2769484,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",vention,Кабель USB type A - USB type B Vention USB A Male - B Male Print 5m (VAS-A16-B500),,239,1,https://comfy.ua/kabel-usb-type-a-usb-type-b-vention-usb-a-male-b-male-print-5m-vas-a16-b500.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1644022386,6966170,XIAOMI,Электробритва XIAOMI Electric Shaver S101 EU,1099,2784920,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Xiaomi,xiaomi,Бритва Xiaomi Electric Shaver S101 EU,,999,1,https://comfy.ua/britva-xiaomi-electric-shaver-s101-eu.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1644030838,,,,,2734686,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Promate,promate,Мережевий зарядний пристрій Promate tripmate-gan75,,1999,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-promate-tripmate-gan75.html,3499,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1644033345,6922140,SENNHEISER,Гарнитура SENNHEISER ACCENTUM Wireless White (700175),7199,2784053,"Аудио, фото и видео >> Наушники >> Наушники Sennheiser",sennheiser,Навушники повнорозмірні бездротові Sennheiser Accentum Wireless White (700175),,5999,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-sennheiser-accentum-wireless-white-700175.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1644033515,6996133,HOLMER,Электрочайник HOLMER HKS-203D,379,2780207,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Holmer,holmer,Електричний чайник Holmer HKS-203D,,439,1,https://comfy.ua/jelektricheskij-chajnik-holmer-hks-203d.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1644033518,6946910,ESPERANZA,Электрочайник ESPERANZA Tugela 1.8 л (EKK104X),399,2784258,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Esperanza,esperanza,Електричний чайник Esperanza EKK104X,,399,1,https://comfy.ua/jelektricheskij-chajnik-esperanza-ekk104x.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1644033519,6945303,ARDESTO,Электрочайник ARDESTO EKL-F1BG,799,2784269,Техника для кухни >> Мелкая техника,ardesto,Електричний чайник Ardesto EKL-F1BG,,799,1,https://comfy.ua/jelektricheskij-chajnik-ardesto-ekl-f1bg.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1644033521,6924116,SENCOR,Электрочайник SENCOR SWK 7401RD,1019,2736259,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Sencor,sencor,Електричний чайник Sencor SWK 7401RD,,1019,1,https://comfy.ua/jelektricheskij-chajnik-sencor-swk-7401rd.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1644033713,6942141,KRAUZER,Сковорода KRAUZER Gray Titan FG07-24A 24 см Black (77102),749,2719358,Посуда >> Для приготовления >> Сковороды >> Сковороды Krauzer,krauzer,Сковорода універсальна Krauzer 24 см (FG07-24A 77102),,690,1,https://comfy.ua/skovoroda-universal-naja-krauzer-24-sm-fg07-24a-77102.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1644033718,6946911,ESPERANZA,Электрочайник ESPERANZA Victoria 1.8 л (EKK113R),499,2719924,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Esperanza,esperanza,Електричний чайник Esperanza Kettle Victoria (EKK113R),,499,1,https://comfy.ua/jelektricheskij-chajnik-esperanza-kettle-victoria-ekk113r.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1644033719,6946913,ESPERANZA,Электрочайник Esperanza Kettle Victoria 1.8 L (EKK113W),499,2719925,Техника для кухни >> Мелкая техника,esperanza,Електричний чайник Esperanza Kettle Victoria (EKK113W),,499,1,https://comfy.ua/jelektricheskij-chajnik-esperanza-kettle-victoria-ekk113w.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1644033972,6942142,KRAUZER,Сковорода KRAUZER Gray Titan FG07-26A 26 см Black (77103),733,2719359,Посуда >> Для приготовления >> Сковороды >> Сковороды Krauzer,krauzer,Сковорода універсальна Krauzer 26 см (FG07-26A 77103),,733,1,https://comfy.ua/skovoroda-universal-naja-krauzer-26-sm-fg07-26a-77103.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1644033973,6942143,KRAUZER,Сковорода KRAUZER Gray Titan FG07-28A 28 см Black (77104),809,2719360,Посуда >> Для приготовления >> Сковороды >> Сковороды Krauzer,krauzer,Сковорода універсальна Krauzer 28 см (FG07-28A 77104),,809,1,https://comfy.ua/skovoroda-universal-naja-krauzer-28-sm-fg07-28a-77104.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1644034457,6986942,FLORINA,Сковорода FLORINA Savoy 24 см Grey (1P0369),649,2717431,Посуда >> Для приготовления >> Сковороды >> Сковороды FLORINA,florina,Сковорода універсальна FLORINA Savoy 24 см (1P0369),,659,1,https://comfy.ua/skovoroda-universal-naja-florina-savoy-24-sm-1p0369.html,849,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1644039750,,,,,2724055,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Lessner,lessner,"Каструля Lessner Blasta 1,8 л (55878-16)",,860,1,https://comfy.ua/kastrjulja-lessner-blasta-1-8-l-55878-16.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1644039755,,,,,2724056,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Lessner,lessner,"Каструля Lessner Blasta 2,45 л (55878-18)",,979,1,https://comfy.ua/kastrjulja-lessner-blasta-2-45-l-55878-18.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1644039757,,,,,.2724057,Посуда >> Для приготовления,lessner,Каструля Lessner Blasta 3 л (55878-20),,1079,1,https://comfy.ua/kastrjulja-lessner-blasta-3-l-55878-20.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
