1408859716,column,column,column,column,2147639,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,__huion_kamvas_rds160,column,26099,1,httpscomfyuagraficheskijplanshethuionkamvasrds160html,28999,05112025_1721,column,__42,Фастів,0
1408901028,6837409,NEO TOOLS,Прожектор NEO TOOLS 5400 Лм 2 х 30 Вт 220 В SMD LED (99-061),2899,2148845,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники Neo Tools",neo-tools,Світлодіодний прожектор Neo Tools 99-061 на штативі,,2899,1,https://comfy.ua/svetodiodnyj-prozhektor-neo-tools-99-061-na-shtative.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1408901190,6877465,DARIO,Гриль DARIO DSG752 Pink,525,2149544,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Dario,dario,Гриль-барбекю електричний Dario DSG752 Pink,,499,1,https://comfy.ua/gril-barbekju-jelektricheskij-dario-dsg752-pink.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1408901191,6842035,DARIO,Гриль Dario DSG752 Blue,525,2149543,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Dario,dario,Гриль-барбекю електричний Dario DSG752 Blue,,529,1,https://comfy.ua/gril-barbekju-jelektricheskij-dario-dsg752-blue.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1408901192,,,,,2149545,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Dario,dario,Гриль-барбекю електричний Dario DSG752 Black,,529,1,https://comfy.ua/gril-barbekju-jelektricheskij-dario-dsg752-black.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1408901279,6716239,ERGO,Мобильный телефон ERGO E241 Dual Sim Black,849,2147158,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Ergo,ergo,Мобільний телефон Ergo E241 Dual Sim Black,,849,1,https://comfy.ua/mobil-nyj-telefon-ergo-e241-dual-sim-black.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,1
1408903051,,,,,2094238,Детские товары >> Кормление,peg-perego,Стільчик-качалка для годування Peg-Perego Tatamia Follow Me Ice (сірий),,15949,1,https://comfy.ua/stul-chik-kachalka-dlja-kormlenija-peg-perego-tatamia-follow-me-ice-seryj.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1408903515,,,,,2147087,Детские товары >> Игрушки,barbie,"""Лялька Barbie """"Cutie Reveal"""" — милий лінивець (HJL59)""",,1799,1,https://comfy.ua/kukla-barbie-cutie-reveal-milyj-lenivec-hjl59.html,,05.11.2025 23:42,,"вул. Соборна, 42",Фастів,0
1408903516,,,,,2147088,Детские товары >> Игрушки,barbie,"""Лялька Barbie """"Cutie Reveal"""" — потішна лама (HJL60)""",,1799,1,https://comfy.ua/kukla-barbie-cutie-reveal-zabavnaja-lama-hjl60.html,,05.11.2025 23:42,,"вул. Соборна, 42",Фастів,0
1408903526,,,,,2147089,Детские товары >> Игрушки,barbie,"""Лялька Barbie """"Модниця"""" в рожевій квітчастій сукні (HBV11)""",,539,1,https://comfy.ua/kukla-barbie-modnica-v-rozovom-cvetastom-plat-e-hbv11.html,,06.11.2025 0:04,,"вул. Соборна, 42",Фастів,0
1408903539,6820948,OCLEAN,Зубная щетка Oclean F1 Dark Blue (Международная версия) (6970810551501),569,2147627,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oclean,oclean,Зубна щітка електрична Oclean F1 Dark Blue,,499,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-oclean-f1-midnight-blue.html,1099,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
