940163553,column,column,column,column,1827583,Смарт-часы и гаджеты >> Аксессуары,becover,___becover_for_samsung_galaxy_watch_46mmwatch_3_45mmgear_s3_classicgear_s3_frontier_bluehorizon_706319,column,179,1,httpscomfyuaremeshokdljasmartchasovbecoverforsamsunggalaxywatch46mmwatch345mmgears3classicgears3frontierbluehorizon706319html,column,05112025_1914,column,__42,Фастів,0
940321441,,,,,.1828197,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Xiaomi iMi KW66/Mi Watch Color/Haylou LS01/LS02 Blue-Horizon (706359),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-xiaomi-imi-kw66-mi-watch-color-haylou-ls01-ls02-blue-horizon-706359.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
940337936,,,,,.1825250,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,"Блок живлення для ПК Chieftec PPS-850FC, ATX 2.3, APFC, 14cm fan, Gold",,6229,1,https://comfy.ua/blok-pitanija-dlja-pk-chieftec-pps-850fc-atx-2-3-apfc-14cm-fan-gold.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
940339262,6803348,SONY,Объектив SONY 50mm f/2.5 G для NEX (SEL50F25G.SYX),36899,1827459,"Аудио, фото и видео >> Фотокамеры >> Объективы >> Объективы Sony",sony,Об'єктив до фотокамери Sony 50mm f/2.5 G for NEX (SEL50F25G.SYX),,36899,1,https://comfy.ua/ob-ektiv-k-fotokamere-sony-50mm-f-2-5-g-for-nex-sel50f25g-syx.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
940340512,6934658,SONY,Объектив SONY 50mm f/1.2 GM для NEX FF (SEL50F12GM.SYX),87999,1827458,"Аудио, фото и видео >> Фотокамеры >> Объективы >> Объективы Sony",sony,Об'єктив до фотокамери Sony 50mm f/1.2 GM for NEX FF (SEL50F12GM.SYX),,87999,1,https://comfy.ua/ob-ektiv-k-fotokamere-sony-50mm-f-1-2-gm-for-nex-ff-sel50f12gm-syx.html,99599,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
940343782,,,,,1830080,Техника для дома >> Крупная техника,drazice,Водонагрівач Drazice OKCE 100 S/2,,28259,1,https://comfy.ua/catalog/product/view/id/2686493,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
940344025,,,,,.1825249,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Блок живлення для ПК Chieftec PPS-1050FC,,6619,1,https://comfy.ua/blok-pitanija-dlja-pk-chieftec-pps-1050fc.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
940349785,,,,,1830504,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель RCA UGREEN AV104 2RCA to 2RCA Audio Cable 3 m Black (10519),,379,1,https://comfy.ua/kabel-rca-ugreen-av104-2rca-to-2rca-audio-cable-3-m-black-10519.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
940349786,,,,,1830508,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель Optical UGREEN AV108 Toslink-Toslink Optical Pro 2 m (10540),,499,1,https://comfy.ua/kabel-opticheskij-ugreen-av108-toslink-toslink-optical-pro-2-m-10540.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
940349790,,,,,1830509,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель Optical UGREEN AV108 Toslink-Toslink Optical Pro 3 m (10541),,539,1,https://comfy.ua/kabel-opticheskij-ugreen-av108-toslink-toslink-optical-pro-3-m-10541.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
940377230,,,,,1830487,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель USB type A - USB type B UGREEN US135 USB-A 2.0 - USB-B 2.0 1m Black (20846),,179,1,https://comfy.ua/kabel-usb-type-a-usb-type-b-ugreen-us135-usb-a-2-0-usb-b-2-0-1m-black-20846.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
940377249,,,,,1830498,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель HDMI UGREEN HD118 HDMI to HDMI 1 m v2.0 UltraHD 4K-3D Braided Black (40408),,299,1,https://comfy.ua/kabel-hdmi-ugreen-hd118-hdmi-to-hdmi-1-m-v2-0-ultrahd-4k-3d-braided-black-40408.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
940382168,,,,,1830503,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Перехідник HDMI UGREEN Mini HDMI Male to HDMI Female 22 cm Black (20137),,249,1,https://comfy.ua/perehodnik-hdmi-ugreen-mini-hdmi-male-to-hdmi-female-22-cm-black-20137.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
940392487,,,,,1830496,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель HDMI UGREEN HD118 HDMI to HDMI 2 m v2.0 UltraHD 4K-3D Braided Black (40410),,399,1,https://comfy.ua/kabel-hdmi-ugreen-hd118-hdmi-to-hdmi-2-m-v2-0-ultrahd-4k-3d-braided-black-40410.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
940393558,,,,,.1830499,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель HDMI UGREEN HD135 HDMI to HDMI 1 m v2.1 8K-60Hz/4K-120Hz Braided Gray (70319),,679,1,https://comfy.ua/kabel-hdmi-ugreen-hd135-hdmi-to-hdmi-1-m-v2-1-8k-60hz-4k-120hz-braided-gray-70319.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
940397131,,,,,1830497,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель HDMI UGREEN HD118 HDMI to HDMI 3 m v2.0 UltraHD 4K-3D Braided Black (40411),,499,1,https://comfy.ua/kabel-hdmi-ugreen-hd118-hdmi-to-hdmi-3-m-v2-0-ultrahd-4k-3d-braided-black-40411.html,,05.11.2025 22:09,,"вул. Соборна, 42",Фастів,0
940400272,6803524,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 33 300 х 1800 мм (FTV330301801R2K),20781,1831607,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2, Profil-V, FTV 33, 300X1800 мм (FTV330301801R2K)",,21039,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-33-300x1800-mm-ftv330301801r2k.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
940573436,,,,,1830277,Инструменты и автотовары >> Ручные инструменты >> Тиски и струбцины >> Тиски и струбцины Stark,stark,Струбцина Stark 120x400 мм (510120400),,679,1,https://comfy.ua/strubcina-stark-120x400-mm-510120400.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
940578683,6785413,DRAZICE,Бойлер DRAZICE OKCE 100 S/2.2kW,28259,1830080,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Drazice,drazice,Водонагрівач Drazice OKCE 100 S/2,,28259,1,https://comfy.ua/vodonagrevatel-drazice-okce-100-s-2.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
940659012,6734616,BOSCH,Шлифмашина угловая BOSCH PWS 850-125 (0.603.3A2.70B),2999,1831775,Инструменты и автотовары >> Электроинструменты >> Болгарки и штроборезы >> Болгарки и штроборезы Bosch,bosch,Болгарка Bosch PWS 850-125 (0.603.3A2.70B),,2999,1,https://comfy.ua/bolgarka-bosch-pws-850-125-0-603-3a2-70b.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
940674306,,,,,.1684093,Техника для кухни >> Мелкая техника,wmf,Ваги кухонні WMF 608736040 23x5 см Back,,1599,1,https://comfy.ua/vesy-kuhonnye-wmf-608736040-23x5-sm-back.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
940674307,6720331,ARDESTO,Весы напольные ARDESTO SCB-965WHEAT,349,1829970,Красота и здоровье >> Уход за телом,ardesto,Ваги підлогові Ardesto SCB-965WHEAT,,399,1,https://comfy.ua/vesy-napol-nye-ardesto-scb-965wheat.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,1
940674308,6720330,ARDESTO,Весы напольные ARDESTO SCB-965PLANK,399,1829968,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Ardesto,ardesto,Ваги підлогові Ardesto SCB-965PLANK,,349,1,https://comfy.ua/vesy-napol-nye-ardesto-scb-965plank.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
940678172,6686900,EINHELL,Аккумулятор Einhell PXC Plus 18 В Li-Ion 6 Ач (4511502),3498,1727034,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Einhell,einhell,Акумулятор для електроінструментів Einhell 18V 4-6 Ah Power-X-Change Plus Multi-Ah (4511502),,3499,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-einhell-18v-4-6-ah-power-x-change-plus-multi-ah-4511502.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
940688793,6909717,SATURN,Измельчитель SATURN ST-FP0064,779,1729990,Техника для кухни >> Мелкая техника >> Измельчители >> Измельчители Saturn,saturn,Подрібнювач Saturn ST-FP0064,,1039,1,https://comfy.ua/izmel-chitel-saturn-st-fp0064.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
940688794,6678933,SATURN,Измельчитель SATURN ST-FP0062,1099,1729978,Техника для кухни >> Мелкая техника >> Измельчители >> Измельчители Saturn,saturn,Подрібнювач Saturn ST-FP0062,,1099,1,https://comfy.ua/izmel-chitel-saturn-st-fp0062.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
940688799,6709358,SENCOR,Кухонный комбайн SENCOR SSG 4500WH,2399,1827282,Техника для кухни >> Мелкая техника >> Измельчители >> Измельчители Sencor,sencor,Подрібнювач Sencor SSG 4500WH,,2599,1,https://comfy.ua/izmel-chitel-sencor-ssg-4500wh.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
940688800,,,,,1716054,Техника для кухни >> Мелкая техника,wmf,Подрібнювач WMF 416480011 KULT X,,3599,1,https://comfy.ua/izmel-chitel-wmf-416480011-kult-x.html,4999,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
940688802,,,,,.1673592,Техника для кухни >> Мелкая техника,wmf,Подрібнювач WMF 0416580011 KIMI CHOPPER,,1799,1,https://comfy.ua/izmel-chitel-wmf-kitchenminis-4211129130967.html,2399,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
940688803,,,,,1673609,Техника для кухни >> Мелкая техника,wmf,Подрібнювач WMF 416590011 KULT X,,2599,1,https://comfy.ua/izmel-chitel-wmf-kult-x-4211129131292.html,3899,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
940688809,,,,,1663747,Техника для кухни >> Мелкая техника,wmf,Морозивниця WMF 0416450011 Морожениця,,3399,1,https://comfy.ua/morozhenica-wmf-kitchenminis-416450011.html,4999,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
940688961,,,,,1824624,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 10100  82 (i31010082),,12240,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-10100-82-i31010082.html,14069,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
940690017,,,,,.1824626,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 10100  84 (i31010084),,12936,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-10100-84-i31010084.html,14869,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
940690022,,,,,1824618,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 10100  162 (i310100162),,13411,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-10100-162-i310100162.html,15415,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
940690073,,,,,.1824620,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 10100  164 (i310100164),,14325,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-10100-164-i310100164.html,16465,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
940690076,,,,,.1824644,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400  82 (i51040082),,13629,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400-82-i51040082.html,15665,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
940690079,,,,,.1824642,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400  81 (i51040081),,15711,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400-81-i51040081.html,18059,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
940690101,,,,,.1824646,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400  84 (i51040084),,14580,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400-84-i51040084.html,16759,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
940690102,,,,,.1824621,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 10100  1641 (i3101001641),,17356,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-10100-1641-i3101001641.html,19949,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
940690121,,,,,.1824638,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400  162 (i510400162),,15021,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400-162-i510400162.html,17265,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
940690122,,,,,.1824643,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400  811 (i510400811),,16407,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400-811-i510400811.html,18859,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
940690124,,,,,.1824645,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400  821 (i510400821),,16882,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400-821-i510400821.html,19405,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
