787895136,column,column,column,column,1717979,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,___a4tech_pk925h_1080p_usb_20,column,1299,1,httpscomfyuacatalogproductviewid1893243,column,05112025_1805,column,__42,Фастів,0
788128003,,,,,1739866,Бытовая химия >> Все для уборки,bref,Туалетний блок Bref Сила актив Лимон Дуопак 2*50 г,,97,1,https://comfy.ua/tualetnyj-blok-bref-sila-aktiv-limon-duopak-2-50-g.html,154,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
788128008,,,,,1739862,Бытовая химия >> Все для уборки,bref,Туалетний блок Bref Цветная вода Лаванда Дуопак 2*50 г,,109,1,https://comfy.ua/tualetnyj-blok-bref-cvetnaja-voda-lavanda-duopak-2-50-g.html,164,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
788128717,,,,,1739858,Бытовая химия >> Все для уборки,bref,Туалетний блок Bref Сила актив Микс Лимон-Океан Квадропак 4*50 г,,184,1,https://comfy.ua/tualetnyj-blok-bref-sila-aktiv-miks-limon-okean-kvadropak-4-50-g.html,256,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
788250406,,,,,.1742889,Посуда >> Для приготовления,ballarini,"Сковорода універсальна Ballarini 14 см, 0.38 л (1000163)",,1250,1,https://comfy.ua/skovoroda-universal-naja-ballarini-14-sm-0-38-l-1000163.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
788250595,,,,,1718857,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Кабель HDMI PowerPlant HDMI (M) - DVI (M) 1.8m (CA912568),,299,1,https://comfy.ua/catalog/product/view/id/1929293,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
788344262,,,,,1745583,Детские товары >> Творчество и развитие >> Исследования и фокусы >> Исследования и фокусы 4М,4m,Набір для дослідження 4М Магнітна левітація (00-03299),,965,1,https://comfy.ua/nabor-dlja-issledovanija-4m-magnitnaja-levitacija-00-03299.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
788358765,6651326,TRUST,Мышь TRUST Zaya Rechargeable WL Black (23809),399,1743175,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Trust",trust,Миша бездротова Trust Zaya Rechargeable WL USB Black (23809),,449,1,https://comfy.ua/mysh-besprovodnaja-trust-zaya-rechargeable-wl-usb-black-23809.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
788384764,,,,,1743299,"Аудио, фото и видео >> Аксессуары для фото, видео",powerplant,Акумулятор для фотокамери PowerPlant Panasonic DMW-BLJ31 3350mAh (CB970421),,1099,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-panasonic-dmw-blj31-3350mah-cb970421.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
788391360,,,,,1742084,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Блок живлення для ПК Chieftec GPX-850FC,,4619,1,https://comfy.ua/catalog/product/view/id/1930253,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
788398646,,,,,1679306,Посуда >> Кухонные аксессуары,tescoma,Цукорниця tescoma 654044 150 мл Classic,,299,1,https://comfy.ua/saharnica-tescoma-654044-150-ml-classic.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
788398647,,,,,1679307,Посуда >> Кухонные аксессуары,tescoma,Цукорниця tescoma 654046 250 мл Classic,,399,1,https://comfy.ua/saharnica-tescoma-654046-250-ml-classic.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
788398912,,,,,1744295,"Аудио, фото и видео >> Наушники",a4tech,Гарнітура дротова A4tech FH200i Grey,,699,1,https://comfy.ua/catalog/product/view/id/1931563,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
788398913,,,,,1744296,"Аудио, фото и видео >> Наушники",a4tech,Гарнітура дротова A4tech FH200i Grey+Blue,,699,1,https://comfy.ua/catalog/product/view/id/1931583,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
788591468,,,,,1745010,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Автомобільний зарядний пристрій Luxe Cube 2USB 17W Black (8886668698498),,419,1,https://comfy.ua/catalog/product/view/id/1932843,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
788591659,,,,,1698206,Смартфоны и телефоны >> Аксессуары для смартфонов,intaleo,Мережевий зарядний пристрій Intaleo TCA242 (2USB 2.4A) White (1283126477492),,299,1,https://comfy.ua/catalog/product/view/id/1930973,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
788591725,,,,,1745016,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Автомобільний зарядний пристрій Luxe Cube Guardian М 2USB 3.4А White (8889998698480),,549,1,https://comfy.ua/catalog/product/view/id/1932903,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
788591726,,,,,1745014,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Автомобільний зарядний пристрій Luxe Cube Guardian J 2USB 3.4А White (8889998698497),,549,1,https://comfy.ua/catalog/product/view/id/1932883,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
788595402,,,,,1741219,Comfy KIDS >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (5-7 років) Strateg бродилка """"Народний шлях"""", укр (40016)""",,105,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-5-7-let-strateg-brodilka-narodnyj-put-ukr-40016.html,,06.11.2025 0:58,,"вул. Соборна, 42",Фастів,0
788595427,,,,,1741186,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (5-7 років) Strateg лото """"BinGo"""", укр (30757)""",,209,1,https://comfy.ua/nastol-naja-igra-klassicheskaja-8-strateg-loto-bingo-ukr-30757.html,,06.11.2025 0:34,,"вул. Соборна, 42",Фастів,0
788595429,,,,,1741179,Comfy KIDS >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (5-7 років) Strateg картки-пазли """"Тварини дикого світу"""", укр (655)""",,279,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-5-7-let-strateg-kartochki-pazly-zhivotnye-dikogo-mira-ukr-655.html,,06.11.2025 1:04,,"вул. Соборна, 42",Фастів,0
788595430,7045346,STRATEG,Настольная игра STRATEG Мини Маркет (30915),333,1741178,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg Міні Маркет укр (30915),,535,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-strateg-mini-market-ukr-30915.html,,06.11.2025 1:30,,"вул. Соборна, 42",Фастів,0
788597340,,,,,.1739484,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Блок живлення для ПК Xilence Performance C (XP600R6) 600W,,1899,1,https://comfy.ua/blok-pitanija-dlja-pk-xilence-performance-c-xp600r6-600w.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
788597397,7061397,JOSEPH JOSEPH,Органайзер JOSEPH JOSEPH для столовых приборов (85181),1125,1694252,Посуда >> Кухонные аксессуары >> Органайзеры и подставки для кухни >> Органайзеры и подставки для кухни Joseph Joseph,joseph-joseph,Органайзер для столових приборів Joseph Joseph 85181,,1125,1,https://comfy.ua/organajzer-dlja-stolovyh-priborov-joseph-joseph-85181.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
788597606,,,,,1743430,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Hot Wheels,hot-wheels,"Машинка, що змінює колір Hot Wheels Зміни колір (в асорт.) (BHR15)",,379,1,https://comfy.ua/mashinka-menjajuschaja-cvet-hot-wheels-izmeni-cvet-v-assort-bhr15.html,,05.11.2025 23:34,,"вул. Соборна, 42",Фастів,0
788597612,,,,,1718857,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Кабель HDMI PowerPlant HDMI (M) - DVI (M) 1.8m (CA912568),,299,1,https://comfy.ua/kabel-hdmi-powerplant-hdmi-m-dvi-m-1-8m-ca912568.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
788597620,,,,,1718893,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Перехідник PowerPlant DVI-I (M) - DVI-D (F) + VGA (F) 30 см,,359,1,https://comfy.ua/perehodnik-powerplant-dvi-i-m-dvi-d-f-vga-f-30-sm.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
788604416,,,,,1739503,Бытовая химия >> Все для уборки,domestos,Засіб для чищення унітазу Domestos Ультра блеск 1 л,,125,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-domestos-ul-tra-blesk-1-l.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
788604417,,,,,1739504,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Domestos,domestos,Засіб для чищення унітазу Domestos Ультра білий 1 л,,107,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-domestos-ul-tra-belyj-1-l.html,148,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
788604418,,,,,1739502,Бытовая химия >> Все для уборки,domestos,"Засіб для чищення унітазу Domestos Эксперт сила 7, 1 л",,114,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-domestos-jekspert-sila-7-1-l.html,148,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
788617708,,,,,.1746208,Детские товары >> Игрушки,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Сім'я Лисичок (6483),,799,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-sem-ja-lisichek-6483.html,,06.11.2025 1:40,,"вул. Соборна, 42",Фастів,0
788617709,,,,,1746205,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Сім'я овечок (6159Z),,709,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-sem-ja-ovechek-6159z.html,,06.11.2025 1:31,,"вул. Соборна, 42",Фастів,0
788617717,6707957,BOSCH,Блендер BOSCH MMB6384M,8199,1745679,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bosch,bosch,Блендер стаціонарний Bosch MMB6384M,,8199,1,https://comfy.ua/blender-stacionarnyj-bosch-mmb6384m.html,9749,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
788617719,6689182,BOSCH,Блендер BOSCH MMB6172S,5199,1745678,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bosch,bosch,Блендер стаціонарний Bosch MMB6172S,,5199,1,https://comfy.ua/blender-stacionarnyj-bosch-mmb6172s.html,5949,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
788617720,6676667,BOSCH,Блендер BOSCH MMB6141B,3499,1745676,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bosch,bosch,Блендер стаціонарний Bosch MMB6141B,,3899,1,https://comfy.ua/blender-stacionarnyj-bosch-mmb6141b.html,4249,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
788617726,6665177,ASUS,Монитор ASUS TUF Gaming VG34VQL1B (90LM06F0-B01170),14999,1744286,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Asus",asus,Монітор ігровий Asus VG34VQL1B,,14999,1,https://comfy.ua/monitor-igrovoj-asus-vg34vql1b.html,16099,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
788618669,,,,,1741225,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"Настільна гра (8+) Strateg Великий бізнес, укр (30452)",,92,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-8-strateg-bol-shoj-biznes-ukr-30452.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
788628254,6660451,PATRIOT,"""SSD накопитель PATRIOT 2.5"""" 240GB SATA Burst Elite (PBE240GS25SSDR)""",1029,1731284,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Patriot",patriot,"""SSD-накопичувач внутрішній Patriot 240GB Burst Elite 2.5"""" SATAIII TLC (PBE240GS25SSDR)""",,979,1,https://comfy.ua/ssd-nakopitel-vnutrennij-patriot-240gb-burst-elite-2-5-sataiii-tlc-pbe240gs25ssdr.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
788628255,6660452,PATRIOT,"""SSD накопитель PATRIOT 2.5"""" 480GB SATA Burst Elite (PBE480GS25SSDR)""",2294,1731285,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Patriot",patriot,"""SSD-накопичувач внутрішній Patriot 480GB Burst Elite 2.5"""" SATAIII TLC (PBE480GS25SSDR)""",,1739,1,https://comfy.ua/ssd-nakopitel-vnutrennij-patriot-480gb-burst-elite-2-5-sataiii-tlc-pbe480gs25ssdr.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
788644443,,,,,.1742084,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Блок живлення для ПК Chieftec GPX-850FC,,4619,1,https://comfy.ua/blok-pitanija-dlja-pk-chieftec-gpx-850fc.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
788674520,,,,,1698206,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Intaleo,intaleo,Мережевий зарядний пристрій Intaleo TCA242 (2USB 2.4A) White (1283126477492),,299,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-intaleo-tca242-2usb-2-4a-white-1283126477492.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
788682053,,,,,1744295,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Гарнитуры >> Гарнитуры A4tech",a4tech,Гарнітура дротова A4tech FH200i Grey,,699,1,https://comfy.ua/garnitura-provodnaja-a4tech-fh200i-grey.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
788682054,,,,,1744296,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Гарнитуры >> Гарнитуры A4tech",a4tech,Гарнітура дротова A4tech FH200i Grey+Blue,,699,1,https://comfy.ua/garnitura-provodnaja-a4tech-fh200i-grey-blue.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
788701511,,,,,.1743207,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,Флеш USB Verbatim 32GB PinStripe USB 3.0 Black (49317),,179,1,https://comfy.ua/flesh-usb-verbatim-32gb-pinstripe-usb-3-0-black-49317.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
788701693,,,,,1739512,Бытовая химия >> Все для уборки,cif,Засіб для чищення універсальний Cif крем Актив Фреш 500 мл,,86,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-cif-krem-aktiv-fresh-500-ml.html,100,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
788702043,,,,,1739507,Бытовая химия >> Все для уборки,cif,Засіб для чищення універсальний Cif д/пола и стен Цветочная свежесть 1 л,,115,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-cif-d-pola-i-sten-cvetochnaja-svezhest-1-l.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
788702045,,,,,1739500,Бытовая химия >> Все для уборки,cif,Засіб для видалення жиру Cif д/кухни 500 мл,,87,1,https://comfy.ua/sredstvo-dlja-udalenija-zhira-cif-d-kuhni-500-ml.html,114,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
