1446271582,column,column,column,column,2031386,"Дом, отдых и зоотовары >> Сантехника",granado,__granado_alicante_ivory,column,6989,1,httpscomfyuamojkakuhonnajagranadoalicanteivoryhtml,column,05112025_2023,column,__42,Фастів,0
1446271629,,,,,2031487,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Altea Marron,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-altea-marron.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1446271633,,,,,2031488,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Altea Gris,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-altea-gris.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1446271636,,,,,2031489,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Altea Grafito,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-altea-grafito.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1446307626,,,,,.2235507,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",huawei,Модем 4G Huawei E3372-325 White,,1499,1,https://comfy.ua/modem-4g-huawei-e3372-325-white.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1446374046,6855565,BOSCH,Набор инструментов Bosch Professional GBH 180-LI + GSR 180-LI (0.615.990.M31),17538,2249287,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Bosch,bosch,Набір електроінструментів Bosch Professional 0.615.990.M31,,17539,1,https://comfy.ua/nabor-jelektroinstrumentov-bosch-professional-0-615-990-m31.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1446374080,,,,,2095860,Comfy KIDS >> Детский транспорт >> Самокаты >> Самокаты Miqilong,miqilong,Двоколісний самокат Miqilong Beagle Сірий (Beagle-200-Gray),,2999,1,https://comfy.ua/dvuhkoljosnyj-samokat-miqilong-beagle-seryj-beagle-200-gray.html,3599,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1446374525,,,,,2210351,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,"""Ляльковий набір L.O.L. Surprise! """"Tweens Masquerade Party"""" – ДЖЕККІ ХОПС (з аксес.) (584100)""",,1889,1,https://comfy.ua/kollekcionnaja-kukla-nabor-l-o-l-surprise-tweens-masquerade-party-dzhekki-hops-s-aksess-584100.html,,06.11.2025 0:02,,"вул. Соборна, 42",Фастів,0
1446378152,,,,,2232632,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки Coccolino,coccolino,"Гель для прання Coccolino CARE д/кольорових речей 1,12л",,228,1,https://comfy.ua/gel-dlja-stirki-coccolino-care-d-cvetnyh-veschej-1-12l.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1446387506,6861637,ESPERANZA,Тостер ESPERANZA EKT001,599,2231491,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Esperanza,esperanza,Тостер Esperanza Caprese 600 IN White (EKT001),,599,1,https://comfy.ua/toster-esperanza-caprese-600-in-white-ekt001.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1446480066,,,,,.2000875,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,IP-камера TP-Link Tapo C320WS,,2499,1,https://comfy.ua/videokamera-tp-link-tapo-c320ws.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1446481829,,,,,.2249292,Детские товары >> Игрушки,wp-merchandise,М'яка іграшка WP Merchandise собака бульдог Коржик 20 см (FWPADMDOG22BG0000),,249,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-wp-merchandise-sobaka-bul-dog-korzhik-20-sm-4820202320760.html,,06.11.2025 0:53,,"вул. Соборна, 42",Фастів,0
1446481831,,,,,2249297,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки WP Merchandise,wp-merchandise,М'яка іграшка WP Merchandise Кабан Рок Звезда (FWPROCKSTAR22MC00),,449,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-wp-merchandise-kaban-rok-zvezda-4820202321835.html,,06.11.2025 0:53,,"вул. Соборна, 42",Фастів,0
1446481847,,,,,.2238558,Детские товары >> Игрушки,fortnite,М'яка іграшка FORTNITE Llama 25 см (EG010002),,499,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-fortnite-llama-25-sm-4820202320630.html,,06.11.2025 1:13,,"вул. Соборна, 42",Фастів,0
1446481848,,,,,.2249289,Детские товары >> Игрушки,wp-merchandise,М'яка іграшка WP Merchandise Fan in the bucket hat (FWPFANBUCHAT22000),,399,1,https://comfy.ua/mjagkaja-igrushka-kukla-wp-merchandise-fan-in-the-bucket-hat-4820202321651.html,,06.11.2025 1:13,,"вул. Соборна, 42",Фастів,0
1446481850,,,,,.2249296,Детские товары >> Игрушки,wp-merchandise,М'яка іграшка WP Merchandise БПЛА (FWPPLUSHUAV22GR00),,499,1,https://comfy.ua/mjagkaja-igrushka-geroj-wp-merchandise-bpla-4820202321804.html,,06.11.2025 0:11,,"вул. Соборна, 42",Фастів,0
1446481851,,,,,.2241765,Детские товары >> Игрушки,overwatch,М'яка іграшка OVERWATCH Yachemon Plush (B63062),,879,1,https://comfy.ua/mjagkaja-igrushka-geroj-overwatch-yachemon-plush-5030917273384.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1446482731,,,,,.2241396,Детские товары >> Игрушки,orange,М'яка іграшка Orange Мавпа в капелюшку та з сумочкою 75 см (5012/45SK),,669,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-orange-obez-jana-v-shljapke-i-sumochke-75-sm-5012-45sk.html,,06.11.2025 0:15,,"вул. Соборна, 42",Фастів,0
1446568591,,,,,2254022,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров iTECH,itech,Кріплення для телевізора iTECH LCD522 B,,359,1,https://comfy.ua/kreplenie-dlja-televizora-itech-lcd522-b.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1446681136,,,,,2031430,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Avila Terra,,3989,1,https://comfy.ua/mojka-kuhonnaja-granado-avila-terra.html,5589,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1446681140,,,,,2031428,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Avila Black Shine,,3989,1,https://comfy.ua/mojka-kuhonnaja-granado-avila-black-shine.html,5589,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1446681143,,,,,2031429,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Avila Avena,,3989,1,https://comfy.ua/mojka-kuhonnaja-granado-avila-avena.html,5589,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1446696878,6839715,SONY,Геймпад SONY Dualsense EDGE для SONY PS5,10299,2257469,"Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам >> Геймпады, джойстики, рули >> Геймпады, джойстики, рули PlayStation",playstation,Геймпад PlayStation Dualsense EDGE,,9699,1,https://comfy.ua/gejmpad-playstation-dualsense-edge.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1446707313,6871488,INTERLINE,Варочная поверхность INTERLINE VGS 463 FGK BA,5799,2255175,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Interline,interline,Варильна поверхня газова Interline VGS 463 FGK BA,,5799,1,https://comfy.ua/varochnaja-panel-gazovaja-interline-vgs-463-fgk-ba.html,8799,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1446711378,6803820,BAMIX,Блендер BAMIX Superbox М200 Cream (1050.022),23495,2000846,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix Superbox М200 (1050.022),,23495,1,https://comfy.ua/blender-pogruzhnoj-bamix-superbox-m200-1050-022-voprosy.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1446743867,6806475,ERGO,Конвектор ERGO HC 222024,1999,2251413,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Ergo,ergo,Конвектор Ergo HC 222024,,1999,1,https://comfy.ua/konvektor-ergo-hc-222024.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1446757073,6861853,TP-LINK,IP-камера TP-LINK Tapo C320WS,2499,2000875,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> IP-камеры >> IP-камеры TP-Link",tp-link,IP-камера TP-Link Tapo C320WS,,2499,1,https://comfy.ua/ip-kamera-tp-link-tapo-c320ws.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1446783378,,,,,.2259232,Смарт-часы и гаджеты >> Аксессуары,gopro,"Акумулятор для екшн-камери GoPro Enduro Battery for Hero 11, Hero 10, Hero 9 набір (ADBAT-211)",,3199,1,https://comfy.ua/akkumuljator-dlja-jekshn-kamery-gopro-enduro-battery-for-hero-11-hero-10-hero-9-nabor-adbat-211.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1446857897,6860501,WELL DONE,Френч-пресс Well Done 0.35 л (WD-8053A),251,2243013,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Well Done,well-done,Френч-прес Well Done WD-8053A,,279,1,https://comfy.ua/french-press-well-done-wd-8053a.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1446857909,6860502,WELL DONE,Френч-пресс Well Done 600 мл (WD-8056A),323,2243514,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Well Done,well-done,Френч-прес Well Done WD-8056A,,323,1,https://comfy.ua/french-press-well-done-wd-8056a.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1446860169,6860503,WELL DONE,Френч-пресс Well Done 600 мл (WD-8016B),449,2243010,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Well Done,well-done,Френч-прес Well Done WD-8016B,,499,1,https://comfy.ua/french-press-well-done-wd-8016b.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1446860170,6860505,WELL DONE,Френч-пресс Well Done 600 мл (WD-8036B),425,2243012,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Well Done,well-done,Френч-прес Well Done WD-8036B,,499,1,https://comfy.ua/french-press-well-done-wd-8036b.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1446860174,6860504,WELL DONE,Френч-пресс Well Done 800 мл (WD-8018B),521,2243011,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Well Done,well-done,Френч-прес Well Done WD-8018B,,579,1,https://comfy.ua/french-press-well-done-wd-8018b.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1446942099,6836382,INTERLUX,Конвектор INTERLUX INCP-1088PR,1699,2260460,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели INTERLUX,interlux,Конвектор INTERLUX INCP-1088PR,,1699,1,https://comfy.ua/konvektor-interlux-incp-1088pr.html,1899,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,1
1446942351,6862271,LIBERTON,Плитка LIBERTON LIC-3700,1049,2255196,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Liberton,liberton,Плита електрична настільна Liberton LIC-3700,,1049,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-liberton-lic-3700.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1446942352,6902569,LIBERTON,Плитка LIBERTON LIC-3702,1499,2255195,Техника для кухни >> Крупная техника,liberton,Плита електрична настільна Liberton LIC-3702,,1499,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-liberton-lic-3702.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1446942354,6862274,LIBERTON,Плитка LIBERTON LIC-3706,1599,2255192,Техника для кухни >> Крупная техника,liberton,Плита електрична настільна Liberton LIC-3706,,1599,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-liberton-lic-3706.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1446942355,6862278,LIBERTON,Плитка LIBERTON LIC-3801,1559,2255188,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Liberton,liberton,Плита електрична настільна Liberton LIC-3801,,1599,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-liberton-lic-3801.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1446942356,6862272,LIBERTON,Плитка LIBERTON LIC-3703,1399,2255194,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Liberton,liberton,Плита електрична настільна Liberton LIC-3703,,1399,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-liberton-lic-3703.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1446942357,6862273,LIBERTON,Плитка LIBERTON LIC-3705,1299,2255193,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Liberton,liberton,Плита електрична настільна Liberton LIC-3705,,1299,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-liberton-lic-3705.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,1
1446942358,6862275,LIBERTON,Плитка LIBERTON LIC-3707,1599,2255191,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Liberton,liberton,Плита електрична настільна Liberton LIC-3707,,1359,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-liberton-lic-3707.html,1599,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1446942708,6836232,LOGITECH,Мышь Logitech Lift for Mac Vertical Ergonomic Mouse Off White (910-006477),3299,2260328,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова Logitech Lift for Mac Vertical Ergonomic Off White (910-006477),,2659,1,https://comfy.ua/mysh-besprovodnaja-logitech-lift-for-mac-vertical-ergonomic-off-white-910-006477.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1446942709,6823494,LOGITECH,Мышь LOGITECH G502 X PLUS White (910-006171),6199,2260339,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова ігрова Logitech G502 X Plus White (910-006171),,6199,1,https://comfy.ua/mysh-besprovodnaja-igrovaja-logitech-g502-x-plus-white-910-006171.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1446945799,6862276,LIBERTON,Плитка LIBERTON LIC-3708,3599,2255190,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Liberton,liberton,Плита електрична настільна Liberton LIC-3708,,3599,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-liberton-lic-3708.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1446945800,6862280,LIBERTON,Плитка LIBERTON LCC-3900,3799,2255186,Техника для кухни >> Крупная техника,liberton,Плита електрична настільна Liberton LCC-3900,,3799,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-liberton-lcc-3900.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1446945801,6862279,LIBERTON,Плитка LIBERTON LIC-3802,3599,2255187,Техника для кухни >> Крупная техника,liberton,Плита електрична настільна Liberton LIC-3802,,3599,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-liberton-lic-3802.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1446945864,,,,,.2098629,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",case-logic,Сумка для ноутбуку Case Logic Laps Sleeve 17'' LAPS-117 Black (3201364),,1499,1,https://comfy.ua/sumka-dlja-noutbuka-case-logic-laps-sleeve-17-laps-117-black-3201364.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
