788706218,column,column,column,column,1745433,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,___armorstandart_smart_case_oe_for_ipad_102_202120202019_black_arm55900,column,499,1,httpscomfyuacheholdljaplanshetaarmorstandartsmartforappleipad1022019blackarm55900html,column,05112025_1828,column,__42,Фастів,0
788792664,,,,,1745087,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 005 Tropic (9998866457032),,79,1,https://comfy.ua/catalog/product/view/id/1940103,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
788792665,,,,,1745088,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 005 Tropical Heat (9998866457148),,79,1,https://comfy.ua/catalog/product/view/id/1940513,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
788792668,,,,,1745072,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 005 WTF (9998866457056),,79,1,https://comfy.ua/catalog/product/view/id/1941693,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
788792671,,,,,1745074,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 005 Rainbow (9998866457100),,79,1,https://comfy.ua/catalog/product/view/id/1941873,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
788792672,,,,,1745075,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 005 Sunset (9998866457162),,79,1,https://comfy.ua/catalog/product/view/id/1941973,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
788792675,,,,,1745078,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 005 Distant Galaxy (9998866457193),,79,1,https://comfy.ua/catalog/product/view/id/1942133,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
788792677,,,,,1745114,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 024 Gold (9998866456783),,109,1,https://comfy.ua/catalog/product/view/id/1943663,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
788792678,,,,,1745115,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 024 Silver (9998866456806),,109,1,https://comfy.ua/catalog/product/view/id/1943673,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
788794014,,,,,1745596,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",d-link,Коммутатор локальної мережі (Switch) D-Link DXS-1210-28S,,66775,1,https://comfy.ua/catalog/product/view/id/1940433,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
788795449,,,,,1745109,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 007 Coco (9998866457223),,109,1,https://comfy.ua/catalog/product/view/id/1943363,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
788795450,,,,,1745110,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 019 Purple (9998866456967),,109,1,https://comfy.ua/catalog/product/view/id/1943373,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
788795451,,,,,1745111,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 019 Red (9998866456943),,109,1,https://comfy.ua/catalog/product/view/id/1943383,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
788795456,,,,,1745092,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP Beauty Maldives (9998866457285),,129,1,https://comfy.ua/catalog/product/view/id/1942523,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
788795464,,,,,1745105,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Автотримач Luxe Cube Black (8886668686204),,299,1,https://comfy.ua/catalog/product/view/id/1942843,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
788795596,,,,,1745536,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Автотримач Colorway Metallic Gravity Holder Black (CW-CHG01-BK),,279,1,https://comfy.ua/catalog/product/view/id/1933833,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,1
788796481,,,,,1743966,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Icon Case OPPO Reno 4 Lite/A93 Black (ARM58460),,149,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-icon-case-oppo-reno-4-lite-a93-black-arm58460.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
788801287,,,,,1746309,Техника для кухни >> Мелкая техника,prime-technics,Насадка для кухонної машини Prime Technics PSM 5 JU,,599,1,https://comfy.ua/catalog/product/view/id/1940733,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
788801584,,,,,1737321,Техника для кухни >> Мелкая техника,tefal,Мультиварка Tefal Fuzzy logic RK 321A34,,4499,1,https://comfy.ua/catalog/product/view/id/1945993,5249,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,3
788848552,,,,,1746655,Техника для кухни >> Мелкая техника,ariete,Міксер з чашею Ariete 1588 1,,6999,1,https://comfy.ua/catalog/product/view/id/1941413,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
788848553,,,,,1746654,Техника для кухни >> Мелкая техника,ariete,Міксер з чашею Ariete 1588,,6999,1,https://comfy.ua/catalog/product/view/id/1941443,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
788870795,,,,,1716998,Красота и здоровье >> Уход за лицом,remington,Бритва Remington XR1500 Ultimate Series RX5,,3599,1,https://comfy.ua/catalog/product/view/id/1943763,4999,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
789358616,,,,,1745020,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",luxe-cube,Кабель 3.5 мм -3.5 мм Luxe Cube AUX Spring 1.2m White (7775557575679),,149,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-luxe-cube-aux-spring-1-2m-white-7775557575679.html,,05.11.2025 22:28,,"вул. Соборна, 42",Фастів,0
789367512,,,,,1743104,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Baseus",baseus,Кабель синхронізації даних Baseus Cafule USB Type-C 1m Black/Grey (CATKLF-BG1),,179,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-cafule-usb-type-c-1m-black-grey-catklf-bg1.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
