1089313875,6768886,PHILIPS,"""Монитор PHILIPS 23.8"""" 242B1TFL/00 Black""",21129,1898228,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Philips",philips,Монітор Philips 222B1TFL/00,,19189,1,https://comfy.ua/monitor-philips-222b1tfl-00.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1089313879,,,,,1914839,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Mojo,mojo,Рюкзак шкільний Mojo Бруклін - Нью Йорк Мульті (KZ9984026),,1299,1,https://comfy.ua/rjukzak-shkol-nyj-mojo-bruklin-n-ju-jork-mul-ti-kz9984026.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1089313893,6824159,WEILOR,Варочная поверхность WEILOR WIS 670 Black,7099,1911870,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Weilor,weilor,Варильна поверхня електрична Weilor WIS 670 Black,,7999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-weilor-wis-670-black.html,11999,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1089313898,6747380,MIDEA,Холодильник MIDEA MDRT294FGF01,8888,1912295,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Midea,midea,Холодильник Midea MDRT294FGF01,,8889,1,https://comfy.ua/holodil-nik-midea-mdrt294fgf01.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1089313912,,,,,1909547,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы MadPax,madpax,Рюкзак шкільний MadPax Gator Full LUXE Blue (KAA24485048),,2199,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-gator-full-luxe-blue-kaa24485048.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1089313933,,,,,1044796,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы MadPax,madpax,Рюкзак шкільний MadPax Gator Full LUXE Pink (KAA24484817),,2199,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-gator-full-luxe-pink-kaa24484817.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1089313954,,,,,1914837,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Mojo,mojo,Рюкзак шкільний Mojo Пончики мульті (KAA9984437),,1299,1,https://comfy.ua/rjukzak-shkol-nyj-mojo-ponchiki-mul-ti-kaa9984437.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1089313963,6747376,MIDEA,Холодильник MIDEA MDRD142SLF01,5999,1912290,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Midea,midea,Холодильник Midea MDRD142SLF01,,5999,1,https://comfy.ua/holodil-nik-midea-mdrd142slf01.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1089340784,6868013,FISKARS,Нож FISKARS Special Edition 21 см Black (1062924),483,1907055,Посуда >> Нарезка и измельчение,fiskars,Ніж кухаря Fiskars Special Edition 21 см (1062924),,643,1,https://comfy.ua/nozh-povara-fiskars-special-edition-21-sm-1062924.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1089341197,6926803,LEDVANCE,"Ночник LEDVANCE NIGHTLUX TOUCH LED 2,5W Rabbit (4058075602113)",771,1915973,Детские товары >> Детская комната и безопасность,ledvance,Нічник дитячий Ledvance NightLux Touch Rabbit LED 2.5W (4058075602113),,385,1,https://comfy.ua/catalog/product/view/id/3373153,769,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
