783572347,column,column,column,column,1739395,Детские товары >> Игрушки,tigres,__tigres___30__0209,column,519,1,httpscomfyuamjagkajaigrushkazhivotnoetigresmishkahani30smve0209html,column,06112025_136,column,__42,Фастів,0
783572347,,,,,.1739395,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Мишка """"Хані"""", 30 см, (ВЕ-0209)""",,519,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-mishka-hani-30-sm-ve-0209.html,,06.11.2025 1:36,,"вул. Соборна, 42",Фастів,0
783572362,,,,,1697433,Детские товары >> Игрушки для малышей,elfiki,Сортер ELFIKI Доміно (39733),,129,1,https://comfy.ua/pogremushka-elfiki-domino-39733.html,159,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
783572370,,,,,1697112,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки ELFIKI,elfiki,М'яка іграшка ELFIKI ельфик Айли mint (ІГ-0124),,975,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-elfiki-jel-fik-ajli-mint-ig-0124.html,,06.11.2025 1:45,,"вул. Соборна, 42",Фастів,0
783572371,,,,,1697110,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки ELFIKI,elfiki,М'яка іграшка ELFIKI ельфик Айли knit (ІГ-0122),,975,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-elfiki-jel-fik-ajli-knit-ig-0122.html,,06.11.2025 1:26,,"вул. Соборна, 42",Фастів,0
783572372,,,,,1697107,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки ELFIKI,elfiki,М'яка іграшка ELFIKI ельфик пуфф mint (ІГ-0119),,975,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-elfiki-jel-fik-puffi-mint-ig-0119.html,,06.11.2025 1:30,,"вул. Соборна, 42",Фастів,0
783581162,,,,,1685372,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant HP 220V 18V 20W 1.1A (5.5*2.5) (HP20T5525),,435,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-hp-220v-18v-20w-1-1a-5-5-2-5-hp20t5525.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
783583668,,,,,.1738694,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Монопод для селфі Piko M-002M Blue (1283126476839),,199,1,https://comfy.ua/monopod-dlja-selfi-piko-m-002m-blue-1283126476839.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
783604631,,,,,.1739486,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Блок живлення для ПК Xilence XP600R7,,1749,1,https://comfy.ua/blok-pitanija-dlja-pk-xilence-xp600r7.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
783604632,,,,,.1739488,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Блок живлення для ПК Xilence XP700R7,,1879,1,https://comfy.ua/blok-pitanija-dlja-pk-xilence-xp700r7.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
783604746,,,,,.1739472,Игровые консоли и гейминг >> Комплектующие для игровых ПК,modecom,Блок живлення для ПК Modecom Volcano 750 Bronze (ZAS-MC85-SM-750-ATX-VOLCA),,2949,1,https://comfy.ua/blok-pitanija-dlja-pk-modecom-volcano-750-bronze-zas-mc85-sm-750-atx-volca.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
783614856,,,,,.1739316,Игровые консоли и гейминг >> Комплектующие для игровых ПК,modecom,Корпус Modecom Amirani ARGB White (AT-AMIRANI-PG-20-000000-0) без БП,,4399,1,https://comfy.ua/korpus-modecom-amirani-argb-white-at-amirani-pg-20-000000-0-bez-bp.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
783631438,6747003,LEXAR,Флеш-драйв LEXAR 256GB JumpDrive S80 USB 3.1 (LJDS080256G-BNBNG),955,1727764,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Lexar",lexar,Флеш USB Lexar JumpDrive S80 256 GB USB 3.1 (LJDS080256G-BNBNG),,925,1,https://comfy.ua/flesh-usb-lexar-jumpdrive-s80-256-gb-usb-3-1-ljds080256g-bnbng.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
783634073,,,,,1700187,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Driven,driven,Пасажирський повітряний транспорт Driven Micro Вертоліт (WH1072),,369,1,https://comfy.ua/passazhirskij-vozdushnyj-transport-driven-micro-vertolet-wh1072.html,559,06.11.2025 0:39,,"вул. Соборна, 42",Фастів,0
783635884,,,,,1740101,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник аудіо XOKO AC-009,,89,1,https://comfy.ua/perehodnik-audio-xoko-ac-009.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
783640370,,,,,1740056,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Перехідник HDMI PowerPlant HDMI (F) - USB 2.0 (M) (CA912353),,599,1,https://comfy.ua/perehodnik-hdmi-powerplant-hdmi-f-usb-2-0-m-ca912353.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
