809991591,column,column,column,column,1770116,________________frosch,frosch,____frosch__500_,column,134,1,httpscomfyuachistjascheesredstvodljasteklafroschspirtovoe500mlhtml,168,05112025_1941,column,__42,Фастів,0
810365168,6805995,MOULINEX,Мультиварка-скороварка MOULINEX CE430A34,6099,1777143,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Moulinex,moulinex,Мультиварка-скороварка Moulinex CE430A34,,6099,1,https://comfy.ua/mul-tivarka-tefal-ce430a34.html,7349,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
810365260,,,,,1779585,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Hot Wheels,hot-wheels,Базова машинка Hot Wheels 5785 в ас.,,109,1,https://comfy.ua/bazovaja-mashinka-hot-wheels-5785.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
810366482,6930934,MAXMARK,Форма MAXMARK MK-GO435,379,1778264,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Maxmark,maxmark,Форма для приготування Maxmark MK-GO435,,409,1,https://comfy.ua/forma-dlja-prigotovlenija-maxmark-mk-go435.html,455,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
810368030,7069673,JOSEPH JOSEPH,Мерная кружка JOSEPH JOSEPH Align 2 шт (40109),1717,1776933,Посуда >> Кухонные аксессуары >> Мерная посуда >> Мерная посуда Joseph Joseph,joseph-joseph,Набір ємностей мірних Joseph Joseph 2 шт. 40109,,1455,1,https://comfy.ua/nabor-emkostej-mernyh-joseph-joseph-2-sht-40109.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
810374451,,,,,1776616,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Тарілка обідня Vittora Angelica 200 мм (VS-200B),,237,1,https://comfy.ua/tarelka-obedennaja-versailles-angelica-200-mm-vs-200b.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
810374503,,,,,1779716,Детские товары >> Игрушки,wader,Набір для гри в пісочниці Wader Тачки Disney 7 ел. (77642),,285,1,https://comfy.ua/catalog/product/view/id/2162373,,06.11.2025 0:13,,"вул. Соборна, 42",Фастів,0
810374902,6930928,MAXMARK,Форма MAXMARK MK-C210,299,1778257,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Maxmark,maxmark,Форма для приготування Maxmark MK-C210 26.5х9 см,,299,1,https://comfy.ua/forma-dlja-prigotovlenija-maxmark-mk-c210-26-5h9-sm.html,599,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
810375282,,,,,1779712,Детские товары >> Игрушки,wader,Набір для гри в пісочниці Wader Міккі Маус Disney 6 ел. (77237),,345,1,https://comfy.ua/catalog/product/view/id/2162623,,06.11.2025 1:12,,"вул. Соборна, 42",Фастів,0
810375286,,,,,1779714,Детские товары >> Игрушки,wader,Набір для гри в пісочниці Wader Мінні Disney 7 ел. (77442),,289,1,https://comfy.ua/catalog/product/view/id/2162573,,06.11.2025 0:13,,"вул. Соборна, 42",Фастів,0
810375292,,,,,1779734,Детские товары >> Игрушки,wader,Набір для гри в пісочниці Wader на 5 ел. (75041),,215,1,https://comfy.ua/catalog/product/view/id/2162483,,06.11.2025 0:36,,"вул. Соборна, 42",Фастів,0
810376238,,,,,.1778192,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Military for Samsung Galaxy A02s SM-A025 Blue (706013),,275,1,https://comfy.ua/chehol-dlja-smartfona-becover-military-for-samsung-galaxy-a02s-sm-a025-blue-706013.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
810379677,,,,,1779711,Детские товары >> Игрушки,wader,Набір для гри в пісочниці Wader Вінні Пух Disney 6 ел. (77137),,345,1,https://comfy.ua/catalog/product/view/id/2163213,,06.11.2025 0:38,,"вул. Соборна, 42",Фастів,0
810379681,,,,,1779723,Детские товары >> Игрушки,wader,Набір для гри в пісочниці Wader Вінні Пух Disney 7 ел. (77142),,285,1,https://comfy.ua/catalog/product/view/id/2163133,,06.11.2025 0:13,,"вул. Соборна, 42",Фастів,0
810379695,,,,,1779718,Детские товары >> Игрушки,wader,Набір для гри в пісочниці Wader Крижане серце Disney 6 ел. (77937),,315,1,https://comfy.ua/catalog/product/view/id/2162873,,05.11.2025 23:54,,"вул. Соборна, 42",Фастів,0
810379697,6679963,CECOTEC,Пылесос CECOTEC Conga PopStar Micro 18.5V Animal Hand (CCTC-05540),2599,1779169,Техника для дома >> Мелкая техника,cecotec,Пилосос ручний для дому Cecotec Conga PopStar Micro 18.5V Animal Hand (CCTC-05540),,2599,1,https://comfy.ua/catalog/product/view/id/2162833,2999,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
810380730,,,,,1770143,Бытовая химия >> Все для уборки >> Средства для мытья окон >> Средства для мытья окон Helper,helper,Засіб для чищення скла Helper Морская свежесть Запаска 500 мл,,34,1,https://comfy.ua/chistjaschee-sredstvo-dlja-stekla-helper-morskaja-svezhest-zapaska-500-ml.html,40,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
810388114,,,,,1779722,Детские товары >> Игрушки,disney,Набір для гри в пісочниці Disney Принцеси з термонаклейка і млином Disney 6 ел. (77553),,119,1,https://comfy.ua/catalog/product/view/id/2163813,,06.11.2025 0:37,,"вул. Соборна, 42",Фастів,0
