1090070660,column,column,column,column,1921487,______________tmnt,tmnt,__tmnt_movie_star_1992___12_cm_81332_81332,column,299,1,httpscomfyuakollekcionnajafigurkatmntmoviestar1992donatelo12cm8133281332html,column,06112025_145,column,__42,Фастів,0
1090490153,,,,,1909543,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Jantar,jantar,Варильна поверхня газова JANTAR HGF 60 BL EF,,4199,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-jantar-hgf-60-bl-ef.html,6559,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1090492362,,,,,1913906,Игровые консоли и гейминг >> Комплектующие для игровых ПК,intel,Процесор Intel Core i7 12700KF (CM8071504553829),,10805,1,https://comfy.ua/processor-intel-core-i7-12700kf-cm8071504553829.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1090492483,,,,,1914786,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Жесткие диски и аксессуары >> Жесткие диски и аксессуары Seagate",seagate,Жорсткий диск зовнішній Seagate 3.5'' 10TB Expansion Desktop (STKP10000400),,9199,1,https://comfy.ua/zhestkij-disk-vneshnij-seagate-3-5-10tb-expansion-desktop-stkp10000400.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1090495520,,,,,.1918416,"Дом, отдых и зоотовары >> Мебель",digitus,Стіл комп'ютерний Digitus DA-90380-1,,8339,1,https://comfy.ua/stol-komp-juternyj-digitus-da-90380-1.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1090495524,,,,,1918417,"Дом, отдых и зоотовары >> Мебель >> Столы компьютерные >> Столы компьютерные Digitus",digitus,Стіл комп'ютерний Digitus DA-90406,,26039,1,https://comfy.ua/stol-komp-juternyj-digitus-da-90406.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1090498776,,,,,.1871911,Посуда >> Нарезка и измельчение,pepper,Ніж сантоку Pepper Labris 17.5 см (PR-4004-6),,374,1,https://comfy.ua/nozh-santoku-pepper-labris-17-5-sm-pr-4004-6.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1090498777,,,,,.1871910,Посуда >> Нарезка и измельчение,pepper,Ніж сантоку Pepper Maximus 17.5 см (PR-4005-6),,589,1,https://comfy.ua/nozh-santoku-pepper-maximus-17-5-sm-pr-4005-6.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1090498780,,,,,1871908,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Pepper,pepper,Ніж кухаря Pepper Okinawa 20.3 см (PR-4006-1),,641,1,https://comfy.ua/nozh-povara-pepper-okinawa-20-3-sm-pr-4006-1.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1090502841,6208559,BOSCH,Рабочий стол BOSCH PWB 600,7740,1762482,Инструменты и автотовары >> Электроинструменты >> Станки для заточки >> Станки для заточки Bosch,bosch,Станок Bosch PWB 600 (0.603.B05.200),,7739,1,https://comfy.ua/stanok-bosch-pwb-600-0-603-b05-200.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1090504483,6911200,GUSTO,Ковш GUSTO Solo 0.5 л (GT-1203-12),345,1870743,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Gusto,gusto,"Ківш Gusto 12x6 см 0,5 л (GT-1203-12)",,397,1,https://comfy.ua/kovsh-gusto-12x6-sm-0-5-l-gt-1203-12.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1090504484,6911199,GUSTO,Ковш GUSTO Solo 0.9 л (GT-1203-14),407,1884708,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Gusto,gusto,Ківш Gusto Solo 14x7см 0.9 л (GT-1203-14),,407,1,https://comfy.ua/kovsh-gusto-solo-14x7sm-0-9-l-gt-1203-14.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1090504485,6911198,GUSTO,Ковш GUSTO Solo 1.4 л (GT-1203-16),448,1884709,Посуда >> Для приготовления,gusto,Ківш Gusto Solo 16x6см 1.4 л (GT-1203-16),,448,1,https://comfy.ua/kovsh-gusto-solo-16x6sm-1-4-l-gt-1203-16.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1090506544,6406267,WD,Жесткий диск WD 2Tb WD20SPZX,4220,1924599,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Жесткие диски и аксессуары >> Жесткие диски и аксессуары Western Digital",western-digital,Жорсткий диск внутрішній Western Digital 2TB 128MB 2.5 SATA III (WD20SPZX),,3879,1,https://comfy.ua/zhestkij-disk-vnutrennij-western-digital-2tb-128mb-2-5-sata-iii-wd20spzx.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1090508166,6792805,ECG,Хлебопечка ECG PCB 815,5919,1909477,Техника для кухни >> Мелкая техника >> Хлебопечи >> Хлебопечи ECG,ecg,Хлібопічка ECG PCB 815,,5919,1,https://comfy.ua/hlebopech-ecg-pcb-815.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
