878518582,column,column,column,column,1807646,Техника для дома >> Климатическая техника,ecg,__ecg_fs_91_t,column,5565,1,httpscomfyuaventiljatornapolnyjecgfs91thtml,column,05112025_1830,column,__42,Фастів,0
878573907,,,,,1809803,Детские товары >> Игрушки,hasbro,Інтерактивна іграшка Hasbro FurReal Friends Маленький Вихованець на повідку (E4765 FRR WALKALOTS LIL WAGS DOG A),,649,1,https://comfy.ua/interaktivnaja-igrushka-plastikovaja-hasbro-furreal-friends-malen-kij-pitomec-na-povodke-e4765-frr-walkalots-lil-wags-dog-a.html,,05.11.2025 23:49,,"вул. Соборна, 42",Фастів,0
878573914,,,,,1809812,Детские товары >> Игрушки,hasbro,"""Інтерактивна іграшка Hasbro FurReal Friends """"фентезійних Годування"""", в асорт. (F1825 FRR AIRINA THE UNICORN)""",,1059,1,https://comfy.ua/interaktivnaja-igrushka-mjagkaja-hasbro-furreal-friends-fjentezijnoe-kormlenie-v-assort-f1825-frr-airina-the-unicorn.html,,05.11.2025 23:47,,"вул. Соборна, 42",Фастів,0
878574014,,,,,1809773,"Детские товары >> Уход, купание и гигиена",lion,Зубна паста дитяча Lion Kids Safe Полуниця 90 г (8806325611486),,109,1,https://comfy.ua/zubnaja-pasta-detskaja-lion-kids-safe-klubnika-90-g-8806325611486.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
878761767,,,,,1810219,Детские товары >> Игрушки для малышей,same-toy,Пальчиковий театр Same Toy Спинозавр і Тріцератопс (X236Ut-4),,99,1,https://comfy.ua/catalog/product/view/id/2424423,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
878767109,,,,,1810218,Детские товары >> Игрушки для малышей,same-toy,Пальчиковий театр Same Toy Тиранозавр і Тріцератопс (X236Ut-2),,99,1,https://comfy.ua/catalog/product/view/id/2424363,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
878812544,,,,,1791616,Техника для кухни >> Мелкая техника,gorenje,Блендер заглибний Gorenje HBC 807 QB,,2089,1,https://comfy.ua/catalog/product/view/id/2425483,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
882120420,6692618,SAMSUNG,Встраиваемый холодильник SAMSUNG BRB307054WW/UA,38699,1792136,Техника для кухни >> Крупная техника,samsung,Холодильник вбудований Samsung BRB307054WW/UA,,38699,1,https://comfy.ua/holodil-nik-vstraivaemyj-samsung-brb307054ww-ua.html,41799,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
882120479,6650648,GORENJE,Блендер GORENJE HBC 807 QB (LW-3523G1),2199,1791616,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Gorenje,gorenje,Блендер заглибний Gorenje HBC 807 QB,,2089,1,https://comfy.ua/blender-pogruzhnoj-gorenje-hbc-807-qb.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
882120518,,,,,1810219,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Same Toy,same-toy,Пальчиковий театр Same Toy Спинозавр і Тріцератопс (X236Ut-4),,99,1,https://comfy.ua/pal-chikovyj-teatr-same-toy-spinozavr-i-triceratops-x236ut-4.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
882120526,,,,,1810218,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Same Toy,same-toy,Пальчиковий театр Same Toy Тиранозавр і Тріцератопс (X236Ut-2),,99,1,https://comfy.ua/pal-chikovyj-teatr-same-toy-tiranozavr-i-triceratops-x236ut-2.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
882121711,,,,,1802566,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Тонер для заправки картриджа Colorway Samsung Universal Premium 100 г (TS-UN02-0.1),,99,1,https://comfy.ua/toner-dlja-zapravki-kartridzha-colorway-samsung-universal-premium-100-g-ts-un02-0-1.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
882148702,,,,,.1808287,Посуда >> Для приготовления,bollire,"Каструля Bollire з кришкою 2,6 л 20 см Venezia",,1199,1,https://comfy.ua/nabor-posudy-bollire-kastrjulja-s-kryshkoj-2-6-l-20-sm-venezia.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
882148703,,,,,.1808288,Посуда >> Для приготовления,bollire,"Каструля Bollire з кришкою 4,5 л 24 см Venezia",,1259,1,https://comfy.ua/nabor-posudy-bollire-kastrjulja-s-kryshkoj-4-5-l-24-sm-venezia.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
882148704,,,,,1808289,Посуда >> Для приготовления,bollire,"Каструля Bollire каструля з кришкою 7,1 л 28 см Venezia",,1839,1,https://comfy.ua/nabor-posudy-bollire-kastrjulja-s-kryshkoj-7-1-l-28-sm-venezia.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
882148711,,,,,1800243,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,Картридж для лазерних принтерів/БФП PrintPro Canon 703 LBP-2900/3000 (PP-703),,419,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-printpro-canon-703-lbp-2900-3000-pp-703.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
882172144,,,,,1806069,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для планшету Armorstandart Smart Case for Lenovo Tab M10 Plus TB-X606 Blue (ARM58619),,499,1,https://comfy.ua/catalog/product/view/id/2429673,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
882180951,,,,,1808295,Посуда >> Для напитков >> Термопосуда >> Термопосуда Bollire,bollire,"Термочашка Bollire BR-3501 0,36 л",,488,1,https://comfy.ua/termokruzhka-bollire-br-3501-0-36-l.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
882181406,7061402,JOSEPH JOSEPH,Набор ножей JOSEPH JOSEPH Nest 7 пр (60194),7617,1785536,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Joseph Joseph,joseph-joseph,Набір обробних дошок Joseph Joseph і ножів 6 пр. 60194,,6455,1,https://comfy.ua/nabor-razdelochnyh-dosok-joseph-joseph-i-nozhej-6-pr-60194.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
882181494,,,,,1808508,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",eurogold,"Прасувальна дошка Eurogold 22438Р Storm mint 215, 120*38 см",,1865,1,https://comfy.ua/catalog/product/view/id/2429993,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
882181772,,,,,1808296,Посуда >> Для напитков >> Термопосуда >> Термопосуда Bollire,bollire,"Термочашка Bollire BR-3502 0,48 л",,685,1,https://comfy.ua/termokruzhka-bollire-br-3502-0-48-l.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
882181894,,,,,.1808304,Посуда >> Для приготовления,vitrinor,Сковорода універсальна Vitrinor К2 22 см,,480,1,https://comfy.ua/skovoroda-universal-naja-vitrinor-k2-22-sm.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
882181895,,,,,.1808278,Посуда >> Для приготовления,vitrinor,Сковорода універсальна Vitrinor К2 20 см,,464,1,https://comfy.ua/skovoroda-universal-naja-vitrinor-k2-20-sm.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
882181896,,,,,1808277,Посуда >> Для приготовления,vitrinor,Сковорода універсальна Vitrinor К2 18 см,,436,1,https://comfy.ua/skovoroda-universal-naja-vitrinor-k2-18-sm.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
882182492,,,,,1808297,Посуда >> Для напитков >> Термопосуда >> Термопосуда Bollire,bollire,"Термос Bollire BR-3505 1,2 л",,1039,1,https://comfy.ua/termos-bollire-br-3505-1-2-l.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
882184589,6602794,КЕМПИНГ,Аккумулятор холода Кемпинг 600 г (Freeze 600),109,1800391,"Дом, отдых и зоотовары >> Отдых и путешествия >> Аккумуляторы холода >> Аккумуляторы холода Кемпінг",kemping,Акумулятор холоду Кемпінг Freeze 600 г (4823082715619),,109,1,https://comfy.ua/akkumuljator-holoda-kemping-freeze-600-g-4823082715619.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
882184693,,,,,.1808274,Посуда >> Для приготовления,vitrinor,Сковорода універсальна Vitrinor Classic Natura 24 см,,900,1,https://comfy.ua/skovoroda-universal-naja-vitrinor-classic-natura-24-sm.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
882185008,,,,,.1808273,Посуда >> Для приготовления,vitrinor,Сковорода універсальна Vitrinor Classic Natura 20 см,,760,1,https://comfy.ua/skovoroda-universal-naja-vitrinor-classic-natura-20-sm.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
882195020,,,,,1808294,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические Bollire,bollire,"Чайник металевий Bollire BR-3009 2,5 л",,725,1,https://comfy.ua/chajnik-metallicheskij-bollire-br-3009-2-5-l.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
882195021,,,,,1808292,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические Bollire,bollire,"Чайник металевий Bollire BR-3006 2,5 л",,785,1,https://comfy.ua/chajnik-metallicheskij-bollire-br-3006-2-5-l.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
882195022,,,,,1808293,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические Bollire,bollire,"Чайник металевий Bollire BR-3007 2,5 л",,885,1,https://comfy.ua/chajnik-metallicheskij-bollire-br-3007-2-5-l.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
882200993,,,,,1808281,Посуда >> Для приготовления,vitrinor,Сковорода ВОК Vitrinor К2 28 см,,800,1,https://comfy.ua/skovoroda-vok-vitrinor-k2-28-sm.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
882204438,,,,,1800983,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Canon Universal 100 мл Black (CW-CW110BK01),,95,1,https://comfy.ua/catalog/product/view/id/2387653,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
882204441,,,,,1800911,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway для Epson L3100/3110/3150/3151 70 мл Cyan (CW-EW310C01),,95,1,https://comfy.ua/catalog/product/view/id/2388153,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
882204442,,,,,1800912,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway для Epson L3100/3110/3150/3151 70 мл Magenta (CW-EW310M01),,95,1,https://comfy.ua/catalog/product/view/id/2388183,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
882204443,,,,,1803196,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Epson L-7160/7180 70 мл Magenta (CW-EW716M01),,95,1,https://comfy.ua/catalog/product/view/id/2429533,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
882204444,,,,,1800977,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Canon CL-446 100 мл Cyan (CW-CW446C01),,105,1,https://comfy.ua/catalog/product/view/id/2387023,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
882204447,,,,,1092613,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway EPSON TX650 (Yellow) (CW-EW650Y01) 100мл,,95,1,https://comfy.ua/catalog/product/view/id/2387003,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
882204448,,,,,1092608,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway EPSON TX650 (Light Magenta) (CW-EW650LM01) 100мл,,95,1,https://comfy.ua/catalog/product/view/id/2387053,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
882204449,,,,,1092610,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway EPSON TX650 (Magenta) (CW-EW650M01) 100мл,,95,1,https://comfy.ua/catalog/product/view/id/2386983,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
