1039086710,column,column,column,column,1861635,_________________armorstandart,armorstandart,____armorstandart_icon_3d_for_apple_iphone_13_pro1314_black_arm60001,column,549,1,httpscomfyuazaschitnoesteklodljasmartfonaarmorstandarticon3dforappleiphone13pro13blackarm60001html,column,05112025_1738,column,__42,Фастів,0
1041398253,,,,,1869016,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",dogrular,Прасувальна дошка Dogrular TOMRIS з розеткою і підрук.120 x 40 см,,2149,1,https://comfy.ua/gladil-naja-doska-dogrular-tomris-s-rozetkoj-i-podruk-120-x-40-sm.html,2399,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,1
1041489977,,,,,1871630,Игровые консоли и гейминг >> Аксессуары для игровых консолей,playstation,Гарнітура для консолі PlayStation Pulse 3D Wireless Headset Black,,4999,1,https://comfy.ua/catalog/product/view/id/3100993,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1041529824,,,,,1869281,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Silverlit,silverlit,"""Радіокерована машинка",,,,,,,,,,
"Silverlit LIGHTING DASH (20630)""",,1199,1,https://comfy.ua/radioupravljaemaja-mashinka-1-14-silverlit-lighting-dash-20630.html,2239,06.11.2025 0:05,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1041529946,,,,,1868737,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Baby Design,baby-design,Стільчик для годування класичний Baby Design PEPE NEW 05 TURQUOISE,,6240,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-baby-design-pepe-new-05-turquoise.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1041543209,,,,,.1871634,Детские товары >> Игрушки,jazwares,Колекційна фігурка Jazwares Fortnite Joy Ride Vehicle Whiplash (FNT0815),,1169,1,https://comfy.ua/kollekcionnaja-figurka-jazwares-fortnite-joy-ride-vehicle-whiplash-fnt0815.html,1679,06.11.2025 1:28,,"вул. Соборна, 42",Фастів,0
1041544396,,,,,1867816,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Baby Design,baby-design,Коляска прогулянкова Baby Design Design LOOK AIR 2020 27 LIGHT GRAY (202636),,10320,1,https://comfy.ua/koljaska-progulochnaja-baby-design-look-air-2020-27-light-gray-202636.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
1041544963,,,,,1869280,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Silverlit,silverlit,"""Радіокерована машинка",,,,,,,,,,
"Silverlit XMOKE (20628)""",,1650,1,https://comfy.ua/radioupravljaemaja-mashinka-1-14-silverlit-xmoke-20628.html,3010,05.11.2025 23:52,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1041674020,,,,,1871650,Детские товары >> Игрушки,jazwares,Колекційні фігурки набір Jazwares Roblox Deluxe Playset Ninja Legends W10 (ROB0497),,2599,1,https://comfy.ua/catalog/product/view/id/3111313,3199,06.11.2025 1:23,,"вул. Соборна, 42",Фастів,0
1041684830,,,,,1871630,Игровые консоли и гейминг >> Аксессуары для игровых консолей >> Гарнитуры для консолей >> Гарнитуры для консолей PlayStation,playstation,Гарнітура для консолі PlayStation Pulse 3D Wireless Headset Black,,4999,1,https://comfy.ua/garnitura-dlja-konsoli-playstation-pulse-3d-wireless-headset-black.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1041685366,6709554,WHIRLPOOL,Встраиваемый холодильник WHIRLPOOL WHC20 T593,43999,1869811,Техника для кухни >> Крупная техника,whirlpool,Холодильник вбудований Whirlpool WHC20T593,,43999,1,https://comfy.ua/catalog/product/view/id/3112963,49699,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1041729467,,,,,1871653,Детские товары >> Игрушки,jazwares,Колекційна фігурка Jazwares Roblox Core Figures Star Sorority: Dark Mermaid W7 (ROG0187),,319,1,https://comfy.ua/kollekcionnaja-figurka-jazwares-roblox-core-figures-star-sorority-dark-mermaid-w7-rog0187.html,459,06.11.2025 1:07,,"вул. Соборна, 42",Фастів,0
1041738514,,,,,1871626,Comfy KIDS >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Jazwares,jazwares,Колекційна фігурка Jazwares Fortnite Deluxe Feature Vehicle Reboot Van (FNT0732),,1598,1,https://comfy.ua/kollekcionnaja-figurka-jazwares-fortnite-deluxe-feature-vehicle-reboot-van-fnt0732.html,2879,06.11.2025 1:45,,"вул. Соборна, 42",Фастів,0
1041744823,,,,,1852883,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Gorenje,gorenje,Мікрохвильова піч (НВЧ) Gorenje MO 20 E1W2,,2879,1,https://comfy.ua/mikrovolnovaja-pech-svch-gorenje-mo-20-e1w2.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1041746754,6855060,ROBLOX,Игровой набор ROBLOX Deluxe Playset Ninja Legends W10 6 фигурок и аксессуары (ROB0497),2451,.1871650,Детские товары >> Игрушки,jazwares,Колекційні фігурки набір Jazwares Roblox Deluxe Playset Ninja Legends W10 (ROB0497),,2599,1,https://comfy.ua/kollekcionnye-figurki-nabor-jazwares-roblox-deluxe-playset-ninja-legends-w10-rob0497.html,3199,06.11.2025 1:23,,"вул. Соборна, 42",Фастів,0
1041750305,,,,,.1870476,"Аудио, фото и видео >> Наушники",sennheiser,Навушники накладні дротові Sennheiser HD 25 LIGHT (508664),,4949,1,https://comfy.ua/naushniki-nakladnye-provodnye-sennheiser-hd-25-light-508664.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1041818074,6747739,PYRAMIDA,Вытяжка PYRAMIDA ND 835 BL,6509,1868556,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Pyramida,pyramida,Витяжка декоративна Pyramida ND 835 BL,,4879,1,https://comfy.ua/vytjazhka-dekorativnaja-pyramida-nd-835-bl.html,6509,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1041953540,6715419,BEKO,Холодильник BEKO GN164020XP,36999,1871801,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Beko,beko,Холодильник Beko GN164020XP,,36999,1,https://comfy.ua/holodil-nik-beko-gn164020xp.html,38999,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1041954687,6709554,WHIRLPOOL,Встраиваемый холодильник WHIRLPOOL WHC20 T593,43999,1869811,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Whirlpool,whirlpool,Холодильник вбудований Whirlpool WHC20T593,,43999,1,https://comfy.ua/holodil-nik-vstraivaemyj-whirlpool-whc20t593.html,49699,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1041955404,,,,,1869740,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Beko,beko,Варильна поверхня електрична Beko HII64200FMT,,10777,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-beko-hii64200fmt.html,11999,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1041958636,6745741,GRUNHELM,Вытяжка GRUNHELM GVN 1030 BX,6599,1863151,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Grunhelm,grunhelm,Витяжка декоративна Grunhelm GVN 1030 BX,,3837,1,https://comfy.ua/vytjazhka-dekorativnaja-grunhelm-gvn-1030-bx.html,6559,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1041961854,,,,,1871802,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Beko,beko,Холодильник Beko RCNA420SX,,19799,1,https://comfy.ua/holodil-nik-beko-rcna420sx.html,20999,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1042218353,,,,,1872124,Детские товары >> Игрушки,spidey,М'яка іграшка Spidey Little Plush (SNF0002),,579,1,https://comfy.ua/catalog/product/view/id/3117463,,06.11.2025 0:58,,"вул. Соборна, 42",Фастів,0
