807792351,,,,,1772449,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ultra-cable,Кабель USB type A - USB type A Ultra Cable UC21-0150,,85,1,https://comfy.ua/kabel-usb-type-a-usb-type-a-ultra-cable-uc21-0150.html,,05.11.2025 22:20,,"вул. Соборна, 42",Фастів,0
807869407,,,,,1769681,Техника для кухни >> Мелкая техника,smeg,Міксер Smeg HMF01RDEU Red,,6199,1,https://comfy.ua/catalog/product/view/id/2095273,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
808064876,6611356,JANOD,Игровой набор JANOD Кухня Candy Chic J06554,6999,1771040,Детские товары >> Игрушки,janod,Сюжетно-рольова гра. Кухня Janod Кухня Candy Chic (J06554),,5749,1,https://comfy.ua/sjuzhetno-rolevaja-igra-kuhnja-janod-kuhnja-candy-chic-j06554.html,,05.11.2025 23:47,,"вул. Соборна, 42",Фастів,0
808064880,6611360,JANOD,Игровой набор JANOD Мастерская (J06477),4769,1771039,Детские товары >> Игрушки,janod,Сюжетно-рольова гра. Набір-професій Janod Майстерня (J06477),,4769,1,https://comfy.ua/sjuzhetno-rolevaja-igra-nabor-professij-janod-masterskaja-j06477.html,,06.11.2025 0:15,,"вул. Соборна, 42",Фастів,0
808064932,6439733,NUVITA,Чехол на подушку NUVITA голубой (NV7104Blue),307,1765655,"Дом, отдых и зоотовары >> Текстиль >> Наволочки >> Наволочки Nuvita",nuvita,Чохол на подушку для вагітних і годуючих Nuvita DreamWizard Блакитний (NV7104Blue),,399,1,https://comfy.ua/chehol-na-podushku-dlja-beremennyh-i-kormjaschih-nuvita-dreamwizard-blakitnij-nv7104blue.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
808064933,6439734,NUVITA,Чехол на подушку NUVITA DreamWizard (NV7104Pink) розовый,307,1765656,"Дом, отдых и зоотовары >> Текстиль >> Наволочки >> Наволочки Nuvita",nuvita,Чохол на подушку для вагітних і годуючих Nuvita DreamWizard Рожевий (NV7104Pink),,399,1,https://comfy.ua/chehol-na-podushku-dlja-beremennyh-i-kormjaschih-nuvita-dreamwizard-rozhevij-nv7104pink.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
808179088,6457386,SEQUIN ART,Картина по номерам SEQUIN ART SENIOR Evening Pasture SA0429,214,1773831,"Дом, отдых и зоотовары >> Декор для дома",sequin-art,Картина за номерами Sequin Senior Вечірні пасовища (SA0429),,259,1,https://comfy.ua/catalog/product/view/id/2111063,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
808179100,6457372,SEQUIN ART,Набор для творчества SEQUIN ART JUNIOR Big Ben SA1331,147,1773827,"Дом, отдых и зоотовары >> Декор для дома",sequin-art,Картина за номерами Sequin Junior Біг Бен (SA1331),,179,1,https://comfy.ua/catalog/product/view/id/2110603,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
808179459,,,,,.1768911,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",mikrotik,Точка доступу MikroTik RBwAPGR-5HacD2HnD&R11e-LTE6,,8029,1,https://comfy.ua/tochka-dostupa-mikrotik-rbwapgr-5hacd2hnd-r11e-lte6.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
808183041,,,,,1771061,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",gembird,Хаб USB Gembird UHB-U2P4-04,,169,1,https://comfy.ua/catalog/product/view/id/2106283,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,1
