811002270,column,column,column,column,1777124,Инструменты и автотовары >> Электроинструменты,werk,__werk_____kit5pg,column,1219,1,httpscomfyuaraspylitelkraskiwerknaborpnevmoistrumentovkit5pghtml,column,05112025_2130,column,__42,Фастів,0
811455631,6450775,TRAMONTINA,Топорик TRAMONTINA Polywood 15.2 см (21140/196),1458,1576674,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж кухаря Tramontina Polywood 152 мм (21140/196),,1467,1,https://comfy.ua/nozh-povara-tramontina-polywood-152-mm-21140-196-acsessuary.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
811456267,6496639,BOSCH,Пылесос BOSCH BWD41740,10999,1445234,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Bosch,bosch,Пилосос миючий з аквафільтром Bosch BWD41740,,10999,1,https://comfy.ua/pylesos-mojuschij-s-akvafil-trom-bosch-bwd41740-voprosy.html,14349,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
811456329,6499060,2E,Мышь 2E MF213 WL Black (2E-MF213WB),199,1497427,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные 2E",2e,Миша бездротова 2E MF213 WL Black (2E-MF213WB),,199,1,https://comfy.ua/mysh-besprovodnaja-2e-mf213-wl-black-2e-mf213wb-acsessuary.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
811457019,6515144,WEILOR,Вытяжка WEILOR Slimline PTM 6230 SS 1000 LED strip,5685,1448467,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Weilor,weilor,Витяжка вбудована Weilor Slimline PTM 6230 SS 1000 LED strip,,5685,1,https://comfy.ua/vytjazhka-vstraivaemaja-weilor-slimline-ptm-6230-ss-1000-led-strip-acsessuary.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
811457145,6518837,JOSEPH JOSEPH,Щетка JOSEPH JOSEPH EDGE (85026),825,1075309,Бытовая химия >> Для кухни и мытья посуды >> Губки и щетки для мытья посуды >> Губки и щетки для мытья посуды Joseph Joseph,joseph-joseph,Щітка для миття посуду Joseph Joseph 85026,,825,1,https://comfy.ua/schetka-dlja-mojki-posudy-joseph-joseph-85026-acsessuary.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
811458411,6552378,SIGMA,Мобильный телефон SIGMA X-style 18 Track Black/Red,625,1588645,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Sigma mobile,sigma-mobile,Мобільний телефон Sigma mobile X-style 18 Track Dual Sim Black/Red,,625,1,https://comfy.ua/mobil-nyj-telefon-sigma-mobile-x-style-18-track-dual-sim-black-red-acsessuary.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
811458710,6562376,JOSEPH JOSEPH,Емкость для приготовления на пару JOSEPH JOSEPH Bloom (45030),1481,1591975,Посуда >> Для приготовления >> Аксессуары для посуды >> Аксессуары для посуды Joseph Joseph,joseph-joseph,Ємність для приготування на пару Joseph Joseph 45030,,1255,1,https://comfy.ua/emkost-dlja-prigotovlenija-na-paru-joseph-joseph-45030.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
811458738,6562580,KRAUFF,Набор для специй KRAUFF Призма (21-275-010),212,1265152,Посуда >> Кухонные аксессуары,krauff,"""Набір ємностей для спецій і приправ Krauff 21-275-010 """"Призма""""""",,209,1,https://comfy.ua/emkost-dlja-specij-krauff-21-275-010-prizma-acsessuary.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
811458788,6563777,ROTEX,Блендер ROTEX RTB410-W,465,1581731,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Rotex,rotex,Блендер заглибний Rotex RTB410-W,,465,1,https://comfy.ua/blender-pogruzhnoj-rotex-rtb410-w-acsessuary.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
811459068,6567549,REAL EL,Гарнитура REAL EL GDX-7200 Black (EL124100018),499,1336101,"Аудио, фото и видео >> Наушники >> Наушники REAL-EL",real-el,Гарнітура дротова ігрова REAL-EL GDX-7200 Black,,499,1,https://comfy.ua/garnitura-provodnaja-igrovaja-real-el-gdx-7200-black-acsessuary.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
811462631,6651543,RUSSELL HOBBS,Измельчитель RUSSELL HOBBS Matte Black (24662-56),1899,1715658,Техника для кухни >> Мелкая техника >> Измельчители >> Измельчители Russell Hobbs,russell-hobbs,Подрібнювач Russell Hobbs 24662-56 Matte Black,,2014,1,https://comfy.ua/izmel-chitel-russell-hobbs-24662-56-matte-black.html,2369,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
811470187,,,,,1776488,Детские товары >> Подгузники и пеленание >> Пеленки >> Пеленки ID,id,Одноразова пелюшка ID Proteсt Super 60 x 60 см 30 шт. (5411416047902),,509,1,https://comfy.ua/odnorazovaja-pelenka-id-protest-super-60-x-60-sm-30-sht-5411416047902.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
811470198,,,,,1780375,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Nip",nip,Суха грілка для малюка NIP Грілка антіколіковая (37071),,485,1,https://comfy.ua/suhaja-grelka-dlja-malysha-nip-grelka-antikolikovaja-37071.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
811470471,6704385,LEGO,Конструктор LEGO Star Wars Шлем Дарта Вейдера 834 детали (75304),3251,1766777,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Star Wars Шолом Дарта Вейдера (75304),,3159,1,https://comfy.ua/konstruktor-lego-star-wars-tm-tbd-ip-lsw10-2021-75304.html,3949,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
811712924,,,,,.1781445,Детские товары >> Игрушки,transcrasher,Машинка-трансформер Transcrasher Роза диявола (YW652806),,49,1,https://comfy.ua/mashinka-transformer-transcrasher-roza-d-javola-yw652806.html,,06.11.2025 0:35,,"вул. Соборна, 42",Фастів,0
811712980,7083877,VIGA TOYS,Набор VIGA TOYS Палочки Кюизенера (51765),324,1781530,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Viga Toys,viga-toys,Настільна гра (3-4 роки) Viga Toys Палички Кюїзенера (51765),,585,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-viga-toys-palochki-kjuizenera-51765.html,,06.11.2025 0:49,,"вул. Соборна, 42",Фастів,0
811725578,,,,,1673607,Техника для кухни >> Мелкая техника,wmf,Блендер заглибний WMF KULT X (4211129131308),,2399,1,https://comfy.ua/blender-pogruzhnoj-wmf-kult-x-4211129131308.html,3399,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
811862088,,,,,1782591,Детские товары >> Детская комната и безопасность,lionelo,Крісло-качалка Lionelo Otto Cozy Grey,,3879,1,https://comfy.ua/catalog/product/view/id/2185003,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
811899699,,,,,1782553,Детские товары >> Прогулки и поездки,lionelo,Коляска прогулянкова Lionelo Emma Plus Stone,,4899,1,https://comfy.ua/catalog/product/view/id/2185943,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
812034835,6704743,GEMBIRD,Геймпад GEMBIRD JPD-PS4U-01,1099,1780763,"Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам >> Геймпады, джойстики, рули >> Геймпады, джойстики, рули Gembird",gembird,Геймпад Gembird for PS4/PC Black (JPD-PS4U-01),,1099,1,https://comfy.ua/gejmpad-gembird-for-ps4-pc-black-jpd-ps4u-01.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
812071802,,,,,1782474,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Lionelo,lionelo,Автокрісло Lionelo Neal Black Onyx,,5279,1,https://comfy.ua/avtokreslo-lionelo-neal-black-onyx.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
812071809,,,,,1782476,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Lionelo,lionelo,Автокрісло Lionelo Neal Grey Stone,,5499,1,https://comfy.ua/avtokreslo-lionelo-neal-grey-stone.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
812071811,,,,,1782477,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Lionelo,lionelo,Автокрісло Lionelo Neal Red Burgundy,,5279,1,https://comfy.ua/avtokreslo-lionelo-neal-red-burgundy.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
812071813,,,,,1782486,Детские товары >> Детская комната и безопасность >> Радионяни и видеоняни >> Радионяни и видеоняни Lionelo,lionelo,Відеоняня Lionelo BabyLine 5.1,,5279,1,https://comfy.ua/videonjanja-lionelo-babyline-5-1.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
812071817,,,,,1771042,Детские товары >> Детская комната и безопасность >> Мебель и хранение для детской комнаты >> Мебель и хранение для детской комнаты Janod,janod,Комплект меблів дитячий Janod Мишка і пінгвін (J09650),,4729,1,https://comfy.ua/komplekt-mebeli-detskij-janod-mishka-i-pingvin-j09650.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
812071818,,,,,1782487,Comfy KIDS >> Детская комната и безопасность >> Радионяни и видеоняни >> Радионяни и видеоняни Lionelo,lionelo,Відеоняня Lionelo BabyLine 7.1,,5759,1,https://comfy.ua/videonjanja-lionelo-babyline-7-1.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
812071820,,,,,1782561,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Elia Oslo,,3779,1,https://comfy.ua/koljaska-progulochnaja-lionelo-elia-oslo.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
812071823,,,,,1782550,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Elia Tropical Turquoise,,3839,1,https://comfy.ua/koljaska-progulochnaja-lionelo-elia-tropical-turquoise.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
