1028030431,column,column,column,column,1858870,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",emos,_220_emos_p0421_4__15_,column,239,1,httpscomfyuacatalogproductviewid2960313,column,05112025_1735,column,__42,Фастів,0
1028473583,6855088,LORI,Игровой набор LORI Кукольный домик (LO37014Z),2999,1863345,Детские товары >> Игрушки,lori,Меблі і будиночки для ляльки Lori LO37014Z,,2999,1,https://comfy.ua/mebel-i-domiki-dlja-mini-kukly-lori-lo37014z.html,,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
1028695282,6810736,GOPRO,Крепление GOPRO для велосипеда Pro Seat Rail Mount (AMBSM-001),1049,1857946,Смарт-часы и гаджеты >> Аксессуары,gopro,Кріплення для екшн-камери GoPro Pro Seat Rail Mount (AMBSM-001),,1049,1,https://comfy.ua/catalog/product/view/id/2960063,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1028941642,,,,,1855815,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Килимок для миші ігровий A4tech X7-200MP (Black) box,,199,1,https://comfy.ua/catalog/product/view/id/2960773,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,3
1028969718,,,,,.1863322,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Anti-Shock for Samsung Galaxy M32 SM-M325 Clear (706671),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-anti-shock-for-samsung-galaxy-m32-sm-m325-clear-706671.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1028974013,,,,,1854508,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",promate,Хаб USB Promate Mediahub-c3.grey,,999,1,https://comfy.ua/catalog/product/view/id/2954743,1399,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1028974014,,,,,1854506,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",promate,Хаб USB Promate Gigahub-c.grey,,999,1,https://comfy.ua/catalog/product/view/id/2954773,1399,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1029025456,6766483,EMOS,Удлинитель EMOS 3 розетки 1.5м 16А 3x1.5мм2 Black (PC1321R),339,1860915,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители EMOS",emos,"Подовжувач 220В EMOS PC1321R, 3 розетки, 1,5 м.",,339,1,https://comfy.ua/setevoj-fil-tr-emos-pc1321r.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1029038524,6769548,RAZER,Мышь RAZER Basilisk V3 (RZ01-04000100-R3M1),3499,1863560,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Razer",razer,Миша дротова ігрова Razer Basilisk V3 (RZ01-04000100-R3M1),,3499,1,https://comfy.ua/mysh-provodnaja-igrovaja-razer-basilisk-v3-rz01-04000100-r3m1.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1029040469,6739110,DEFENDER,Мышь DEFENDER Hit MM-495 (52495),139,1863438,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Defender",defender,Миша бездротова Defender Hit MM-495 (52495),,145,1,https://comfy.ua/mysh-besprovodnaja-defender-hit-mm-495-52495.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1029048955,,,,,.1863439,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",defender,Веб-камера для комп'ютера Defender G-lens 2579 HD720p (63179),,575,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-defender-g-lens-2579-hd720p-63179.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1029055224,6768371,ARDESTO,Термос ARDESTO Easy Travel 500 мл (AR2650TBS),235,1860962,Посуда >> Для напитков >> Термопосуда >> Термопосуда Ardesto,ardesto,Термос Ardesto Easy Travel 500 мл (AR2650TBS),,235,1,https://comfy.ua/termos-ardesto-easy-travel-500-ml-ar2650tbs.html,379,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1029055439,6768372,ARDESTO,Термос ARDESTO Easy Travel 750 мл (AR2675TBS),314,1860963,Посуда >> Для напитков >> Термопосуда >> Термопосуда Ardesto,ardesto,Термос Ardesto Easy Travel 750 мл (AR2675TBS),,313,1,https://comfy.ua/termos-ardesto-easy-travel-750-ml-ar2675tbs.html,469,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1029055533,6768370,ARDESTO,Термос ARDESTO Easy Travel 1000 мл (AR2610TBS),344,1860961,Посуда >> Для напитков >> Термопосуда >> Термопосуда Ardesto,ardesto,Термос Ardesto Easy Travel 1000 мл (AR2610TBS),,346,1,https://comfy.ua/termos-ardesto-easy-travel-1000-ml-ar2610tbs.html,545,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1029055581,6738085,LEVOIT,Фильтр для воздухоочистителя LEVOIT Air Cleaner Filter Core 300 True HEPA 3-Stage (Original Mold and Bacteria) (HEACAFLVNEA0041),1699,1858243,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Levoit,levoit,Фільтр для очищувача повітря Levoit Air Cleaner Filter Core 300 True HEPA 3-Stage (HEACAFLVNEA0041),,1699,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-levoit-air-cleaner-filter-core-300-true-hepa-3-stage-heacaflvnea0041.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1029067047,,,,,1863153,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Grunhelm,grunhelm,Піч електрична Grunhelm GN42KA Black,,3059,1,https://comfy.ua/pech-jelektricheskaja-grunhelm-gn42ka-black.html,3599,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1029348035,,,,,1702279,Comfy KIDS >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Silverlit,silverlit,Комплектуючі до гоночного треку Silverlit Набір вигнутих труб до треку Exost Loop (20236),,549,1,https://comfy.ua/komplektujuschie-k-gonochnomu-treku-silverlit-nabor-izognutyh-trub-k-treku-exost-loop-20236.html,,05.11.2025 23:33,,"вул. Соборна, 42",Фастів,0
1029351426,,,,,1702267,Comfy KIDS >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Silverlit,silverlit,Комплектуючі до гоночного треку Silverlit Набір прямих труб до треку Exost Loop (20235),,549,1,https://comfy.ua/komplektujuschie-k-gonochnomu-treku-silverlit-nabor-prjamyh-trub-k-treku-exost-loop-20235.html,,06.11.2025 1:09,,"вул. Соборна, 42",Фастів,0
1029431057,,,,,1828504,Техника для дома >> Аксессуары к мелкой технике,rowenta,Насадка для пилососа Rowenta ZR900601,,549,1,https://comfy.ua/catalog/product/view/id/3022863,1409,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1029447899,,,,,1859093,Техника для кухни >> Крупная техника,artel,Витяжка традиційна ARTEL ART 0960 PUNTO White,,3699,1,https://comfy.ua/catalog/product/view/id/3024573,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1029450399,,,,,1859089,Техника для кухни >> Крупная техника,artel,Витяжка декоративна ARTEL ART 0760 PRIMA Brown,,3675,1,https://comfy.ua/catalog/product/view/id/3023993,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1029450400,,,,,1859090,Техника для кухни >> Крупная техника,artel,Витяжка декоративна ARTEL ART 0760 PRIMA White,,3635,1,https://comfy.ua/catalog/product/view/id/3024333,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1029577515,6861586,ESPERANZA,Машинка для стрижки ESPERANZA EBC002,349,1863988,Красота и здоровье >> Уход за волосами,esperanza,Машинка для стрижки волосся Esperanza Hair Clipper EBC002 Elegant Black,,349,1,https://comfy.ua/catalog/product/view/id/3025453,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1029577516,6861588,ESPERANZA,Машинка для стрижки ESPERANZA EBC005,299,1863989,Красота и здоровье >> Уход за волосами,esperanza,Машинка для стрижки волосся Esperanza Hair Clipper EBC005 Gallant Black /Silver,,299,1,https://comfy.ua/catalog/product/view/id/3025483,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1029750484,6855069,ZANZOON,Игрушка интерактивная ZanZoon Магический Джин (5020063Z),359,1864027,Детские товары >> Игрушки,zanzoon,Інтерактивна тварина ZanZoon Магічний Джин (5020063Z),,495,1,https://comfy.ua/interaktivnoe-zhivotnoe-zanzoon-magicheskij-dzhin-5020063z.html,,05.11.2025 23:34,,"вул. Соборна, 42",Фастів,0
1029750485,,,,,1863930,Телевизоры и мультимедиа >> Телевизоры,jvc,Телевізор JVC LT-50MU619,,14399,1,https://comfy.ua/televizor-jvc-lt-50mu619.html,15999,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1029750656,6855052,LI'L WOODZEEZ,Игровой набор LI'L WOODZEEZ Загородный дом (WZ6624Z),1692,1863990,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Заміський будинок (WZ6624Z),,1999,1,https://comfy.ua/igrovoj-domik-li-l-woodzeez-zagorodnyj-dom-wz6624z.html,2289,06.11.2025 1:33,,"вул. Соборна, 42",Фастів,0
1029752557,,,,,1864172,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Canyon,canyon,Смарт-годинник Canyon Salt CNS-SW78 Pink,,2169,1,https://comfy.ua/smart-chasy-canyon-salt-cns-sw78-pink.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1029753520,6741359,PHILIPS,Электрическая зубная щетка PHILIPS Sonicare HX3671/13 Gemini 3100,2599,1863254,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Philips,philips,Зубна щітка електрична Philips Sonicare HX3671/13,,2599,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-philips-sonicare-hx3671-13.html,3399,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1029753558,6911115,ROWENTA,Мини-турбощетка ROWENTA ZR900601 (1600005117),99,1828504,Техника для дома >> Аксессуары к мелкой технике,rowenta,Насадка для пилососа Rowenta ZR900601,,549,1,https://comfy.ua/nasadka-dlja-pylesosa-rowenta-zr900601.html,1409,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1029893477,,,,,1859093,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ARTEL,artel,Витяжка традиційна ARTEL ART 0960 PUNTO White,,3699,1,https://comfy.ua/vytjazhka-vstraivaemaja-artel-art-0960-punto-white.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
1029912438,,,,,1861898,Посуда >> Для напитков,tavialo,Термопляшка Tavialo 500 мл White (191500102),,349,1,https://comfy.ua/termobutylka-tavialo-500-ml-white-191500102.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1030014125,,,,,1700571,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Funrise,funrise,Ігровий набір Funrise CAT міні-техніка 5 шт (82150),,515,1,https://comfy.ua/igrovoj-nabor-funrise-cat-mini-tehnika-5-sht-82150.html,,06.11.2025 0:26,,"вул. Соборна, 42",Фастів,0
1030042167,,,,,1700976,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Happy People,happy-people,Радіокерована машинка HappyPeople ''Rock Rhino'' (H30079),,800,1,https://comfy.ua/radioupravljaemyj-avtotransport-happypeople-rock-rhino-h30079.html,1005,05.11.2025 23:58,,"вул. Соборна, 42",Фастів,0
1030045003,,,,,1702391,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Wizarding World,wizarding-world,"""Колекційна фігурка Wizarding World """"Сортувальна капелюх"""" (WW-1023)""",,299,1,https://comfy.ua/kollekcionnaja-figurka-wizarding-world-sortirovochnaja-shljapa-ww-1023.html,419,06.11.2025 1:27,,"вул. Соборна, 42",Фастів,0
1030058399,,,,,1700690,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Happy People,happy-people,Радіокерована машинка HappyPeople ''T-Rex-Traxx'' (H30024),,999,1,https://comfy.ua/radioupravljaemyj-avtotransport-happypeople-t-rex-traxx-h30024.html,,05.11.2025 23:54,,"вул. Соборна, 42",Фастів,0
1030062427,,,,,1709613,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Lanka Novelties,lanka-novelties,"Фігурки тварини Lanka Novelties Хамелеон Джексона, 58 см (21548)",,359,1,https://comfy.ua/figurka-zhivotnogo-lanka-novelties-hameleon-dzheksona-58-sm-21548.html,,06.11.2025 0:49,,"вул. Соборна, 42",Фастів,0
1030063430,6861586,ESPERANZA,Машинка для стрижки ESPERANZA EBC002,349,1863988,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Esperanza,esperanza,Машинка для стрижки волосся Esperanza Hair Clipper EBC002 Elegant Black,,349,1,https://comfy.ua/mashinka-dlja-strizhki-volos-esperanza-hair-clipper-ebc002-elegant-black.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1030063441,6861588,ESPERANZA,Машинка для стрижки ESPERANZA EBC005,299,1863989,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Esperanza,esperanza,Машинка для стрижки волосся Esperanza Hair Clipper EBC005 Gallant Black /Silver,,299,1,https://comfy.ua/mashinka-dlja-strizhki-volos-esperanza-hair-clipper-ebc005-gallant-black-silver.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1030067048,,,,,1865343,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora ECO Гепард 24 см (200032A),,659,1,https://comfy.ua/catalog/product/view/id/3035553,,06.11.2025 1:28,,"вул. Соборна, 42",Фастів,0
1030091603,,,,,1865350,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora ECO Скат морський 28 см (200207C),,699,1,https://comfy.ua/catalog/product/view/id/3035483,979,06.11.2025 0:48,,"вул. Соборна, 42",Фастів,0
1030101752,,,,,1865365,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora Palm Pals Ананас 12 см (200912J),,299,1,https://comfy.ua/catalog/product/view/id/3035783,419,06.11.2025 0:52,,"вул. Соборна, 42",Фастів,0
1030102056,,,,,1865374,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora ECO Дельфін 38 см (200207F),,699,1,https://comfy.ua/catalog/product/view/id/3035773,979,06.11.2025 1:13,,"вул. Соборна, 42",Фастів,0
1030111938,,,,,1865361,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora Palm Pals Ведмежа 15 см (200216N),,299,1,https://comfy.ua/catalog/product/view/id/3035723,399,06.11.2025 0:57,,"вул. Соборна, 42",Фастів,0
1030118525,,,,,1865373,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora ECO Акула 38 см (200207D),,699,1,https://comfy.ua/catalog/product/view/id/3035693,979,06.11.2025 1:14,,"вул. Соборна, 42",Фастів,0
1030121588,,,,,1865348,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora ECO Лисиця 24 см (200191A),,775,1,https://comfy.ua/catalog/product/view/id/3035283,,06.11.2025 1:14,,"вул. Соборна, 42",Фастів,0
1030158229,,,,,1865345,Детские товары >> Игрушки,aurora,М'яка іграшка глазастик Aurora ECO Морский котик 30 см (200039A),,699,1,https://comfy.ua/catalog/product/view/id/3036733,979,06.11.2025 0:45,,"вул. Соборна, 42",Фастів,0
