782258451,column,column,column,column,1737111,"Аудио, фото и видео >> Аксессуары для фото, видео",kioxia,__kioxia_microsdxc_64gb_uhsi_class_10_exceria_r100mbs_lmex1l064gg2__sd,column,209,1,httpscomfyuakartapamjatikioxiamicrosdxc64gbuhsiclass10exceriar100mbslmex1l064gg2sdadapterhtml,column,05112025_1827,column,__42,Фастів,0
783319910,,,,,.1736912,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Asus 45W 19V 2.37A, 4.0x1.35 (00132/LAS45/19-4,0x1.35)",,379,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-asus-45w-19v-2-37a-4-0x1-35-00132-las45-19-4-0x1-35.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
783319911,,,,,.1736910,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Asus 36W 12V 3.0A, 3.5x1.35 (0040/LAS36/12-3.5x1.35)",,379,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-asus-36w-12v-3-0a-3-5x1-35-0040-las36-12-3-5x1-35.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
783319912,,,,,.1736913,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Asus 45W 19V 2.37A, 3.0x1.35 (00143/LAS45/19-3.0x1.35)",,379,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-asus-45w-19v-2-37a-3-0x1-35-00143-las45-19-3-0x1-35.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
783319941,,,,,1736920,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Samsung 19V 4.74A 90W 5.5х3.0ммх + каб.живл. (LSA90/19-5.5.x3,0/00194)",,389,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-samsung-19v-4-74a-90w-5-5h3-0mmh-kab-zhivl-lsa90-19-5-5-x3-0-00194.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
783319942,,,,,.1736919,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion HP 19V 4.74A 90W 7.4х5.0мм + каб.живл. (LHP90/19-7.4*x5.0/00164),,419,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-hp-19v-4-74a-90w-7-4h5-0mm-kab-zhivl-lhp90-19-7-4-x5-0-00164.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
783320828,,,,,1685370,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant HP 220V 18.5V 120W 6.5A (5.5*2.5) (HP120E5525),,899,1,https://comfy.ua/catalog/product/view/id/1874203,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
783320859,6667563,TEFAL,Мультиварка TEFAL RK745134,4444,1735425,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Tefal,tefal,Мультиварка Tefal RK745134,,5099,1,https://comfy.ua/mul-tivarka-tefal-rk745134.html,5899,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
783320870,6547387,MAGIO,Электрочайник MAGIO MG-988,1069,1739221,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Magio,magio,Електричний чайник Magio МG-988,,1069,1,https://comfy.ua/jelektricheskij-chajnik-magio-mg-988.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
783320873,,,,,1731393,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Tefal,tefal,Електричний чайник Tefal Sense KO693110,,3199,1,https://comfy.ua/jelektricheskij-chajnik-tefal-ko693110.html,3399,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
783320898,6392309,PIKO,Гарнитура PIKO EP-103BKM 1 м Black,119,1738205,"Аудио, фото и видео >> Наушники >> Наушники Piko",piko,Навушники вкладиші дротові Piko EP-103BKM Black (1283126477799),,119,1,https://comfy.ua/naushniki-vkladyshi-provodnye-piko-ep-103bkm-black-1283126477799.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
783320898,7010574,PIKO,Гарнитура PIKO EP-103BKM Type-C Black (1283126590276),249,1738205,"Аудио, фото и видео >> Наушники >> Наушники Piko",piko,Навушники вкладиші дротові Piko EP-103BKM Black (1283126477799),,119,1,https://comfy.ua/naushniki-vkladyshi-provodnye-piko-ep-103bkm-black-1283126477799.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
783320900,6392311,PIKO,Гарнитура PIKO EP-103WTM 1 м White,119,1738203,"Аудио, фото и видео >> Наушники >> Наушники Piko",piko,Навушники вкладиші дротові Piko EP-103WTM White (1283126477812),,119,1,https://comfy.ua/naushniki-vkladyshi-provodnye-piko-ep-103wtm-white-1283126477812.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
783320901,6392295,PIKO,Гарнитура PIKO EP-101WTM 1м (белый),109,1738202,"Аудио, фото и видео >> Наушники >> Наушники Piko",piko,Навушники вкладиші дротові Piko EP-101WTM White (1283126477751),,109,1,https://comfy.ua/naushniki-vkladyshi-provodnye-piko-ep-101wtm-white-1283126477751.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
783320905,6663970,GORENJE,Холодильник GORENJE NRC 6204 SXL5M,33004,1738184,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Gorenje,gorenje,Холодильник Gorenje NRC 6204 SXL5M,,29999,1,https://comfy.ua/holodil-nik-gorenje-nrc-6204-sxl5m.html,43499,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
783321103,,,,,1685371,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant HP 220V 19.5V 200W 10.3A (4.5*3.0) (HP200G4530),,2199,1,https://comfy.ua/catalog/product/view/id/1874283,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
783321214,,,,,.1736915,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Dell 150W 19.5V 7.7A, 7.4x5.0 (01740/LDL150/19.5-7.4x5.0)",,1639,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-dell-150w-19-5v-7-7a-7-4x5-0-01740-ldl150-19-5-7-4x5-0.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
783321639,,,,,1737445,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Кардридеры и хабы >> Кардридеры и хабы Canyon",canyon,Хаб USB Canyon CNS-TDS05B,,1199,1,https://comfy.ua/hab-usb-canyon-cns-tds05b.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
783324856,6434537,SENCOR,Выпрямитель SENCOR SHI 110BK,399,1738159,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Sencor,sencor,Вирівнювач волосся Sencor SHI110BK,,399,1,https://comfy.ua/vyprjamitel-volos-sencor-shi110bk.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
783324857,6707796,PRIME TECHNICS,Выпрямитель PRIME TECHNICS PHS 261 CB,459,1738155,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Prime Technics,prime-technics,Вирівнювач волосся Prime Technics PHS 261 CB,,459,1,https://comfy.ua/vyprjamitel-volos-prime-technics-phs-261-cb.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
783326639,,,,,1732069,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",msi,Миша дротова ігрова MSI Clutch GM41,,1999,1,https://comfy.ua/catalog/product/view/id/1882833,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
