751853342,,,,,1661127,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Cablexpert",cablexpert,Перехідник Cablexpert USB Type-C - HDMI (A-CM-HDMIF-02-SG),,549,1,https://comfy.ua/perehodnik-cablexpert-usb-type-c-hdmi-a-cm-hdmif-02-sg.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,1
751853344,,,,,1661128,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Перехідник Cablexpert USB Type-C - HDMI (A-CM-HDMIF-02-SV),,549,1,https://comfy.ua/perehodnik-cablexpert-usb-type-c-hdmi-a-cm-hdmif-02-sv.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,1
751855469,6678518,VERICO,Мобильный телефон VERICO Classic A183 Red,659,1700611,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Verico,verico,Мобільний телефон Verico Classic A183 Red,,659,1,https://comfy.ua/mobil-nyj-telefon-verico-classic-a183-red.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
751855471,6678519,VERICO,Мобильный телефон VERICO Classic A183 Yellow,599,1700613,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Verico,verico,Мобільний телефон Verico Classic A183 Yellow,,599,1,https://comfy.ua/mobil-nyj-telefon-verico-classic-a183-yellow.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
751855472,6678516,VERICO,Мобильный телефон VERICO Classic A183 Black,659,1700610,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Verico,verico,Мобільний телефон Verico Classic A183 Black,,659,1,https://comfy.ua/mobil-nyj-telefon-verico-classic-a183-black.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
751864901,,,,,.1694807,Смарт-часы и гаджеты >> Аксессуары,xoko,"Ремінець для смарт-годинника XOKO Apple Watch 38/40 Series 1,2,3 Yellow (XK-AW-NB-Yellow38)",,49,1,https://comfy.ua/remeshok-dlja-smart-chasov-xoko-apple-watch-38-40-series-1-2-3-yellow-xk-aw-nb-yellow38.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
751865118,,,,,.1693372,Смарт-часы и гаджеты >> Аксессуары,xoko,Ремінець для фітнес-браслету XOKO Xiaomi Mi Smart Band 5 Green (XK-SL5-GRN),,69,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-xoko-xiaomi-mi-smart-band-5-green-xk-sl5-grn.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
751865138,,,,,1167548,Детские товары >> Творчество и развитие >> 3D-творчество >> 3D-творчество 3Doodler,3doodler,3D-стрижні 3Doodler 24 шт. (3DS-ECO03-RED-24),,295,1,https://comfy.ua/3d-sterzhni-3doodler-24-sht-3ds-eco03-red-24.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
751874154,,,,,.1694735,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для електронної книги BeCover Slimbook for Pocketbook 627 Touch Lux4 Black (703730),,399,1,https://comfy.ua/chehol-dlja-jelektronnoj-knigi-becover-slimbook-for-pocketbook-627-touch-lux4-black-703730.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
751878450,,,,,.1700636,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",fanvil,IP-телефон Fanvil H2U,,2599,1,https://comfy.ua/ip-telefon-fanvil-h2u.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
751879752,,,,,.1701164,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",fanvil,IP-телефон Fanvil X5U,,5699,1,https://comfy.ua/ip-telefon-fanvil-x5u.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
751889180,,,,,.1701160,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",fanvil,IP-телефон Fanvil X210,,10999,1,https://comfy.ua/ip-telefon-fanvil-x210.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
751922563,,,,,.1679012,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME B450M-K II,,2669,1,https://comfy.ua/materinskaja-plata-asus-prime-b450m-k-ii.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
752005452,,,,,.1695560,Техника для кухни >> Мелкая техника,tescoma,Кришка від бризок tescoma 705050 Purity MicroWave,,599,1,https://comfy.ua/kryshka-dlja-emkosti-tescoma-705050-purity-microwave.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
752005615,,,,,1683524,Посуда >> Для сервировки,wmf,Набір дитячий WMF 1286049964 LION KING 6 пр.,,2999,1,https://comfy.ua/nabor-detskij-wmf-1286049964-lion-king-6-pr.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
752007181,,,,,1692723,Посуда >> Кухонные аксессуары,tescoma,Підставка для паперових рушників tescoma 639080 President,,1899,1,https://comfy.ua/podstavka-dlja-bumazhnyh-polotenec-tescoma-639080-president.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
752007184,,,,,1684411,Посуда >> Кухонные аксессуары,wmf,Підставка для паперових рушників WMF 659806030 DEPOT 32 см,,1414,1,https://comfy.ua/podstavka-dlja-bumazhnyh-polotenec-wmf-659806030-depot-32-sm.html,2299,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
752008391,,,,,1683509,Посуда >> Для сервировки,wmf,Набір столових приборів WMF 1280026040 SAFARI4 ін.,,899,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1280026040-safari4-pr.html,1199,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
752008392,,,,,1683513,Посуда >> Для сервировки,wmf,Набір столових приборів WMF 1282406040 PRINCESS 4 пр.,,2299,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1282406040-princess-4-pr.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
752008393,,,,,1683519,Посуда >> Для сервировки,wmf,Набір дитячий WMF 1280029964 SAFARI 6 пр.,,2299,1,https://comfy.ua/nabor-detskij-wmf-1280029964-safari-6-pr.html,2999,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
752008395,,,,,1684007,Посуда >> Для сервировки,wmf,Набір дитячий WMF 1286059964 UNICORN 6 пр.,,2599,1,https://comfy.ua/nabor-detskij-wmf-1286059964-unicorn-6-pr.html,3499,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
752008397,,,,,1684037,Посуда >> Для сервировки,wmf,Набір дитячий WMF 1294059964 THE LITTLE PRINCE 6 пр.,,2599,1,https://comfy.ua/nabor-detskij-wmf-1294059964-the-little-prince-6-pr.html,3499,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
752008421,,,,,1696069,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Tescoma,tescoma,Дозатор для мила tescoma 900614 Clean Kit 350 мл,,699,1,https://comfy.ua/dozator-dlja-myla-tescoma-900614-clean-kit-350-ml.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
752008639,,,,,1696071,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Tescoma,tescoma,Дозатор для мила tescoma 900812 Online 350 мл,,999,1,https://comfy.ua/dozator-dlja-myla-tescoma-900812-online-350-ml.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
752008916,,,,,1684437,Посуда >> Кухонные аксессуары,wmf,Штопор WMF 658136030 CLEVER & MORE,,999,1,https://comfy.ua/shtopor-wmf-658136030-clever-more.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
752008917,,,,,1684429,Посуда >> Кухонные аксессуары,wmf,"Штопор WMF 658277920 VINO 11,5 см",,2199,1,https://comfy.ua/shtopor-wmf-658277920-vino-11-5-sm.html,2799,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
752009163,6664040,WIZ,Светодиодная лента WIZ Strip Colors &Tunable Whites Extension 1m (9290025321),359,1692667,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники WiZ",wiz,Світлодіодна стрічка WiZ LED Strip Colors & Tunable Whites Extension 1m (9290025321),,186,1,https://comfy.ua/svetodiodnaja-lenta-wiz-led-strip-colors-tunable-whites-extension-1m-9290025321.html,399,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
752009716,,,,,1703046,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer X-807 Leather Black (P-02),,23999,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-x-807-leather-black-p-02.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
752018029,,,,,.1682193,Посуда >> Для приготовления,wmf,Сотейник WMF 718796021 MINI 18 см,,1399,1,https://comfy.ua/sotejnik-wmf-718796021-mini-18-sm.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
