819832821,6698964,fsp,_fsp_ifp1500_ppf9003105,8126,1791849,________________fsp,fsp,___fsp_ifp1500_ppf9003105,column,7350,1,httpscomfyuaistochnikbesperebojnogopitanijafspifp1500ppf9003105html,column,05112025_1743,column,__42,Фастів,0
819997228,,,,,1791913,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Гарнитуры >> Гарнитуры Cougar",cougar,Гарнітура дротова ігрова Cougar HX330,,1729,1,https://comfy.ua/garnitura-provodnaja-igrovaja-cougar-hx330.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
820200251,,,,,1789589,Техника для кухни >> Крупная техника,liberty,Плита електрична Liberty PWE 5105 F,,9599,1,https://comfy.ua/catalog/product/view/id/2311023,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
820200252,,,,,1789590,Техника для кухни >> Крупная техника,liberty,Плита газова Liberty PWE 6115 CSL-F,,14509,1,https://comfy.ua/catalog/product/view/id/2310213,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
820203856,,,,,1791831,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Адаптеры Wi-Fi >> Адаптеры Wi-Fi Asus",asus,USB-адаптер мережі WiFi Asus USB-AC58,,1079,1,https://comfy.ua/usb-adapter-seti-wifi-asus-usb-ac58.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
820205483,6690718,SONY,Геймпад SONY PlayStation 5 Dualsense Black (9827696),3399,1788293,"Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам >> Геймпады, джойстики, рули >> Геймпады, джойстики, рули PlayStation",playstation,Геймпад PlayStation DualSense Midnight Black,,3399,1,https://comfy.ua/gejmpad-sony-dualsense-midnight-black.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
820205484,6690719,SONY,Геймпад SONY PS5 DualSense Cosmic Red (9828297),3599,1788292,"Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам >> Геймпады, джойстики, рули >> Геймпады, джойстики, рули PlayStation",playstation,Геймпад PlayStation DualSense Cosmic Red,,3599,1,https://comfy.ua/gejmpad-sony-dualsense-cosmic-red.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
820205565,,,,,1690819,"Аудио, фото и видео >> Акустика",jbl,Мікрофон вокальний провідний JBL PBM100 Black,,1599,1,https://comfy.ua/mikrofon-vokal-nyj-provodnoj-jbl-pbm100-black.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
820206821,,,,,1792064,"Дом, отдых и зоотовары >> Освещение",maxus,Лампочка світлодіодна Maxus A60 10W 4100K 220V E27 (2-LED-776) 2 шт.,,125,1,https://comfy.ua/lampochka-svetodiodnaja-maxus-a60-10w-4100k-220v-e27-2-led-776-2-sht.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
820206822,,,,,1792065,"Дом, отдых и зоотовары >> Освещение",maxus,Лампочка світлодіодна Maxus A60 12W 4100K 220V E27 (2-LED-778) 2 шт.,,160,1,https://comfy.ua/lampochka-svetodiodnaja-maxus-a60-12w-4100k-220v-e27-2-led-778-2-sht.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
820214403,,,,,1794819,Детские товары >> Детский транспорт >> Велосипеды >> Велосипеды Lionelo,lionelo,Триколісний велосипед Lionelo Haari Jeans,,5299,1,https://comfy.ua/trjohkoljosnyj-velosiped-lionelo-haari-jeans.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
820214429,,,,,1789817,Техника для кухни >> Мелкая техника,saturn,Електричний чайник Saturn ST-EK8436U Lt. green,,389,1,https://comfy.ua/jelektricheskij-chajnik-saturn-st-ek8436u-lt-green.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
820221916,,,,,1795901,Детские товары >> Кормление,eko-pups,Слинявчик ЕКО ПУПС -бандана Eсo Cotton р. 21х30. Зірки ментол (BEC-011),,139,1,https://comfy.ua/catalog/product/view/id/2313353,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
820226627,,,,,1795908,Детские товары >> Кормление,eko-pups,"Нагрудник тканинний ЕКО ПУПС з кишенею Eсo Cotton Premium р. 21х30 см. Зірочки, ментол (EPB-008)",,119,1,https://comfy.ua/catalog/product/view/id/2314043,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
820226629,,,,,1795905,Детские товары >> Кормление,eko-pups,Нагрудник тканинний ЕКО ПУПС з кишенею Eсo Cotton Premium р. 21х30 Бегемот (ЕРВ-005),,119,1,https://comfy.ua/catalog/product/view/id/2313883,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
820238091,6785211,HAMA,Погодная станция HAMA TH-130 Black,735,1791832,Техника для дома >> Климатическая техника >> Метеостанции >> Метеостанции Hama,hama,Метеостанція Hama TH-130 Black (00186361),,735,1,https://comfy.ua/meteostancija-hama-th-130-black-00186361.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
820238092,,,,,1792023,Техника для дома >> Климатическая техника,tescoma,Метеостанція tescoma з термометром Accura (634486),,869,1,https://comfy.ua/meteostancija-tescoma-s-termometrom-accura-634486.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
820261544,6891560,QUBE,Монитор QUBE Overlord C34UQ144,12939,.1781398,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",qube,Монітор ігровий QUBE Overlord C34UQ144,,7718,1,https://comfy.ua/monitor-igrovoj-qube-overlord-c34uq144.html,12499,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
820262232,6676983,AOC,"""Монитор AOC 31.5"""" U32P2""",17339,1775717,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы AOC",aoc,Монітор AOC U32P2 Black,,17429,1,https://comfy.ua/monitor-aoc-u32p2-black.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
820262802,,,,,1790266,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Жесткие диски и аксессуары >> Жесткие диски и аксессуары Western Digital",western-digital,"""Жорсткий диск внутрішній Western Digital Ultrastar DC HC550 18 TB 7200rpm 512MB 3.5"""" SATA III (WUH721818ALE6L4_0F38459)""",,20279,1,https://comfy.ua/zhestkij-disk-vnutrennij-western-digital-ultrastar-dc-hc550-18-tb-7200rpm-512mb-3-5-sata-iii-wuh721818ale6l4-0f38459.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
