1043518321,6792785,vimar,_vimar_vbm736_red,4099,1872073,__________vimar,vimar,_vimar_vbm736_red,column,4099,1,httpscomfyuahlebopechvimarvbm736redhtml,column,05112025_1938,column,__42,Фастів,0
1043824502,,,,,.1871045,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Supreme Icon 3D for Apple iPhone 12/12 Pro Black (ARM59213),,599,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-supreme-icon-3d-for-apple-iphone-12-12-pro-black-arm59213.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1043825783,,,,,.1860203,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon for Xiaomi Redmi Note 10 5G/Poco M3 Pro Black (ARM59304),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-xiaomi-redmi-note-10-5g-poco-m3-pro-black-arm59304.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1043829031,6636147,RINGEL,Набор чайных ложек RINGEL Scorpius 6 шт (RG-3115-6/4),240,1858339,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір чайних ложок Ringel Scorpius 6 шт. (RG-3115-6/4),,240,1,https://comfy.ua/nabor-chajnyh-lozhek-ringel-scorpius-6-sht-rg-3115-6-4.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1043829050,6636145,RINGEL,Набор столовых ложек Ringel Scorpius 6 предметов (RG-3115-6/2),209,1858337,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір ложок столових Ringel Scorpius 6 шт. (RG-3115-6/2),,310,1,https://comfy.ua/nabor-lozhek-stolovyh-ringel-scorpius-6-sht-rg-3115-6-2.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1043829052,6636148,RINGEL,Набор столовых ножей Ringel Scorpius 4 предмета (RG-3115-4/1),369,1858340,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір ножів столових Ringel Scorpius 4 шт. (RG-3115-4/1),,369,1,https://comfy.ua/nabor-nozhej-stolovyh-ringel-scorpius-4-sht-rg-3115-4-1.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1043829135,6636152,RINGEL,Набор столовых ножей Ringel Leo 4 предмета (RG-3114-4/1),405,1858345,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір ножів столових Ringel Leo 4 шт. (RG-3114-4/1),,405,1,https://comfy.ua/nabor-nozhej-stolovyh-ringel-leo-4-sht-rg-3114-4-1.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1043842381,7165803,SOLA,Вилка десертная SOLA Fleurie 15.6см (11FLEU404),106,.1635815,Посуда >> Для сервировки,sola,Виделка десертна Sola для торта 15.6 см 11FLEU404,,106,1,https://comfy.ua/vilka-desertnaja-sola-dlja-torta-15-6-sm-11fleu404.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1043856183,6295005,DEWALT,Набор сверл по металлу DEWALT HSS-R 10 шт (DT5911),385,1872439,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры DeWALT,dewalt,Набір свердел DeWALT HSS-R 10шт. (DT5911),,455,1,https://comfy.ua/nabor-sverl-dewalt-hss-r-10sht-dt5911.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
1043908276,6745394,GORENJE,Вытяжка GORENJE TH60E3X (HQ60AG1),5999,1866198,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Gorenje,gorenje,Витяжка вбудована Gorenje TH60E3X,,5999,1,https://comfy.ua/vytjazhka-vstraivaemaja-gorenje-th60e3x.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,1
1043908351,,,,,1858905,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,Маршрутизатор інтернет WiFi6 TP-Link Archer AX1500,,1999,1,https://comfy.ua/marshrutizator-internet-wifi6-tp-link-archer-ax1500.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1043911987,,,,,1872698,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель Digitus DB-340100-020-S,,345,1,https://comfy.ua/kabel-digitus-db-340100-020-s.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
1044199954,,,,,.1171228,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verico,Флеш USB Verico Wanderer 16 GB Red (1UDOV-M4GDG3-NN),,135,1,https://comfy.ua/flesh-usb-verico-wanderer-16-gb-red-1udov-m4gdg3-nn.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1044412744,6987331,BRABANTIA,Щипцы BRABANTIA Profile 29 см (250989),1214,1863297,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Brabantia,brabantia,Щипці кухонні Brabantia 29 см 250989,,1469,1,https://comfy.ua/schipcy-kuhonnye-brabantia-29-sm-250989.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1044947155,,,,,1754418,Бытовая химия >> Все для уборки,freken-bok,Засіб для чищення універсальний Фрекен Бок Лайм 0.5 л (4823071628951),,87,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-freken-bok-lajm-0-5-l-4823071628951.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1044951834,6792408,BORMIOLI ROCCO,Набор бокалов для шампанского Bormioli Rocco NADIA CAL CHAMPAGNE 205 мл 4 шт (126281GRB021990),553,1871804,Посуда >> Для сервировки >> Бокалы >> Бокалы Bormioli Rocco,bormioli-rocco,Набір келихів Bormioli Rocco Nadia Cal Champagne 4x205 мл (126281GRB021990),,553,1,https://comfy.ua/nabor-bokalov-bormioli-rocco-nadia-cal-champagne-4x205-ml-126281grb021990.html,1085,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1044951835,6768304,BORMIOLI ROCCO,Набор бокалов для шампанского Bormioli Rocco RISERVA CHAMPAGNE 205 мл 6 шт (126281GRC021990),553,1858177,Посуда >> Для сервировки >> Бокалы >> Бокалы Bormioli Rocco,bormioli-rocco,Набір келихів Bormioli Rocco Riserva Champagne 6x205 мл (126281GRC021990),,553,1,https://comfy.ua/nabor-bokalov-bormioli-rocco-riserva-champagne-6x205-ml-126281grc021990.html,1383,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1044956019,,,,,.1508367,Инструменты и автотовары >> Электроинструменты,powerplant,Акумулятор для електроінструментів PowerPlant MILWAUKEE 18V 7.5Ah Li-ion (м),,3999,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-powerplant-milwaukee-18v-7-5ah-li-ion-m.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
1045166029,7045336,STRATEG,Настольная игра STRATEG Кто я? укр (30961),199,1873480,Детские товары >> Игрушки,strateg,Настільна гра (12+) Strateg Хто ж я? (укр) (30961),,269,1,https://comfy.ua/catalog/product/view/id/3139393,,06.11.2025 1:19,,"вул. Соборна, 42",Фастів,0
1045655000,7045337,STRATEG,Настольная игра STRATEG Diversity (30869),199,1873465,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Diversity (укр) (30869),,245,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-strateg-diversity-ukr-30869.html,,06.11.2025 0:29,,"вул. Соборна, 42",Фастів,0
1045655324,,,,,1873483,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Крокозаврик (укр) (30969),,57,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-strateg-krokozavrik-ukr-30969.html,,06.11.2025 0:29,,"вул. Соборна, 42",Фастів,0
1045655409,,,,,.1873487,Детские товары >> Игрушки,strateg,Настільна гра (3-4 роки) Strateg Ляльковий театр Диво-Птахи (укр) (321),,185,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-8-strateg-kukol-nyj-teatr-chudo-pticy-ukr-321.html,,06.11.2025 0:43,,"вул. Соборна, 42",Фастів,0
1045655410,,,,,1867226,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы RoboRock,roborock,Робот-пилосос миючий RoboRock E5 Vacuum Cleaner White,,11049,1,https://comfy.ua/robot-pylesos-mojuschij-roborock-e5-vacuum-cleaner-white.html,12999,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1045655699,7057031,STRATEG,Настольная игра STRATEG Не тормози - сообрази! (30956),109,1873476,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Не гальмуй - метикуй! (укр) (30956),,135,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-12-strateg-ne-tormozi-soobrazhaj-ukr-30956.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1046217236,,,,,1875299,Детские товары >> Творчество и развитие,3doodler,3D-ручка 3Doodler Start Plus базовий набір Креатив 72 стрижня (SPLUS),,2655,1,https://comfy.ua/catalog/product/view/id/3143263,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1046316111,,,,,1873606,Детские товары >> Творчество и развитие,strateg,Ліплення з тіста Strateg Містер тісто 12 кольорів (укр) (71808),,109,1,https://comfy.ua/catalog/product/view/id/3143603,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1046826496,,,,,1873608,Детские товары >> Творчество и развитие >> Лепка >> Лепка Strateg,strateg,Ліплення з тіста Strateg Містер тісто 22 кольорів (укр) (71810),,159,1,https://comfy.ua/lepka-iz-testa-strateg-mister-testo-22-cvetov-ukr-71810.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1046830032,,,,,1873471,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (12+) Strateg Гострі язики (укр) (30951),,215,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-12-strateg-ostrye-jazyki-ukr-30951.html,,06.11.2025 0:14,,"вул. Соборна, 42",Фастів,0
1046830281,,,,,1873601,Детские товары >> Творчество и развитие,strateg,Ліплення з тіста Strateg Містер тісто 14 кольорів (укр) (71802),,115,1,https://comfy.ua/lepka-iz-testa-strateg-mister-testo-14-cvetov-ukr-71802.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1046830474,,,,,1873602,Детские товары >> Творчество и развитие >> Лепка >> Лепка Strateg,strateg,Ліплення з тіста Strateg Містер тісто 18 кольорів (укр) (71803),,139,1,https://comfy.ua/lepka-iz-testa-strateg-mister-testo-18-cvetov-ukr-71803.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1046830675,7045355,STRATEG,Настольная игра STRATEG Mr. Vamp укр (32060),299,1873485,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (12+) Strateg Mr. Vamp (укр) (32060),,359,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-12-strateg-mr-vamp-ukr-32060.html,,06.11.2025 0:09,,"вул. Соборна, 42",Фастів,0
1046830918,,,,,1873484,Детские товары >> Игрушки,strateg,Настільна гра (5-7 років) Strateg Ляльковий театр Диво-Тварини (укр) (320),,185,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-8-strateg-kukol-nyj-teatr-chudo-zhivotnye-ukr-320.html,,06.11.2025 0:34,,"вул. Соборна, 42",Фастів,0
1046831200,,,,,1873606,Детские товары >> Творчество и развитие >> Лепка >> Лепка Strateg,strateg,Ліплення з тіста Strateg Містер тісто 12 кольорів (укр) (71808),,109,1,https://comfy.ua/lepka-iz-testa-strateg-mister-testo-12-cvetov-ukr-71808.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
