1350665233,6636155,oscar,___oscar_grand_6__osr600046,255,2042384,__________oscar,oscar,___oscar_grand_6__osr600046,column,255,1,httpscomfyuanaborchajnyhlozhekoscargrand6shtosr600046html,column,05112025_2001,column,__42,Фастів,0
1350682997,,,,,.1990382,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A5750G.32.H2S2.3050.A3996),,39410,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a5750g-32-h2s2-3050-a3996.html,45299,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1350682999,,,,,.1990384,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A5750G.32.H1S5.3050.A3998),,39410,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a5750g-32-h1s5-3050-a3998.html,45299,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1350683001,,,,,.1990386,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A5750G.32.H2S5.3050.A4000),,39845,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a5750g-32-h2s5-3050-a4000.html,45799,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1350683003,,,,,.1990388,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A5750G.32.S5.3050.A4002),,36887,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a5750g-32-s5-3050-a4002.html,42399,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1350683005,,,,,.1990390,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A5750G.32.S10.3050.A4004),,37670,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a5750g-32-s10-3050-a4004.html,43299,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1350683007,,,,,.1990392,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A5750G.32.S20.3050.A4006),,40106,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a5750g-32-s20-3050-a4006.html,46099,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1350683009,,,,,.1990394,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A5750G.32.H1S2.3060.A4008),,42107,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a5750g-32-h1s2-3060-a4008.html,48399,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1350683011,,,,,.1990396,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A5750G.32.H2S2.3060.A4010),,42542,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a5750g-32-h2s2-3060-a4010.html,48899,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1350683014,,,,,.1990398,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A5750G.32.H1S5.3060.A4012),,42542,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a5750g-32-h1s5-3060-a4012.html,48899,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1350683016,,,,,.1990400,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A5750G.32.H2S5.3060.A4014),,43064,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a5750g-32-h2s5-3060-a4014.html,49499,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1350683018,,,,,.1990402,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A5750G.32.S5.3060.A4016),,40106,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a5750g-32-s5-3060-a4016.html,46099,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1350683020,,,,,.1990404,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A5750G.32.S10.3060.A4018),,40889,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a5750g-32-s10-3060-a4018.html,46999,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1350683022,,,,,.1990406,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A5750G.32.S20.3060.A4020),,43325,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a5750g-32-s20-3060-a4020.html,49799,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1350683035,,,,,.2023236,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.32.S5.26.F2971),,36713,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-32-s5-26-f2971.html,42199,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1350683037,,,,,.2023238,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.32.S20.36T.F3017),,46283,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-32-s20-36t-f3017.html,53199,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1350686092,,,,,.2023244,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.32.S10.36.F3001),,36191,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-32-s10-36-f3001.html,41599,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1350686093,,,,,.2023245,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.32.S10.26S.F2987),,32885,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-32-s10-26s-f2987.html,37799,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1350686097,,,,,.2023249,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.32.H2S5.36.F2997),,37061,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-32-h2s5-36-f2997.html,42599,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1350686098,,,,,2023250,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.32.H2S5.26S.F2983),,29175,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-32-h2s5-26s-f2983.html,35299,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1350686102,,,,,.2023254,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.32.H2S2.36.F2993),,36626,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-32-h2s2-36-f2993.html,42099,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1350686104,,,,,.2023256,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.32.H2S2.26.F2965),,38018,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-32-h2s2-26-f2965.html,43699,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1350686109,,,,,.2023260,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.32.H1S5.26S.F2981),,33755,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-32-h1s5-26s-f2981.html,38799,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1350686118,,,,,2023269,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.16.S5.36.F2998),,31902,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-16-s5-36-f2998.html,38599,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1350686128,,,,,.2023279,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.16.S10.36.F3000),,34799,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-16-s10-36-f3000.html,39999,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1350686130,,,,,.2023281,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.16.S10.26.F2972),,36191,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-16-s10-26-f2972.html,41599,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1350686134,,,,,.2023285,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.16.H2S5.26S.F2982),,33494,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-16-h2s5-26s-f2982.html,38499,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1350686291,,,,,.2023294,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.16.H1S5.36.F2994),,30449,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-16-h1s5-36-f2994.html,34999,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1350686298,,,,,.2023300,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (I14F.16.H1S2.26S.F2976),,31928,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-i14f-16-h1s2-26s-f2976.html,36699,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1350686305,,,,,.2023780,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.H1S5.26.F2855),,35495,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-h1s5-26-f2855.html,40799,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1350686309,,,,,.2023784,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.S5.26.F2859),,32972,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-s5-26-f2859.html,37899,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1350686311,,,,,2023786,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.S10.26.F2861),,34277,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-s10-26-f2861.html,39399,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1350686313,,,,,.2023788,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.S20.26.F2863),,36887,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-s20-26-f2863.html,42399,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1350686335,,,,,.2023804,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.H1S2.36.F2878),,32363,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-h1s2-36-f2878.html,37199,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1350686336,,,,,.2023805,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.H1S2.36.F2879),,33755,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-h1s2-36-f2879.html,38799,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1350686343,,,,,.2023811,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.H2S5.36.F2885),,34973,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-h2s5-36-f2885.html,40199,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1350686479,,,,,.2023922,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.H1S5.36T.F2896),,39149,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-h1s5-36t-f2896.html,44999,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1350686483,,,,,.2023926,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.S5.36T.F2900),,36626,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-s5-36t-f2900.html,42099,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1350686484,,,,,.2023927,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.S5.36T.F2901),,38018,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-s5-36t-f2901.html,43699,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1350714678,6807794,LOGITECH,Гарнитура LOGITECH G535 LIGHTSPEED Wireless Gaming Headset BLACK-2.4GHZ (981-000972),7799,2081032,"Аудио, фото и видео >> Наушники >> Наушники Logitech",logitech,Гарнітура бездротова ігрова Logitech G535 LightSpeed Wireless Gaming Headset Black (981-000972),,7799,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-logitech-g535-lightspeed-wireless-gaming-headset-black-981-000972.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
