754084647,column,column,column,column,1697490,____________battat,battat,__battat_____bx1227z,column,894,1,httpscomfyuainteraktivnyjkljuchbattatsuperkljuchikisvetzvuktomatnyjbx1227zhtml,column,05112025_2031,column,__42,Фастів,0
754255777,,,,,1713416,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bollire,bollire,Каструля Bollire BR-2304 Catania 24 см 5.5 л,,1349,1,https://comfy.ua/kastrjulja-bollire-br-2304-catania-24-sm-5-5-l.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
754255778,,,,,1713410,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bollire,bollire,Каструля Bollire BR-2102 Palermo 18 см 2.2 л,,1409,1,https://comfy.ua/kastrjulja-bollire-br-2102-palermo-18-sm-2-2-l.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
754255779,,,,,1713402,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bollire,bollire,Каструля Bollire BR-1102 Milano 20 см 2.4 л,,1448,1,https://comfy.ua/kastrjulja-bollire-br-1102-milano-20-sm-2-4-l.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
754255935,,,,,1713411,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bollire,bollire,Каструля Bollire BR-2103 Palermo 20 см 3.1 л,,1509,1,https://comfy.ua/kastrjulja-bollire-br-2103-palermo-20-sm-3-1-l.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
754255962,,,,,1713403,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bollire,bollire,Каструля Bollire BR-1103 Milano 24 см 4.3 л,,1849,1,https://comfy.ua/kastrjulja-bollire-br-1103-milano-24-sm-4-3-l.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
754258765,,,,,1713412,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bollire,bollire,Каструля Bollire BR-2104 Palermo 24 см 5.2 л,,1815,1,https://comfy.ua/kastrjulja-bollire-br-2104-palermo-24-sm-5-2-l.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
754258823,,,,,1713409,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Bollire,bollire,Ківш Bollire BR-2101 Palermo 16 см 1.6 л,,1209,1,https://comfy.ua/kovsh-bollire-br-2101-palermo-16-sm-1-6-l.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
754260456,,,,,1698237,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Screechers Wild!,screechers-wild,Машинка-трансформер Screechers Wild! L 2 - ТИ-РЕККЕР (EU683121),,945,1,https://comfy.ua/mashinka-transformer-screechers-wild-l-2-ti-rekker-eu683121.html,,05.11.2025 23:52,,"вул. Соборна, 42",Фастів,0
754260458,,,,,1698227,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Screechers Wild!,screechers-wild,Машинка-трансформер Screechers Wild! S2 L2 - Цербер (EU684302),,996,1,https://comfy.ua/mashinka-transformer-screechers-wild-s2-l2-cerber-eu684302.html,,05.11.2025 23:46,,"вул. Соборна, 42",Фастів,0
754260459,,,,,1698220,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Screechers Wild!,screechers-wild,Машинка-трансформер Screechers Wild! S2 L2 - Рояліс (EU684301),,996,1,https://comfy.ua/mashinka-transformer-screechers-wild-s2-l2-rojalis-eu684301.html,,05.11.2025 23:46,,"вул. Соборна, 42",Фастів,0
754260461,,,,,1698215,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Screechers Wild!,screechers-wild,Машинка-трансформер Screechers Wild! S2 L1 - Шаркоід (EU684204),,645,1,https://comfy.ua/mashinka-transformer-screechers-wild-s2-l1-sharkoid-eu684204.html,,06.11.2025 0:08,,"вул. Соборна, 42",Фастів,0
754269679,,,,,1695395,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Tescoma,tescoma,Набір ємностей для зберігання tescoma 891862 Purity 0.5 для заморозки 3 шт.,,849,1,https://comfy.ua/nabor-emkostej-dlja-hranenija-tescoma-891862-purity-0-5-dlja-zamorozki-3-sht.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
754269729,6660375,BABYLISS,Выпрямитель BABYLISS ST397E,3799,1688537,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Babyliss,babyliss,Вирівнювач волосся Babyliss ST397E,,3799,1,https://comfy.ua/vyprjamitel-volos-babyliss-st397e.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
754319416,,,,,1713693,Детские товары >> Игрушки,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Сім'я Котиков (6156Z),,799,1,https://comfy.ua/catalog/product/view/id/1745673,999,06.11.2025 1:35,,"вул. Соборна, 42",Фастів,0
754336879,,,,,1697335,Бытовая химия >> Для кухни и мытья посуды,delamark,Засіб для ручного миття посуду DeLaMark дитячої 500 мл,,147,1,https://comfy.ua/chistjaschee-sredstvo-dlja-myt-ja-posudy-delamark-detskoj-500-ml.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
754337329,,,,,1694779,Бытовая химия >> Все для уборки >> Средства для мытья окон >> Средства для мытья окон Sano,sano,Засіб для чищення скла Sano Clear Green 1л (7290102990603),,202,1,https://comfy.ua/chistjaschee-sredstvo-dlja-stekla-sano-clear-green-1l-7290102990603.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
754363281,,,,,1713693,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Сім'я Котиков (6156Z),,799,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-sem-ja-kotikov-6156z.html,999,06.11.2025 1:35,,"вул. Соборна, 42",Фастів,0
