1350762551,6626079,haisser,_haisser_23506_94646,257,2049418,____________haisser,haisser,__haisser_25__23506,column,329,1,httpscomfyuanozhstroitelnyjhaisser25mm23506html,column,05112025_2125,column,__42,Фастів,0
1350818731,,,,,.2032167,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME B660M-K D4,,4299,1,https://comfy.ua/materinskaja-plata-asus-prime-b660m-k-d4.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1350819772,,,,,2042032,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (I124F.16.S9.26.F4928),,34960,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-i124f-16-s9-26-f4928.html,42299,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1351199825,6842336,ROWENTA,Плойка ROWENTA CF321LF0,999,2052124,Красота и здоровье >> Уход за волосами >> Плойки и стайлеры >> Плойки и стайлеры Rowenta,rowenta,Плойка Rowenta CF321LF0,,999,1,https://comfy.ua/plojka-rowenta-cf321lf0.html,1199,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1351694573,6861610,ESPERANZA,Плитка ESPERANZA EKH010K,829,2082487,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Esperanza,esperanza,Плита електрична настільна Esperanza EKH010K,,829,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-esperanza-ekh010k.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1351821484,6757552,HANSA,Варочная поверхность HANSA BHI68369,11049,2057128,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Hansa,hansa,Варильна поверхня електрична Hansa BHI68369,,11049,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-hansa-bhi68369.html,12549,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1351850687,6809571,GORENJE,Встраиваемая микроволновая печь GORENJE BMI 201 AG1X (XY820Z),10999,2069715,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Gorenje,gorenje,Мікрохвильова піч (НВЧ) вбудовувана Gorenje BMI201AG1X,,10999,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-gorenje-bmi201ag1x.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1351850697,6809570,GORENJE,Встраиваемая микроволновая печь GORENJE BM 251 SG2BG (XY925Z),12599,2069714,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Gorenje,gorenje,Мікрохвильова піч (НВЧ) вбудовувана Gorenje BM251SG2BG,,10999,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-gorenje-bm251sg2bg.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1352303086,6872745,HANSA,Встраиваемая посудомоечная машина HANSA ZIM 634.1 B,22999,2057115,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Hansa,hansa,Посудомийна машина вбудована Hansa ZIM634.1B,,22999,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-hansa-zim634-1b.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1352664853,6858716,SAMDAN,Электропечь SAMDAN 2011 Grey,2925,2068670,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Samdan,samdan,Піч електрична Samdan 2011 Grey,,2925,1,https://comfy.ua/pech-jelektricheskaja-samdan-2011-grey.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1352707276,,,,,.2082178,"Дом, отдых и зоотовары >> Текстиль",eko-pups,Наматрацник дитячий ЕКО ПУПС непромокальний Classic розмір 60х120 см Зелений (КНАМ12060з),,425,1,https://comfy.ua/namatrasnik-detskij-jeko-pups-nepromokaemyj-classic-razmer-60h120-sm-zelenyj-knam12060z.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
