1314496130,column,column,column,column,1830485,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,_usb_type_a__usb_type_b_ugreen_us135_usba_20__usbb_20_15_m_black_10350,column,189,1,httpscomfyuakabelusbtypeausbtypebugreenus135usba20usbb2015mblack10350html,column,05112025_1756,column,__42,Фастів,0
1314937764,6829390,ELICA,Вытяжка ELICA LANE B IX/A/52,12870,1974330,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Elica,elica,Витяжка вбудована Elica LANE B IX/A/52,,12699,1,https://comfy.ua/vytjazhka-vstraivaemaja-elica-lane-b-ix-a-52.html,13999,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1314949077,6934702,FABER,Вытяжка FABER Daisy + Wh A80 (330.0612.371),13639,1881221,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Faber,faber,Витяжка декоративна Faber DAISY + WH A80,,13299,1,https://comfy.ua/vytjazhka-dekorativnaja-faber-daisy-wh-a80.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1316294334,7060152,OXO,Лопатка OXO 34 см (1190400),355,2004531,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности OXO,oxo,Лопатка кухонна OXO 34 см 1190400,,545,1,https://comfy.ua/lopatka-kuhonnaja-oxo-34-sm-1190400.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1316294348,7060374,OXO,Лопатка OXO 32 см (1071534),765,2004539,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности OXO,oxo,Лопатка кухонна OXO 32 см 1071534,,765,1,https://comfy.ua/lopatka-kuhonnaja-oxo-32-sm-1071534.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1316294350,7060373,OXO,Лопатка OXO 30см (1071532),765,2004537,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности OXO,oxo,Лопатка кухонна OXO 34.4 см 1071532,,765,1,https://comfy.ua/lopatka-kuhonnaja-oxo-34-4-sm-1071532.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1316294353,,,,,2004538,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности OXO,oxo,Лопатка кухонна OXO 1071533,,825,1,https://comfy.ua/lopatka-kuhonnaja-oxo-1071533.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1318037823,6794285,DEFENDER,Гарнитура DEFENDER X-Skull Black/Grey 2.1 м (64585),605,1999970,"Аудио, фото и видео >> Наушники >> Наушники Defender",defender,Гарнітура дротова ігрова Defender X-Skull Black/Gray 2.1 м (64585),,605,1,https://comfy.ua/garnitura-provodnaja-igrovaja-defender-x-skull-black-gray-2-1-m-64585.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1318047926,,,,,2010233,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ubiquiti,Коммутатор локальної мережі (Switch) Ubiquiti USW-PRO-48-POE,,55329,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-ubiquiti-usw-pro-48-poe.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1318090311,,,,,2004525,Посуда >> Кухонные аксессуары,oxo,Ложка кухарська OXO 1191300,,545,1,https://comfy.ua/lozhka-povarskaja-oxo-1191300.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1318090312,7060153,OXO,Ложка кухонная OXO 38см (1190600),325,2004524,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности OXO,oxo,Ложка кухарська OXO 1190600,,545,1,https://comfy.ua/lozhka-povarskaja-oxo-1190600.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1318103815,6799360,ASUS,Монитор ASUS ROG Strix XG349C (90LM06V0-B01A70),50899,1984439,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Asus",asus,Монітор ігровий Asus XG349C (90LM06V0-B01A70),,50899,1,https://comfy.ua/monitor-igrovoj-asus-xg349c-90lm06v0-b01a70.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1318170008,,,,,2000438,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Точка доступу TP-Link EAP245(5-pack),,18899,1,https://comfy.ua/tochka-dostupa-tp-link-eap245-5-pack.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1318177282,,,,,.2001877,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",sharp,"Картридж для лазерних принтерів/БФП Sharp BP20M22, BP20M24, BP20M28, B P20M31 BPGT200 (BPGT200)",,3399,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-sharp-bp20m22-bp20m24-bp20m28-b-p20m31-bpgt200-bpgt200.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1318182732,6850395,UGREEN,Автодержатель Ugreen LP120 Air Vent Phone Holder Black (UGR-10422),250,1989985,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели UGREEN,ugreen,Автотримач UGREEN LP120 Gray (10422),,249,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-lp120-gray-10422.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1318182747,,,,,1989981,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели UGREEN,ugreen,Автотримач UGREEN LP228 Air Vent Car Mount Phone Holder Black (80539),,399,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-lp228-air-vent-car-mount-phone-holder-black-80539.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1318182748,6769258,UGREEN,Подставка для смартфона UGREEN LP247 Multi-Angle Phone Stand Height Adjustable Black (UGR-80903),252,2000926,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Підставка для мобільного пристрою UGREEN UGR-80903,,299,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-ugr-80903.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1318182749,,,,,.1998546,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Автотримач UGREEN LP130 Gravity Drive Air Vent Mount Phone Holder Black (40907),,399,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-lp130-gravity-drive-air-vent-mount-phone-holder-black-40907.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1318182750,,,,,1989983,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели UGREEN,ugreen,Автотримач UGREEN LP130 Gray (50564U),,449,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-lp130-gray-50564u.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1318182751,,,,,.2002024,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Підставка для мобільного пристрою UGREEN LP263 (50324),,705,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-lp263-50324.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1318182752,,,,,1989982,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Тримач для мобільного пристрою UGREEN LP142 Black (50394),,1019,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-lp142-black-50394.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1318182753,,,,,.2000927,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Автотримач UGREEN UGR-60990B,,649,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-ugr-60990b.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1318438211,,,,,2000441,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",tp-link,Адаптер мережі Bluetooth USB TP-Link UB5A,,299,1,https://comfy.ua/usb-adapter-seti-wifi-tp-link-ub5a.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1318583440,,,,,1983595,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Noblechairs",noblechairs,Крісло для геймерів Noblechairs Icon TX Anthracite (NBL-ICN-TX-ATC),,19999,1,https://comfy.ua/kreslo-dlja-gejmerov-noblechairs-icon-tx-anthracite-nbl-icn-tx-atc.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1318822194,6718037,DEFENDER,Гарнитура DEFENDER FreeMotion B552 Black Bluetooth ((63552)),549,1999975,"Аудио, фото и видео >> Наушники >> Наушники Defender",defender,Навушники накладні бездротові Defender FreeMotion B552 Bluetooth Black (63552),,539,1,https://comfy.ua/naushniki-nakladnye-besprovodnye-defender-freemotion-b552-bluetooth-black-63552.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1318863370,6823148,TP-LINK,Bluetooth-адаптер TP-LINK UB500,299,2001021,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Адаптеры Bluetooth >> Адаптеры Bluetooth TP-Link",tp-link,Адаптер мережі Bluetooth USB TP-Link UB500,,299,1,https://comfy.ua/adapter-seti-bluetooth-usb-tp-link-ub500.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1318863371,,,,,2001019,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Адаптеры Powerline >> Адаптеры Powerline TP-Link",tp-link,Powerline-адаптер TP-Link TL-PA7017KIT,,2299,1,https://comfy.ua/powerline-adapter-tp-link-tl-pa7017kit.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1318864096,6803290,KINGSTON,SSD накопитель KINGSTON 4TB KC3000 M.2 2280 (SKC3000D/4096G),19138,1885858,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Kingston",kingston,SSD-накопичувач внутрішній Kingston KC3000 4096GB M.2 2280 PCIe 4.0 x4 NVMe 3D TLC (SKC3000D/4096G),,16919,1,https://comfy.ua/ssd-nakopitel-vnutrennij-kingston-kc3000-4096gb-m-2-2280-pcie-4-0-x4-nvme-3d-tlc-skc3000d-4096g.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1318883803,,,,,1987948,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши A4tech",a4tech,Килимок для миші A4tech FP20 Silver,,169,1,https://comfy.ua/kovrik-dlja-myshi-a4tech-fp20-silver.html,,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
1319096728,,,,,1985017,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Promate",promate,Хаб USB Promate Litehub-4 Black,,499,1,https://comfy.ua/hab-usb-promate-litehub-4-black.html,699,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1319096730,,,,,1999938,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Cablexpert",cablexpert,Перехідник Cablexpert USB-C - HDMI/VGA (A-USB3C-HDMIVGA-01),,499,1,https://comfy.ua/perehodnik-cablexpert-usb-c-hdmi-vga-a-usb3c-hdmivga-01.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
