757993485,column,column,column,column,1716836,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,__xilence_xpf120rpwm_xf042__blackred,column,239,1,httpscomfyuakorpusnyjventiljatorxilenceventiljatorxilencexpf120rpwmxf042120h120h25mm4pinblackredhtml,column,05112025_1921,column,__42,Фастів,0
758162685,,,,,.1720008,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для планшету BeCover Smart Case for Huawei MatePad T8 8 Black (705074),,199,1,https://comfy.ua/chehol-dlja-plansheta-becover-smart-case-for-huawei-matepad-t8-8-black-705074.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
758162711,6735084,STARK,Угловая шлифмашина Stark AG 960 Profi (130045030),1489,1720215,Инструменты и автотовары >> Электроинструменты >> Болгарки и штроборезы >> Болгарки и штроборезы Stark,stark,Болгарка Stark AG 960 (130045030),,1489,1,https://comfy.ua/bolgarka-stark-ag-960-130045030.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
758162716,6610919,TRAMONTINA,Набор ножей TRAMONTINA Multicolor 12.7 см Blue 2 пр (23500/215),163,1709454,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для м'яса Tramontina Multicolor набор 127 мм 2 шт. (23500/215),,220,1,https://comfy.ua/nozh-dlja-mjasa-tramontina-multicolor-nabor-127-mm-2-sht-23500-215.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
758164759,,,,,.1718737,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,"""Чохол для планшета",,,,,,,,,,
"BeCover Smart Case for Huawei MatePad T10s Green (705401)""",,349,1,https://comfy.ua/chehol-dlja-plansheta-becover-smart-case-for-huawei-matepad-t10s-green-705401.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0,,,,,,,,
758166665,,,,,1700267,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 428254 GrandChef для тесту,,339,1,https://comfy.ua/nozh-kuhonnyj-tescoma-428254-grandchef-dlja-testa.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
758166666,,,,,1696091,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 630021 Delicia для тіста,,314,1,https://comfy.ua/nozh-kuhonnyj-tescoma-630021-delicia-dlja-testa.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
758166678,6807173,FIRST,Кофеварка FIRST FA-5453-4,709,1714979,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные First,first,Кавоварка крапельна First 5453-4 (FA-5453-4),,729,1,https://comfy.ua/kofevarka-kapel-naja-first-5453-4-fa-5453-4.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
758166737,,,,,.1698425,Смартфоны и телефоны >> Аксессуары для смартфонов,intaleo,Автотримач Intaleo CM03GG Silver (1283126495564),,399,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-intaleo-cm03gg-silver-1283126495564.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
758169645,,,,,1694599,Посуда >> Нарезка и измельчение,berghoff,Ніж кухаря Berghoff 3950041 LEO 14 см,,399,1,https://comfy.ua/nozh-povara-berghoff-3950041-leo-14-sm.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
758169738,,,,,.1715580,Посуда >> Нарезка и измельчение,elleci,Дошка обробна Elleci ATH020QU,,3999,1,https://comfy.ua/doska-razdelochnaja-elleci-ath020qu.html,4999,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
758169739,,,,,.1715579,Посуда >> Нарезка и измельчение,elleci,Дошка обробна Elleci ATH073QU,,3999,1,https://comfy.ua/doska-razdelochnaja-elleci-ath073qu.html,4799,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
758169740,,,,,.1715578,Посуда >> Нарезка и измельчение,elleci,Дошка обробна Elleci ATH020OL,,3999,1,https://comfy.ua/doska-razdelochnaja-elleci-ath020ol.html,4999,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
758169753,,,,,.1715577,Посуда >> Нарезка и измельчение,elleci,Дошка обробна Elleci ATH073OL,,3999,1,https://comfy.ua/doska-razdelochnaja-elleci-ath073ol.html,4799,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
758169770,6365843,FORTE,Точильный станок FORTE СТЗ-106,2149,1721001,Инструменты и автотовары >> Электроинструменты >> Станки для заточки >> Станки для заточки Forte2,forte2,Станок Forte СТЗ-106,,2545,1,https://comfy.ua/stanok-forte-stz-106.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
758169834,,,,,.1695410,Посуда >> Нарезка и измельчение,tescoma,Ніж кухаря tescoma 880530 Home Profi 20 см,,799,1,https://comfy.ua/nozh-povara-tescoma-880530-home-profi-20-sm.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
758169871,,,,,1694597,Посуда >> Нарезка и измельчение,berghoff,Ніж для піци Berghoff 3950025 LEO,,909,1,https://comfy.ua/nozh-dlja-piccy-berghoff-3950025-leo.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
758170404,,,,,1725320,Техника для дома >> Климатическая техника,grunhelm,Теплова гармата Grunhelm РТС-3000R,,1493,1,https://comfy.ua/teplovaja-pushka-grunhelm-rts-3000r.html,2045,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
758171492,6591637,TRAMONTINA,Нож для овощей TRAMONTINA Prochef 10.2 см (24160/004),1044,1724653,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж кухонний Tramontina Prochef 102 мм (24160/004),,1169,1,https://comfy.ua/nozh-kuhonnyj-tramontina-prochef-102-mm-24160-004.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
758171538,6591641,TRAMONTINA,Нож универсальный TRAMONTINA ProChef 12.7 см (24153/005),1165,1724654,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж кухонний Tramontina Prochef 127 мм (24153/005),,1279,1,https://comfy.ua/nozh-kuhonnyj-tramontina-prochef-127-mm-24153-005.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
758171608,,,,,1700266,Посуда >> Нарезка и измельчение,tescoma,Набір ножів tescoma 422010 Presto Carving для фігурної нарізки,,1499,1,https://comfy.ua/nabor-nozhej-tescoma-422010-presto-carving-dlja-figurnoj-narezki.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
758175136,6591640,TRAMONTINA,Нож сантоку TRAMONTINA Prochef 17.8 см (24170/007),2114,1724651,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж сантоку Tramontina Prochef 178 мм (24170/007),,2399,1,https://comfy.ua/nozh-santoku-tramontina-prochef-178-mm-24170-007.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
758175885,6987449,WUESTHOF,Нож для овощей WUESTHOF Classic 9 см White (1040200409),3209,1718031,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж для овочів Wuesthof 9 см 1040200409,,3209,1,https://comfy.ua/nozh-dlja-ovoschej-wuesthof-9-sm-1040200409.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
758176263,6987452,WUESTHOF,Нож для стейков WUESTHOF Classic 12 см White (1040201712),4080,1718036,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухонний Wuesthof 12 см 1040201712,,4080,1,https://comfy.ua/nozh-kuhonnyj-wuesthof-12-sm-1040201712.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
758176264,6623142,VINZER,Набор ножей VINZER Iceberg 7 пр (50110),3555,1694913,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Vinzer,vinzer,Набір ножів Vinzer 50110 Iceberg 7 пр.,,3555,1,https://comfy.ua/nabor-nozhej-vinzer-50110-iceberg-7-pr.html,4444,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
758176368,6987451,WUESTHOF,Нож универсальный WUESTHOF Classic 14 см White (1040201614),4215,1718035,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухонний Wuesthof 14 см 1040201614,,4215,1,https://comfy.ua/nozh-kuhonnyj-wuesthof-14-sm-1040201614.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
758176370,6987450,WUESTHOF,Нож универсальный WUESTHOF Classic 16 см White (1040200716),5249,1718037,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухонний Wuesthof 16 см 1040200716,,5249,1,https://comfy.ua/nozh-kuhonnyj-wuesthof-16-sm-1040200716.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
758176467,6987447,WUESTHOF,Нож поварской WUESTHOF Classic 16 см White (1040200116),4760,1718033,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухаря Wuesthof 16 см 1040200116,,4760,1,https://comfy.ua/nozh-povara-wuesthof-16-sm-1040200116.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
758176471,6987448,WUESTHOF,Нож поварской WUESTHOF Classic 20 см White (1040200120),7739,1718034,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухаря Wuesthof 20 см 1040200120,,6361,1,https://comfy.ua/nozh-povara-wuesthof-20-sm-1040200120.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
