937507274,column,column,column,column,1803732,Бытовая химия >> Средства для чистки техники,electrolux,___electrolux_edc02,column,439,1,httpscomfyuakartridzhprotivnakipielectroluxedc02html,column,05112025_1916,column,__42,Фастів,0
937507394,,,,,1805578,Бытовая химия >> Все для уборки,sonett,"Спрей для дезінфекції поверхні Sonett Органический 0,5 л",,625,1,https://comfy.ua/catalog/product/view/id/2657083,781,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
937507396,6891495,ФРЕКЕН БОК,Насадка для швабры ФРЕКЕН БОК Classic (17910203),127,1749639,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Фрекен Бок,freken-bok,Змінна насадка на швабру Фрекен Бок Classic (4823071646054),,127,1,https://comfy.ua/smennaja-nasadka-na-shvabru-freken-bok-classic-4823071646054.html,149,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
937507397,6685389,ФРЕКЕН БОК,Насадка для швабры из микрофибры ФРЕКЕН БОК Magic (4823071646030),200,1749640,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Фрекен Бок,freken-bok,Змінна насадка на швабру Фрекен Бок Magic (4823071646030),,200,1,https://comfy.ua/smennaja-nasadka-na-shvabru-freken-bok-magic-4823071646030.html,235,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
937507406,,,,,1755147,Красота и здоровье >> Косметика для волос,kerasys,Бальзам для волосся Kerasys legance&Sensual 600 мл (8801046992746),,439,1,https://comfy.ua/bal-zam-dlja-volos-kerasys-legance-sensual-600-ml-8801046992746.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
937507412,,,,,1689785,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Tescoma,tescoma,Ємність для сипучих tescoma 896950 4Food 1.0 л,,449,1,https://comfy.ua/emkost-dlja-sypuchih-tescoma-896950-4food-1-0-l.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
937507430,,,,,.1697291,Бытовая химия >> Средства для стирки,lion,Пральний порошок Lion Beat 1 кг,,281,1,https://comfy.ua/stiral-nyj-poroshok-lion-beat-1-kg.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
937507435,,,,,1827064,Бытовая химия >> Средства для стирки,sodasan,Пральний порошок Sodasan Compact для кольорових і чорних речей з пом'якшувачем 1 кг (4019886050708),,596,1,https://comfy.ua/stiral-nyj-poroshok-sodasan-compact-dlja-cvetnyh-i-chernyh-veschej-so-smjagchitelem-1-kg-4019886050708.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
937507446,,,,,1809697,Красота и здоровье >> Уходовая косметика для лица,missha,Маска для обличчя Missha Airy Fit Лимон 19 г (8809581454736),,65,1,https://comfy.ua/maska-dlja-lica-missha-airy-fit-limon-19-g-8809581454736.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
937507460,,,,,1813084,Дом и отдых >> Текстиль >> Подушки >> Подушки Oromed,oromed,Подушка ортопедична Oromed Oro-Relax-Gel,,2615,1,https://comfy.ua/podushka-ortopedicheskaja-oromed-oro-relax-gel.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
937507465,7060586,BRABANTIA,Толкушка BRABANTIA 27см (250507),535,1828315,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Brabantia,brabantia,Толкушка Brabantia 27.2 см 250507,,629,1,https://comfy.ua/tolkushka-brabantia-27-2-sm-250507.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
937507466,,,,,1683789,Посуда >> Кухонные аксессуары,wmf,Толкушка WMF 610809990 GOURMET,,2299,1,https://comfy.ua/tolkushka-wmf-610809990-gourmet.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
937507502,,,,,1819786,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки Sodasan,sodasan,Гель для прання Sodasan Universal Bright&White 1.5 л (4019886015615),,634,1,https://comfy.ua/gel-dlja-stirki-sodasan-universal-bright-white-1-5-l-4019886015615.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
937507504,,,,,1803222,Бытовая химия >> Средства для стирки,sonett,"Гель для прання Sonett для цветных вещей 1,5 л (GB5040)",,579,1,https://comfy.ua/gel-dlja-stirki-sonett-dlja-cvetnyh-veschej-1-5-l-gb5040.html,836,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
937507505,,,,,1803221,Бытовая химия >> Средства для стирки,sonett,Гель для прання Sonett 2 л. (GB5018),,1062,1,https://comfy.ua/gel-dlja-stirki-sonett-2-l-gb5018.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
937507508,,,,,1803387,Бытовая химия >> Средства для стирки,sonett,Гель для прання Sonett Концентрат з ефірною олією лаванди 2 л (GB5010),,899,1,https://comfy.ua/gel-dlja-stirki-sonett-koncentrat-s-jefirnym-maslom-lavandy-2-l-gb5010.html,1062,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
937507514,,,,,1698423,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки Lion,lion,Гель для прання Lion Beat 3 л,,719,1,https://comfy.ua/gel-dlja-stirki-lion-beat-3-l.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
937507517,6564605,KELA,Коврик для сервировки KELA Nicoletta 45х33см White-Black (12037),239,1813184,"Дом, отдых и зоотовары >> Текстиль >> Кухонный текстиль >> Кухонный текстиль Kela",kela,Серветка для сервірування Kela Nicoletta 45х33 см White/Black (12037),,239,1,https://comfy.ua/salfetka-dlja-servirovki-kela-nicoletta-45h33-sm-white-black-12037.html,299,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
937507519,6711088,KELA,Коврик для сервировки KELA Nicoletta 45х33 см Brown (12046),259,1813186,"Дом, отдых и зоотовары >> Текстиль >> Кухонный текстиль >> Кухонный текстиль Kela",kela,Серветка для сервірування Kela Nicoletta 45х30 см Brown (12046),,259,1,https://comfy.ua/salfetka-dlja-servirovki-kela-nicoletta-45h30-sm-brown-12046.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
937507520,6711089,KELA,Коврик для сервировки KELA Nicoletta 45х33 см Blue (12041),199,1813187,"Дом, отдых и зоотовары >> Текстиль >> Кухонный текстиль >> Кухонный текстиль Kela",kela,Серветка для сервірування Kela Nicoletta 45х33 см Blue (12041),,199,1,https://comfy.ua/salfetka-dlja-servirovki-kela-nicoletta-45h33-sm-blue-12041.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
937507521,6711090,KELA,Коврик для сервировки KELA Nicoletta 45х33 см Red (12043),199,1813188,"Дом, отдых и зоотовары >> Текстиль >> Кухонный текстиль >> Кухонный текстиль Kela",kela,Серветка для сервірування Kela Nicoletta 45х33 см Red (12043),,199,1,https://comfy.ua/salfetka-dlja-servirovki-kela-nicoletta-45h33-sm-red-12043.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
937507547,,,,,1803243,"Красота и здоровье >> Уход за полостью рта >> Зубные пасты, гели и ополаскиватели >> Зубные пасты, гели и ополаскиватели Urtekram",urtekram,Зубна паста Urtekram Свежая мята 75 мл (83609),,289,1,https://comfy.ua/zubnaja-pasta-urtekram-svezhaja-mjata-75-ml-83609.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
937507556,7021830,OZONE,Освежитель воздуха OZONE Aqua Mist Океан и Тропический лес (4770416340514),109,1751596,Бытовая химия >> Все для уборки >> Освежители >> Освежители Ozone,ozone,Освіжувач повітря спрей Ozone Aqua Mist Океан и Тропический лес 300 мл (4770416340514),,109,1,https://comfy.ua/osvezhitel-vozduha-ajerozol-nyj-ozone-aqua-mist-okean-i-tropicheskij-les-300-ml-4770416340514.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
937507557,6874022,OZONE,Освежитель воздуха OZONE Aqua Mist Роза и Сандаловое дерево 300 мл (4770416340545),109,1751597,Бытовая химия >> Все для уборки >> Освежители >> Освежители Ozone,ozone,Освіжувач повітря спрей Ozone Aqua Mist Роза и Сандаловое дерево 300 мл (4770416340545),,109,1,https://comfy.ua/osvezhitel-vozduha-ajerozol-nyj-ozone-aqua-mist-roza-i-sandalovoe-derevo-300-ml-4770416340545.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
937507567,6987290,BRABANTIA,"""Пакеты для мусора BRABANTIA """"D"""" 20 шт (246760)""",329,1725381,Бытовая химия >> Для кухни и мытья посуды >> Пакеты для мусора >> Пакеты для мусора Brabantia,brabantia,"""Пакет для сміття Brabantia набір"""" D"""" 246760""",,329,1,https://comfy.ua/paket-musornyj-brabantia-nabor-d-246760.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
937507568,6987301,BRABANTIA,"""Пакеты для мусора BRABANTIA """"О"""" 30 л 20 шт (300349)""",359,1718047,Бытовая химия >> Для кухни и мытья посуды >> Пакеты для мусора >> Пакеты для мусора Brabantia,brabantia,Пакет для сміття Brabantia 300349,,359,1,https://comfy.ua/paket-musornyj-brabantia-300349.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
937507579,,,,,1807481,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки Lion,lion,Пральний порошок Lion Beat Drum 2.25 кг (8806325609339),,459,1,https://comfy.ua/stiral-nyj-poroshok-lion-beat-drum-2-25-kg-8806325609339.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
937507583,,,,,1827060,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки Sodasan,sodasan,Пральний порошок Sodasan Heavy Duty 1.01 кг (4019886050609),,596,1,https://comfy.ua/stiral-nyj-poroshok-sodasan-heavy-duty-1-01-kg-4019886050609.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
937507584,,,,,1827058,Бытовая химия >> Средства для стирки >> Средства для деликатной стирки >> Средства для деликатной стирки Sodasan,sodasan,Пральний порошок Sodasan Comfort Sensitiv 1 кг (4019886050807),,596,1,https://comfy.ua/stiral-nyj-poroshok-sodasan-comfort-sensitiv-1-kg-4019886050807.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
937507589,,,,,1827065,Бытовая химия >> Для кухни и мытья посуды,sodasan,Засіб для ручного миття посуду Sodasan органічне Лаванда-М'ята 500 мл (4019886020145),,234,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-sodasan-organicheskoe-lavanda-mjata-500-ml-4019886020145.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
937507590,6766280,SODASAN,Средство для мытья посуды SODASAN Лаванда-Мята 1 л (4019886020138),368,1827066,Бытовая химия >> Для кухни и мытья посуды >> Средства для мытья посуды >> Средства для мытья посуды Sodasan,sodasan,Засіб для ручного миття посуду Sodasan органічне Лаванда-М'ята 1 л (4019886020138),,382,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-sodasan-organicheskoe-lavanda-mjata-1-l-4019886020138.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
937507592,6881922,ZEWA,Туалетная бумага влажная Zewa Natural Camomile 42 шт (7322540796520),99,1740004,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Zewa,zewa,Вологий туалетний папір Zewa Natural Camomile 42 шт. (7322540796520),,99,1,https://comfy.ua/vlazhnaja-tualetnaja-bumaga-zewa-natural-camomile-42-sht-7322540796520.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
937507597,6704946,FRANKE,Мойка FRANKE Sirius 2.0 S2D 611-78 (143.0621.332),6029,1807221,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Franke",franke,Мийка кухонна Franke Sirius 2.0 S2D 611-78 (143.0621.332),,6029,1,https://comfy.ua/mojka-kuhonnaja-franke-sirius-2-0-s2d-611-78-143-0621-332.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
937507599,6895425,FRANKE,Мойка FRANKE Logica line LLL 611-79 (101.0381.809),6119,1825788,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Franke",franke,Мийка кухонна Franke Logica line LLL 611-79 Нержавіюча сталь (101.0381.809),,6119,1,https://comfy.ua/mojka-kuhonnaja-franke-logica-line-lll-611-79-nerzhavejuschaja-stal-101-0381-809.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
937507602,6711053,KELA,Ведро для мусора KELA Mats бежевое 5 л (23704),2199,1812786,Бытовая химия >> Для кухни и мытья посуды >> Мусорные баки и аксессуары >> Мусорные баки и аксессуары Kela,kela,Бак для сміття з педаллю Kela Mats 5 л Beige (23704),,2199,1,https://comfy.ua/bak-dlja-musora-s-pedal-ju-kela-mats-5-l-beige-23704.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
937507611,6711076,KELA,Банка KELA Bera 2.1 л 11х27 см (17867),299,1813206,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Bera 2.1 л 11x27 см (17867),,299,1,https://comfy.ua/emkost-dlja-sypuchih-kela-bera-2-1-l-11x27-sm-17867.html,529,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
937507630,6710406,MELICA ORGANIC,Жидкое мыло Melica Organic Оливы 500 мл (4770416340705),215,1752396,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Melica,melica,Рідке мило для рук Melica Organic Оливы (4770416340705),,215,1,https://comfy.ua/zhidkoe-mylo-dlja-ruk-melica-organic-olivy-4770416340705.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
937507631,6710404,MELICA ORGANIC,Жидкое мыло Melica Organic Алоэ вера 500 мл (4770416340699),215,1752395,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Melica,melica,Рідке мило для рук Melica Organic с алоэ (4770416340699),,215,1,https://comfy.ua/zhidkoe-mylo-dlja-ruk-melica-organic-s-aloje-4770416340699.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
937508177,7066091,GROHE,Смеситель GROHE Via Cosmo хром (30431000),6435,1778231,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Grohe",grohe,Кухонний змішувач Grohe Via Cosmo Ohm C Хром (30431000),,7009,1,https://comfy.ua/smesitel-kuhonnyj-grohe-via-cosmo-ohm-c-hrom-30431000.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
937508270,,,,,1810414,Красота и здоровье >> Уходовая косметика для лица,missha,Тонік для обличчя Missha Time Revolution Red Algae 40 мл (8809643527040),,1825,1,https://comfy.ua/tonik-dlja-lica-missha-time-revolution-red-algae-40-ml-8809643527040.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
937508429,,,,,1821691,Посуда >> Для сервировки,vittora,Набір дитячий 3 пр. Vittora VT-407H Мед,,351,1,https://comfy.ua/nabor-detskij-3-pr-vittora-vt-407h-med.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
937508430,,,,,1821688,Посуда >> Для сервировки,vittora,Набір дитячий 3 пр. Vittora VT-404D Динозаври,,351,1,https://comfy.ua/nabor-detskij-3-pr-vittora-vt-404d-dinozavry.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
937508431,,,,,1821690,Посуда >> Для сервировки,vittora,Набір дитячий 3 пр. Vittora VT-406LB Сонечко,,351,1,https://comfy.ua/nabor-detskij-3-pr-vittora-vt-406lb-solnyshko.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
937508432,,,,,1821689,Посуда >> Для сервировки,vittora,Набір дитячий 3 пр. Vittora VT-405I Комахи,,351,1,https://comfy.ua/nabor-detskij-3-pr-vittora-vt-405i-nasekomye.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
937508441,,,,,1803359,Бытовая химия >> Для кухни и мытья посуды >> Губки и щетки для мытья посуды >> Губки и щетки для мытья посуды Sonett,sonett,Губка для миття посуду целюлозна Sonett Эко 2 шт. (DE6050),,219,1,https://comfy.ua/gubka-dlja-myt-ja-posudy-celljuloznaja-sonett-jeko-2-sht-de6050.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
937508443,6801084,BREF,Туалетный блок Bref Блестящий гель Арктический океан 42 г (9000101508628),59,1827367,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Bref,bref,Туалетний блок Bref Блискучий гель Арктичний океан 42 г (9000101508628),,59,1,https://comfy.ua/tualetnyj-blok-bref-blestjaschij-gel-arkticheskij-okean-42-g-9000101508628.html,102,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
937508444,6766804,BREF,Туалетная блок BREF Блестящий гель Весенний дождь 42 г (9000101509182),65,1827368,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Bref,bref,Туалетний блок Bref Блискучий гель Весняний дощ 42 г (9000101509182),,64,1,https://comfy.ua/tualetnyj-blok-bref-blestjaschij-gel-vesennij-dozhd-42-g-9000101509182.html,102,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
