937518763,column,column,column,column,1821608,__________haisser,haisser,_haisser_50__22025,column,815,1,httpscomfyuaruletkahaisser50m22025html,column,05112025_2151,column,__42,Фастів,0
939097830,,,,,1830184,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",avermedia,Веб-камера для комп'ютера Avermedia Live Streamer CAM PW315 Full HD Black,,6099,1,https://comfy.ua/catalog/product/view/id/2670703,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
939097831,,,,,1830185,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",avermedia,Веб-камера для комп'ютера Avermedia Live Streamer CAM PW513 4K Black,,10145,1,https://comfy.ua/catalog/product/view/id/2670683,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
939098150,,,,,1817510,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Hoover,hoover,Фільтр до очищувача повітря Hoover U97,,2399,1,https://comfy.ua/nabor-fil-trov-dlja-pylesosa-hoover-u97.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
939098156,,,,,1827246,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Borgio,borgio,Витяжка вбудована Borgio Slim-Box (TR) 52 Inox,,3189,1,https://comfy.ua/vytjazhka-vstraivaemaja-borgio-slim-box-tr-52-inox.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
939099129,6717612,LOGITECH,Гарнитура Logitech G335 Wired Gaming White (981-001018),3999,1825629,"Аудио, фото и видео >> Наушники >> Наушники Logitech",logitech,Гарнітура дротова ігрова Logitech G335 White (981-001018),,3999,1,https://comfy.ua/garnitura-provodnaja-igrovaja-logitech-g335-white-981-001018.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
939099131,6717611,LOGITECH,Гарнитура LOGITECH G335 BLACK (981-000978),3999,1825627,"Аудио, фото и видео >> Наушники >> Наушники Logitech",logitech,Гарнітура дротова ігрова Logitech G335 Black (981-000978),,3999,1,https://comfy.ua/garnitura-provodnaja-igrovaja-logitech-g335-black-981-000978.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
939102809,6855499,METABO,Дрель ударная METABO SBE 650 (600742850),2599,1830958,Инструменты и автотовары >> Электроинструменты >> Дрели электрические >> Дрели электрические Metabo,metabo,Ударний дриль Metabo SBE 650 (600742850),,2599,1,https://comfy.ua/udarnaja-drel-metabo-sbe-650-600742850.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
939104877,,,,,1788483,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",dengos,Перехідник DENGOS OTG USB-USB-C Black (ADP-018),,139,1,https://comfy.ua/perehodnik-dengos-otg-usb-usb-c-black-adp-018.html,,05.11.2025 22:03,,"вул. Соборна, 42",Фастів,0
939109667,6708917,HANSA,Плита комбинированная HANSA FCMW59329,16399,1817415,Техника для кухни >> Крупная техника >> Плиты >> Плиты Hansa,hansa,Плита газова Hansa FCMW59329,,16399,1,https://comfy.ua/plita-gazovaja-hansa-fcmw59329.html,18199,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
939109678,6882399,GELIUS,Гарнитура Gelius Ultra Iron Wave GU-075 Black Red (00000075357),69,1830032,"Аудио, фото и видео >> Наушники >> Наушники Gelius",gelius,Навушники вкладиші дротові Gelius Ultra Iron Wave GU-075 Black,,69,1,https://comfy.ua/naushniki-vkladyshi-provodnye-gelius-ultra-iron-wave-gu-075-black.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
