1089423541,6945269,TOLSEN,Бур TOLSEN SDS-Plus 6х160 мм (75322),39,1884100,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Tolsen,tolsen,Бур Tolsen SDS-Plus 6х160 мм (75322),,49,1,https://comfy.ua/bur-tolsen-sds-plus-6h160-mm-75322.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
1089423543,7041130,TOLSEN,Бур TOLSEN SDS-Plus 6х210 мм (75342),54,1884059,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Tolsen,tolsen,Бур Tolsen SDS-Plus 6х210 мм (75342),,54,1,https://comfy.ua/bur-tolsen-sds-plus-6h210-mm-75342.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
1089423544,7041134,TOLSEN,Бур TOLSEN SDS-Plus 8х210 мм (75344),55,1884060,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Tolsen,tolsen,Бур Tolsen SDS-Plus 8х210 мм (75344),,69,1,https://comfy.ua/bur-tolsen-sds-plus-8h210-mm-75344.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
1089423545,7041135,TOLSEN,Бур TOLSEN SDS-Plus 8х260 мм (75364),72,1884061,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Tolsen,tolsen,Бур Tolsen SDS-Plus 8х260 мм (75364),,76,1,https://comfy.ua/bur-tolsen-sds-plus-8h260-mm-75364.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
1089427305,,,,,.1913161,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Материнська плата Gigabyte B550 Gaming X V2,,4399,1,https://comfy.ua/materinskaja-plata-gigabyte-b550-gaming-x-v2.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1089427805,,,,,.1917322,Детские товары >> Прогулки и поездки,maxi-cosi,Люлька для коляски Maxi-Cosi Oria Essential Graphit,,8400,1,https://comfy.ua/ljul-ka-dlja-koljaski-maxi-cosi-oria-essential-graphit.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1089427826,6775618,GRUNHELM,Электрочайник GRUNHELM EKG-2320,569,1900649,Техника для кухни >> Мелкая техника,grunhelm,Електричний чайник Grunhelm EKG-2320 Black,,649,1,https://comfy.ua/jelektricheskij-chajnik-grunhelm-ekg-2320-black.html,849,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,1
1089427845,6926803,LEDVANCE,"Ночник LEDVANCE NIGHTLUX TOUCH LED 2,5W Rabbit (4058075602113)",771,1915973,Детские товары >> Детская комната и безопасность >> Ночники и светильники детские >> Ночники и светильники детские Ledvance,ledvance,Нічник дитячий Ledvance NightLux Touch Rabbit LED 2.5W (4058075602113),,385,1,https://comfy.ua/nochnik-detskij-ledvance-nightlux-touch-rabbit-led-2-5w-4058075602113.html,769,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1089427859,6828167,ДОБРА ГОСПОДАРОЧКА,Губка для купания ДОБРА ГОСПОДАРОЧКА Котик 120 х 95 х 40 мм (4820086521536),22,1882033,"Детские товары >> Уход, купание и гигиена >> Принадлежности для купания >> Принадлежности для купания Добра господарочка",dobra-gospodarochka,Дитяча мочалка Добра господарочка Котик 120 х 95 х 40 мм (4820086521536),,24,1,https://comfy.ua/detskaja-mochalka-dobra-gospodarochka-kotik-120-h-95-h-40-mm-4820086521536.html,34,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1089427885,6792812,VIMAR,Блендер VIMAR VBS 4777M,1399,1912007,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Vimar,vimar,Блендер заглибний Vimar VBS 4777M,,1399,1,https://comfy.ua/blender-pogruzhnoj-vimar-vbs-4777m.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1089428458,7041058,TOLSEN,Болторез TOLSEN Профи 600 мм (10062),1135,1884655,Инструменты и автотовары >> Ручные инструменты >> Ножницы по металлу >> Ножницы по металлу Tolsen,tolsen,Ножиці арматурні Tolsen Профі 600 мм (10062),,1135,1,https://comfy.ua/nozhnicy-armaturnye-tolsen-profi-600-mm-10062.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
1089428460,7041061,TOLSEN,Болторез TOLSEN Профи 900 мм (10064),1849,1885199,Инструменты и автотовары >> Ручные инструменты >> Ножницы по металлу >> Ножницы по металлу Tolsen,tolsen,Ножиці арматурні Tolsen 900 мм (10064),,1869,1,https://comfy.ua/nozhnicy-armaturnye-tolsen-900-mm-10064.html,,05.11.2025 22:12,,"вул. Соборна, 42",Фастів,0
1089428661,7041808,TOLSEN,Напильник TOLSEN 200 мм (32029),127,1884531,Инструменты и автотовары >> Ручные инструменты >> Напильники >> Напильники Tolsen,tolsen,Напилок Tolsen 200 мм (32029),,129,1,https://comfy.ua/napil-nik-tolsen-200-mm-32029.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
1089428662,7009645,TOLSEN,Напильник TOLSEN 200 мм 2 (32009),129,1884956,Инструменты и автотовары >> Ручные инструменты >> Напильники >> Напильники Tolsen,tolsen,Напилок Tolsen 200 мм (32009),,129,1,https://comfy.ua/napil-nik-tolsen-200-mm-32009.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
1089428663,7041809,TOLSEN,"Напильник TOLSEN 200х6,5 мм (32025)",137,1884958,Инструменты и автотовары >> Ручные инструменты >> Напильники >> Напильники Tolsen,tolsen,Напилок Tolsen 200 мм (32025),,155,1,https://comfy.ua/napil-nik-tolsen-200-mm-32025.html,,05.11.2025 21:39,,"вул. Соборна, 42",Фастів,0
1089432828,,,,,.1912018,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",merlion,Акумулятор для ДБЖ Merlion 4V-0.6Ah (GP1135),,100,1,https://comfy.ua/akkumuljator-dlja-ibp-merlion-4v-0-6ah-gp1135.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1089434668,6553763,COCONUTS,Велосипедный шлем TRYBIKE Coconuts 47-53см Black (COCO 8S),1059,1709526,Детские товары >> Детский транспорт >> Защита >> Защита Coconut,coconut,Шолом Coconut Черный ON/OFF 47-53 см (COCO 8S),,1089,1,https://comfy.ua/shlem-coconut-chernyj-on-off-47-53-sm-coco-8s.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1089437283,6855627,BOSCH,Воздуходувка BOSCH Universal GardenTidy 3000 (0.600.8B1.001),4200,1898267,Инструменты и автотовары >> Садовые инструменты >> Садовые пылесосы >> Садовые пылесосы Bosch,bosch,Садовий пилосос Bosch Universal GardenTidy 3000 (0.600.8B1.001),,4199,1,https://comfy.ua/sadovyj-pylesos-bosch-universal-gardentidy-3000-0-600-8b1-001.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1089437285,6963852,VIMAR,Кофемолка VIMAR VCG-239BG (VCG-239G),699,1913794,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Vimar,vimar,Кавомолка Vimar VCG 239G,,699,1,https://comfy.ua/kofemolka-vimar-vcg-239g.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1089437285,6792816,VIMAR,Кофемолка VIMAR VCG 239G,699,1913794,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Vimar,vimar,Кавомолка Vimar VCG 239G,,699,1,https://comfy.ua/kofemolka-vimar-vcg-239g.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1089437285,6996054,WILFA,Кофемолка WILFA CG1S-275,6399,1913794,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Vimar,vimar,Кавомолка Vimar VCG 239G,,699,1,https://comfy.ua/kofemolka-vimar-vcg-239g.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1089437286,6963851,VIMAR,Кофемолка VIMAR VCG-237BR (VCG-237R),699,1913793,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Vimar,vimar,Кавомолка Vimar VCG 237R,,699,1,https://comfy.ua/kofemolka-vimar-vcg-237r.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1089437286,6792815,VIMAR,Кофемолка VIMAR VCG 237R,734,1913793,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Vimar,vimar,Кавомолка Vimar VCG 237R,,699,1,https://comfy.ua/kofemolka-vimar-vcg-237r.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1089450703,,,,,1913001,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура дротова A4tech Fstyler FKS10 Orange USB,,499,1,https://comfy.ua/klaviatura-provodnaja-a4tech-fstyler-fks10-orange-usb.html,,05.11.2025 22:07,,"вул. Соборна, 42",Фастів,0
1089450705,,,,,1912997,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура дротова A4tech Fstyler FKS10 Grey USB,,499,1,https://comfy.ua/klaviatura-provodnaja-a4tech-fstyler-fks10-grey-usb.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
1089450708,,,,,1912999,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура дротова A4tech Fstyler FKS10 White USB,,499,1,https://comfy.ua/klaviatura-provodnaja-a4tech-fstyler-fks10-white-usb.html,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
1089451834,6824046,PERFELLI,Вытяжка PERFELLI BI 5652 WH 1000 LED,3999,1911331,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 5652 WH 1000 LED,,3999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-5652-wh-1000-led.html,5299,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1089452387,6825544,PERFELLI,Вытяжка PERFELLI BI 5653 WH 1000 LED,4499,1911816,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 5653 WH 1000 LED,,4499,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-5653-wh-1000-led.html,5999,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1089454858,6789127,FSP,ИБП FSP FP850 (PPF4801105),3820,1914755,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Fsp",fsp,Джерело безперебійного живлення FSP FP850 (PPF4801105),,3419,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-fsp-fp850-ppf4801105.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1089454859,6789128,FSP,ИБП FSP iFP800 (PPF4802003),3495,1914756,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Fsp",fsp,Джерело безперебійного живлення FSP iFP800 (PPF4802003),,3360,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-fsp-ifp800-ppf4802003.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
