745116740,column,column,column,column,1655469,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,__xilence_i250pwm_xc032,column,389,1,httpscomfyuaprocessornyjkulerxilencei250pwmxc032html,column,05112025_1832,column,__42,Фастів,0
745484397,,,,,1689393,Техника для дома >> Крупная техника,candy,Пральна машина Candy CSO4 1275TE/1-S,,10779,1,https://comfy.ua/catalog/product/view/id/1394533,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
745484432,6633246,JBL,Гарнитура JBL JR310BT Blue (JBLJR310BTBLU),1099,1687508,"Аудио, фото и видео >> Наушники >> Наушники JBL",jbl,Навушники накладні бездротові JBL JR 310BT Blue (JBLJR310BTBLU),,1099,1,https://comfy.ua/naushniki-nakladnye-besprovodnye-jbl-jr-310bt-blue-jbljr310btblu.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,1
745484470,6633194,APPLE,Ноутбук APPLE MacBook Air M1 13' 256GB Space Grey (MGN63UA/A),32999,1687266,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Apple >> Серия MacBook Air",apple,Ноутбук Apple MacBook Air M1 13.3'' 256Gb MGN63 Space Grey 2020,,29999,1,https://comfy.ua/noutbuk-apple-new-macbook-air-13-3-256gb-space-grey-arm-2020.html,32999,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,0
745485500,,,,,1683200,Техника для кухни >> Крупная техника,gorenje,Варильна поверхня газова Gorenje GW6D42CLI,,13799,1,https://comfy.ua/catalog/product/view/id/1396133/s/varochnaja-panel-gazovaja-gorenje-gw6d42cli,14699,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
745485508,,,,,1689393,Техника для дома >> Крупная техника,candy,Пральна машина Candy CSO4 1275TE/1-S,,10779,1,https://comfy.ua/catalog/product/view/id/1394533/s/stiral-naja-mashina-candy-cso4-1275te-1-s,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
745485530,6630446,SENCOR,Плитка SENCOR SCP3701BK,2499,1688916,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Sencor,sencor,Плита електрична настільна Sencor SCP3701BK,,2499,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-sencor-scp3701bk.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
745485563,,,,,.1688596,Техника для кухни >> Мелкая техника,cecotec,Соковитискач відцентровий Cecotec Extreme Titanium 19000,,2299,1,https://comfy.ua/sokovyzhimalka-centrobezhnaja-cecotec-extreme-titanium-19000.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
745501941,,,,,1687011,Техника для кухни >> Крупная техника,aeg,Витяжка вбудована AEG DGE5861HM,,15499,1,https://comfy.ua/catalog/product/view/id/1393153,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
745502719,6630441,GORENJE,Варочная поверхность GORENJE GW6D42CLI,13799,1683200,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GW6D42CLI,,13799,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gw6d42cli.html,14699,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
745502721,6624115,GORENJE,Варочная поверхность GORENJE GT642SYW (BG6BA-G0B),14399,1683158,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GT642SYW,,14399,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gt642syw.html,15299,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
745502744,6629450,GORENJE,Варочная поверхность GORENJE GTW 641 EB (BG6IB-G0B),12999,1688395,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GTW641EB,,13399,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gtw641eb.html,14699,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
745552003,,,,,.1681681,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Автотримач XOKO RM-C70 Flat Magnetic Space Grey,,149,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-xoko-rm-c70-flat-magnetic-space-grey.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
