785329431,column,column,column,column,1739066,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,ekopups,______abso_maxi__1217_2__44,column,419,1,httpscomfyuavkladyshidljamnogorazovyhpodguznikovjekopupsabsomaxirazmer12172shtvk44html,column,05112025_2038,column,__42,Фастів,0
785427532,6801023,САН КЛІН,Средство для чистки САН КЛИН Мастер Клинер для плит с распылителем 750 мл (4820003542286),146,1740619,Бытовая химия >> Средства для чистки техники >> Средства для чистки плит и духовок >> Средства для чистки плит и духовок San Clean,san-clean,Засіб для чищення плит San Clean Мастер Клинер с распылителем 750 мл (4820003542286),,107,1,https://comfy.ua/chistjaschee-sredstvo-dlja-plit-san-klin-master-kliner-s-raspylitelem-750-ml-4820003542286.html,134,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
785427535,6874076,PRONTO,Средство для мебели Pronto После дождя универсальный 250 мл (5000204150810),196,1740688,Бытовая химия >> Все для уборки >> Средства по уходу за мебелью >> Средства по уходу за мебелью SC Johnson,sc-johnson,Засіб для чищення універсальний SC Johnson Pronto После дождя 250 мл (5000204150810),,165,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-sc-johnson-pronto-posle-dozhdja-250-ml-5000204150810.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
785429137,,,,,1624994,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Универсальные пульты ДУ >> Универсальные пульты ДУ KIVI,kivi,Пульт ДУ універсальний Kivi 504Q3262107,,779,1,https://comfy.ua/pul-t-du-universal-nyj-kivi-504q3262107.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
785524654,,,,,.1627056,Посуда >> Для приготовления,ballarini,Сковорода універсальна Ballarini 14 см (1000165),,1555,1,https://comfy.ua/skovoroda-universal-naja-ballarini-14-sm-1000165.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
785567989,7109920,TREFL,Пазл TREFL Star Wars Маленький Йода 100 элементов (16413),241,1736666,Детские товары >> Игрушки,trefl,"""Пазли (5-7 років) Trefl Маленький Йода/Зоряні війни """"Мандалорец"""" 100 ел. (16413)""",,169,1,https://comfy.ua/catalog/product/view/id/1887473,,06.11.2025 1:44,,"вул. Соборна, 42",Фастів,0
785568976,7035471,VILGRAND,Стиральная машина VILGRAND V135-2550 red,2599,1717021,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины ViLgrand,vilgrand,Пральна машина ViLgrand V 135-2550 Red,,2599,1,https://comfy.ua/stiral-naja-mashina-vilgrand-v-135-2550-red.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
785568976,6645220,VILGRAND,Стиральная машина VILGRAND V 135-2550 Red,2599,1717021,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины ViLgrand,vilgrand,Пральна машина ViLgrand V 135-2550 Red,,2599,1,https://comfy.ua/stiral-naja-mashina-vilgrand-v-135-2550-red.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
785571190,6508915,MIKROTIK,Коммутатор MIKROTIK CRS328-4C-20S-4S+RM,18634,1739744,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети MikroTik",mikrotik,Коммутатор локальної мережі (Switch) MikroTik CRS328-4C-20S-4S+RM,,16915,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-mikrotik-crs328-4c-20s-4s-rm.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
786286466,,,,,1736713,Бытовая химия >> Для кухни и мытья посуды,lion,Засіб для ручного миття посуду Lion Японский абрикос 960 мл (8806325612247),,299,1,https://comfy.ua/catalog/product/view/id/1899063,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
786302966,,,,,1736727,Бытовая химия >> Для кухни и мытья посуды,lion,Засіб для ручного миття посуду Lion Японский абрикос 960 мл (8806325612223),,313,1,https://comfy.ua/catalog/product/view/id/1899113,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
786302995,,,,,1733949,Бытовая химия >> Для кухни и мытья посуды,lion,Засіб для ручного миття посуду Lion LION Гранат 900 г,,299,1,https://comfy.ua/catalog/product/view/id/1871333,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
786512178,6418337,PHILIPS,Решетка для запекания PHILIPS HD9950/00,1299,1742401,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники Philips,philips,Гриль-решітка для мультіпечі Philips HD9950/00,,1599,1,https://comfy.ua/gril-reshetka-dlja-mul-tipechi-philips-hd9950-00.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
786513856,,,,,.1741929,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для планшету BeCover Smart Case for Apple iPad 10.2 (2019) Rose Gold (704137),,499,1,https://comfy.ua/chehol-dlja-plansheta-becover-smart-case-for-apple-ipad-10-2-2019-rose-gold-704137.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
786514294,,,,,1742977,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Перехідник Mini Display Port-VGA Cablexpert A-mDPM-DPF4K-01 0.15m Black (A-mDPM-DPF4K-01),,259,1,https://comfy.ua/catalog/product/view/id/1919613,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
786516979,,,,,981943,"Аудио, фото и видео >> Акустика",microlab,Комп'ютерна акустика 2.1 Microlab M-108,,1369,1,https://comfy.ua/catalog/product/view/id/1918273,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
786517680,,,,,1742456,Посуда >> Нарезка и измельчение,blanco,Дошка обробна Blanco 225469,,361,1,https://comfy.ua/razdelochnaja-doska-blanco-225469.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
786579200,6832561,MIELE,Стирально-сушильная машина MIELE WTD 160 WCS (11TD1601UA),93959,1736164,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Miele,miele,Прально-сушильна машина Miele WTD 160 WCS,,93959,1,https://comfy.ua/stiral-naja-mashina-miele-wtd-160-wcs.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
786579202,6671596,GORENJE,Блендер GORENJE HBC564QW,1499,1742876,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Gorenje,gorenje,Блендер заглибний Gorenje HBC564QW,,1499,1,https://comfy.ua/blender-pogruzhnoj-gorenje-hbc564qw.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
786579203,6664404,GORENJE,Блендер GORENJE HBC561QW,999,1742875,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Gorenje,gorenje,Блендер заглибний Gorenje HBC561QW,,899,1,https://comfy.ua/blender-pogruzhnoj-gorenje-hbc561qw.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
786580124,6571889,NUVITA,Пустышка NUVITA Air55 Cool NV7085 6m+ LITTLE GIRL (NV7085SI),77,1735552,Детские товары >> Кормление,nuvita,"""Симетрична пустушка Nuvita Air55 Cool 6m + """"Little Girl"""" Яскраво-рожева (NV7085SI)""",,99,1,https://comfy.ua/catalog/product/view/id/1885103,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
786580125,6571892,NUVITA,Пустышка NUVITA Air55 Cool 6 m+ LOVE Yellow/Grey (NV7085SC),77,1735551,Детские товары >> Кормление,nuvita,"""Симетрична пустушка Nuvita Air55 Cool 6m + """"Love"""" Жовто-сіра (NV7085SC)""",,99,1,https://comfy.ua/catalog/product/view/id/1885093,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
786580126,6571894,NUVITA,Пустышка NUVITA Air55 Cool NV7085 6m+ СЕРДЕЧКИ (NV7085PY),77,1735550,Детские товары >> Кормление,nuvita,"""Симетрична пустушка Nuvita Air55 Cool 6m + """"сердечка"""" Рожевий (NV7085PY)""",,99,1,https://comfy.ua/catalog/product/view/id/1885073,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
786580130,6571893,NUVITA,Пустышка NUVITA Air55 Cool NV7085 6m+ БАНТ (NV7085GF),77,1735546,Детские товары >> Кормление,nuvita,"""Симетрична пустушка Nuvita Air55 Cool 6m + """"бант"""" Рожевий (NV7085GF)""",,99,1,https://comfy.ua/catalog/product/view/id/1884973,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
786580133,6571891,NUVITA,Пустышка NUVITA Air55 Cool NV7085 6m+ LOVE (NV7085CB),77,1735543,Детские товары >> Кормление,nuvita,"""Симетрична пустушка Nuvita Air55 Cool 6m + """"Love"""" Блакитно-синя (NV7085CB)""",,99,1,https://comfy.ua/catalog/product/view/id/1884813,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
786580135,6571830,NUVITA,"Набор пустышек NUVITA NV7086 Air55 Explorer 6m+ (зебра, лев) 2 шт (NV7086M)",154,1735557,Детские товары >> Кормление,nuvita,"Ортодонтична пустушка Nuvita Air55 Explorer 6m + (зебра, лев) 2 шт. (NV7086M)",,199,1,https://comfy.ua/catalog/product/view/id/1884673,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
786580138,6571833,NUVITA,"Набор пустышек NUVITA Air55 Explorer 6m+ Обезьяна, Сова 2 шт (NV7086GF)",154,1735554,Детские товары >> Кормление,nuvita,"Ортодонтична пустушка Nuvita Air55 Explorer 6m + (мавпа, сова) 2 шт. (NV7086GF)",,199,1,https://comfy.ua/catalog/product/view/id/1884543,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
786580140,6571857,NUVITA,Пустышка NUVITA NV7084 Air55 Cool 6m+ LITTLE GIRL (NV7084SI),77,1735542,Детские товары >> Кормление,nuvita,"""Ортодонтична пустушка Nuvita Air55 Cool 6m + """"Little Girl"""" Яскраво Рожева (NV7084SI)""",,99,1,https://comfy.ua/catalog/product/view/id/1884423,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
786580143,6571862,NUVITA,Пустышка NUVITA NV7084 Air55 Cool 6m+ сердечки розовая (NV7084PY),77,1735540,Детские товары >> Кормление,nuvita,"""Ортодонтична пустушка Nuvita Air55 Cool 6m + """"сердечка"""" Рожевий (NV7084PY)""",,99,1,https://comfy.ua/catalog/product/view/id/1883993,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
786580153,6571884,NUVITA,Пустышка NUVITA Air55 Cool NV7065 0m+ STAR (NV7065GA),77,1735510,Детские товары >> Кормление,nuvita,"""Симетрична пустушка Nuvita Air55 Cool 0m + """"зірка"""" Аквамариновая (NV7065GA)""",,99,1,https://comfy.ua/catalog/product/view/id/1882513,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
786599618,,,,,1742894,Смарт-часы и гаджеты >> Аксессуары,powerplant,Акумулятор для екшн-камери PowerPlant GoPro AHDBT-901 1730mAh (CB970452),,549,1,https://comfy.ua/akkumuljator-dlja-jekshn-kamery-powerplant-gopro-ahdbt-901-1730mah-cb970452.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
786628507,,,,,1739601,Посуда >> Нарезка и измельчение,wuesthof,Ніж сантоку Wuesthof 14 см 1040231314,,4760,1,https://comfy.ua/catalog/product/view/id/1900283,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
