786628508,column,column,column,column,1739602,Посуда >> Нарезка и измельчение,wuesthof,__wuesthof_17_____1040231317,column,5595,1,httpscomfyuacatalogproductviewid1900233,column,05112025_1955,column,__42,Фастів,0
787075729,,,,,1743638,Смарт-часы и гаджеты >> Смарт-часы,amigo,Дитячий годинник AmiGo GO005 4G WIFI Thermometer Blue,,3999,1,https://comfy.ua/catalog/product/view/id/1925263,4499,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
787075735,,,,,1743639,Смарт-часы и гаджеты >> Смарт-часы,amigo,Дитячий годинник AmiGo GO005 4G WIFI Thermometer Pink,,3999,1,https://comfy.ua/catalog/product/view/id/1925083,4499,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
787075737,,,,,1702295,Детские товары >> Игрушки,silverlit,Інтерактивний робот Silverlit Maze Breaker (88044),,999,1,https://comfy.ua/catalog/product/view/id/1925053,1399,05.11.2025 23:32,,"вул. Соборна, 42",Фастів,0
787075800,6359340,VINZER,Терка VINZER (50322),514,1743075,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Vinzer",vinzer,Терка Vinzer 4 в 1 (50322),,706,1,https://comfy.ua/terka-vinzer-4-v-1-50322.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
787134034,6569510,СТАЛЬ,Уровень СТАЛЬ 26016 400 мм (58214),159,1730669,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Сталь,stal,Рівень Сталь 400 мм (26016),,199,1,https://comfy.ua/uroven-stal-400-mm-26016.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
787134035,6569519,СТАЛЬ,Уровень СТАЛЬ 26028 1200 мм (58226),738,1730670,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Сталь,stal,Рівень Сталь 1200 мм (26028),,739,1,https://comfy.ua/uroven-stal-1200-mm-26028.html,,05.11.2025 23:21,,"вул. Соборна, 42",Фастів,0
787134061,,,,,1742897,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant Olympus BLS-50 1100mAh (CB970483),,689,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-olympus-bls-50-1100mah-cb970483.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
787134062,,,,,1742899,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant Canon LP-E12H 850mAh (CB970506),,799,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-canon-lp-e12h-850mah-cb970506.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
787134063,,,,,1742895,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant Panasonic DMW-BLK22 2250mAh (CB970469),,1099,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-panasonic-dmw-blk22-2250mah-cb970469.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
787134476,,,,,1742303,Техника для дома >> Умный дом,ajax,Стартовий набір для управління приладами Ajax StarterKit Cam Plus білий (000019854),,19499,1,https://comfy.ua/startovyj-nabor-dlja-upravlenija-priborami-ajax-starterkit-cam-plus-belyj-000019854.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
787134479,6458151,HAISSER,"""Набор инструментов HAISSER 1/4"""" 1/2"""" 94 единиц (70016)""",3500,1722455,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Haisser,haisser,Набір інструментів Haisser 94 ед. (75590),,3500,1,https://comfy.ua/nabor-instrumentov-haisser-94-ed-75590.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
787134480,6563508,HAISSER,Набор инструментов HAISSER 108 пр. (91907),3750,1722456,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Haisser,haisser,Набір інструментів Haisser 108 ед. (70178),,3750,1,https://comfy.ua/nabor-instrumentov-haisser-108-ed-70178.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
787134481,6458150,HAISSER,"""Набор инструментов HAISSER 1/4"""", 1/2"""" 82 единиц (70015)""",3800,1722454,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Haisser,haisser,Набір інструментів Haisser 82 ед. (70015),,3800,1,https://comfy.ua/nabor-instrumentov-haisser-82-ed-75589.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
787134483,,,,,.1722457,Инструменты и автотовары >> Ручные инструменты,haisser,Набір інструментів Haisser 3/4'' 20 шт. (70114),,6229,1,https://comfy.ua/nabor-instrumentov-haisser-3-4-20-sht-70114.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
787134484,6384247,WERK,Набор пневмоинструментов WERK KIT-5G Gravity (71053),1159,1722173,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Werk,werk,Набір інструментів Werk KIT-5G Gravity 5 пр.,,1349,1,https://comfy.ua/nabor-instrumentov-werk-kit-5g-gravity-5-pr.html,,05.11.2025 22:33,,"вул. Соборна, 42",Фастів,0
787134520,6559358,СВІТЯЗЬ,Молоток СВІТЯЗЬ 500 г (44064),218,1722126,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Світязь",svitjaz,Молоток Свiтязь 500 г (44064),,219,1,https://comfy.ua/molotok-svitjaz-500-g-44064.html,,05.11.2025 23:21,,"вул. Соборна, 42",Фастів,0
787134521,,,,,.1723531,Инструменты и автотовары >> Ручные инструменты,stal,Лом-цвяхосмик Сталь 600 мм (44030),,299,1,https://comfy.ua/lom-gvozdoder-stal-600-mm-44030.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
787134522,6559366,СТАЛЬ,Топор СТАЛЬ 2000 г (44054),671,1723528,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Сталь",stal,Сокира Сталь колун 2000 г (44054),,905,1,https://comfy.ua/topor-stal-kolun-2000-g-44054.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
787134523,6559364,СТАЛЬ,Топор СТАЛЬ 2000 г (44036),761,1723529,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Сталь",stal,Сокира Сталь колун 2000 г (44036),,1025,1,https://comfy.ua/topor-stal-kolun-2000-g-61967.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
787134627,,,,,1696070,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Tescoma,tescoma,Дозатор для мила tescoma 900810 Online 350 мл,,799,1,https://comfy.ua/dozator-dlja-myla-tescoma-900810-online-350-ml.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
787134922,,,,,1740498,Бытовая химия >> Средства для стирки,lion,Відбілювач для білизни Lion Beat O2 300 г (8806325612735),,75,1,https://comfy.ua/otbelivatel-dlja-bel-ja-lion-beat-o2-300-g-8806325612735.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
787134968,6571871,NUVITA,Пустышка NUVITA NV7064 Air55 Cool 0m+ тучка пряное яблоко (NV7064GSA),77,1735504,Детские товары >> Кормление,nuvita,"""Ортодонтична пустушка Nuvita Air55 Cool 0m + """"хмарка"""" Пряне яблуко (NV7064GSA)""",,99,1,https://comfy.ua/catalog/product/view/id/1882273,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
787134969,6571853,NUVITA,Пустышка NUVITA NV7064 Air55 Cool 0m+ месяц бирюзовая (NV7064GE),77,1735503,Детские товары >> Кормление,nuvita,"""Ортодонтична пустушка Nuvita Air55 Cool 0m + """"місяць"""" Бірюзовий (NV7064GE)""",,99,1,https://comfy.ua/catalog/product/view/id/1882243,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
787134973,6571872,NUVITA,Пустышка NUVITA Air 0м+ 2 шт. светится в темноте (NV7063),154,1735499,Детские товары >> Кормление,nuvita,Симетрична пустушка Nuvita Air 0м + 2 шт. (NV7063),,199,1,https://comfy.ua/catalog/product/view/id/1882093,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
787134974,6571873,NUVITA,Пустышка NUVITA Air 0м+ 2шт. для девочки (NV7061Girl),154,1735498,Детские товары >> Кормление,nuvita,Симетрична пустушка Nuvita Air 0м + 2 шт. для дівчинки (NV7061Girl),,199,1,https://comfy.ua/catalog/product/view/id/1882043,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
787134975,6571874,NUVITA,Пустышка NUVITA сим. Air 0м+ 2шт. для мальчика (NV7061Boy),154,1735497,Детские товары >> Кормление,nuvita,Симетрична пустушка Nuvita Air 0м + 2 шт. для хлопчика (NV7061Boy),,199,1,https://comfy.ua/catalog/product/view/id/1881993,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
787134976,6571842,NUVITA,Набор пустышек NUVITA Air 0м+ 2 шт (NV7060Girl),154,1735496,Детские товары >> Кормление,nuvita,Ортодонтична пустушка Nuvita Air 0м + 2 шт. для дівчинки (NV7060Girl),,199,1,https://comfy.ua/catalog/product/view/id/1881943,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
787135159,,,,,1740497,Бытовая химия >> Средства для стирки >> Ополаскиватели для белья >> Ополаскиватели для белья Lion,lion,Ополіскувач для білизни Lion Porinse Аroma Сapsule Violet 2.1 кг (8806325615637),,329,1,https://comfy.ua/opolaskivatel-dlja-bel-ja-lion-porinse-aroma-sapsule-violet-2-1-kg-8806325615637.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
787135494,,,,,1723485,Инструменты и автотовары >> Расходные материалы,,Ящик для інструментів Forte 303x180x50 мм OR 08 Poly 3/8,,109,1,https://comfy.ua/jaschik-dlja-instrumentov-forte-303x180x50-mm-or-08-poly-3-8.html,,05.11.2025 22:07,,"вул. Соборна, 42",Фастів,0
787135647,,,,,1732064,Инструменты и автотовары >> Электроинструменты,svitjaz,Клейовий пістолет Свiтязь FG-3108,,235,1,https://comfy.ua/catalog/product/view/id/1879083,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
787135908,,,,,1743638,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы AmiGo,amigo,Дитячий годинник AmiGo GO005 4G WIFI Thermometer Blue,,3999,1,https://comfy.ua/detskie-chasy-amigo-go005-4g-wifi-thermometer-blue.html,4499,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
787135910,,,,,1743440,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Hot Wheels,hot-wheels,Набір базових машинок Hot Wheels Подарунковий (5 шт.) В ас. (1806),,525,1,https://comfy.ua/nabor-bazovyh-mashinok-hot-wheels-podarochnyj-5-sht-1806.html,,05.11.2025 23:29,,"вул. Соборна, 42",Фастів,0
787135915,,,,,1743639,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы AmiGo,amigo,Дитячий годинник AmiGo GO005 4G WIFI Thermometer Pink,,3999,1,https://comfy.ua/detskie-chasy-amigo-go005-4g-wifi-thermometer-pink.html,4499,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
787135917,,,,,1702295,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Silverlit,silverlit,Інтерактивний робот Silverlit Maze Breaker (88044),,999,1,https://comfy.ua/interaktivnyj-robot-silverlit-maze-breaker-88044.html,1399,05.11.2025 23:32,,"вул. Соборна, 42",Фастів,0
787135929,,,,,1743402,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Hot Wheels,hot-wheels,Базова машинка Hot Wheels Позашляховик 1:64 серії «Monster Trucks» (в ас.) (FYJ44),,399,1,https://comfy.ua/bazovaja-mashinka-hot-wheels-vnedorozhnik-1-64-serii-monster-trucks-v-ass-fyj44.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
787135934,,,,,1743654,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Silverlit,silverlit,"""Інтерактивний робот Silverlit Робозавр """"BIOPOD DUO"""" (два в наборі) (88082)""",,446,1,https://comfy.ua/interaktivnyj-robot-silverlit-robozavr-biopod-duo-dva-v-nabore-88082.html,839,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
787135946,6654851,AOC,"""Монитор AOC 31.5"""" U32E2N""",15803,1743134,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы AOC",aoc,Монітор AOC U32E2N Black,,15729,1,https://comfy.ua/monitor-aoc-u32e2n-black.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
787135947,,,,,1743921,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Huggies,huggies,"Одноразові підгузки Huggies Classic Розмір 5 (11-25 кг) Jumbo, 42 шт. (5029053543185)",,419,1,https://comfy.ua/odnorazovye-podguzniki-huggies-classic-5-11-do-22-kg-jumbo-42-sht-5029053543185.html,530,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
787135953,,,,,1743656,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Silverlit,silverlit,Інтерактивний робот Silverlit Танцюючий робот (88587),,705,1,https://comfy.ua/interaktivnyj-robot-silverlit-tancujuschij-robot-88587.html,1259,05.11.2025 23:22,,"вул. Соборна, 42",Фастів,0
787135959,,,,,1742886,Детские товары >> Кормление,chicco,Ортодонтична пустушка Chicco Physio Comfort міс 2 шт. Blue (74935.42.00.00),,389,1,https://comfy.ua/ortodonticheskaja-pustyshka-chicco-physio-comfort-mes-2-sht-blue-74935-42-00-00.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
787135962,,,,,1743652,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Silverlit,silverlit,"""Інтерактивний робот Silverlit Робозавр """"BIOPOD SINGLE"""" (88073)""",,259,1,https://comfy.ua/interaktivnyj-robot-silverlit-robozavr-biopod-single-88073.html,419,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
787139020,6559314,СВІТЯЗЬ,Отвертка СВІТЯЗЬ PH0x75 (49076),27,1722141,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Світязь,svitjaz,Викрутка Свiтязь PH0x75 (49076),,27,1,https://comfy.ua/otvertka-svitjaz-ph0x75-49076.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
787139021,6559320,СВІТЯЗЬ,Отвертка СВІТЯЗЬ SL3x75 (49082),25,1722135,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Світязь,svitjaz,Викрутка Свiтязь SL3x75 (49082),,30,1,https://comfy.ua/otvertka-svitjaz-sl3x75-49082.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
787139022,6559321,СВІТЯЗЬ,Отвертка СВІТЯЗЬ SL3x100 (49083),20,1722136,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Світязь,svitjaz,Викрутка Свiтязь SL3x100 (49083),,32,1,https://comfy.ua/otvertka-svitjaz-sl3x100-49083.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
787139023,6559315,СВІТЯЗЬ,Отвертка СВІТЯЗЬ PH0x100 (49077),32,1722128,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Світязь,svitjaz,Викрутка Свiтязь PH0x100 (49077),,32,1,https://comfy.ua/otvertka-svitjaz-ph0x100-49077.html,,05.11.2025 22:33,,"вул. Соборна, 42",Фастів,0
787139024,6559322,СВІТЯЗЬ,Отвертка СВІТЯЗЬ SL5x100 (49084),25,1722137,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Світязь,svitjaz,Викрутка Свiтязь SL5x100 (49084),,38,1,https://comfy.ua/otvertka-svitjaz-sl5x100-49084.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
787139025,6559316,СВІТЯЗЬ,Отвертка СВІТЯЗЬ PH1x100 (49078),36,1722129,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Світязь,svitjaz,Викрутка Свiтязь PH1x100 (49078),,36,1,https://comfy.ua/otvertka-svitjaz-ph1x100-49078.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
787139026,6559324,СВІТЯЗЬ,Отвертка СВІТЯЗЬ SL6x100 (49086),31,1722139,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Світязь,svitjaz,Викрутка Свiтязь SL6x100 (49086),,44,1,https://comfy.ua/otvertka-svitjaz-sl6x100-49086.html,,05.11.2025 22:33,,"вул. Соборна, 42",Фастів,0
